Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
M. Rodák,Al Ettifaq,Al Ettifaq,GK,28,3582,0,0,0,0.16,Slovakia,2.06,0.08,0,0.28,90.91,0.05,0.07,0,2.01,2.87,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,50,0,0,0,11.81,0.43,0.03,19.12,85.41,10.7,77,0,0,7.59,96.69,7.14,64.44,32.01,49.22,0,0.03,0,0,0,0,0,1.93,46.75,0.25,0,0.15,16.67,0.03,0,5.2,73.91,45,1.13,163,4.1,8,72.39,46.86,1.18,1.86,0.047,0,1.26,0.28
Bento,Al Nassr,Al Nassr,GK,26,3557,0,0,0,0,Brazil,1.87,0.05,50,0.4,93.75,0,0,0,1.85,3.3,0,2,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.08,33.33,0,0,0,13.71,0.15,0.05,20.98,89.75,12.32,84.19,0.03,100,7.29,97.22,4.86,61.98,25.08,42.35,0,0,0,0,0,0,0,1.09,44.19,0.08,33.33,0.15,16.67,0.03,0,3.42,62.96,40,1.01,146,3.69,9,72.6,45.02,1.14,5.02,0.127,0.03,1.16,0.4
M. Borjan,Al Riyadh,Al Riyadh,GK,37,3460,0,0,0,0.33,Serbia,2.84,0.18,28.57,0.52,95,0.05,0.06,0,2.73,3.39,0.03,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,66.67,0,0.03,0.03,10.64,0.16,0.13,20.76,78.82,14.05,71.67,0,0,6.45,95.56,10.09,61.08,38.56,51.74,0.01,0.03,0,0,0,0,0,3.54,43.38,0.26,10,0.23,22.22,0.03,0,7.28,76.79,51,1.33,172,4.47,8,70.35,54.48,1.42,3.48,0.091,0,2.42,0.52
G. Wijnaldum,Al Ettifaq,Al Ettifaq,"DMF, CF, AMF",34,3414,14,8.75,3,2.47,Netherlands,2.87,2.35,65.17,1.85,52.86,0.05,0.07,0.08,1.29,1.81,0.47,0,0,0,0,1.56,0.37,12,0.32,0.23,3,0.08,48,1.27,60.42,29.167,0.08,0.26,40,1.16,56.82,5.43,33.5,2.03,1.29,0.55,18.06,0.55,0.82,23.62,89.29,6.54,77.42,4.8,96.7,7.96,95.7,1.45,65.45,16.28,25.22,0.07,0.61,0,0,0.11,25,0.34,3.53,83.58,0.87,54.55,0.26,50,0.53,0.11,3.01,78.95,0,,0,,0,0,0,0,,,0.21,,
C. Guanca,Al Ula,Al Shabab,"RCMF, LCMF",32,3413,12,7,10,7.1,Argentina,4.27,3.01,56.14,0.98,45.95,0.13,0.2,0.03,2.45,3.63,0.34,0,0,0,0,2.69,0.32,12,0.32,0.18,3,0.08,80,2.11,45,15,0.26,1.61,40.98,1.53,53.45,3.93,37.58,2.08,1.11,0.11,45.57,1.03,0.37,54.32,88.11,16.19,78.66,8.36,98.42,18.72,90.85,3.85,58.22,17.26,39.31,0.19,1.56,0.05,0.03,0.29,90.91,0.55,8.07,76.47,3.45,57.25,0.9,50,1.48,0.66,7.94,87.04,0,,0,,0,0,0,0,,,0.11,,
Pedro Rebocho,Al Khaleej,Al Khaleej,LB,30,3412,0,0.2,6,3.1,Portugal,7.86,5.41,68.29,1.95,48.65,0,0,0.24,4.17,5.55,0.4,3,0.08,0,0,1.85,0,0,0,0.01,0,0,6,0.16,33.33,0,0.16,2.4,31.87,1.48,67.86,4.62,46.86,0.63,1.4,0.18,30.55,2.61,0.82,41.15,83.97,17.99,79.62,5.09,97.41,11.55,84.02,3.67,53.96,18.47,38.75,0.08,0.84,0,0.05,0.03,100,0.42,6.59,69.6,2.74,42.31,0.42,25,0.58,0.71,9.05,77.26,0,,0,,0,0,0,0,,,0.32,,
K. Casteels,Al Qadisiyah,Al Qadisiyah,GK,33,3409,0,0,0,0,Belgium,1.82,0.03,100,0.26,70,0,0,0,1.8,2.52,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.76,0.21,0.05,22.23,90.14,9.61,78.3,0,0,12.14,99.35,6.18,68.38,30.03,43.17,0,0,0,0,0,0,0,0.98,32.43,0.03,0,0.13,0,0,0,4.07,70.13,29,0.77,116,3.06,14,75,28.92,0.76,-0.08,-0.002,0,1.19,0.26
N. Gyömbér,Al Kholood,Al Kholood,LCB,33,3390,0,0.75,0,0.35,Slovakia,7.01,3.11,67.52,1.65,59.68,0.11,0.13,0.58,4.81,5.83,0.5,2,0.05,0,0,0.19,0,0,0,0.02,0,0,7,0.19,28.57,0,0,0.03,0,0.21,62.5,1.27,60.42,0.32,0.4,0.11,16.09,0.08,0.69,27.42,85.96,12.35,75.91,2.04,94.81,10.35,95.13,3.32,49.6,20.91,39.52,0.01,0.05,0,0,0,0,0.03,3.4,61.72,0.24,22.22,0.11,75,0.13,0,4.62,61.49,0,,0,,0,0,0,0,,,1.41,,
Marcelo Grohe,,Al Kholood,GK,38,3326,0,0,0,0,Brazil,1.11,0.14,80,0.24,88.89,0,0,0,1,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,7.33,0.05,0.11,11.58,82.71,6.68,74.49,0.03,100,4.41,94.48,4.82,64.04,32.41,46.85,0,0,0,0,0,0,0,0.6,31.82,0.05,0,0,0,0,0,3.19,66.95,60,1.62,161,4.36,5,62.73,55.4,1.5,-4.6,-0.124,0,1,0.24
P. Vítor,Atlético GO,Al Akhdoud,GK,36,3325,0,0,0,0.19,Brazil,2.54,0.16,33.33,0.73,77.78,0.03,0.03,0,2.46,3.13,0.08,4,0.11,1,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,75,0.27,80,0,0,0.03,10.8,0.08,0.22,19.49,71.25,13.91,61.87,0,0,5.31,96.43,9.53,48.3,42.27,57.09,0.01,0.03,0,0.05,0,0,0.03,4.52,37.13,0.68,8,0.7,19.23,0.08,0,7.01,65.64,49,1.33,149,4.03,7,67.11,46.65,1.26,-2.35,-0.064,0,1.89,0.73
