Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
"A, Al Aliwa",Al Ittifaq,Pro League,2024/2025,74,0.82,6,Right Wing Back,Left Wing,Man,Saudi Arabia,21,10/02/04,182,0,0,0.03,0.03,1.22,0,0,0,,0,0,0.08,2.43,0,0.08,2.43,0,0,0,0,0.11,3.65,-0.11,3.65,0,3.65,0,2.43,0,1.22,4.86,1.22,1.37,0,0,12.15,6.08,0,3.65,67.74,7.29,8.51,1.22,2.43,33,1.37,2.73,0,0,2.43,67,2.43,0,10.94,13.56,2.43,4.86,0,66.01,8.51,78,4.86,100,1.22,0,0,43.75,86,1.22,21,50,0,2.43,28,90,4,66.4,3.65,0.46,0.46,38.89,88,6.7,21.88,1.22,1.22,0,0,2.43,3.65,0,0,1.22,100,1.22,6,61,33,11,56,33,16.11,11.77,1.01,110,-4.34,16.28,12.91,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,14,8.75,50,-0.13,0.11,0.01,-0.05,,-0.06
Abdelhamid Sabiri,Al Taawon,Pro League,2024/2025,850,9.44,12,Centre Attacking Midfielder,Right Defensive Midfielder,Man,Morocco,28,27/11/96,186,0.21,0.21,0.23,0.09,2.54,8,29,2,,0.32,0.11,0.11,0.74,0.11,0.11,0.74,0,0,0,0.32,0.34,3.28,-0.02,2.22,1.69,0.53,76,2.65,0,1.48,2.54,0.42,0.49,1.27,1.57,19.07,9.85,0.01,3.71,50.68,2.65,5.93,1.8,2.22,74,1.94,2.43,1.91,33,0.64,56,2.01,0,15.36,17.47,2.86,3.92,0.42,53.73,9.53,62,3.18,81,0.42,0,0,42.48,84,4.55,13,73,2.33,5.19,24,79,-5,51.01,5.72,0.63,0.67,42.58,92,2.95,10.49,0.85,0.74,0.11,0.21,2.65,3.39,0.64,0,0,0,0.21,17,67,16,25,65,10,20.06,18.54,0.96,101,-1.51,19.34,18.76,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,8,4.19,29,0.01,0.03,0.04,-0.04,,0.04
Abdelkader Bedrane,Damak Club,Pro League,2024/2025,3123,34.7,31,Left Centre Back,Centre Attacking Midfielder,Man,Algeria,33,01/04/92,185,0,0,0.04,0.08,0.52,0,6,0,,0.01,0.06,0.02,0.29,0.06,0.02,0.29,0,0,0,0.06,0.06,0.81,0,0.69,0.43,0.26,63,0.66,0,0.37,0.61,2.05,1.33,5.22,3.05,11.04,5.97,0.07,4.87,21.94,1.12,8.93,1.47,3.52,76,1.04,2.37,0.69,67,0.46,64,1.44,0.03,8.88,5.97,2.54,0.92,0.12,27.96,1.33,15,0.23,25,0.14,0.03,0.03,37.18,81,7.06,14,61,6.17,10.61,11,70,-10,31.39,2.77,0.26,0.29,29.72,97,5.34,2.88,0.12,0.09,0.03,0.14,1.53,1.61,0.14,0,0.06,33,0.14,30,68,3,23,74,3,28.92,24.43,0.9,90,-4.49,26.08,22.08,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,6,2.41,21,0.05,0.05,0.1,-0.04,,0.17
Abderrazak Hamdallah,Al Shabab,Pro League,2024/2025,2609,28.99,26,Centre Forward,Left Centre Forward,Man,Morocco,34,16/12/90,179,0.72,0.45,0.34,0.12,2.76,16,36,5,80,0.41,0.07,0.1,0.97,0.07,0.1,0.97,0,0,0,0.52,0.44,3.73,0.07,2.62,1.03,1.59,39,1.38,0.07,1.83,3.59,0.17,0.19,0.55,0.68,14.56,6.59,0.01,2.55,65.65,2.35,3.52,0.52,0.69,56,0.61,0.8,0.9,31,0.41,43,1.24,0,13.14,15.33,2.38,3.1,0.31,69.27,10.76,82,2.48,80,0.14,0.03,0,21.73,81,1,8,63,0.72,1.41,22,73,-8,60.37,2.69,0.5,0.78,24.22,79,4.91,8.69,0.86,0.86,0,0.48,7.66,8.52,0.17,8,0.07,29,0.66,14,64,22,16,67,17,15.69,14.1,0.99,105,-1.59,15.53,14.83,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,11,3.97,25,-0.02,0.04,0.01,0.08,,0.12
Abdul Rahman Al Ghamdi,Al Taawon,Pro League,2024/2025,109,1.21,1,Goalkeeper,,Man,Saudi Arabia,19,12/02/06,,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,5.77,2.3,0,4.94,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,10.71,91,0.82,20,33,0,2.47,5,100,9,8.3,0,0,0,9.89,100,3.65,0,0,0,0,0,0,0,0,,0,,0,23,77,0,,,,22.86,32.3,0.81,100,9.44,18.41,32.3,0.82,1.21,0.39,75,63,12,0.83,3.3,33,9.89,1.34,0,0,17.82,3,9,5,,,0.04,0.09,,,0.34,0.47
Abdul Rahman Al Shammari,Al Wahda FC,Pro League,2024/2025,424,4.71,4,Goalkeeper,,Man,Saudi Arabia,24,08/07/00,178,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.42,0,0,0.21,0,0,0,0,0,0,0,7.64,2.79,0,2.97,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,16.76,81,1.91,24,30,2.33,4.03,18,55,-26,8.84,0,0.03,0.03,12.52,98,3.25,0,0,0,0,0,0,0,0,,0,,0,33,67,0,,,,28.99,37.27,0.81,74,8.28,23.43,27.45,2.33,1.5,-0.83,56,72,-16,1.09,5.3,47,11.24,2.07,0.21,0.21,16.21,9,12,3,2.69,16,0.05,0.02,,,-0.76,-0.7
Abdulaziz Al Bishi,Al Ittihad,Pro League,2024/2025,197,2.19,12,Right Wing,Left Defensive Midfielder,Man,Saudi Arabia,31,10/03/94,170,0,0,0.02,0.03,0.91,0,100,1,,0.06,0,0.01,0.46,0,0.01,0.46,0,0,0,0,0.03,1.37,-0.03,3.2,1.83,1.37,57,5.03,0,2.29,3.2,0.91,1.28,0,0,16.46,8.23,0,1.37,53.28,4.12,8.23,1.37,2.29,75,1.53,2.81,1.83,50,0.46,33,0.46,0,13.26,18.45,1.37,4.12,0,53.54,8.23,62,3.66,89,0.46,0,0,37.04,73,2.29,83,63,0.91,2.74,20,82,9,59.45,5.49,0.26,0.29,44.81,88,6.07,11.43,0.91,0.46,0.46,0,0.91,1.37,0.46,0,0,0,0,24,56,20,32,40,28,16.09,13.7,0.89,103,-2.39,14.38,14.07,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,17,1.51,15,-0.06,0.1,0,0.01,,0.05
Abdulaziz Al Hatila,Al Akhdoud,Pro League,2024/2025,633,7.03,20,Centre Attacking Midfielder,Right Wing,Man,Saudi Arabia,27,16/05/98,175,0,0,0.08,0.04,2.13,0,13,2,,0.03,0,0.05,1.28,0,0.04,1,0,0.01,0.28,0,0.12,3.41,-0.12,2.85,1.42,1.42,50,1.14,0,1.14,2.42,0.85,0.69,0.43,0.36,19.35,9.11,0.03,3.98,47.73,4.41,6.12,1.14,1.99,67,0.87,1.56,1,20,0.57,25,0.14,0,17.21,12.87,2.85,3.13,0.28,50.75,8.82,51,2.42,77,0,0,0,22.91,72,2.13,93,56,0.85,3.41,24,66,-6,58.13,3.56,0.2,0.26,27.6,88,6.24,7.54,1,0.57,0.43,0.28,2.85,3.41,0.71,29,0.43,27,0.28,16,71,13,6,85,9,21.63,17.56,0.95,91,-4.06,20.53,15.98,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,7,3.02,25,-0.05,0.08,-0.02,-0.09,,-0.08
Abdulaziz Al-Othman,Al-Qadsiah,Pro League,2024/2025,1049,11.66,26,Right Centre Forward,Right Midfielder,Man,Saudi Arabia,21,02/01/04,,0.34,0.34,0.23,0.13,1.8,19,38,4,,0.27,0,0.07,0.69,0,0.07,0.69,0,0,0,0.34,0.29,2.49,0.05,1.2,0.43,0.77,36,1.37,0,2.06,3.52,0.34,0.44,0.17,0.27,19.3,7.46,0.01,2.75,62.2,2.83,4.72,1.2,1.54,82,1.13,1.57,0.86,63,0.26,40,1.37,0,17.5,19.77,2.4,3.95,0.17,63.32,12.53,72,3.26,83,0.17,0,0,16.64,67,0.6,9,64,0.34,0.77,23,62,-5,59.49,2.57,0.43,0.56,19.99,77,5.71,5.06,0.34,0.34,0,0.26,4.55,4.89,0,50,0.51,27,0.43,11,75,14,17,73,10,15.95,14.32,0.95,115,-1.63,15.23,16.52,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,11,2.25,14,-0.03,0.05,0,-0.01,,0.01
Abdulaziz Hadhood,Al Hilal,Pro League,2024/2025,6,0.07,1,,,Man,Saudi Arabia,20,09/03/05,,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,15.21,0,0,0,0,0,0,0,15.21,15.21,,0,63.63,0,15.21,0,0,,0,0,0,,0,0,0,0,15.21,14.85,0,0,0,63.63,15.21,100,0,,0,0,0,76.06,80,0,50,0,0,15.21,20,100,20,36.7,0,0,0,30.42,100,2.96,0,0,0,0,0,0,0,0,,0,,0,0,100,0,,,,21.67,21.1,0.83,100,-0.57,17.92,21.1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,20,,,-0.15,0.05,,,,-0.1
