Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.Ortega,Quilmes Atlético Club,Primera Nacional,2026,618,Right Back,Argentina,21,29/08/05,0,0,0.03,0.1,0.29,0,100,0,,0.11,0,0.07,1.31,0,0.07,1.31,0,0,0,0,0.1,1.6,-0.1,2.62,1.02,1.6,39,1.02,0,2.04,2.77,0.58,0.81,1.89,2.18,23.6,12.38,0.01,9.32,34.58,12.38,4.52,3.93,4.52,79,5.17,5.98,2.33,30,1.02,50,1.46,0,17.34,22.93,7.14,4.23,1.46,37.94,5.1,29,2.77,66,0.29,0,0,36.28,70,3.35,10,50,2.77,5.83,14,51,-19,51.94,6.12,0.32,0.38,34.39,87,6.71,8.31,1.75,1.46,0.29,0,0.44,1.89,0.15,58,1.02,30,0.15,34,57,9,30,61,9,22,20.39,0.9,90,-1.61,19.88,18.3,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,10,5.62,31,0.1,0.11,0.06,0.1,,0.37
Aarón Spetale,Quilmes Atlético Club,Primera Nacional,2026,1399,Left Centre Forward,Argentina,26,27/05/00,0.45,0.45,0.43,0.14,3.09,15,48,5,,0.55,0.06,0.11,0.96,0.06,0.11,0.96,0,0,0,0.51,0.53,4.05,-0.02,1.03,0.71,0.32,69,1.35,0,2.44,3.73,0.51,0.44,0.39,0.36,19.23,7.27,0,4.57,66.81,5.08,4.18,0.84,1.35,62,0.8,1.24,1.93,30,0.51,48,5.21,0,16.6,16.7,4.25,4.37,1.48,68.58,14.67,88,3.92,90,0.13,0,0,25.86,61,0.58,18,64,0.51,0.77,31,51,-10,64.84,1.8,0.37,0.65,20.46,78,4.13,9.01,0.32,0.32,0,0.45,8.04,8.36,0.06,20,0.45,41,0.71,17,67,16,13,69,18,13.61,12.43,1.08,113,-1.19,14.65,14.1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,37,11,3.83,23,-0.03,-0.05,0,0.15,,0.07
Abel Argañaraz,CA Gimnasia y Esgrima Jujuy,Primera Nacional,2026,970,Centre Attacking Midfielder,Argentina,28,20/07/98,0.19,0.19,0.24,0.11,2.13,9,30,4,,0.25,0,0.06,0.74,0,0.06,0.74,0,0,0,0.19,0.31,2.88,-0.12,1.58,0.56,1.02,35,1.95,0,1.76,4.36,0.37,0.44,0.74,0.71,17.91,7.98,0.02,5.1,50.42,7.05,3.71,1.48,1.86,64,1.78,2.22,1.48,31,0.83,46,1.76,0,14.94,17.68,4.45,3.71,0.74,53.12,7.33,49,1.95,53,0,0,0,19.11,63,1.11,20,55,0.93,1.86,25,57,-7,58.33,1.67,0.45,0.65,19.85,75,5.04,4.82,0.83,0.83,0,0.37,5.2,6.03,0,44,0.46,50,0.74,19,64,17,12,77,12,18.02,16.62,0.99,106,-1.4,17.78,17.65,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,8,3.32,21,-0.01,-0.03,0,0.08,,0.06
Adrián Arregui,CA Temperley,Primera Nacional,2026,1485,Left Defensive Midfielder,Argentina,34,11/08/92,0.06,0.06,0.05,0.07,0.73,8,33,0,,0.1,0,0.01,0.24,0,0.01,0.24,0,0,0,0.06,0.06,0.97,0,0.24,0.12,0.12,50,0.91,0,0.42,0.61,1.09,1.25,2.73,2.96,17.28,9.15,0.04,7.21,37.54,15.88,5.27,2.91,4,72,3.32,4.57,1.76,37,1.15,62,1.94,0,12.73,14.62,4.79,3.58,1.39,41.69,4,31,1.58,44,0.36,0,0,45.29,75,4.49,13,52,3.82,7.46,15,65,-10,41.71,4.18,0.18,0.2,30.62,97,4.8,5.09,0.3,0.12,0.18,0.06,1.15,1.27,0,0,0,0,0.06,32,63,6,51,43,6,23.77,20.86,0.94,99,-2.91,22.36,20.75,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,6,2.36,21,0.08,0.06,0.05,0.03,,0.22
Agustin Paredes,Ciudad Bolivar,Primera Nacional,2026,2378,Right Back,Argentina,25,05/09/01,0,0,0.01,0.04,0.3,0,25,1,,0,0.08,0.03,0.45,0.08,0.03,0.45,0,0,0,0.08,0.04,0.76,0.03,0.68,0.38,0.3,56,1.44,0,0.83,1.14,1.06,0.81,3.44,2.55,15.94,8.25,0.01,6.13,31.93,8.1,2.16,2.35,3.41,74,1.79,2.6,1.63,40,0.83,47,1.02,0,11.96,9.42,4.24,2.57,0.95,34.95,2.88,24,1.44,56,0.19,0,0,23.28,72,2.38,25,44,4.47,4.35,14,56,-16,47.11,2.91,0.11,0.15,20.02,91,5,3.9,0.91,0.57,0.34,0.04,0.68,1.25,0,42,0.45,35,0.08,34,60,7,37,57,6,21.84,21.51,0.89,89,-0.33,19.48,19.1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,10,2.19,22,0.13,0.03,0.05,-0.01,,0.2
Agustín Aleo,Central Norte,Primera Nacional,2026,766,Left Back,Argentina,28,19/05/98,0,0,0.02,0.04,0.47,0,0,1,,0,0.12,0.03,0.59,0.12,0.03,0.47,0,0,0.12,0.12,0.05,1.06,0.07,0.12,0.12,0,100,0.47,0,0.59,0.24,1.29,0.86,3.41,2.85,13.75,7.4,0.03,5.17,31.55,9.87,4.47,2.12,3.41,82,1.66,2.52,1.41,56,0.47,64,0.82,0,10.22,6.95,3.41,2,0.71,36.9,2.59,25,1.29,65,0.12,0,0,22.56,57,2.59,75,34,4.35,6.58,11,54,-3,49.11,3.06,0.16,0.19,15.04,95,4.2,4.47,1.18,0.71,0.47,0.24,0.82,1.53,0,40,0.71,24,0.35,38,53,9,34,50,16,25.47,26.72,0.82,83,1.25,20.93,22.13,0,0,0,0,0,,0,0,,0,0,0,0,0,0,36,7,2.4,18,0.1,0.07,0.08,-0.01,,0.24
Agustín Araujo,Patronato,Primera Nacional,2026,338,Left Centre Midfielder,Argentina,27,06/06/99,0,0,0.04,0.04,1.06,0,50,2,,0.01,0,0.17,1.33,0,0.16,1.06,0,0.02,0.27,0,0.21,2.39,-0.21,0.8,0.8,0,100,1.06,0,2.93,2.13,0.27,0.17,0.53,0.26,19.96,6.92,0,3.99,48.96,5.06,2.93,2.13,2.39,57,1.94,2.11,1.86,14,1.6,38,0.8,0,15.97,14.01,2.66,5.06,0.8,52.2,9.05,57,4.26,84,0,0,0,22.88,58,3.46,85,39,1.86,7.45,27,67,9,58.07,3.19,0.11,0.28,22.09,87,5.88,5.85,1.06,0.8,0.27,0.27,1.33,2.13,0.27,50,0.8,38,0,16,72,12,23,73,5,25.7,20.73,0.85,86,-4.98,21.78,17.88,0,0,0,0,0,,0,0,,0,0,0,0,0,0,42,11,4.71,43,-0.02,0.04,0.01,-0.05,,-0.02
Agustín Baldi,CSD Tristan Suarez,Primera Nacional,2026,2341,Left Centre Back,Argentina,24,10/05/02,0.04,0.04,0.03,0.1,0.35,11,11,0,,0.03,0,0.01,0.19,0,0.01,0.19,0,0,0,0.04,0.04,0.54,0,0.54,0.42,0.12,79,0.77,0,0.5,0.31,0.85,0.68,5.92,4.54,11.88,5.5,0.05,6.88,27.8,11.53,2,1.42,2.27,77,1.09,1.76,0.96,52,0.42,60,3.23,0,9.57,7.58,4.27,2.35,0.92,33.91,1.69,18,1.19,51,0.19,0,0,35.1,73,2.92,89,38,7.34,6.34,19,59,-14,39.47,3.5,0.21,0.22,26.76,97,4.43,4.23,0.42,0.42,0,0.04,0.69,1.12,0,27,0.19,50,0.12,36,60,4,49,45,5,24.77,24.08,0.84,84,-0.7,20.8,20.31,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,10,2.91,25,0.06,0.06,0.02,0,,0.14
Agustín Benítez,Defensores de Belgrano,Primera Nacional,2026,1829,Right Centre Midfielder,Argentina,27,10/10/99,0.05,0.05,0.08,0.05,1.53,3,29,2,,0.08,0.05,0.1,0.98,0.05,0.09,0.79,0,0.01,0.2,0.1,0.18,2.51,-0.08,1.62,0.84,0.79,52,3,0,1.72,2.41,0.79,0.7,1.38,1.34,20.13,8.61,0.04,7.97,41.06,11.27,5.27,3.3,4.08,75,3.36,4.06,1.82,38,1.08,35,0.79,0,15.21,13.7,5.91,4.43,2.31,44.93,6.69,44,3.3,74,0.15,0,0,32.77,66,4.08,18,55,2.61,6.25,20,64,-2,53.86,5.76,0.25,0.32,29.87,90,5.48,8.71,1.23,0.79,0.44,0.1,1.43,2.21,0.1,20,0.34,27,0.15,29,64,7,34,61,5,22.67,19.78,0.95,104,-2.89,21.54,20.6,0,0,0,0,0,,0,0,,0,0,0,0,0,0,32,7,4.36,33,0.02,0.09,0.07,-0.04,,0.15
Agustín Bindella,Quilmes Atlético Club,Primera Nacional,2026,827,Left Back,Argentina,25,04/03/01,0,0,0.03,0.06,0.54,0,20,1,,0,0,0.03,0.98,0,0.03,0.87,0,0.01,0.11,0,0.07,1.52,-0.07,2.28,1.31,0.98,57,2.18,0,1.09,1.31,2.18,2.52,2.83,2.81,19.37,10.34,0.01,8.05,35.71,14.58,3.92,3.16,5.33,78,3.27,5.79,1.31,47,0.87,40,1.09,0,14.91,16.18,5.11,3.7,1.09,37.87,4.9,33,1.96,53,0.33,0,0,46.35,71,3.48,91,45,4.35,6.2,14,53,-18,48.06,6.85,0.26,0.27,38.52,94,4.87,8.49,1.09,0.76,0.33,0.11,0.87,1.63,0.22,30,0.54,25,0.22,38,54,8,36,55,9,20.72,19.76,0.92,93,-0.96,19.12,18.45,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,12,5.64,40,0.22,0.12,0.05,-0.03,,0.36
