"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Alan Martín Cantero";"AM";"all";"all";"36745";"A. Cantero";"1998-06-28";"76.75";"15.2";"5";"0";"95";"100";"29.47";"1.89";"0";"34.74";"20";"2.11";"0.54";"0.33";"7.37";"5.26"
"Aaron Nicolás Molinas";"AM";"all";"all";"58276";"A. Molinas";"2000-08-02";"85.73";"20.32";"12";"0";"407";"100";"27.27";"1.95";"0.49";"37.59";"27.76";"3.19";"0.57";"0.32";"7.62";"3.93"
"Claudio Ezequiel Aquino";"AM";"all";"all";"38618";"C. Aquino";"1991-07-24";"87.58";"19.67";"23";"0";"570";"100";"29.12";"1.91";"0.88";"44.56";"37.02";"4.04";"0.79";"0.52";"11.4";"7.54"
"Claudio Jeremías Echeverri";"AM";"all";"all";"673706";"C. Echeverri";"2006-01-02";"80.9";"22.61";"7";"0";"245";"100";"36.33";"2.61";"0.82";"35.51";"26.94";"4.49";"0.73";"0.43";"11.43";"6.12"
"Damián Puebla";"AM";"all";"all";"544208";"D. Puebla";"2002-09-15";"91.14";"19.56";"6";"0";"159";"100";"42.77";"2.81";"0";"30.19";"18.24";"3.77";"0.71";"0.32";"9.43";"5.03"
"Francisco González Metilli";"AM";"all";"all";"57488";"F. González Metilli";"1997-03-29";"83.59";"16.99";"5";"0";"171";"100";"39.18";"2.95";"1.17";"30.99";"17.54";"2.34";"0.72";"0.37";"11.7";"6.43"
"Franco Mastantuono";"AM";"all";"all";"799313";"F. Mastantuono";"2007-08-14";"82.78";"25.54";"5";"0";"240";"100";"27.08";"1.63";"0";"39.58";"31.25";"2.5";"0.51";"0.36";"8.75";"6.25"
"Gonzalo Maroni";"AM";"all";"all";"24242";"G. Maroni";"1999-03-18";"86.03";"20.48";"11";"0";"336";"100";"28.27";"2.11";"0.89";"35.71";"25.3";"4.17";"0.67";"0.37";"8.93";"3.87"
"Héctor Hugo Fértoli";"AM";"all";"all";"28700";"H. Fértoli";"1994-12-03";"88.74";"18.2";"6";"0";"182";"100";"28.02";"1.96";"0.55";"36.81";"25.82";"1.65";"0.81";"0.31";"9.89";"3.85"
"Lucas Nahuel González Martinez";"AM";"all";"all";"26473";"L. González";"2000-06-03";"73.29";"13.85";"5";"0";"99";"100";"16.16";"1.23";"0";"31.31";"20.2";"3.03";"0.41";"0.27";"6.06";"4.04"
