"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Víctor Ignacio Malcorra";"AM";"all";"all";"23216";"V. Malcorra";"1987-07-24";"91.07";"18.27";"6";"1";"90";"100";"73.33";"2.76";"2.29";"62.12";"146.67";"1.2";"45.56";"6.67";"2.22";"38.89";"30";"17.78"
"Pablo Ezequiel De Blasis";"AM";"all";"all";"8315";"P. De Blasis";"1988-02-04";"92";"20";"5";"0";"93";"100";"60.22";"1.33";"0.77";"76.79";"136.56";"0.41";"46.24";"3.23";"0";"15.05";"8.6";"4.3"
"Osvaldo Nicolás Fabián Gaitán";"AM";"all";"all";"8014";"N. Gaitán";"1988-02-23";"93.35";"16.31";"7";"0";"96";"100";"72.92";"1.97";"1.48";"68.57";"170.83";"0.8";"50";"10.42";"0";"33.33";"26.04";"12.5"
"Éver Maximiliano David Banega";"AM";"all";"all";"3210";"É. Banega";"1988-06-29";"84.25";"17.05";"8";"0";"140";"100";"58.57";"1.65";"1.11";"73.17";"156.43";"0.64";"42.86";"7.14";"0";"25.71";"16.43";"10"
"Claudio Ezequiel Aquino";"AM";"all";"all";"38618";"C. Aquino";"1991-07-24";"87.58";"19.67";"23";"0";"584";"100";"68.84";"2.21";"1.56";"65.92";"155.14";"0.81";"45.38";"6.34";"0.51";"35.27";"24.66";"13.7"
"Héctor Hugo Fértoli";"AM";"all";"all";"28700";"H. Fértoli";"1994-12-03";"88.74";"18.2";"6";"0";"73";"100";"57.53";"1.87";"1.15";"73.81";"153.42";"0.76";"42.47";"5.48";"0";"30.14";"17.81";"10.96"
"Damián Marcelino Moreno";"AM";"all";"all";"28642";"M. Moreno";"1995-06-25";"97.85";"22.22";"12";"0";"196";"100";"71.43";"2.84";"2.26";"71.43";"171.43";"1.43";"51.02";"10.71";"2.04";"42.35";"33.16";"19.39"
"Francisco González Metilli";"AM";"all";"all";"57488";"F. González Metilli";"1997-03-29";"83.59";"16.99";"5";"0";"37";"100";"70.27";"2.33";"1.71";"76.92";"148.65";"1.22";"54.05";"10.81";"0";"32.43";"24.32";"13.51"
"Alan Martín Cantero";"AM";"all";"all";"36745";"A. Cantero";"1998-06-28";"76.75";"15.2";"5";"0";"29";"100";"68.97";"1.71";"1.19";"60";"165.52";"0.62";"41.38";"6.9";"0";"20.69";"13.79";"6.9"
"Nahuel Lautaro Bustos";"AM";"all";"all";"26537";"N. Bustos";"1998-07-04";"82.59";"15.7";"6";"0";"56";"100";"64.29";"3.41";"2.65";"61.11";"182.14";"0.76";"39.29";"10.71";"3.57";"46.43";"30.36";"16.07"
"Gonzalo Maroni";"AM";"all";"all";"24242";"G. Maroni";"1999-03-18";"86.03";"20.48";"11";"0";"185";"100";"70.81";"2.34";"1.73";"68.7";"160.54";"0.85";"48.65";"7.57";"1.62";"28.11";"21.08";"11.89"
"Lucas Nahuel González Martinez";"AM";"all";"all";"26473";"L. González";"2000-06-03";"73.29";"13.85";"5";"0";"35";"100";"71.43";"1.96";"1.41";"56";"145.71";"0.64";"40";"0";"0";"40";"31.43";"14.29"
"Aaron Nicolás Molinas";"AM";"all";"all";"58276";"A. Molinas";"2000-08-02";"85.73";"20.32";"12";"0";"213";"100";"64.32";"2.02";"1.3";"78.83";"169.01";"0.71";"50.7";"9.39";"1.41";"28.64";"18.78";"9.39"
"Matko Mijael Miljevic";"AM";"all";"all";"28519";"M. Miljevic";"2001-05-09";"85.95";"18.11";"7";"0";"94";"100";"63.83";"1.53";"1.02";"75";"151.06";"0.59";"47.87";"5.32";"0";"21.28";"12.77";"4.26"
"Vicente Taborda";"AM";"all";"all";"60559";"V. Taborda";"2001-06-14";"77.79";"12.61";"5";"0";"66";"100";"60.61";"2.03";"1.12";"70";"148.48";"0.66";"42.42";"1.52";"1.52";"27.27";"15.15";"6.06"
"Damián Puebla";"AM";"all";"all";"544208";"D. Puebla";"2002-09-15";"91.14";"19.56";"6";"0";"74";"100";"75.68";"2.59";"2.19";"58.93";"162.16";"0.99";"44.59";"12.16";"1.35";"37.84";"33.78";"16.22"
"Luis Alberto Sequeira";"AM";"all";"all";"28580";"L. Sequeira";"2003-01-08";"85.74";"13.37";"5";"0";"65";"100";"73.85";"1.26";"1.04";"72.92";"140";"0.71";"53.85";"9.23";"0";"18.46";"15.38";"10.77"
"Claudio Jeremías Echeverri";"AM";"all";"all";"673706";"C. Echeverri";"2006-01-02";"80.9";"22.61";"7";"0";"93";"100";"72.04";"2.3";"1.86";"77.61";"161.29";"0.89";"55.91";"16.13";"1.08";"35.48";"27.96";"15.05"
"Franco Mastantuono";"AM";"all";"all";"799313";"F. Mastantuono";"2007-08-14";"82.78";"25.54";"5";"0";"93";"100";"61.29";"1.87";"1.14";"73.68";"154.84";"0.58";"45.16";"9.68";"1.08";"32.26";"17.2";"7.53"
"Carlos Alberto Sánchez Moreno";"CB";"all";"all";"13416";"C. Sánchez";"1986-02-06";"97.33";"16.58";"12";"0";"67";"100";"43.28";"0.48";"0.24";"82.76";"116.42";"0.22";"35.82";"0";"0";"5.97";"2.99";"2.99"
"Alejandro Daniel Rébola";"CB";"all";"all";"531343";"A. Rébola";"1988-07-24";"97.55";"21.22";"7";"0";"36";"100";"38.89";"0.26";"0.14";"78.57";"122.22";"0.08";"30.56";"0";"0";"0";"0";"0"
"Miguel Ángel Torrén";"CB";"all";"all";"26269";"M. Torrén";"1988-08-12";"77.67";"13.86";"7";"1";"34";"100";"38.24";"0.18";"0.05";"76.92";"123.53";"0.03";"29.41";"0";"0";"0";"0";"0"
"Bruno Félix Bianchi Massey";"CB";"all";"all";"28719";"B. Bianchi";"1989-02-17";"99.71";"16.21";"9";"0";"57";"100";"43.86";"0.3";"0.1";"72";"121.05";"0.02";"31.58";"0";"0";"1.75";"0";"0"
"Fernando Omar Tobio";"CB";"all";"all";"36666";"F. Tobio";"1989-10-18";"99.7";"21.31";"5";"0";"22";"100";"45.45";"0.07";"0.05";"80";"118.18";"0.01";"36.36";"0";"0";"0";"0";"0"
"Sandro Leonardo Morales";"CB";"all";"all";"28686";"L. Morales";"1991-04-11";"98.2";"19.65";"8";"0";"42";"100";"50";"0.43";"0.29";"100";"126.19";"0.29";"50";"2.38";"0";"4.76";"4.76";"4.76"
"Yonatthan Nicolás Rak Barragán";"CB";"all";"all";"43065";"Y. Rak";"1993-08-18";"97.91";"22.38";"6";"0";"23";"100";"47.83";"0.22";"0.1";"90.91";"117.39";"0.08";"43.48";"0";"0";"0";"0";"0"
"Alan Enzo Barrionuevo";"CB";"all";"all";"165868";"A. Barrionuevo";"1997-01-02";"98.65";"13.28";"8";"0";"31";"100";"45.16";"1.11";"0.4";"64.29";"129.03";"0.31";"29.03";"3.23";"0";"6.45";"3.23";"3.23"
"Franco Emanuel Pardo";"CB";"all";"all";"115103";"F. Pardo";"1997-04-05";"98.48";"19.42";"15";"0";"104";"100";"53.85";"0.41";"0.25";"73.21";"123.08";"0.13";"39.42";"2.88";"0";"4.81";"2.88";"0.96"
"Santiago Leonel Sosa";"CB";"all";"all";"36728";"S. Sosa";"1999-05-03";"95.02";"22.18";"13";"0";"138";"100";"47.1";"0.78";"0.28";"78.46";"129.71";"0.16";"36.96";"2.9";"0";"10.14";"1.45";"0.72"
"Mariano Emir Troilo";"CB";"all";"all";"728068";"M. Troilo";"2003-06-22";"96.61";"19.72";"12";"0";"53";"100";"45.28";"0.27";"0.18";"87.5";"120.75";"0.17";"39.62";"1.89";"1.89";"1.89";"1.89";"1.89"
"José Ernesto Sosa";"CF";"all";"all";"5441";"J. Sosa";"1985-06-19";"72.12";"17.77";"9";"0";"149";"100";"67.11";"1.89";"1.2";"75";"153.02";"0.71";"50.34";"8.05";"1.34";"30.2";"18.79";"11.41"
"Marco Gastón Rubén Rodríguez";"CF";"all";"all";"25199";"M. Rubén";"1986-10-26";"96.26";"16.44";"8";"0";"33";"100";"90.91";"2.2";"1.78";"73.33";"142.42";"1.28";"66.67";"3.03";"0";"36.36";"30.3";"21.21"
"Edinson Roberto Cavani Gómez";"CF";"all";"all";"2941";"E. Cavani";"1987-02-14";"88";"21.78";"15";"1";"89";"100";"74.16";"2.37";"1.95";"65.15";"140.45";"1.1";"48.31";"4.49";"0";"37.08";"25.84";"12.36"
"Franco Daniel Jara";"CF";"all";"all";"3596";"F. Jara";"1988-07-15";"91.88";"19.49";"17";"0";"208";"100";"74.04";"2.66";"1.98";"61.69";"174.04";"0.69";"45.67";"4.81";"0.48";"42.79";"31.73";"12.5"
"Ramón Darío Ábila";"CF";"all";"all";"25440";"R. Ábila";"1989-10-14";"85.54";"17.12";"6";"0";"61";"100";"83.61";"2.84";"2.55";"70.59";"183.61";"1.49";"59.02";"9.84";"1.64";"50.82";"45.9";"27.87"
"Gustavo Martín Fernández";"CF";"all";"all";"39389";"G. Fernández";"1990-08-04";"70.71";"8.04";"5";"0";"49";"100";"75.51";"2.64";"2.17";"54.05";"155.1";"1.1";"40.82";"4.08";"0";"44.9";"34.69";"16.33"
"Gabriel Ávalos Stumpfs";"CF";"all";"all";"26342";"G. Ávalos";"1990-12-10";"87.65";"17.97";"24";"0";"203";"100";"70.44";"3.14";"2.1";"51.75";"167.49";"0.9";"36.45";"6.4";"1.48";"47.78";"33.99";"14.29"
"Cristian Alberto Tarragona";"CF";"all";"all";"26337";"C. Tarragona";"1991-04-09";"87.97";"22.01";"16";"0";"135";"100";"64.44";"2.5";"1.71";"68.97";"142.22";"0.87";"44.44";"6.67";"0";"34.07";"20";"12.59"
"Guido Marcelo Carrillo";"CF";"all";"all";"4110";"G. Carrillo";"1991-05-25";"88.16";"20.68";"12";"0";"129";"100";"70.54";"2.36";"1.75";"70.33";"160.47";"0.9";"49.61";"8.53";"0.78";"34.88";"25.58";"14.73"
