"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Edinson Roberto Cavani Gómez";"E. Cavani";"2941";"1987-02-14";"CF";"Center Forward";"86.39";"43.82";"16";"0";"0.63";"1.53";"27.96";"29.3";"8047.42";"134.12";"1477.05";"680.98";"61.1";"181.41";"10.18";"862.39";"71.28";"84.03";"5.31";"60.24";"10.95";"3.17";"0.43"
"Eduardo Antonio Salvio";"E. Salvio";"2967";"1990-07-13";"RW";"Wide Attacker";"85.27";"44.49";"13";"0";"0.69";"1.55";"27.71";"28.82";"8896.2";"148.27";"1752.02";"734.13";"61.83";"174.71";"9.54";"908.84";"71.38";"95.66";"4.05";"64.53";"9.54";"1.87";"0.52"
"Emanuel Mariano Insúa Zapata";"E. Insúa";"3034";"1991-04-10";"LB";"Full Back";"97.03";"47.93";"6";"0";"0.63";"1.19";"29.32";"29.62";"7869.76";"131.16";"1296.33";"579.83";"56.75";"234.31";"11.27";"814.14";"68.02";"97.02";"6.89";"63.85";"12.31";"5.63";"1.88"
"Enzo Nicolás Pérez";"E. Pérez";"3116";"1986-02-22";"DM";"Midfield";"96.05";"50.84";"6";"0";"1.12";"null";"27.63";"28.14";"9038.94";"150.65";"1736.67";"450.98";"37.76";"110.34";"5.51";"561.32";"43.27";"87.33";"2.36";"71.98";"9.64";"0.79";"0.0"
"Enzo Nicolás Pérez";"E. Pérez";"3116";"1986-02-22";"LDM";"Midfield";"91.06";"46.5";"8";"0";"0.77";"1.72";"26.8";"27.42";"9291.94";"154.87";"1901.94";"499.52";"44.35";"117.58";"4.52";"617.1";"48.87";"95.97";"3.39";"72.58";"9.35";"1.45";"0.16"
"Éver Maximiliano David Banega";"É. Banega";"3210";"1988-06-29";"AM";"Midfield";"84.25";"39.68";"8";"0";"0.65";"null";"25.85";"26.46";"8824.78";"147.08";"1716.45";"560.24";"44.04";"83.17";"2.46";"643.41";"46.5";"93.75";"2.65";"66.72";"9.07";"0.76";"0.19"
"Ezequiel Matías Muñoz";"E. Muñoz";"3225";"1990-10-08";"LCB";"Central Defender";"97.84";"50.71";"9";"0";"0.75";"1.56";"27.76";"28.6";"7585.95";"126.43";"985.91";"370.31";"35.62";"105.43";"5.52";"475.73";"41.15";"81.37";"3.55";"56.26";"6.84";"2.23";"0.53"
"Ezequiel Matías Muñoz";"E. Muñoz";"3225";"1990-10-08";"RCB";"Central Defender";"98.44";"47.24";"6";"0";"0.72";"null";"28.57";"28.98";"7652.83";"127.55";"982.51";"389.96";"34.72";"119.61";"5.29";"509.57";"40.01";"84.68";"3.6";"62.24";"7.2";"1.91";"0.85"
"Franco Daniel Jara";"F. Jara";"3596";"1988-07-15";"CF";"Center Forward";"91.88";"45.41";"17";"0";"0.58";"1.2";"29.38";"30.42";"7760.05";"129.33";"1183.21";"564.72";"58.21";"214.9";"11.89";"779.61";"70.1";"86.42";"7.62";"62.18";"13.52";"5.21";"2.02"
"Germán Alejandro Pezzella";"G. Pezzella";"3860";"1991-06-27";"RCB";"Central Defender";"95.88";"48.24";"8";"0";"0.77";"null";"27.75";"28.5";"7901.68";"131.69";"1067.84";"333.82";"31.72";"78.36";"3.42";"412.18";"35.14";"83.65";"2.95";"58.46";"7.0";"1.87";"0.16"
"Guido Marcelo Carrillo";"G. Carrillo";"4110";"1991-05-25";"CF";"Center Forward";"86.88";"44.67";"11";"0";"0.69";"1.51";"28.09";"29.3";"7983.41";"133.06";"1361.65";"587.52";"56.3";"120.29";"7.69";"707.81";"63.99";"91.59";"6.35";"64.6";"16.12";"3.3";"0.85"
"José Ernesto Sosa";"J. Sosa";"5441";"1985-06-19";"CF";"Center Forward";"72.12";"40.37";"9";"0";"0.73";"1.86";"27.81";"29.06";"8496.83";"141.61";"1405.98";"512.59";"46.73";"110.48";"5.12";"623.06";"51.85";"88.51";"4.13";"67.05";"8.26";"2.64";"0.5"
"Lucas Nahuel Castro";"L. Castro";"6364";"1989-04-09";"RM";"Midfield";"86.72";"43.46";"11";"0";"0.8";"2.39";"26.94";"28.12";"9520.34";"158.67";"2288.96";"744.45";"62.51";"120.0";"6.15";"864.45";"68.66";"106.94";"3.01";"79.7";"11.67";"1.88";"0.25"
"Luis Jan Piers Advíncula Castrillón";"L. Advíncula";"6413";"1990-03-02";"RB";"Full Back";"97.12";"49.23";"11";"0";"0.6";"1.29";"30.94";"31.7";"7370.63";"122.84";"1021.43";"507.56";"58.17";"273.0";"11.97";"780.56";"70.13";"88.97";"8.31";"64.26";"12.3";"6.43";"2.55"
"Faustino Marcos Alberto Rojo";"M. Rojo";"6833";"1990-03-20";"LCB";"Central Defender";"89.19";"44.71";"9";"0";"0.77";"1.62";"28.61";"29.44";"7886.42";"131.44";"1084.13";"353.87";"34.45";"108.11";"4.92";"461.99";"39.37";"85.45";"3.88";"61.29";"5.96";"1.19";"0.45"
"Osvaldo Nicolás Fabián Gaitán";"N. Gaitán";"8014";"1988-02-23";"AM";"Midfield";"93.35";"46.72";"7";"0";"0.7";"null";"26.39";"26.94";"9086.51";"151.44";"1609.46";"602.35";"47.34";"110.45";"5.14";"712.81";"52.47";"79.45";"3.49";"63.67";"6.97";"1.65";"0.0"
"Osvaldo Nicolás Fabián Gaitán";"N. Gaitán";"8014";"1988-02-23";"LM";"Midfield";"84.11";"44.63";"5";"0";"0.82";"null";"26.88";"26.88";"9187.42";"153.12";"1697.82";"589.15";"52.7";"135.79";"6.72";"724.95";"59.43";"99.76";"2.96";"76.9";"9.41";"2.42";"0.54"
"Pablo Ezequiel De Blasis";"P. De Blasis";"8315";"1988-02-04";"AM";"Midfield";"92.0";"44.45";"5";"0";"0.89";"null";"25.38";"25.38";"9404.44";"156.74";"2070.26";"693.6";"51.3";"67.5";"2.16";"761.09";"53.46";"93.69";"3.51";"68.58";"8.91";"2.43";"0.0"
"Pablo Ezequiel De Blasis";"P. De Blasis";"8315";"1988-02-04";"LM";"Midfield";"95.03";"47.62";"6";"0";"0.8";"null";"26.8";"27.0";"9682.32";"161.37";"2286.8";"761.08";"60.06";"119.5";"5.67";"880.57";"65.73";"91.77";"3.99";"70.35";"8.61";"1.89";"0.63"
"Pablo Daniel Piatti";"P. Piatti";"8332";"1989-03-31";"LW";"Wide Attacker";"73.76";"37.15";"5";"0";"0.76";"1.63";"27.22";"27.22";"10541.24";"175.69";"2659.3";"1253.73";"99.17";"181.23";"10.66";"1434.96";"109.83";"122.76";"6.14";"82.38";"16.15";"4.2";"1.62"
"Emanuel Hernán Mammana";"E. Mammana";"11153";"1996-02-10";"RCB";"Central Defender";"93.74";"46.67";"17";"0";"0.76";"1.42";"27.62";"29.14";"7819.42";"130.32";"1075.42";"325.86";"33.2";"80.99";"3.55";"406.85";"36.75";"85.76";"4.39";"60.27";"7.71";"1.74";"0.38"
"Marcos Javier Acuña";"M. Acuña";"11171";"1991-10-28";"LB";"Full Back";"92.53";"43.65";"8";"0";"0.69";"1.29";"28.02";"28.46";"8568.77";"142.81";"1513.26";"656.29";"57.21";"181.43";"8.93";"837.72";"66.14";"98.44";"5.84";"69.41";"10.65";"4.47";"1.55"
"Maximiliano Eduardo Meza";"M. Meza";"12057";"1992-12-15";"LM";"Midfield";"85.15";"40.17";"8";"0";"0.89";"null";"27.4";"28.4";"9160.75";"152.68";"1837.34";"714.51";"61.43";"179.23";"9.34";"893.75";"70.76";"103.62";"2.8";"73.93";"11.76";"1.31";"0.37"
"Miguel Ángel Borja Hernández";"M. Borja";"12062";"1993-01-26";"CF";"Center Forward";"96.51";"49.95";"11";"0";"0.64";"1.13";"29.59";"30.52";"7174.23";"119.57";"1007.76";"483.57";"54.17";"238.51";"12.56";"722.07";"66.73";"77.32";"7.86";"56.24";"12.12";"5.46";"2.4"
"Maximiliano Samuel Romero";"M. Romero";"12653";"1999-01-09";"CF";"Center Forward";"81.87";"41.32";"12";"0";"0.61";"1.13";"28.97";"30.44";"7287.62";"121.46";"1038.2";"467.61";"50.1";"173.3";"9.2";"640.9";"59.3";"85.2";"7.5";"63.05";"14.28";"4.48";"1.57"
"Fabricio Bustos";"F. Bustos";"13083";"1996-04-28";"RB";"Full Back";"91.79";"43.93";"12";"0";"0.7";"1.54";"27.92";"28.64";"9096.29";"151.6";"1901.52";"970.62";"80.7";"270.31";"13.2";"1240.94";"93.9";"118.03";"7.4";"81.72";"14.91";"6.15";"1.48"
"Santiago Lionel Ascacíbar";"S. Ascacíbar";"13084";"1997-02-25";"RDM";"Midfield";"96.79";"50.42";"7";"0";"0.78";"null";"27.21";"27.52";"9845.09";"164.08";"2155.48";"706.03";"63.24";"147.56";"7.48";"853.59";"70.72";"105.74";"2.72";"80.07";"10.54";"1.53";"0.17"
"Santiago Lionel Ascacíbar";"S. Ascacíbar";"13084";"1997-02-25";"RM";"Midfield";"96.14";"49.06";"7";"0";"0.75";"null";"27.23";"27.7";"9957.22";"165.95";"2192.22";"740.41";"61.15";"145.01";"6.64";"885.41";"67.79";"102.2";"3.14";"78.09";"9.78";"2.62";"0.0"
"Carlos Alberto Sánchez Moreno";"C. Sánchez";"13416";"1986-02-06";"CB";"Central Defender";"97.33";"48.83";"12";"0";"0.73";"1.74";"27.8";"29.96";"6942.36";"115.71";"749.78";"230.2";"24.78";"74.85";"3.69";"305.05";"28.47";"86.84";"3.58";"62.46";"5.73";"0.92";"0.31"
"Blás Miguel Riveros Galeano";"B. Riveros";"13738";"1998-02-03";"LB";"Full Back";"100.14";"50.07";"7";"0";"0.63";"1.21";"29.46";"30.1";"8380.03";"139.67";"1536.96";"749.65";"68.65";"237.1";"12.15";"986.75";"80.8";"100.66";"8.22";"67.96";"16.95";"5.99";"2.23"
"Nehuén Mario Paz";"N. Paz";"14047";"1993-04-28";"LCB";"Central Defender";"96.88";"50.07";"20";"0";"0.68";"null";"27.5";"29.26";"7387.18";"123.12";"923.37";"280.35";"25.34";"65.79";"1.98";"346.14";"27.32";"80.77";"3.42";"57.34";"5.93";"1.32";"0.12"
"Esteban Leonardo Rolón";"E. Rolón";"14156";"1995-03-25";"LM";"Midfield";"73.9";"36.96";"12";"0";"0.68";"1.37";"27.45";"28.78";"9670.85";"161.18";"1998.54";"634.66";"54.25";"136.65";"6.09";"771.3";"60.34";"95.79";"2.57";"73.06";"8.12";"1.76";"0.14"
"Carlos Nicolás Colazo";"N. Colazo";"15198";"1990-07-08";"LB";"Full Back";"93.01";"46.32";"12";"0";"0.65";"1.47";"27.81";"28.5";"8614.29";"143.57";"1594.13";"648.36";"55.38";"156.1";"8.31";"804.46";"63.69";"97.05";"6.05";"66.71";"10.9";"2.81";"0.76"
"Carlos Nicolás Colazo";"N. Colazo";"15198";"1990-07-08";"LWB";"Full Back";"84.2";"43.09";"5";"0";"0.93";"null";"27.72";"27.72";"9015.18";"150.25";"1877.0";"762.22";"58.48";"172.66";"7.24";"934.88";"65.72";"104.99";"5.29";"74.08";"11.14";"2.78";"0.28"
"Marcelo Josemir Saracchi Pintos";"M. Saracchi";"16319";"1998-04-23";"LB";"Full Back";"95.62";"48.03";"5";"0";"0.63";"1.24";"30.06";"30.06";"8588.48";"143.14";"1512.66";"684.87";"72.96";"339.56";"18.24";"1024.43";"91.2";"109.44";"9.24";"78.46";"16.24";"6.75";"4.0"
"Sebastián Villa Cano";"S. Villa";"18228";"1996-05-19";"CF";"Center Forward";"95.99";"47.4";"14";"0";"0.58";"1.14";"31.01";"32.16";"7560.23";"126.0";"1092.7";"630.58";"71.79";"373.79";"18.81";"1004.37";"90.6";"81.56";"8.14";"61.39";"12.57";"5.61";"2.17"
"Paulo César Díaz Huincales";"P. Díaz";"18283";"1994-08-25";"LCB";"Central Defender";"98.15";"49.65";"18";"0";"0.69";"1.41";"28.04";"29.74";"8187.82";"136.46";"1293.17";"381.55";"34.58";"98.36";"4.5";"479.91";"39.07";"83.86";"3.69";"61.77";"6.51";"1.75";"0.4"
"Víctor Emanuel Aguilera";"E. Aguilera";"23214";"1989-06-11";"RCB";"Central Defender";"96.59";"50.56";"13";"0";"0.77";"1.53";"28.65";"30.36";"7870.89";"131.18";"1141.21";"432.71";"40.72";"122.97";"5.93";"555.68";"46.65";"89.46";"4.66";"63.35";"8.03";"2.37";"0.64"
"Damián Alfredo Pérez";"D. Pérez";"23215";"1988-12-22";"LB";"Full Back";"92.75";"43.33";"13";"0";"0.71";"1.57";"28.15";"29.58";"8295.41";"138.26";"1498.54";"636.69";"58.37";"192.88";"9.8";"829.57";"68.16";"112.15";"6.6";"77.11";"15.55";"4.69";"0.85"
"Víctor Ignacio Malcorra";"V. Malcorra";"23216";"1987-07-24";"AM";"Midfield";"88.44";"45.1";"5";"0";"0.81";"null";"28.06";"28.06";"10076.22";"167.94";"2233.87";"783.12";"65.46";"200.64";"11.18";"983.75";"76.64";"98.72";"3.46";"75.04";"9.05";"1.86";"0.0"
"Víctor Ignacio Malcorra";"V. Malcorra";"23216";"1987-07-24";"LW";"Wide Attacker";"93.31";"42.29";"5";"0";"0.7";"1.37";"28.76";"28.76";"9366.87";"156.11";"1932.79";"835.03";"76.61";"275.22";"14.19";"1110.25";"90.79";"99.31";"7.09";"68.1";"12.2";"5.39";"2.27"
"Carlos Roberto Izquierdoz";"C. Izquierdoz";"23346";"1988-11-03";"RCB";"Central Defender";"98.2";"51.32";"18";"0";"0.82";"1.76";"28.43";"29.92";"7738.61";"128.98";"1059.69";"398.52";"38.38";"125.61";"6.17";"524.13";"44.55";"84.17";"3.64";"60.79";"7.14";"2.01";"0.39"
"Gastón Matías Campi";"G. Campi";"23958";"1991-04-06";"LCB";"Central Defender";"99.39";"46.22";"18";"0";"0.73";"1.48";"27.06";"29.18";"8140.86";"135.68";"1241.44";"388.86";"33.68";"74.64";"3.39";"463.5";"37.07";"89.72";"4.04";"61.66";"7.28";"1.73";"0.5"
"Maximiliano Alberto Lovera";"M. Lovera";"24093";"1999-03-09";"RW";"Wide Attacker";"77.37";"41.26";"5";"0";"0.66";"1.39";"28.46";"28.46";"8117.81";"135.3";"1267.37";"599.95";"55.25";"152.39";"7.56";"752.34";"62.82";"79.1";"5.23";"49.44";"11.34";"4.36";"1.45"
