Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aaron Molinas,Defensa y Justicia,"División Profesional, Paraguay",2026,1463,Left Defensive Midfielder,Argentina,26,01/08/00,0.18,0,0.06,0.06,0.98,0,31,1,100,0.02,0.25,0.12,2.09,0.18,0.06,1.41,0.06,0.07,0.68,0.25,0.18,3.07,0.06,1.11,0.8,0.31,72,1.23,0,1.23,0.92,0.61,0.58,0.86,0.75,13.65,7.26,0.02,4.67,39.21,10.82,5.04,1.11,1.72,64,1.16,1.74,0.49,36,0.61,37,0.43,0.06,12.05,12.44,3.69,3.87,1.05,43.05,4.12,34,2.15,56,0.18,0,0,54.42,82,6.46,10,57,2.21,10.02,21,81,-1,52.96,8.3,0.35,0.38,48.71,96,4.31,15.68,2.71,1.66,1.05,0,0.68,2.34,0.12,16,0.43,29,0.25,21,68,11,26,68,5,22.73,18.72,0.92,94,-4.01,20.85,17.67,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,10,6.17,52,0.08,0.08,0.04,-0.06,,0.14
Aarón Quirós,Vélez Sarsfield,Liga Profesional,2026,429,Left Centre Back,Argentina,25,30/10/01,0,0,0.11,0.27,0.42,0,50,0,,0.07,0,0.02,0.21,0,0.02,0.21,0,0,0,0,0.14,0.63,-0.14,0.21,0.21,0,100,0.42,0,0,0.42,1.26,1.64,5.45,6.41,6.71,2.31,0.02,4.4,20.71,8.6,0.63,0.84,2.1,80,0.93,2.57,0.84,67,0.21,53,1.68,0,5.03,5.76,1.89,0.84,0.21,21.92,0.21,4,0.21,25,0.21,0,0,40.27,82,4.19,85,54,6.29,6.92,10,65,-17,35.14,2.52,0.3,0.3,32.09,99,4.96,2.31,0,0,0,0.21,1.05,1.05,0,,0.21,50,0.21,28,71,1,36,64,0,25.63,26.92,0.92,73,1.29,23.67,19.54,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,4,1.85,14,0.08,0.03,0.01,0.01,,0.12
Adam Bareiro,Boca Juniors,Liga Profesional,2026,751,Right Centre Forward,Paraguay,30,25/07/96,0.36,0.36,0.47,0.21,2.28,16,53,5,,0.61,0.12,0.05,0.84,0.12,0.05,0.84,0,0,0,0.48,0.52,3.12,-0.04,0.6,0.48,0.12,80,2.04,0,1.32,2.04,0.12,0.21,1.8,2.07,17.63,7.79,0.05,4.8,56.62,3.6,2.76,1.32,1.44,69,1.59,1.8,2.04,29,0.6,48,3.6,0,14.27,18.93,3.72,3.72,1.2,62.84,10.07,71,3.12,84,0.48,0,0,20.74,74,0.6,10,56,2.28,0.6,36,55,-19,61.42,1.44,0.45,0.86,16.07,85,4.07,7.07,0.12,0.12,0,0.48,6.83,6.95,0.12,0,0,0,0.96,8,70,23,3,73,24,14.52,14.72,0.99,100,0.19,14.39,14.79,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,13,2.94,22,-0.09,-0.04,0.12,0.14,,0.13
Adolfo Gaich,Estudiantes,Liga Profesional,2026,619,Centre Forward,Argentina,27,25/02/99,0.44,0.44,0.29,0.1,2.76,16,32,6,,0.37,0.29,0.04,0.29,0.29,0.04,0.29,0,0,0,0.73,0.32,3.05,0.4,0.29,0.29,0,100,1.45,0,1.16,0.87,0,0,0.73,0.91,16.13,6.54,0,4.36,62.47,4.5,2.62,0.58,0.58,67,0.74,0.74,2.32,33,0.29,44,2.18,0,13.22,18.99,3.49,3.49,1.45,66.12,10.9,82,3.34,96,0.15,0,0,17.73,59,0.44,5,50,0.87,0.73,26,33,-25,56.72,0.73,0.24,0.47,12.79,86,3.2,4.21,0.73,0.73,0,0,5.09,5.81,0.15,0,0,,0.15,17,62,21,14,62,24,13.38,9.9,0.98,132,-3.48,13.12,13.07,0,0,0,0,0,,0,0,,0,0,0,0,0,0,47,12,2.09,17,-0.06,-0.01,0.01,0.18,,0.12
Adrián Fernández,Racing Club,Liga Profesional,2026,869,Left Centre Midfielder,Argentina,25,19/05/01,0.1,0.1,0.08,0.05,1.55,7,27,2,,0.06,0.1,0.18,1.14,0.1,0.16,1.04,0,0.01,0.1,0.21,0.25,2.69,-0.04,1.55,1.04,0.52,67,0.73,0,2.07,2.07,0.52,0.48,0.52,0.58,20.82,10.05,0.01,7.15,47.76,8.39,4.04,2.9,3.42,85,3.23,3.71,1.97,64,0.52,70,0.73,0,15.95,17.25,5.7,4.45,1.86,48.32,7.04,44,3,67,0.41,0,0.1,28.7,76,2.38,19,51,1.66,3.52,24,72,-4,58.7,3.94,0.24,0.32,27.97,86,5.16,9.53,0.93,0.83,0.1,0.31,1.55,2.38,0.21,11,0.21,29,0.21,21,66,14,24,66,10,19.55,18.05,0.91,97,-1.51,17.79,17.45,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,7,3.81,30,0.05,0.07,0.03,0,,0.15
Adrián Martínez,Racing Club,Liga Profesional,2026,1761,Centre Forward,Argentina,34,06/07/92,0.2,0.15,0.31,0.17,1.79,9,29,5,50,0.29,0.05,0.04,0.66,0.05,0.04,0.66,0,0,0,0.2,0.35,2.45,-0.15,0.46,0.15,0.31,33,0.51,0,0.92,2.76,0.2,0.26,0.51,0.65,15.9,6.39,0.01,4.24,68.01,3.22,2.2,0.31,0.51,75,0.28,0.53,1.69,50,0.1,23,1.02,0,13.96,16.68,3.99,3.83,1.43,69.99,11.91,85,3.53,92,0.15,0,0.1,12.22,70,0.31,58,55,0.66,0.41,26,56,-14,62.68,0.56,0.18,0.43,10.43,76,3.11,5.06,0.31,0.31,0,0.31,6.29,6.59,0.05,0,0.1,40,0.82,11,62,27,7,71,22,15.07,13.46,1.02,99,-1.61,15.38,13.28,0,0,0,0,0,,0,0,,0,0,0,0,0,0,28,7,2,15,-0.05,-0.05,0.04,0,,-0.06
Adrián Spörle,Belgrano,Liga Profesional,2026,1959,Left Back,Argentina,31,12/07/95,0,0,0.03,0.08,0.41,0,44,0,,0.01,0,0.06,0.74,0,0.06,0.74,0,0,0,0,0.09,1.15,-0.09,1.52,1.06,0.46,70,0.23,0,0.83,1.42,0.87,0.8,1.61,1.47,14.93,6.39,0.02,5.01,39.99,8.5,3.22,2.43,3.31,73,2.44,3.24,1.15,37,0.92,51,0.96,0.14,11.35,11.41,3.63,3.12,1.06,43.63,4.64,41,2.43,78,0.18,0,0,34.69,72,1.75,78,40,2.21,3.72,14,63,-9,51.65,4.27,0.37,0.4,30.41,94,4.67,8.87,0.87,0.74,0.14,0.28,1.47,2.21,0,58,0.64,24,0.18,29,60,10,26,60,14,18.4,17.14,0.93,95,-1.26,17.14,16.34,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,9,4.69,34,0.12,0.07,-0.01,-0.02,,0.17
Adrián Sánchez,Belgrano,Liga Profesional,2026,2386,Right Defensive Midfielder,Argentina,27,13/05/99,0.04,0.04,0.01,0.02,0.3,13,25,0,,0.01,0.04,0.04,0.53,0.04,0.04,0.49,0,0,0.04,0.08,0.05,0.83,0.03,0.41,0.34,0.08,82,1.36,0,1.02,0.57,1.47,1.49,1.4,1.37,22.29,12.3,0.02,8.34,40.69,11.62,5.85,2.68,4.15,75,2.65,4.14,1.66,54,0.91,58,0.98,0,17.99,17.46,6.79,4.9,1.81,42.47,6.26,35,2.79,57,0.19,0.04,0,51.15,86,3.77,12,71,2.04,4.68,14,83,-4,48.96,5.88,0.26,0.29,41.65,97,4.62,9.36,0.57,0.53,0.04,0.11,0.53,1.06,0,47,0.3,53,0.15,19,73,9,28,69,3,20.27,19.25,0.97,97,-1.02,19.76,18.67,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,9,4.55,35,0.02,0.07,0.06,0,,0.14
Agustin Quiroga,AA Estudiantes Río Cuarto,Liga Profesional,2026,387,Left Centre Back,Argentina,24,05/04/02,0,0,0.06,0.03,1.86,0,38,1,,0.07,0,0.01,0.23,0,0.01,0.23,0,0,0,0,0.07,2.09,-0.07,0.93,0.23,0.7,25,0.23,0,0.46,1.39,1.63,0.58,5.11,3.11,8.83,4.65,0.06,3.95,27.43,13.71,2.56,0.7,2.32,60,0.71,1.29,0.46,50,0.46,50,1.86,0.23,7.67,5.15,2.32,1.39,0.46,38.33,2.09,27,0.93,67,0.23,0,0,39.73,70,5.81,93,44,6.51,11.85,10,70,0,42.46,7.2,0.09,0.13,29.74,94,5.09,6.51,0,0,0,0,2.56,2.56,0,,0,0,0,46,49,5,68,32,0,27.36,29.21,0.86,89,1.85,23.44,26.08,0,0,0,0,0,,0,0,,0,0,0,0,0,0,34,12,2.35,24,0.1,0.04,0.12,-0.08,,0.18
Agustin Quiroga,Central Córdoba SdE,Liga Profesional,2026,862,Left Back,Argentina,24,05/04/02,0,0,0.03,0.02,1.15,0,9,1,,0,0,0.04,0.63,0,0.04,0.52,0,0,0.1,0,0.07,1.78,-0.07,1.04,0.52,0.52,50,0.84,0,1.15,0.94,1.36,0.72,3.86,2.25,15.87,8.98,0.02,7,31.51,8.98,3.66,1.67,3.03,62,1.09,1.82,1.88,50,1.04,68,2.72,0,12.32,7.37,4.91,2.72,1.04,36.56,3.24,26,1.46,54,0.31,0,0,28.2,60,2.19,93,40,4.49,4.91,16,37,-23,51.22,4.59,0.26,0.29,22.97,91,5.32,5.53,0.63,0.42,0.21,0.1,1.25,1.67,0.21,50,0.42,33,0.1,37,56,8,42,51,8,22.26,18.35,0.92,100,-3.9,20.48,18.43,0,0,0,0,0,,0,0,,0,0,0,0,0,0,37,10,3.38,35,0.06,0.04,0.05,-0.03,,0.11
