"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Víctor Ignacio Malcorra";"AM";"all";"all";"23216";"V. Malcorra";"1987-07-24";"91.07";"18.27";"6";"1";"168";"100";"28.57";"71.43";"71.43";"73.64";"76.79";"56.55";"19.64";"11.9";"60.61";"23.81";"12.5";"52.5"
"Pablo Ezequiel De Blasis";"AM";"all";"all";"8315";"P. De Blasis";"1988-02-04";"92";"20";"5";"0";"128";"100";"22.66";"77.34";"77.34";"80.61";"76.56";"61.72";"8.59";"4.69";"54.55";"17.97";"10.16";"56.52"
"Osvaldo Nicolás Fabián Gaitán";"AM";"all";"all";"8014";"N. Gaitán";"1988-02-23";"93.35";"16.31";"7";"0";"173";"100";"31.79";"68.21";"68.21";"66.67";"74.57";"49.71";"12.14";"4.05";"33.33";"26.59";"9.83";"36.96"
"Éver Maximiliano David Banega";"AM";"all";"all";"3210";"É. Banega";"1988-06-29";"84.25";"17.05";"8";"0";"275";"100";"25.09";"74.91";"74.91";"77.42";"67.64";"52.36";"11.27";"5.09";"45.16";"15.27";"7.27";"47.62"
"Claudio Ezequiel Aquino";"AM";"all";"all";"38618";"C. Aquino";"1991-07-24";"87.58";"19.67";"23";"0";"894";"100";"28.86";"71.14";"71.14";"70.91";"73.83";"52.35";"16.44";"9.62";"58.5";"22.6";"11.86";"52.48"
"Héctor Hugo Fértoli";"AM";"all";"all";"28700";"H. Fértoli";"1994-12-03";"88.74";"18.2";"6";"0";"170";"100";"24.12";"75.88";"75.88";"78.5";"62.94";"49.41";"5.88";"3.53";"60";"10.59";"4.12";"38.89"
"Damián Marcelino Moreno";"AM";"all";"all";"28642";"M. Moreno";"1995-06-25";"97.85";"22.22";"12";"0";"411";"100";"26.52";"73.48";"73.48";"78.28";"64.96";"50.85";"14.6";"9";"61.67";"16.55";"9";"54.41"
"Francisco González Metilli";"AM";"all";"all";"57488";"F. González Metilli";"1997-03-29";"83.59";"16.99";"5";"0";"102";"100";"27.45";"72.55";"72.55";"77.14";"68.63";"52.94";"9.8";"5.88";"60";"21.57";"11.76";"54.55"
"Alan Martín Cantero";"AM";"all";"all";"36745";"A. Cantero";"1998-06-28";"76.75";"15.2";"5";"0";"114";"100";"28.95";"71.05";"71.05";"69.77";"37.72";"26.32";"4.39";"1.75";"40";"8.77";"5.26";"60"
"Nahuel Lautaro Bustos";"AM";"all";"all";"26537";"N. Bustos";"1998-07-04";"82.59";"15.7";"6";"0";"128";"100";"34.38";"65.62";"65.62";"68.35";"61.72";"42.19";"14.06";"7.03";"50";"17.19";"7.81";"45.45"
