Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
M. Kjærgaard,Salzburg,Salzburg,"LDMF, LCMF, LAMF",22,817,1,1.46,4,2.27,Denmark,4.52,3.08,64.29,0.44,25,0,0,0.11,2.53,4.79,0.22,0,0,0,0,2.42,0.11,1,0.11,0.16,0,0,21,2.31,33.33,4.762,0.44,1.98,38.89,1.32,66.67,4.41,45,2.42,2.09,0.55,42.08,0.77,0.44,51.77,82.77,15.64,73.24,8.81,93.75,18.29,87.35,3.53,43.75,17.23,29.49,0.25,1.98,0,0.11,0,0,0.77,7.82,81.69,2.86,50,0.33,66.67,1.1,0.77,7.6,73.91,0,,0,,0,0,0,0,,,0.11,,
L. Gourna-Douath,Salzburg,Salzburg,"RCMF, RDMF",22,211,0,0,0,0.07,France,8.1,6.4,53.33,2.56,66.67,0.43,0.6,0.43,4.27,6,1.71,2,0.85,0,0,0,0,0,0,0,0,0,1,0.43,0,0,0,0,0,0,0,6.82,37.5,0,1.28,0,38.39,0,1.71,55.45,87.69,14.5,70.59,9.81,95.65,24.31,92.98,4.69,63.64,19.22,37.2,0.03,0.43,0,0,0,0,0,5.55,61.54,0,0,0,0,0,0,5.97,50,0,,0,,0,0,0,0,,,2.13,,
M. Bidstrup,Salzburg,Salzburg,"RDMF, RCMF",24,758,0,0.17,0,0.11,Denmark,9.38,7.12,66.67,1.42,75,0.24,0.45,0,4.39,8.35,0.71,0,0,0,0,1.07,0,0,0,0.02,0,0,5,0.59,0,0,0,0.71,83.33,1.19,30,5.7,41.67,0.47,0.71,0.12,38.94,0.36,1.42,54.38,88.43,15.08,66.14,8.79,98.65,21.73,98.36,3.68,45.16,17.1,27.07,0.01,0.47,0,0.12,0.12,100,0.12,7.01,77.97,1.42,58.33,0,0,0.36,0.59,5.94,76,0,,0,,0,0,0,0,,,0.47,,
P. Ratkov,Salzburg,Salzburg,CF,22,938,7,4.92,2,0.13,Serbia,2.4,1.63,23.53,7.68,42.5,0.1,0.16,0.1,1.92,3.26,0.77,2,0.19,0,0,1.82,0.67,5,0.48,0.47,1,0.1,26,2.49,42.31,26.923,0.19,0.38,25,1.25,53.85,5.28,25.45,3.55,0.19,0,8.64,1.73,0.58,12.19,72.44,1.82,52.63,3.36,88.57,3.55,72.97,0.48,60,14.55,6.57,0.01,0.38,0,0.1,0,0,0.19,0.96,50,0.67,57.14,0.1,0,0.58,0.19,0.77,50,0,,0,,0,0,0,0,,,0,,
Y. Vertessen,Salzburg,Salzburg,"CF, LAMF, AMF",24,700,5,2.08,1,1.27,Belgium,4.24,4.63,63.89,2.83,45.45,0,0,0.13,1.29,2.22,1.8,1,0.13,0,0,3.47,0.64,5,0.64,0.27,1,0.13,16,2.06,50,31.25,0.13,0.77,66.67,3.73,51.72,10.29,40,4.76,1.16,0.26,14.79,1.8,1.8,19.29,76,2.83,59.09,6.17,85.42,4.11,81.25,0.39,33.33,13.73,3.41,0.16,1.41,0.26,0,0,0,0.9,1.41,90.91,1.16,77.78,0,0,1.29,0.51,2.19,58.82,0,,0,,0,0,0,0,,,0.26,,
O. Kiteishvili,Sturm Graz,Sturm Graz,"AMF, CF",29,883,6,4.3,1,1.49,Georgia,4.38,4.08,57.5,2.45,37.5,0,0,0.1,2.04,3.17,0.82,1,0.1,0,0,3.06,0.61,4,0.41,0.44,1,0.1,32,3.26,34.38,18.75,0.1,1.02,10,3.06,50,9.17,52.22,3.16,2.14,0.41,38.73,2.24,2.34,49.74,81.76,16.51,72.84,9.78,95.83,11.82,83.62,2.14,66.67,14.22,26.78,0.15,1.63,0.1,0.1,1.02,30,0.61,6.93,70.59,3.77,54.05,1.43,28.57,2.45,0,6.42,85.71,0,,0,,0,0,0,0,,,0.1,,
S. Kalajdžić,LASK,LASK,CF,28,205,0,0.39,0,0.57,Austria,2.2,1.76,50,5.71,61.54,0,0,0,1.32,2.31,1.76,0,0,0,0,2.63,0,0,0,0.17,0,0,3,1.32,66.67,0,0,0.88,50,0.88,100,10.54,37.5,5.27,0.88,0,15.8,0.88,3.95,21.51,69.39,6.59,53.33,3.51,75,8.34,73.68,1.76,0,17.45,26.95,0.25,2.63,0,0,0.44,100,0.88,4.39,60,0.44,100,0.44,100,0.88,0.44,1.76,50,0,,0,,0,0,0,0,,,0,,
T. Horvat,Sturm Graz,Sturm Graz,"RAMF, RCMF, AMF",26,1203,2,1.25,3,5.17,Slovenia,6.06,5.24,62.86,1.5,15,0.07,0.12,0.07,2.69,4.43,0.82,0,0,0,0,4.41,0.15,2,0.15,0.09,0,0,25,1.87,36,8,0.22,1.95,53.85,4.34,62.07,8.83,41.53,1.5,3.59,0.45,29.63,0.97,0.82,40.1,81.72,12.57,73.81,6.43,90.7,11.67,83.33,2.47,54.55,15.97,29.09,0.39,2.69,0.15,0,0.07,0,0.52,5.31,73.24,3.07,58.54,0.6,0,1.5,0.9,5.91,89.87,0,,0,,0,0,0,0,,,0.22,,
J. Gorenc Stankovič,Sturm Graz,Sturm Graz,"DMF, RDMF",29,1096,0,1.74,1,0.21,Slovenia,11.17,6.16,66.67,6.41,44.87,0.25,0.39,0.57,6.82,10.69,1.15,3,0.25,0,0,0.57,0,0,0,0.14,0,0,15,1.23,33.33,0,0.08,0.16,50,0.33,25,2.3,46.43,1.15,0.33,0,22.42,0.25,1.31,39.91,81.28,17.66,72.09,3.86,95.74,13.22,88.82,4.68,54.39,18.64,30.83,0.02,0.25,0,0.08,0,0,0.16,7.72,76.6,1.23,33.33,0.33,50,0.25,0.08,7.72,80.85,0,,0,,0,0,0,0,,,0.57,,
T. Oermann,Sturm Graz,Sturm Graz,"RB, RCB",22,887,0,0.27,0,0.3,Germany,8.52,5.99,59.32,3.75,45.95,0.41,0.63,0.91,4.57,7.03,0.51,0,0,0,0,0.91,0,0,0,0.03,0,0,3,0.3,33.33,0,0,0.61,50,0.71,71.43,2.94,44.83,0.2,1.62,0.2,23.64,1.52,0.91,36.93,84.07,15.52,72.55,4.67,95.65,13.09,93.02,4.57,42.22,19.85,38.66,0.03,0.41,0,0,0,0,0,5.38,66.04,0.91,55.56,0.2,50,0.2,0.3,7.71,69.74,0,,0,,0,0,0,0,,,0.91,,
