"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Benito Raman";"CF";"all";"all";"1266";"B. Raman";"1994-11-07";"79.38";"22.25";"13";"0";"527";"100";"55.79";"3.74";"1.33";"30.74";"15.37";"4.55";"1.01";"0.45";"15.56";"6.83"
"Birger Verstraete";"DM";"all";"all";"1353";"B. Verstraete";"1994-04-16";"98.95";"22.78";"11";"0";"97";"100";"1.03";"0.24";"0";"40.21";"40.21";"1.03";"0.13";"0.13";"1.03";"1.03"
"Birger Verstraete";"LDM";"all";"all";"1353";"B. Verstraete";"1994-04-16";"96.69";"25.45";"9";"0";"127";"100";"4.72";"0.37";"0";"22.83";"20.47";"0.79";"0.1";"0.05";"2.36";"0.79"
"Birger Verstraete";"RM";"all";"all";"1353";"B. Verstraete";"1994-04-16";"90.02";"17.67";"5";"0";"50";"100";"4";"0.39";"0";"26";"22";"0";"0.09";"0.09";"0";"0"
"Brandon Mechele";"LCB";"all";"all";"1441";"B. Mechele";"1993-01-28";"99.16";"27.33";"35";"0";"419";"100";"8.59";"0.56";"0";"37.23";"35.8";"2.15";"0.14";"0.12";"2.39";"1.67"
"Brandon Mechele";"RCB";"all";"all";"1441";"B. Mechele";"1993-01-28";"98.28";"30.37";"5";"0";"66";"100";"1.52";"0.21";"0";"54.55";"53.03";"4.55";"0.16";"0.15";"1.52";"1.52"
"Brecht Dejaegere";"RM";"all";"all";"1455";"B. Dejaegere";"1991-05-29";"72.14";"15.14";"7";"0";"150";"100";"24.67";"1.85";"0";"31.33";"25.33";"1.33";"0.34";"0.2";"2.67";"1.33"
"Bruno Godeau";"CB";"all";"all";"1502";"B. Godeau";"1992-05-10";"96.32";"23.8";"7";"0";"28";"100";"17.86";"0.64";"0";"35.71";"32.14";"0";"0";"0";"0";"0"
"Bruno Godeau";"LCB";"all";"all";"1502";"B. Godeau";"1992-05-10";"96.04";"23.09";"22";"0";"150";"100";"12.67";"0.81";"0";"32";"28";"2";"0.31";"0.1";"4.67";"2"
"Bryan Heynen";"LDM";"all";"all";"1539";"B. Heynen";"1997-02-06";"97.86";"28.81";"25";"0";"594";"100";"15.49";"1.08";"0";"37.21";"32.83";"1.68";"0.28";"0.22";"3.54";"2.36"
"Bryan Heynen";"LM";"all";"all";"1539";"B. Heynen";"1997-02-06";"99.28";"26.64";"8";"0";"201";"100";"12.94";"0.93";"0";"38.81";"33.83";"2.99";"0.28";"0.17";"2.99";"1.49"
"Denis Odoi";"LCB";"all";"all";"2614";"D. Odoi";"1988-05-27";"92.69";"24.51";"5";"0";"28";"100";"0";"0.38";"0";"35.71";"35.71";"3.57";"0.15";"0.15";"0";"0"
"Denis Odoi";"RDM";"all";"all";"2614";"D. Odoi";"1988-05-27";"99.13";"25.06";"12";"0";"250";"100";"7.6";"0.69";"0.4";"29.2";"26.8";"1.6";"0.15";"0.12";"1.6";"1.2"
