"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Anouar Ait El Hadj";"AM";"all";"all";"26161";"A. Ait El Hadj";"2002-04-20";"83.37";"17.77";"7";"0";"79";"100";"69.62";"1.54";"1.04";"69.09";"158.23";"0.56";"48.1";"6.33";"0";"26.58";"17.72";"8.86"
"Antoine Bernier";"RW";"all";"all";"14624";"A. Bernier";"1997-09-10";"80.09";"19.44";"28";"0";"331";"100";"69.49";"2.53";"1.9";"74.35";"169.18";"1.09";"51.66";"11.18";"1.51";"33.23";"25.38";"13.9"
"Adriano Bertaccini";"AM";"all";"all";"586540";"A. Bertaccini";"2000-08-13";"97.13";"20.34";"5";"0";"43";"100";"65.12";"3.43";"2.05";"60.71";"179.07";"0.75";"39.53";"4.65";"2.33";"39.53";"23.26";"11.63"
"Adriano Bertaccini";"CF";"all";"all";"586540";"A. Bertaccini";"2000-08-13";"86.53";"23.39";"7";"0";"62";"100";"67.74";"2.28";"1.6";"73.81";"169.35";"0.99";"50";"14.52";"1.61";"41.94";"30.65";"20.97"
"Adriano Bertaccini";"LF";"all";"all";"586540";"A. Bertaccini";"2000-08-13";"94.13";"24.18";"7";"0";"69";"100";"76.81";"2.28";"1.9";"71.7";"182.61";"0.74";"55.07";"7.25";"0";"21.74";"18.84";"10.14"
"Adriano Bertaccini";"LW";"all";"all";"586540";"A. Bertaccini";"2000-08-13";"92.1";"20.81";"7";"0";"60";"100";"71.67";"2.32";"1.8";"69.77";"165";"1.01";"50";"11.67";"5";"31.67";"25";"13.33"
"Archibald Norman Brown";"LB";"all";"all";"31221";"A. Brown";"2002-05-28";"97.2";"24.04";"17";"0";"303";"100";"63.37";"1.62";"1.05";"72.92";"163.7";"0.59";"46.2";"3.3";"0.99";"22.11";"13.2";"6.6"
"Archibald Norman Brown";"LWB";"all";"all";"31221";"A. Brown";"2002-05-28";"84.46";"18.51";"9";"0";"157";"100";"68.79";"1.93";"1.26";"72.22";"166.88";"0.63";"49.68";"3.82";"0.64";"27.39";"19.75";"9.55"
"Alessio Castro-Montes";"RWB";"all";"all";"14709";"A. Castro-Montes";"1997-05-17";"95.26";"20.7";"8";"1";"163";"100";"63.8";"1.4";"1.03";"68.27";"156.44";"0.5";"43.56";"7.98";"1.84";"22.09";"15.95";"7.36"
"Antoine Colassin";"CF";"all";"all";"26172";"A. Colassin";"2001-02-26";"80.1";"18.07";"11";"0";"110";"100";"77.27";"2.67";"2.16";"68.24";"160";"1.2";"52.73";"6.36";"0.91";"39.09";"32.73";"17.27"
"Ayrton Enrique Costa";"LB";"all";"all";"36734";"A. Costa";"1999-07-12";"88.96";"20.84";"12";"0";"157";"100";"60.51";"1.13";"0.63";"84.21";"131.85";"0.47";"50.96";"4.46";"0";"16.56";"8.28";"4.46"
"Alfie Devine";"AM";"all";"all";"37837";"A. Devine";"2004-08-01";"97.66";"21.88";"10";"0";"133";"100";"65.41";"2.14";"1.6";"79.31";"157.89";"0.87";"51.88";"12.03";"2.26";"21.8";"16.54";"9.02"
"Anders Dreyer";"RF";"all";"all";"22898";"A. Dreyer";"1998-05-02";"92.07";"25.07";"11";"0";"138";"100";"63.04";"1.98";"1.44";"67.82";"151.45";"0.88";"42.75";"10.87";"0.72";"25.36";"20.29";"13.04"
"Andrés Martín Ferrari Malviera";"CF";"all";"all";"163031";"A. Ferrari";"2003-01-03";"79.32";"18.74";"11";"0";"65";"100";"76.92";"3.21";"2.62";"70";"160";"1.54";"53.85";"9.23";"1.54";"36.92";"27.69";"18.46"
"Abu Francis";"RM";"all";"all";"27441";"A. Francis";"2001-04-27";"92.94";"17.23";"11";"0";"84";"100";"59.52";"1.29";"0.75";"76";"145.24";"0.46";"45.24";"3.57";"0";"16.67";"9.52";"4.76"
"Andri Lucas Gudjohnsen";"CF";"all";"all";"163721";"A. Gudjohnsen";"2002-01-29";"81.02";"20.39";"16";"0";"119";"100";"73.11";"2.22";"1.74";"74.71";"159.66";"1.04";"54.62";"5.88";"0";"30.25";"22.69";"16.81"
"Andréas Hountondji";"CF";"all";"all";"42607";"A. Hountondji";"2002-07-11";"90.05";"19.8";"8";"0";"58";"100";"77.59";"4.56";"3.98";"64.44";"187.93";"2.57";"50";"17.24";"3.45";"60.34";"50";"29.31"
"Atsuki Ito";"RDM";"all";"all";"151024";"A. Ito";"1998-08-11";"92.04";"20.22";"5";"0";"37";"100";"72.97";"2.51";"2.31";"77.78";"167.57";"0.98";"56.76";"10.81";"2.7";"21.62";"18.92";"10.81"
"Atsuki Ito";"RM";"all";"all";"151024";"A. Ito";"1998-08-11";"92.47";"22.01";"11";"1";"124";"100";"62.1";"1.76";"0.87";"80.52";"146.77";"0.63";"50";"4.84";"1.61";"25";"11.29";"6.45"
"Ardon Jashari";"DM";"all";"all";"30533";"A. Jashari";"2002-07-30";"92.54";"27.68";"5";"0";"107";"100";"54.21";"1.26";"0.75";"82.76";"130.84";"0.57";"44.86";"4.67";"0.93";"14.02";"6.54";"5.61"
"Ardon Jashari";"LDM";"all";"all";"30533";"A. Jashari";"2002-07-30";"91.98";"26.11";"23";"0";"429";"100";"58.04";"1.68";"0.96";"77.91";"148.02";"0.67";"45.22";"7.23";"1.4";"26.81";"14.45";"9.56"
"Abdelkahar Kadri";"LM";"all";"all";"63341";"A. Kadri";"2000-06-24";"92.7";"18.12";"10";"0";"119";"100";"58.82";"1.66";"1.09";"78.57";"152.1";"0.65";"46.22";"5.88";"0.84";"22.69";"14.29";"7.56"
