"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Benito Raman";"B. Raman";"1266";"1994-11-07";"CF";"Center Forward";"79.38";"45.27";"13";"0";"0.59";"1.15";"30.38";"31.1";"8440.54";"140.68";"1307.73";"701.73";"81.87";"390.88";"21.31";"1092.61";"103.17";"90.02";"7.44";"63.31";"16.82";"5.81";"2.55"
"Birger Verstraete";"B. Verstraete";"1353";"1994-04-16";"DM";"Midfield";"98.95";"51.61";"11";"0";"0.71";"1.43";"29.18";"30.4";"8958.84";"149.31";"1621.02";"492.08";"46.29";"160.01";"7.19";"652.09";"53.48";"93.85";"3.28";"67.75";"9.3";"1.9";"0.74"
"Birger Verstraete";"B. Verstraete";"1353";"1994-04-16";"LDM";"Midfield";"96.68";"51.75";"9";"0";"0.67";"1.41";"28.24";"29.18";"9072.98";"151.22";"1611.32";"533.5";"48.18";"123.29";"6.96";"656.79";"55.14";"96.63";"3.74";"71.12";"10.05";"2.71";"0.64"
"Birger Verstraete";"B. Verstraete";"1353";"1994-04-16";"RM";"Midfield";"90.02";"48.99";"5";"0";"0.74";"1.5";"28.06";"28.06";"9251.82";"154.2";"1832.09";"562.19";"50.46";"139.38";"6.61";"701.58";"57.08";"97.74";"3.18";"74.71";"12.25";"2.45";"0.73"
"Brandon Mechele";"B. Mechele";"1441";"1993-01-28";"LCB";"Central Defender";"99.16";"57.35";"35";"0";"0.67";"1.37";"28.65";"30.98";"8030.16";"133.84";"1242.95";"440.68";"39.49";"138.01";"6.76";"578.69";"46.24";"93.02";"3.74";"68.54";"7.98";"2.18";"0.63"
"Brandon Mechele";"B. Mechele";"1441";"1993-01-28";"RCB";"Central Defender";"98.28";"57.4";"5";"0";"0.77";"null";"28.48";"28.48";"8376.03";"139.6";"1342.24";"475.22";"42.02";"137.15";"6.9";"612.37";"48.92";"92.83";"4.39";"73.38";"7.74";"1.67";"0.21"
"Brecht Dejaegere";"B. Dejaegere";"1455";"1991-05-29";"RM";"Midfield";"72.14";"42.45";"7";"0";"0.79";"null";"27.4";"27.92";"9387.02";"156.45";"1945.3";"629.05";"58.56";"129.65";"5.25";"758.69";"63.81";"94.31";"2.83";"76.13";"11.31";"1.82";"0.2"
"Bruno Godeau";"B. Godeau";"1502";"1992-05-10";"CB";"Central Defender";"96.32";"57.34";"7";"0";"0.77";"1.61";"28.26";"29.04";"8108.18";"135.14";"1053.79";"332.78";"30.65";"103.75";"4.93";"436.53";"35.58";"92.24";"2.39";"71.31";"6.73";"1.64";"1.05"
"Bruno Godeau";"B. Godeau";"1502";"1992-05-10";"LCB";"Central Defender";"95.91";"54.72";"21";"0";"0.66";"1.44";"28.16";"30.64";"8310.28";"138.5";"1252.14";"433.15";"37.44";"128.49";"6.0";"561.64";"43.44";"96.28";"3.6";"73.04";"7.15";"2.19";"0.63"
"Bryan Heynen";"B. Heynen";"1539";"1997-02-06";"LDM";"Midfield";"97.86";"56.87";"25";"0";"0.7";"1.61";"27.24";"29.42";"8873.98";"147.9";"1583.45";"520.75";"42.75";"105.51";"5.23";"626.26";"47.99";"88.8";"1.56";"71.28";"6.54";"0.51";"0.0"
"Bryan Heynen";"B. Heynen";"1539";"1997-02-06";"LM";"Midfield";"99.28";"57.69";"8";"0";"0.79";"null";"27.21";"27.74";"8949.49";"149.16";"1585.16";"515.34";"43.94";"107.91";"5.33";"623.25";"49.27";"93.6";"2.47";"73.45";"7.8";"0.78";"0.13"
"Denis Odoi";"D. Odoi";"2614";"1988-05-27";"LCB";"Central Defender";"92.69";"53.56";"5";"0";"0.68";"1.54";"29.18";"29.18";"7672.49";"127.87";"1072.0";"435.07";"37.41";"120.98";"6.05";"556.05";"43.46";"85.36";"2.69";"64.75";"6.72";"1.79";"0.45"
"Denis Odoi";"D. Odoi";"2614";"1988-05-27";"RDM";"Midfield";"99.13";"55.86";"12";"0";"0.61";"1.33";"28.39";"29.88";"9196.87";"153.28";"1816.78";"655.36";"55.85";"190.83";"9.67";"846.18";"65.52";"110.99";"3.94";"82.97";"11.01";"2.77";"0.81"
"Dennis Praet";"D. Praet";"2645";"1994-05-14";"LDM";"Midfield";"83.22";"45.39";"6";"0";"0.74";"1.81";"27.18";"27.44";"8826.85";"147.11";"1633.68";"522.53";"47.58";"105.74";"5.07";"628.27";"52.65";"90.1";"3.08";"68.73";"9.03";"1.98";"0.66"
"Dennis Praet";"D. Praet";"2645";"1994-05-14";"RDM";"Midfield";"79.48";"47.63";"6";"0";"0.69";"2.49";"27.67";"28.26";"8882.42";"148.04";"1734.28";"645.84";"53.12";"125.98";"6.3";"771.82";"59.42";"89.23";"2.52";"71.39";"11.55";"1.68";"0.21"
"Derrick Katuku Tshimanga";"D. Tshimanga";"2665";"1988-11-06";"LCB";"Central Defender";"99.81";"54.08";"8";"0";"0.63";"1.27";"29.32";"30.26";"7398.59";"123.31";"1051.75";"472.48";"46.6";"161.01";"9.43";"633.49";"56.03";"87.78";"4.16";"61.71";"8.46";"2.77";"0.97"
"Federico Ricca Rostagnol";"F. Ricca";"3346";"1994-12-01";"LCB";"Central Defender";"98.77";"53.35";"22";"0";"0.64";"1.37";"27.53";"29.08";"8711.78";"145.2";"1500.28";"490.91";"42.33";"105.05";"5.67";"595.96";"48.0";"98.25";"4.09";"73.46";"8.08";"2.81";"0.36"
"Gilles Ruyssen";"G. Ruyssen";"3934";"1994-06-18";"RCB";"Central Defender";"97.37";"55.04";"36";"0";"0.61";"1.27";"27.32";"29.62";"8444.46";"140.74";"1243.94";"362.7";"31.31";"82.95";"3.54";"445.65";"34.86";"84.04";"2.57";"65.2";"6.66";"1.03";"0.39"
"Grejohn Kyei";"G. Kyei";"4092";"1995-08-12";"CF";"Center Forward";"69.61";"42.26";"5";"0";"0.81";"null";"26.58";"26.58";"8090.84";"134.85";"1278.19";"508.04";"46.0";"94.56";"4.26";"602.6";"50.26";"94.28";"5.11";"71.85";"13.06";"2.84";"0.57"
"Gyrano Kerk";"G. Kerk";"4167";"1995-12-02";"LW";"Wide Attacker";"88.58";"51.35";"14";"0";"0.64";"1.24";"30.37";"31.58";"7586.02";"126.43";"1221.09";"655.53";"70.03";"312.83";"15.02";"968.36";"85.05";"91.81";"7.09";"63.6";"12.69";"5.59";"2.0"
"Gyrano Kerk";"G. Kerk";"4167";"1995-12-02";"RW";"Wide Attacker";"87.75";"47.38";"16";"0";"0.65";"1.14";"31.06";"32.46";"7812.07";"130.2";"1228.26";"656.39";"67.44";"354.28";"15.2";"1010.67";"82.63";"89.91";"7.04";"61.74";"12.51";"5.46";"2.06"
"Hannes Van der Bruggen";"H. Van der Bruggen";"4193";"1993-04-01";"LM";"Midfield";"87.54";"40.64";"23";"0";"0.7";"null";"26.23";"27.66";"10130.18";"168.84";"2652.52";"823.22";"60.59";"114.82";"5.13";"938.04";"65.72";"109.56";"2.57";"80.42";"11.1";"0.83";"0.0"
"Hans Vanaken";"H. Vanaken";"4202";"1992-08-24";"AM";"Midfield";"97.04";"56.59";"29";"0";"0.7";"1.33";"27.45";"29.48";"8905.64";"148.43";"1706.08";"587.74";"46.61";"129.64";"5.92";"717.38";"52.54";"85.08";"2.16";"71.44";"7.28";"1.02";"0.18"
"Hans Vanaken";"H. Vanaken";"4202";"1992-08-24";"LM";"Midfield";"98.58";"56.54";"6";"0";"0.78";"null";"26.62";"26.8";"9065.71";"151.1";"1909.58";"687.17";"51.47";"105.6";"5.84";"792.77";"57.31";"87.02";"1.77";"76.06";"8.49";"0.71";"0.0"
"Jaïro Riedewald";"J. Riedewald";"4616";"1996-09-09";"LCB";"Central Defender";"81.73";"46.66";"6";"0";"0.72";"null";"28.77";"29.36";"7573.09";"126.22";"1004.42";"365.16";"32.36";"114.22";"4.07";"479.39";"36.43";"94.08";"3.64";"71.15";"8.14";"1.71";"0.21"
"Joris Kayembe Ditu ";"J. Kayembe";"5369";"1994-08-08";"LB";"Full Back";"95.86";"55.62";"32";"0";"0.68";"1.44";"28.66";"30.56";"8137.37";"135.62";"1367.22";"593.97";"52.96";"194.19";"10.48";"788.16";"63.45";"91.67";"5.26";"66.89";"12.07";"3.14";"0.88"
