Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.Stanic,Sporting Charleroi,Jupiler Pro League,2024/2025,67,0.74,2,Centre Forward,Left Centre Forward,Man,Belgium,20,27/12/04,,1.35,1.35,0.27,0.1,2.69,50,50,8,,0.43,0,0.05,1.35,0,0.05,1.35,0,0,0,1.35,0.32,4.04,1.02,0,0,0,,0,0,2.69,5.38,0,0,1.35,1.35,26.92,10.77,0.17,2.69,69.44,4.04,4.04,0,0,,0,0,2.69,,0,29,2.69,0,24.23,26.07,2.69,2.69,0,70.97,22.88,94,2.69,100,0,0,0,12.11,89,0,17,,1.35,0,67,83,-6,70,1.35,0.38,0.49,14.81,55,2.37,9.42,1.35,1.35,0,0,5.38,6.73,0,0,0,,0,11,67,22,14,71,14,17.39,15.16,1.07,110,-2.23,18.62,16.69,0,0,0,0,0,,0,0,,0,0,0,0,0,0,11,11,2.02,11,0.02,-0.09,0.13,-0.16,,-0.1
A.Stanic,Antwerp,Jupiler Pro League,2024/2025,5,0.05,1,,,Man,Belgium,20,27/12/04,,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,18.43,24.29,0,0,0,0,3.24,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,55.29,67,0,0,,18.43,0,0,,,46.15,0,0.47,0.47,36.86,100,0,0,0,0,0,0,0,0,0,,0,,0,0,100,0,,,,16.18,,0.94,,,15.16,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,0,18.43,100,-0.53,0,-2.04,,,-2.57
Abdelkahar Kadri,Kortrijk,Jupiler Pro League,2024/2025,2322,25.8,29,Left Centre Midfielder,Centre Attacking Midfielder,Man,Algeria,24,23/06/00,178,0.19,0.16,0.12,0.06,1.94,8,26,2,100,0.12,0.31,0.16,1.59,0.08,0.06,0.62,0.23,0.1,0.97,0.47,0.27,3.53,0.19,3.57,1.67,1.9,47,1.51,0,1.86,3.76,0.54,0.41,0.47,0.36,22.17,10.27,0.01,3.99,52.46,4.34,8.1,1.74,2.29,71,1.37,1.78,0.74,45,0.7,25,0.35,0.04,19.69,15.39,3.06,5.12,0.54,53.52,11.16,57,3.91,77,0.27,0.04,0,36.89,78,3.53,7,59,0.93,5.54,20,79,1,60.65,5.08,0.35,0.42,39.41,87,6.03,14.14,2.71,1.12,1.59,0.31,2.71,3.84,0.16,4,0.35,28,0.7,13,73,14,16,73,12,18.98,14.12,0.94,109,-4.86,17.75,15.36,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,8,6.47,53,0.17,0.1,-0.02,-0.04,,0.21
Abdoul Kader Ouattara,Cercle Brugge,Jupiler Pro League,2024/2025,325,3.61,8,Right Wing,Centre Attacking Midfielder,Man,Burkina Faso,20,25/05/05,,0.55,0.55,0.63,0.21,3.04,18,45,4,,0.55,0,0.08,0.83,0,0.08,0.83,0,0,0,0.55,0.71,3.87,-0.15,1.66,0.55,1.11,33,2.21,0,2.49,3.6,0.55,0.35,0.28,0.3,29.61,18.82,0.04,2.49,63.8,5.26,7.75,1.11,1.66,57,0.98,1.33,1.94,67,0.83,41,1.94,0,26.57,19.46,1.94,2.77,0,63.42,20.76,78,2.77,100,0.28,0,0,19.1,58,0.28,16,25,0.55,0.83,45,58,-1,65.78,0.55,0.5,1.01,20.48,73,4.87,6.37,0.83,0.83,0,0.55,7.2,8.03,0,33,0.55,33,0.55,11,70,19,0,74,26,15.16,14.29,0.94,88,-0.87,14.28,12.52,0,0,0,0,0,,0,0,,0,0,0,0,0,0,31,9,3.1,18,-0.1,0.03,-0.02,0.05,,-0.04
Abdoulaye Sissako,Kortrijk,Jupiler Pro League,2024/2025,2236,24.85,29,Right Centre Back,Right Defensive Midfielder,Man,France,27,25/05/98,186,0.08,0.08,0.05,0.09,0.56,14,43,0,,0.09,0.04,0.03,0.32,0.04,0.03,0.32,0,0,0,0.12,0.08,0.89,0.04,0.8,0.44,0.36,55,0.64,0,1.01,1.09,1.33,1.12,1.89,1.78,22.9,12.56,0.04,5.31,39.23,5.15,13.76,2.98,4.31,76,2.85,3.97,1.01,60,0.97,57,1.85,0.04,18.92,15.31,3.74,3.82,0.6,42.13,6.2,33,2.46,64,0.24,0,0,38.92,80,2.74,18,66,2.5,3.54,24,71,-10,47.75,3.66,0.31,0.36,30.99,94,5.5,7.85,0.16,0.16,0,0.16,1.37,1.53,0,0,0.04,17,0.2,26,66,9,22,69,9,19.87,17.34,0.99,101,-2.53,19.73,17.46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,9,3.48,29,0.01,0.07,0.05,0,,0.12
Abdramane Ouedraogo,Standard Liège,Jupiler Pro League,2024/2025,6,0.06,1,,,Man,Burkina Faso,18,10/10/06,,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,31.03,0,0,15.52,59.59,0,0,0,0,,0,0,0,,0,0,0,0,31.03,30.24,15.52,0,0,59.59,31.03,100,0,,0,0,0,15.52,100,0,,,0,0,0,,,48.55,0,0,0,15.52,100,0,0,0,0,0,0,0,0,0,,0,,0,0,100,0,,,,9.38,,1,,,9.38,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,100,100,,,-0.08,0,,,,-0.08
Abu Francis,Cercle Brugge,Jupiler Pro League,2024/2025,2063,22.93,33,Right Defensive Midfielder,Left Defensive Midfielder,Man,Ghana,24,26/04/01,182,0,0,0.03,0.03,0.92,0,10,1,,0,0.13,0.07,0.7,0.13,0.06,0.57,0,0.01,0.13,0.13,0.1,1.61,0.03,0.74,0.52,0.22,71,1.05,0,0.74,0.87,1.13,1,1.66,1.38,23.38,12.21,0.01,4.58,46.03,11.78,18.93,3.88,5.02,79,3.41,4.42,1.22,66,1.05,65,2.97,0,18.36,16.02,3.27,5.23,0.52,48.62,8.9,48,4.19,80,0.09,0.04,0,44.88,76,2.7,9,57,2.53,3.84,23,66,-10,54.13,6.24,0.52,0.52,31.1,95,3.71,11.95,0.61,0.39,0.22,0.13,0.79,1.18,0.04,7,0.13,30,0.13,26,66,8,28,68,4,18.76,16.32,0.96,95,-2.44,17.95,15.53,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,11,5.33,33,0.09,0.06,0.06,-0.04,,0.18
Adam Nhaili,Sint-Truiden,Jupiler Pro League,2024/2025,241,2.67,8,Left Wing,Right Centre Forward,Man,Belgium,19,08/08/05,174,0,0,0.02,0.03,0.75,0,100,1,,0.03,0.37,0.12,0.75,0.37,0.12,0.75,0,0,0,0.37,0.14,1.5,0.23,1.87,1.12,0.75,60,0.75,0,2.24,2.62,0.37,0.13,0.37,0.16,25.05,15.7,0,2.24,44.63,3.36,6.73,0.75,1.12,100,0.47,0.6,1.5,100,0,50,0.37,0,22.81,16.62,1.87,2.99,1.5,46.33,8.23,36,1.5,50,0,0,0,31.78,83,0.75,17,67,0.37,1.12,15,54,-29,50.93,1.5,0.53,0.53,35.52,87,5.65,5.98,0.37,0.37,0,0.75,1.12,1.5,0,100,0.75,50,0.75,10,63,26,13,63,25,14.49,10.54,1.04,107,-3.95,15.08,11.32,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,7,3.1,41,0.05,0.03,0.06,-0.01,,0.13
Adedire Awokoya Mebude,Westerlo,Jupiler Pro League,2024/2025,780,8.67,17,Right Midfielder,Right Wing,Man,Scotland,21,27/05/04,189,0.23,0.23,0.25,0.13,1.96,12,29,3,,0.23,0.12,0.04,0.58,0.12,0.04,0.58,0,0,0,0.35,0.29,2.54,0.05,2.19,1.15,1.04,53,2.42,0,0.92,3.81,0.69,0.7,0.23,0.25,19.03,8.76,0,3.69,52.91,3.46,5.88,1.04,1.73,69,1.15,1.86,0.69,0,0.46,0,0,0,17.53,15.55,3,4.04,0.35,54.94,10.73,61,3.69,91,0.12,0,0,23.3,77,0.23,14,25,0.23,0.92,20,68,-9,61.79,1.73,0.6,0.85,27.91,83,5.81,9.46,1.5,1.5,0,0.46,3.69,5.19,0,8,0.12,8,0.46,19,64,17,20,70,11,15.06,11.79,0.96,111,-3.27,14.47,13.12,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,6,4.12,22,0.01,0.16,0.02,-0.05,,0.14
Adem Zorgane,Sporting Charleroi,Jupiler Pro League,2024/2025,3895,43.28,40,Left Defensive Midfielder,Right Defensive Midfielder,Man,Algeria,25,05/01/00,184,0.02,0.02,0.03,0.04,0.79,3,32,0,,0.05,0.16,0.19,2.47,0.14,0.13,1.73,0.02,0.05,0.74,0.18,0.22,3.26,-0.03,1.34,0.97,0.37,72,0.28,0,1.04,0.88,1.04,1.2,1.02,1.08,20.59,10.58,0.03,5.13,41.88,6.03,13.38,2.15,3.19,66,2.32,3.52,1.13,47,1.11,66,1.02,0.07,17.38,18.95,3.6,4.23,0.53,44.27,7.09,41,2.61,62,0.14,0,0,75.86,82,8.02,17,61,2.1,12.11,15,83,1,51.96,10.01,0.85,0.92,60.45,97,3.66,21.7,3.77,2.5,1.27,0.21,0.95,3.44,0.37,10,0.53,25,0.39,25,68,7,32,64,4,21.42,17.43,0.93,99,-3.99,20.02,17.26,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,10,11.19,68,0.28,0.11,0.03,0,,0.42
