"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Tjaronn Chery";"AM";"all";"all";"10410";"T. Chery";"1988-06-04";"85.57";"20.82";"22";"0";"518";"100";"24.52";"75.48";"75.48";"80";"74.32";"59.46";"12.36";"7.34";"59.38";"16.6";"8.49";"51.16"
"Patrik Hrošovský";"AM";"all";"all";"13229";"P. Hrošovský";"1992-04-22";"87.48";"25.31";"14";"0";"367";"100";"23.43";"76.57";"76.57";"82.96";"73.57";"61.04";"7.36";"5.18";"70.37";"14.17";"8.45";"59.62"
"Hans Vanaken";"AM";"all";"all";"4202";"H. Vanaken";"1992-08-24";"97.03";"27.29";"29";"0";"1118";"100";"11.63";"88.37";"88.37";"89.75";"88.1";"79.07";"9.39";"6.8";"72.38";"12.79";"8.77";"68.53"
"Kerim Mrabti";"AM";"all";"all";"16493";"K. Mrabti";"1994-05-20";"88.73";"30.67";"5";"0";"165";"100";"20";"80";"80";"81.95";"80.61";"66.06";"5.45";"2.42";"44.44";"13.94";"5.45";"39.13"
"Roman Květ";"AM";"all";"all";"37413";"R. Květ";"1997-12-17";"85.35";"18.55";"6";"0";"157";"100";"22.93";"77.07";"77.07";"79.51";"77.71";"61.78";"10.19";"7.01";"68.75";"16.56";"10.19";"61.54"
"Youssef Maziz";"AM";"all";"all";"23030";"Y. Maziz";"1998-06-24";"80.38";"21.08";"14";"0";"378";"100";"25.93";"74.07";"74.07";"77.14";"74.07";"57.14";"9.79";"5.03";"51.35";"17.46";"8.47";"48.48"
"Thibo Somers";"AM";"all";"all";"27673";"T. Somers";"1999-03-16";"98.72";"15.82";"8";"0";"155";"100";"43.87";"56.13";"56.13";"57.28";"66.45";"38.06";"16.13";"6.45";"40";"32.9";"11.61";"35.29"
"Daan Heymans";"AM";"all";"all";"29935";"D. Heymans";"1999-06-15";"98.23";"23.07";"33";"0";"894";"100";"23.04";"76.96";"76.96";"81.08";"84.56";"68.57";"9.84";"6.04";"61.36";"19.91";"12.08";"60.67"
"Omri Gandelman";"AM";"all";"all";"35776";"O. Gandelman";"2000-05-16";"95.86";"22.34";"9";"1";"151";"100";"34.44";"65.56";"65.56";"68";"82.78";"56.29";"17.22";"5.96";"34.62";"27.81";"11.26";"40.48"
"Adriano Bertaccini";"AM";"all";"all";"586540";"A. Bertaccini";"2000-08-13";"97.13";"20.34";"5";"0";"108";"100";"34.26";"65.74";"65.74";"70.37";"50";"35.19";"14.81";"7.41";"50";"13.89";"2.78";"20"
"Michel-Ange Balikwisha";"AM";"all";"all";"32775";"M. Balikwisha";"2001-05-10";"96.26";"24.91";"8";"0";"234";"100";"20.51";"79.49";"79.49";"82.7";"79.06";"65.38";"9.83";"4.27";"43.48";"13.25";"6.41";"48.39"
"Anouar Ait El Hadj";"AM";"all";"all";"26161";"A. Ait El Hadj";"2002-04-20";"83.37";"17.77";"7";"0";"169";"100";"24.26";"75.74";"75.74";"75.54";"82.25";"62.13";"13.61";"8.88";"65.22";"15.38";"7.1";"46.15"
"Isa Sakamoto";"AM";"all";"all";"254506";"I. Sakamoto";"2003-08-26";"86.27";"18.71";"7";"0";"145";"100";"22.07";"77.93";"77.93";"80.23";"59.31";"47.59";"9.66";"6.21";"64.29";"8.28";"4.83";"58.33"
"Lawrence Agyekum";"AM";"all";"all";"311623";"L. Agyekum";"2003-11-23";"83.37";"16.94";"6";"0";"138";"100";"32.61";"67.39";"67.39";"77.33";"54.35";"42.03";"10.87";"6.52";"60";"10.14";"5.8";"57.14"
"Alfie Devine";"AM";"all";"all";"37837";"A. Devine";"2004-08-01";"97.66";"21.88";"10";"0";"264";"100";"22.73";"77.27";"77.27";"79.41";"77.27";"61.36";"10.23";"4.92";"48.15";"15.15";"5.68";"37.5"
"Mario Stroeykens";"AM";"all";"all";"35453";"M. Stroeykens";"2004-09-29";"81.82";"21.82";"8";"0";"310";"100";"19.68";"80.32";"80.32";"85.15";"73.87";"62.9";"10.97";"8.39";"76.47";"10.32";"6.13";"59.38"
"Konstantinos Karetsas";"AM";"all";"all";"644194";"K. Karetsas";"2007-11-19";"76.49";"23.81";"15";"0";"494";"100";"26.52";"73.48";"73.48";"77.78";"60.12";"46.76";"11.54";"6.88";"59.65";"16.19";"8.7";"53.75"
"Shogo Taniguchi";"CB";"all";"all";"26894";"S. Taniguchi";"1991-07-15";"98.31";"24.21";"6";"0";"125";"100";"12.8";"87.2";"87.2";"88.7";"92";"81.6";"2.4";"2.4";"100";"16";"12.8";"80"
"Christian Burgess";"CB";"all";"all";"18975";"C. Burgess";"1991-10-07";"98.74";"20.61";"28";"1";"460";"100";"24.57";"75.43";"75.43";"79.14";"90.65";"71.74";"1.96";"0.22";"11.11";"23.48";"12.61";"53.7"
"Bruno Godeau";"CB";"all";"all";"1502";"B. Godeau";"1992-05-10";"96.32";"23.8";"7";"0";"139";"100";"13.67";"86.33";"86.33";"91.8";"87.77";"80.58";"2.16";"1.44";"66.67";"13.67";"10.07";"73.68"
"Visar Musliu";"CB";"all";"all";"17864";"V. Musliu";"1994-11-13";"99.71";"22.55";"8";"0";"164";"100";"21.95";"78.05";"78.05";"79.86";"87.8";"70.12";"1.83";"1.22";"66.67";"20.12";"10.98";"54.55"
"Hervé Matthys";"CB";"all";"all";"19022";"H. Matthys";"1996-01-19";"99.17";"24.39";"6";"0";"186";"100";"16.13";"83.87";"83.87";"85.54";"89.25";"76.34";"2.15";"1.08";"50";"13.98";"6.45";"46.15"
"David Bates";"CB";"all";"all";"19363";"D. Bates";"1996-10-05";"95.7";"16.3";"9";"0";"111";"100";"36.94";"63.06";"63.06";"67.02";"84.68";"56.76";"1.8";"0.9";"50";"30.63";"14.41";"47.06"
"Tsuyoshi Watanabe";"CB";"all";"all";"26860";"T. Watanabe";"1997-02-05";"97.29";"23.99";"8";"0";"171";"100";"15.2";"84.8";"84.8";"88.31";"90.06";"79.53";"0.58";"0";"0";"12.87";"6.43";"50"
"Kobe Cools";"CB";"all";"all";"23984";"K. Cools";"1997-07-25";"97.14";"20.14";"35";"0";"539";"100";"30.8";"69.2";"69.2";"74.25";"86.46";"64.19";"1.11";"0.37";"33.33";"24.12";"16.88";"70"
"Koki Machida";"CB";"all";"all";"26883";"K. Machida";"1997-08-25";"100.32";"21.1";"7";"0";"92";"100";"27.17";"72.83";"72.83";"77.38";"91.3";"70.65";"0";"0";"";"21.74";"9.78";"45"
"Hasan Kuruçay";"CB";"all";"all";"152166";"H. Kuruçay";"1997-08-31";"97.83";"22.39";"5";"1";"113";"100";"16.81";"83.19";"83.19";"84.31";"90.27";"76.11";"0.88";"0";"0";"15.04";"5.31";"35.29"
"Ahmed Touba";"CB";"all";"all";"33487";"A. Touba";"1998-03-13";"95.14";"27.61";"9";"0";"161";"100";"12.42";"87.58";"87.58";"91.18";"84.47";"77.02";"3.11";"1.86";"60";"11.8";"8.07";"68.42"
"João Pedro Eira Antunes da Silva";"CB";"all";"all";"35875";"João Silva";"1999-01-14";"96.57";"17.62";"13";"0";"147";"100";"25.85";"74.15";"74.15";"76.42";"83.67";"63.95";"1.36";"0.68";"50";"20.41";"14.29";"70"
"Zineddine Belaid";"CB";"all";"all";"163344";"Z. Belaid";"1999-03-20";"91.36";"20.97";"10";"0";"167";"100";"16.17";"83.83";"83.83";"84.67";"89.82";"76.05";"0";"0";"";"14.37";"10.78";"75"
"Ryotaro  Tsunoda";"CB";"all";"all";"152113";"R. Tsunoda";"1999-06-27";"98.75";"23.53";"6";"0";"99";"100";"38.38";"61.62";"61.62";"60.26";"78.79";"47.47";"0";"0";"";"30.3";"15.15";"50"
"Toon Raemaekers";"CB";"all";"all";"32385";"T. Raemaekers";"2000-09-09";"98.32";"25.93";"5";"0";"120";"100";"20.83";"79.17";"79.17";"80";"87.5";"70";"0.83";"0.83";"100";"18.33";"10";"54.55"
"Ewoud Pletinckx";"CB";"all";"all";"14682";"E. Pletinckx";"2000-10-10";"96.94";"17.33";"5";"0";"57";"100";"29.82";"70.18";"70.18";"78.57";"73.68";"57.89";"0";"0";"";"26.32";"17.54";"66.67"
"Bas Van den Eynden";"CB";"all";"all";"32799";"B. Van den Eynden";"2002-01-07";"96.47";"22.15";"11";"0";"228";"100";"17.98";"82.02";"82.02";"84.54";"85.09";"71.93";"0.88";"0";"0";"17.54";"9.65";"55"
"Ibe Hautekiet";"CB";"all";"all";"73357";"I. Hautekiet";"2002-04-13";"96.71";"20.59";"26";"0";"366";"100";"25.41";"74.59";"74.59";"80.32";"86.07";"69.13";"0.82";"0.55";"66.67";"26.5";"15.85";"59.79"
"Christiaan Ravych";"CB";"all";"all";"116555";"C. Ravych";"2002-07-30";"98.87";"17.55";"21";"0";"318";"100";"32.7";"67.3";"67.3";"68.13";"78.93";"53.77";"2.52";"0.94";"37.5";"28.3";"14.15";"50"
"Matte Smets";"CB";"all";"all";"176456";"M. Smets";"2004-01-04";"102.04";"29.93";"5";"0";"124";"100";"10.48";"89.52";"89.52";"92.04";"91.13";"83.87";"1.61";"1.61";"100";"7.26";"5.65";"77.78"
"Vincent Janssen";"CF";"all";"all";"10709";"V. Janssen";"1994-06-15";"97.59";"24.77";"30";"0";"686";"100";"24.64";"75.36";"75.36";"76.33";"62.83";"47.96";"12.54";"7.43";"59.3";"12.54";"7.14";"56.98"
"Nikola Storm";"CF";"all";"all";"25072";"N. Storm";"1994-09-30";"77.3";"22";"5";"0";"146";"100";"20.55";"79.45";"79.45";"79.35";"63.01";"50";"8.9";"4.79";"53.85";"14.38";"6.85";"47.62"
"Benito Raman";"CF";"all";"all";"1266";"B. Raman";"1994-11-07";"79.38";"22.25";"13";"0";"170";"100";"38.82";"61.18";"61.18";"64.95";"57.06";"37.06";"16.47";"8.24";"50";"24.12";"9.41";"39.02"
"Mathieu Maertens";"CF";"all";"all";"32379";"M. Maertens";"1995-03-27";"79.98";"20.88";"5";"0";"84";"100";"30.95";"69.05";"69.05";"70.37";"64.29";"45.24";"17.86";"10.71";"60";"21.43";"9.52";"44.44"
"Grejohn Kyei";"CF";"all";"all";"4092";"G. Kyei";"1995-08-12";"69.61";"17.34";"5";"0";"73";"100";"28.77";"71.23";"71.23";"70.45";"60.27";"42.47";"17.81";"12.33";"69.23";"20.55";"12.33";"60"
"Didier Lamkel Zé";"CF";"all";"all";"14622";"D. Lamkel Zé";"1996-09-17";"88.59";"20";"9";"0";"232";"100";"34.05";"65.95";"65.95";"65.52";"62.5";"40.95";"11.21";"6.03";"53.85";"17.67";"5.6";"31.71"
"Dennis Eckert Ayensa";"CF";"all";"all";"13928";"D. Eckert Ayensa";"1997-01-09";"89.3";"19.51";"30";"0";"632";"100";"27.85";"72.15";"72.15";"74.69";"63.77";"47.63";"13.77";"8.07";"58.62";"18.2";"8.54";"46.96"
"Thierry Ambrose";"CF";"all";"all";"13189";"T. Ambrose";"1997-03-28";"88.86";"17.65";"16";"0";"395";"100";"30.89";"69.11";"69.11";"74.76";"52.15";"38.99";"13.92";"7.85";"56.36";"14.43";"7.85";"54.39"
"Gustaf Nilsson";"CF";"all";"all";"28110";"G. Nilsson";"1997-05-23";"86.78";"24.59";"20";"0";"246";"100";"39.02";"60.98";"60.98";"61.34";"48.37";"29.67";"16.67";"6.91";"41.46";"17.89";"6.1";"34.09"
"Kasper Dolberg";"CF";"all";"all";"11562";"K. Dolberg";"1997-10-06";"86.13";"23.04";"28";"0";"388";"100";"27.06";"72.94";"72.94";"77.59";"59.79";"46.39";"11.6";"6.96";"60";"12.11";"5.93";"48.94"
"Billal Messaoudi";"CF";"all";"all";"80636";"B. Messaoudi";"1997-12-21";"84.45";"16.97";"6";"0";"116";"100";"30.17";"69.83";"69.83";"76.79";"48.28";"37.07";"12.93";"6.03";"46.67";"15.52";"7.76";"50"
"Lion Lauberbach";"CF";"all";"all";"25544";"L. Lauberbach";"1998-02-15";"83.97";"22.91";"19";"0";"318";"100";"32.08";"67.92";"67.92";"72.07";"56.29";"40.57";"10.69";"5.97";"55.88";"13.52";"6.6";"48.84"
"Dante Vanzeir";"CF";"all";"all";"25069";"D. Vanzeir";"1998-04-16";"88.25";"20.81";"16";"0";"333";"100";"34.83";"65.17";"65.17";"69.91";"64.86";"45.35";"14.41";"7.81";"54.17";"19.82";"8.71";"43.94"
"Aurélien Scheidler";"CF";"all";"all";"22162";"A. Scheidler";"1998-06-04";"85.55";"18.43";"23";"0";"409";"100";"33.5";"66.5";"66.5";"68.18";"64.55";"44.01";"15.4";"8.8";"57.14";"23.23";"9.29";"40"
"Mohamed Bayo";"CF";"all";"all";"18383";"M. Bayo";"1998-06-04";"79.43";"20.22";"6";"0";"82";"100";"26.83";"73.17";"73.17";"80.39";"62.2";"50";"18.29";"12.2";"66.67";"12.2";"4.88";"40"
"Ferrán Jutglà Blanch";"CF";"all";"all";"26601";"Ferrán Jutglà";"1999-02-01";"83.3";"24.23";"9";"0";"202";"100";"26.73";"73.27";"73.27";"76.55";"71.78";"54.95";"18.32";"10.4";"56.76";"18.32";"9.9";"54.05"
"Thibo Somers";"CF";"all";"all";"27673";"T. Somers";"1999-03-16";"96.73";"17.34";"5";"0";"109";"100";"36.7";"63.3";"63.3";"69.23";"59.63";"41.28";"15.6";"8.26";"52.94";"27.52";"12.84";"46.67"
"Charly Keita";"CF";"all";"all";"63428";"C. Keita";"1999-06-16";"85.96";"18.31";"9";"0";"103";"100";"31.07";"68.93";"68.93";"87.23";"45.63";"39.81";"3.88";"2.91";"75";"9.71";"4.85";"50"
"Andi Zeqiri";"CF";"all";"all";"24408";"A. Zeqiri";"1999-06-22";"78.55";"16.47";"23";"0";"311";"100";"30.87";"69.13";"69.13";"71.69";"53.38";"38.26";"16.72";"9";"53.85";"18.33";"9.32";"50.88"
"Thibaud Verlinden";"CF";"all";"all";"18710";"T. Verlinden";"1999-07-09";"73.7";"15.39";"5";"0";"81";"100";"39.51";"60.49";"60.49";"53.66";"50.62";"27.16";"16.05";"0";"0";"23.46";"6.17";"26.32"
"Bruny Nsimba";"CF";"all";"all";"32774";"B. Nsimba";"2000-04-05";"89.46";"18.26";"27";"1";"531";"100";"37.1";"62.9";"62.9";"65.2";"55.74";"36.35";"21.66";"12.43";"57.39";"20.34";"9.79";"48.15"
"Adriano Bertaccini";"CF";"all";"all";"586540";"A. Bertaccini";"2000-08-13";"86.53";"23.39";"7";"0";"130";"100";"32.31";"67.69";"67.69";"77.78";"48.46";"37.69";"11.54";"8.46";"73.33";"9.23";"5.38";"58.33"
