"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Ademir da Silva Santos Junior";"RF";"all";"all";"53208";"Ademir";"1995-02-16";"69.32";"19.82";"6";"0";"117";"100";"30.77";"2.47";"0.85";"44.44";"29.06";"5.13";"1.02";"0.36";"12.82";"4.27"
"Adriano Martins da Fonseca";"RCB";"all";"all";"183987";"Adriano Martins";"1997-04-01";"99.23";"20.31";"31";"0";"185";"100";"2.16";"0.32";"0";"33.51";"32.97";"0";"0.02";"0.02";"0";"0"
"Adryelson Shawann Lima Silva";"RCB";"all";"all";"32844";"Adryelson";"1998-03-23";"90.24";"21.72";"6";"0";"38";"100";"0";"0.02";"0";"31.58";"31.58";"0";"0";"0";"0";"0"
"Adson Ferreira Soares";"RW";"all";"all";"46858";"Adson";"2000-10-06";"88.18";"19.95";"11";"0";"365";"100";"20";"1.31";"1.1";"37.53";"29.86";"3.56";"0.36";"0.23";"5.75";"3.29"
"Agustín Giay";"RB";"all";"all";"151692";"A. Giay";"2004-01-16";"91.64";"22.41";"5";"0";"119";"100";"8.4";"0.78";"0";"26.05";"21.85";"0";"0.15";"0.09";"0.84";"0"
"Agustín Maximiliano Rogel Paita";"RCB";"all";"all";"15719";"Agustín Rogel";"1997-10-17";"95.26";"21.74";"10";"0";"78";"100";"1.28";"0.11";"0";"28.21";"28.21";"0";"0.01";"0.01";"0";"0"
"Alan Javier Franco";"LCB";"all";"all";"18314";"A. Franco";"1996-10-11";"96.77";"27.05";"23";"0";"164";"100";"3.66";"0.25";"0";"35.98";"35.37";"0";"0.02";"0.02";"0";"0"
"Alan Luciano Ruschel";"LB";"all";"all";"31651";"Alan Ruschel";"1989-08-23";"98.92";"20.34";"23";"0";"444";"100";"13.96";"1.07";"0";"36.04";"29.73";"2.03";"0.3";"0.21";"2.93";"1.58"
"Alan Patrick Lourenço";"AM";"all";"all";"12739";"Alan Patrick";"1991-05-13";"97.96";"22.55";"11";"0";"368";"100";"36.41";"2.92";"1.09";"33.97";"25.82";"4.89";"0.87";"0.5";"10.6";"6.25"
"Alan Patrick Lourenço";"CF";"all";"all";"12739";"Alan Patrick";"1991-05-13";"98.68";"25.93";"7";"0";"227";"100";"39.21";"2.73";"0.44";"35.24";"29.07";"6.61";"0.83";"0.57";"12.78";"8.81"
"Alan Pereira Empereur";"LCB";"all";"all";"19706";"Alan Empereur";"1994-03-10";"99.83";"20.96";"25";"0";"141";"100";"12.06";"0.62";"0";"40.43";"39.72";"0.71";"0.1";"0.09";"1.42";"1.42"
"Alan Steven Franco Palma";"LM";"all";"all";"32423";"Alan Franco";"1998-08-21";"99.66";"25.77";"8";"0";"232";"100";"23.28";"1.67";"0";"24.57";"21.55";"3.02";"0.24";"0.19";"3.88";"2.59"
"Aldemir dos Santos Ferreira";"LW";"all";"all";"28315";"Ferreira";"1997-12-31";"81.35";"22.77";"13";"0";"340";"100";"26.18";"2.03";"0.59";"45.88";"39.71";"4.12";"0.85";"0.59";"9.71";"7.65"
"Alejo Cruz Techera";"LW";"all";"all";"115141";"A. Cruz";"2000-09-01";"91.6";"20.86";"6";"0";"182";"100";"23.63";"1.69";"0";"30.22";"26.37";"5.49";"0.41";"0.36";"6.59";"5.49"
