"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Anderson Luis de Carvalho";"AM";"all";"all";"31535";"Nenê";"1981-07-19";"81.39";"19.05";"7";"2";"76";"100";"68.42";"2.57";"1.91";"59.62";"168.42";"0.81";"40.79";"7.89";"0";"27.63";"22.37";"10.53"
"Anderson Luis de Carvalho";"CF";"all";"all";"31535";"Nenê";"1981-07-19";"70.23";"16.35";"6";"1";"64";"100";"68.75";"1.99";"1.48";"52.27";"162.5";"0.59";"35.94";"4.69";"0";"31.25";"21.88";"6.25"
"Thiago Emiliano da Silva";"RCB";"all";"all";"10253";"Thiago Silva";"1984-09-22";"101.17";"24.6";"14";"0";"137";"100";"50.36";"0.29";"0.12";"98.55";"121.17";"0.11";"49.64";"1.46";"0";"2.19";"0";"0"
"Fernando Luiz Rosa";"LDM";"all";"all";"3387";"Fernandinho";"1985-05-04";"95.86";"23.24";"7";"0";"118";"100";"60.17";"1.49";"0.99";"83.1";"142.37";"0.64";"50";"4.24";"0";"23.73";"15.25";"9.32"
"Pedro Tonon Geromel";"RCB";"all";"all";"3863";"Pedro Geromel";"1985-09-21";"88.82";"19.01";"7";"0";"40";"100";"45";"0.28";"0.17";"94.44";"130";"0.17";"42.5";"0";"0";"2.5";"2.5";"2.5"
"Givanildo Vieira de Souza";"CF";"all";"all";"43781";"Hulk";"1986-07-25";"97.12";"26.29";"16";"0";"172";"100";"74.42";"2.99";"2.26";"67.97";"157.56";"1.11";"50.58";"4.65";"0.58";"44.19";"33.14";"19.77"
"Éder Citadin Martins";"CF";"all";"all";"35106";"Éder";"1986-11-15";"69.25";"13.07";"7";"0";"58";"100";"67.24";"3.82";"2.98";"71.79";"184.48";"1.65";"48.28";"15.52";"5.17";"55.17";"36.21";"22.41"
"Rodrigo Fagundes";"RCB";"all";"all";"172948";"Rodrigo";"1987-03-10";"102.22";"19.49";"30";"0";"265";"100";"55.85";"0.46";"0.21";"83.11";"130.94";"0.13";"46.42";"1.13";"0";"3.02";"1.13";"0.38"
"Gabriel Iván Mercado";"LCB";"all";"all";"11622";"Gabriel Mercado";"1987-03-18";"102.52";"24.49";"9";"0";"85";"100";"50.59";"0.2";"0.11";"95.35";"123.53";"0.09";"48.24";"0";"0";"0";"0";"0"
"Dimitri  Payet";"AM";"all";"all";"2749";"D. Payet";"1987-03-29";"77.7";"17.67";"8";"0";"116";"100";"77.59";"1.73";"1.38";"77.78";"159.48";"0.9";"60.34";"13.79";"1.72";"27.59";"23.28";"16.38"
"Osvaldo Lourenço Filho";"LW";"all";"all";"28288";"Osvaldo";"1987-04-11";"69.73";"14.37";"6";"0";"51";"100";"74.51";"2.35";"1.42";"73.68";"152.94";"0.9";"54.9";"11.76";"0";"37.25";"27.45";"15.69"
"David Luiz Moreira Marinho";"LCB";"all";"all";"2459";"David Luiz";"1987-04-22";"95.57";"26.74";"12";"0";"122";"100";"50.82";"0.98";"0.53";"77.42";"130.33";"0.33";"39.34";"0.82";"0";"14.75";"6.56";"4.1"
"David Luiz Moreira Marinho";"RCB";"all";"all";"2459";"David Luiz";"1987-04-22";"90.25";"23.23";"6";"0";"64";"100";"57.81";"0.38";"0.23";"86.49";"129.69";"0.16";"50";"3.12";"0";"3.12";"1.56";"1.56"
"Luiz Gustavo Dias";"LDM";"all";"all";"6457";"Luiz Gustavo";"1987-07-23";"97.69";"27.46";"20";"0";"249";"100";"53.82";"0.76";"0.35";"86.57";"122.89";"0.26";"46.59";"2.01";"0";"7.23";"2.41";"1.61"
"Fernando Francisco Reges";"LCB";"all";"all";"3417";"Fernando";"1987-07-25";"100.83";"25.24";"6";"0";"66";"100";"54.55";"0.52";"0.22";"97.22";"122.73";"0.19";"53.03";"4.55";"0";"6.06";"1.52";"0"
"Fernando Francisco Reges";"RDM";"all";"all";"3417";"Fernando";"1987-07-25";"90.97";"19.78";"6";"0";"28";"100";"53.57";"0.77";"0.47";"100";"128.57";"0.47";"53.57";"10.71";"0";"10.71";"7.14";"7.14"
"Germán Ezequiel Cano";"CF";"all";"all";"32887";"G. Cano";"1988-02-02";"81.22";"20.82";"18";"1";"81";"100";"54.32";"1.9";"0.92";"77.27";"134.57";"0.68";"41.98";"9.88";"1.23";"27.16";"16.05";"11.11"
"Cristian Chagas Tarouco";"LCB";"all";"all";"26359";"Titi";"1988-03-12";"98.52";"19";"22";"0";"121";"100";"56.2";"0.52";"0.31";"77.94";"122.31";"0.18";"43.8";"1.65";"0";"4.96";"2.48";"0.83"
"Damián Nicolás Suárez Suárez";"RB";"all";"all";"2123";"D. Suárez";"1988-04-27";"95.76";"20.51";"12";"0";"150";"100";"59.33";"1.15";"0.68";"73.03";"142.67";"0.39";"43.33";"6.67";"0";"15.33";"8.67";"4"
"Marcelo Vieira da Silva Júnior";"LB";"all";"all";"6723";"Marcelo";"1988-05-12";"86.04";"21.51";"12";"0";"175";"100";"53.14";"1.16";"0.71";"79.57";"142.86";"0.37";"42.29";"3.43";"0.57";"16.57";"10.29";"4.57"
"Maicon Pereira Pereira Roque";"RCB";"all";"all";"6556";"Maicon";"1988-09-14";"97.18";"21.49";"20";"0";"176";"100";"49.43";"0.23";"0.13";"85.06";"115.34";"0.09";"42.05";"0.57";"0";"1.7";"0.57";"0.57"
"Thiago Heleno Henrique Ferreira";"LCB";"all";"all";"25248";"Thiago Heleno";"1988-09-17";"99.71";"21.63";"19";"0";"146";"100";"52.74";"0.24";"0.13";"89.61";"122.6";"0.11";"47.26";"1.37";"0";"0.68";"0.68";"0.68"
"Pablo Ezequiel Vegetti Pfaffen";"CF";"all";"all";"531342";"P. Vegetti";"1988-10-15";"98.12";"21.83";"30";"0";"138";"100";"71.74";"2.63";"1.87";"66.67";"145.65";"0.9";"47.83";"7.97";"0.72";"40.58";"27.54";"11.59"
"Víctor Leandro Cuesta";"LCB";"all";"all";"28319";"V. Cuesta";"1988-11-19";"84.9";"20.49";"6";"0";"60";"100";"35";"0.27";"0.07";"95.24";"106.67";"0.05";"33.33";"0";"0";"0";"0";"0"
"Marcos Luis Rocha Aquino";"RB";"all";"all";"24853";"Marcos Rocha";"1988-12-11";"91.53";"20.62";"20";"0";"334";"100";"60.78";"0.72";"0.44";"76.35";"136.83";"0.23";"46.41";"5.09";"0.3";"7.19";"4.49";"1.2"
"Fernando Marçal de Oliveira";"LB";"all";"all";"11227";"Marçal";"1989-02-19";"91.66";"20.61";"8";"0";"83";"100";"59.04";"1.4";"0.74";"65.31";"142.17";"0.24";"38.55";"1.2";"0";"21.69";"10.84";"0"
"Everton Augusto de Barros Ribeiro";"RM";"all";"all";"28256";"Éverton Ribeiro";"1989-04-10";"85.55";"24.38";"21";"0";"394";"100";"65.74";"1.85";"1.22";"78.76";"144.92";"0.71";"51.78";"6.35";"1.02";"25.63";"17.01";"10.66"
"Everton Augusto de Barros Ribeiro";"RW";"all";"all";"28256";"Éverton Ribeiro";"1989-04-10";"85.31";"23.3";"6";"0";"111";"100";"68.47";"1.87";"1.35";"78.95";"152.25";"0.86";"54.05";"7.21";"0.9";"26.13";"19.82";"13.51"
"Yannick Bolasie Yala";"CF";"all";"all";"10960";"Y. Bolasie";"1989-05-24";"90.6";"18.67";"15";"1";"105";"100";"67.62";"2.96";"2.34";"70.42";"177.14";"1.16";"47.62";"10.48";"1.9";"40";"28.57";"15.24"
"Yannick Bolasie Yala";"LF";"all";"all";"10960";"Y. Bolasie";"1989-05-24";"84.7";"16.8";"5";"0";"39";"100";"61.54";"2.67";"1.41";"62.5";"138.46";"0.65";"38.46";"7.69";"0";"53.85";"33.33";"15.38"
"Gilberto Oliveira Souza Júnior";"CF";"all";"all";"28232";"Gilberto";"1989-06-05";"74.17";"16.12";"5";"2";"27";"100";"70.37";"2.1";"1.93";"57.89";"177.78";"0.83";"40.74";"11.11";"0";"22.22";"22.22";"11.11"
"Fágner Conserva Lemos";"RB";"all";"all";"12004";"Fágner";"1989-06-11";"99.74";"23.12";"6";"0";"94";"100";"61.7";"1.12";"0.63";"75.86";"138.3";"0.44";"46.81";"5.32";"0";"14.89";"10.64";"7.45"
