"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Alex Nicolao Telles";"Alex Telles";"515";"1992-12-15";"LB";"Full Back";"83.34";"45.84";"7";"0";"0.71";"1.31";"30.09";"30.72";"7954.52";"132.58";"1302.97";"546.96";"53.85";"243.65";"10.85";"790.61";"64.7";"88.26";"6.92";"60.96";"10.85";"4.67";"2.06"
"Allan Rodrigues de Souza";"Allan";"618";"1997-03-03";"LDM";"Midfield";"84.25";"45.65";"5";"0";"0.82";"1.79";"29.14";"29.14";"9833.76";"163.9";"2219.77";"787.5";"72.02";"257.07";"11.57";"1044.57";"83.59";"91.47";"3.68";"65.45";"9.2";"2.89";"0.53"
"André Martín Carrillo Díaz";"A. Carrillo";"721";"1991-06-14";"RM";"Midfield";"80.25";"43.88";"5";"0";"0.73";"1.53";"28.5";"28.5";"8393.07";"139.88";"1388.04";"609.25";"55.24";"225.6";"9.02";"834.85";"64.26";"84.77";"4.92";"62.07";"9.02";"3.83";"0.55"
"André Ramalho Silva";"André Ramalho";"745";"1992-02-16";"CB";"Central Defender";"104.57";"53.29";"5";"0";"0.72";"null";"28.86";"28.86";"7572.65";"126.21";"1067.53";"359.37";"32.42";"92.32";"4.05";"451.69";"36.48";"84.66";"4.05";"61.02";"6.53";"2.48";"0.68"
"André Ramalho Silva";"André Ramalho";"745";"1992-02-16";"RCB";"Central Defender";"100.27";"50.72";"10";"0";"0.72";"1.6";"27.86";"28.94";"7731.05";"128.85";"1125.87";"341.65";"33.72";"82.46";"3.79";"424.11";"37.5";"81.27";"4.85";"55.84";"6.98";"1.89";"0.47"
"Bruno Henrique Pinto";"Bruno Henrique";"1505";"1990-12-30";"CF";"Center Forward";"89.01";"49.83";"7";"0";"0.6";"1.12";"31.56";"32.28";"7981.27";"133.02";"1258.08";"611.84";"67.94";"311.51";"16.0";"923.35";"83.94";"88.59";"8.26";"64.85";"12.21";"5.85";"1.55"
"Bruno Henrique Pinto";"Bruno Henrique";"1505";"1990-12-30";"LW";"Wide Attacker";"92.86";"48.18";"12";"0";"0.57";"1.09";"32.57";"33.92";"7693.53";"128.23";"1192.74";"581.84";"70.36";"373.57";"17.95";"955.41";"88.31";"89.55";"8.72";"58.63";"15.57";"6.23";"2.91"
"Damián Nicolás Suárez Suárez";"D. Suárez";"2123";"1988-04-27";"RB";"Full Back";"95.76";"49.34";"12";"0";"0.68";"1.71";"28.52";"29.48";"8015.99";"133.6";"1294.52";"525.65";"51.38";"171.57";"8.51";"697.22";"59.89";"88.57";"5.07";"63.84";"10.13";"2.74";"1.11"
"David Luiz Moreira Marinho";"David Luiz";"2459";"1987-04-22";"LCB";"Central Defender";"95.57";"54.19";"12";"0";"0.74";"null";"28.68";"30.62";"6955.03";"115.92";"804.66";"271.45";"25.93";"72.06";"3.32";"343.51";"29.25";"71.69";"3.14";"50.56";"5.35";"1.48";"0.09"
"David Luiz Moreira Marinho";"David Luiz";"2459";"1987-04-22";"RCB";"Central Defender";"90.25";"52.66";"6";"0";"0.82";"null";"27.47";"27.64";"7158.03";"119.3";"900.9";"274.79";"29.44";"67.04";"4.56";"341.83";"33.99";"72.73";"3.23";"53.93";"5.7";"1.9";"0.57"
"Deyverson Brum Silva Acosta";"Deyverson";"2667";"1991-05-08";"CF";"Center Forward";"85.55";"45.21";"12";"0";"0.69";"1.44";"29.1";"29.9";"8009.28";"133.49";"1265.07";"577.12";"56.74";"219.66";"11.17";"796.78";"67.91";"81.4";"6.97";"57.07";"13.27";"4.31";"1.11"
"Dimitri  Payet";"D. Payet";"2749";"1987-03-29";"AM";"Midfield";"78.6";"41.29";"7";"0";"0.83";"null";"27.13";"27.64";"8253.36";"137.56";"1415.0";"494.5";"42.97";"118.75";"4.98";"613.25";"47.96";"77.23";"2.7";"60.41";"8.3";"1.45";"0.0"
"Edenilson Andrade dos Santos";"Edenílson";"2917";"1989-12-18";"RW";"Wide Attacker";"85.77";"47.32";"6";"0";"0.73";"1.58";"29.7";"30.1";"8365.41";"139.42";"1436.32";"698.83";"59.38";"256.33";"11.2";"955.15";"70.58";"83.68";"4.02";"60.44";"9.51";"2.54";"0.85"
"Enner Remberto Valencia Lastra";"Enner Valencia";"3106";"1989-11-04";"CF";"Center Forward";"85.14";"45.71";"8";"0";"0.59";"1.3";"29.2";"29.74";"8084.95";"134.75";"1198.8";"501.54";"55.29";"199.83";"10.66";"701.36";"65.95";"80.72";"5.58";"55.45";"10.5";"3.94";"1.64"
"Erick Antonio Pulgar Farfán";"E. Pulgar";"3144";"1994-01-15";"RDM";"Midfield";"95.22";"49.72";"10";"0";"0.68";"1.46";"28.64";"29.14";"9557.4";"159.29";"1802.59";"649.42";"59.14";"189.36";"9.66";"838.78";"68.79";"92.33";"3.62";"69.52";"8.69";"2.41";"0.72"
"Erick Antonio Pulgar Farfán";"E. Pulgar";"3144";"1994-01-15";"RM";"Midfield";"100.25";"56.25";"5";"0";"0.7";"1.34";"29.3";"29.3";"9469.23";"157.82";"1695.79";"551.47";"55.25";"173.01";"7.68";"724.48";"62.93";"82.13";"3.63";"63.15";"8.96";"2.13";"0.43"
"Felipe  Anderson Pereira Gomes";"Felipe Anderson";"3353";"1993-04-15";"LW";"Wide Attacker";"84.2";"43.96";"13";"0";"0.63";"1.26";"29.8";"31.22";"8923.35";"148.72";"1802.83";"801.14";"74.44";"331.69";"15.85";"1132.84";"90.3";"103.53";"7.03";"70.77";"12.81";"5.56";"1.89"
"Fernando Luiz Rosa";"Fernandinho";"3387";"1985-05-04";"LDM";"Midfield";"95.86";"51.93";"7";"0";"0.67";"1.59";"27.4";"27.9";"8382.01";"139.7";"1680.0";"487.92";"40.94";"107.29";"4.62";"595.21";"45.56";"91.94";"4.13";"70.32";"6.11";"2.48";"0.66"
"Fernando Francisco Reges";"Fernando";"3417";"1987-07-25";"LCB";"Central Defender";"100.83";"55.74";"6";"0";"0.68";"1.55";"28.67";"29.0";"8007.38";"133.46";"1148.81";"442.98";"43.6";"136.36";"7.71";"579.34";"51.31";"94.19";"5.56";"68.18";"9.87";"4.66";"0.36"
