Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Abner Salles da Silva,EC Juventude,"Serie A, Brasil",2025,727,8.07,9,Right Centre Back,,Man,Brazil,21,18/04/04,189,0,0,0.01,0.07,0.12,0,0,0,,0,0.12,0.01,0.25,0.12,0.01,0.25,0,0,0,0.12,0.02,0.37,0.1,0.62,0.62,0,100,0.5,0,0,0.37,1.24,0.67,4.21,2.84,10.9,6.32,0.06,4.83,22.94,1.11,6.19,0.99,2.23,40,0.64,1.31,0.74,20,1.49,75,2.23,0,9.41,6.34,3.1,1.36,0.5,25.42,0.87,9,0.37,27,0.12,0,0,38.52,87,4.83,10,65,5.7,5.94,18,76,-11,30.62,1.73,0.11,0.12,32.82,99,5.31,1.86,0.25,0.25,0,0,0.37,0.62,0.12,0,0,,0,33,65,1,67,33,0,23.86,24.12,0.93,90,0.25,22.14,21.72,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,12,2.24,22,0.05,0.04,0.16,-0.01,,0.25
Adam Bareiro,Fortaleza,"Serie A, Brasil",2025,50,0.56,3,Left Centre Forward,Centre Forward,Man,Paraguay,29,25/07/96,184,0,0,0.59,0.16,3.6,0,50,6,,0.2,0,0,0,0,0,0,0,0,0,0,0.59,3.6,-0.59,0,0,0,,0,0,1.8,5.39,0,0,1.8,1.16,28.76,10.79,0,5.39,66.31,5.39,5.39,0,0,0,0,0,7.19,0,1.8,57,7.19,0,23.37,15.4,5.39,3.6,0,70.36,21.57,92,3.6,100,0,0,0,25.17,67,3.6,14,100,1.8,3.6,33,60,-7,63.8,1.8,1.47,1.7,21.57,67,4.51,8.99,0,0,0,1.8,12.58,12.58,0,,0,,1.8,7,67,27,0,60,40,16.02,11.62,1.08,76,-4.41,17.34,8.86,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,7,2.52,18,-0.16,-0.23,-0.09,-0.1,,-0.58
Ademir da Silva Santos Junior,Bahia,"Serie A, Brasil",2025,855,9.49,12,Right Wing,Right Midfielder,Man,Brazil,30,15/02/95,172,0,0,0.16,0.11,1.47,0,21,2,,0.02,0.11,0.15,1.05,0.11,0.15,1.05,0,0,0,0.11,0.31,2.53,-0.21,3.79,2,1.79,53,2.84,0,2.32,3.79,0.32,0.44,0.21,0.25,24.75,12.53,0,4.84,58.85,2.63,4.84,1.26,1.58,52,1.36,1.8,1.47,21,1.16,30,0.84,0,22.01,27.1,3.9,2.11,0.32,60.53,15.06,68,2,95,0.21,0,0,28.23,75,1.79,84,50,1.16,2.63,22,70,-6,68.48,3.69,0.63,0.83,35.18,85,6.39,14.01,1.37,1.26,0.11,0.95,5.37,6.64,0,31,1.37,36,1.16,11,69,20,14,64,22,18.03,20.38,0.92,95,2.34,16.54,19.38,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,11,5.5,38,0.02,0.17,0.03,-0.1,,0.12
Aderlan,Santos,"Serie A, Brasil",2025,94,1.04,2,Right Back,,Man,Brazil,35,17/08/90,180,0,0,0.02,0.02,0.96,0,0,0,,0,0,0.11,1.92,0,0.11,1.92,0,0,0,0,0.13,2.88,-0.13,0,0,0,,1.92,0,1.92,0.96,0.96,1.6,0.96,1.14,11.53,6.72,0,8.64,58.87,4.8,9.61,1.92,2.88,100,2.73,4.33,0.96,100,0,33,0.96,0,8.64,12.99,4.8,2.88,0.96,59.56,4.8,56,1.92,67,0,0,0,38.42,77,3.84,0,67,0.96,5.76,15,43,-34,46.06,6.72,0.21,0.25,32.66,91,5.66,7.68,0.96,0.96,0,0.96,2.88,3.84,0,0,0.96,33,0.96,26,66,9,13,75,13,18.47,12.51,0.97,134,-5.96,17.98,16.75,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,6,5.76,38,0.3,0.11,0.03,-0.03,,0.4
Adriano Martins da Fonseca,EC Juventude,"Serie A, Brasil",2025,405,4.5,5,Left Centre Back,Right Centre Back,Man,Brazil,28,31/03/97,193,0,0,0.05,0.07,0.67,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.05,0.67,-0.05,0,0,0,,0.22,0,0.22,0,2.22,1.29,5.55,4.62,7.77,5.55,0.04,4.44,24.4,0.89,6.66,0.89,3.11,100,0.52,1.81,0.67,100,0,45,2.22,0,6.22,4.97,2.44,0.44,0.22,28.01,0.67,11,0.44,100,0.22,0,0,39.07,92,4,8,95,5.99,3.77,14,82,-10,30.55,0.89,0.21,0.22,32.19,99,3.88,1.33,0,0,0,0,1.55,1.55,0,,0,,0,23,73,5,50,33,17,22.13,19.71,1.01,111,-2.42,22.46,21.85,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,13,2.44,21,0.02,-0.01,0.03,-0.03,,0.01
Adson Ferreira Soares,Vasco da Gama,"Serie A, Brasil",2025,262,2.91,10,Right Wing,Centre Attacking Midfielder,Man,Brazil,25,05/10/00,168,0,0,0.05,0.04,1.03,0,67,1,,0.06,0,0.11,1.37,0,0.11,1.37,0,0,0,0,0.16,2.4,-0.16,4.46,1.37,3.09,31,2.06,0,0,3.77,0,0,1.03,0.93,16.47,6.52,0,3.43,46.92,2.4,4.8,1.72,1.72,83,2.36,2.36,0.69,100,0.34,50,1.03,0,14.07,17.09,2.4,4.46,0,50.86,6.86,49,3.77,85,0,0,0,50.78,85,0.69,94,67,1.72,0.34,23,74,-11,64.46,6.18,0.53,0.58,52.84,93,4.87,26.42,1.72,1.72,0,0.69,2.4,4.12,0,20,0.34,17,0.69,12,72,16,12,73,16,13.62,15.52,0.99,98,1.91,13.46,15.24,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,7,7.14,55,-0.02,0.1,0,0.01,,0.1
Agustín Canobbio,Fluminense,"Serie A, Brasil",2025,654,7.26,10,Left Wing,Left Midfielder,Man,Uruguay,27,30/09/98,175,0.14,0.14,0.1,0.06,1.51,9,27,2,,0.05,0,0.03,0.69,0,0.02,0.55,0,0.01,0.14,0.14,0.12,2.2,0.02,1.65,0.96,0.69,58,1.79,0,2.34,3.99,0.96,0.93,0.69,0.77,35.12,18.45,0,5.78,48.36,1.24,3.44,2.48,3.44,53,2.9,3.83,1.93,33,2.2,18,0.28,0,30.71,32.67,4.68,6.2,0.41,49.31,14.05,46,4.54,73,0.28,0,0,22.17,83,0.69,9,50,0.96,1.1,26,80,-3,60.32,3.03,0.28,0.31,28.09,79,5.95,7.99,0.83,0.41,0.41,0.14,3.44,3.86,0,17,0.28,18,0.28,9,68,23,10,62,28,14.51,13.13,0.96,103,-1.38,14,13.58,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,12,3.53,35,-0.05,0.04,0.04,-0.09,,-0.06
Agustín Giay,Palmeiras,"Serie A, Brasil",2025,1294,14.38,14,Right Back,Right Centre Back,Man,Argentina,21,15/01/04,180,0,0,0.01,0.04,0.35,0,0,0,,0,0,0.03,0.63,0,0.03,0.63,0,0,0,0,0.05,0.97,-0.05,0.83,0.35,0.49,42,1.6,0,0.63,1.11,1.46,1.34,2.02,2.06,20.8,10.09,0.04,6.54,33.98,2.78,6.96,3.27,4.73,78,3.23,4.57,1.25,66,0.9,62,1.11,0,16.41,16.67,4.45,3.2,0.63,37.15,5.08,31,2.3,72,0,0,0,40.41,83,3.96,5,64,2.85,5.36,12,72,-11,45.58,4.73,0.32,0.35,36.1,96,4.89,8,0.28,0.28,0,0,0.35,0.63,0,50,0.21,30,0.07,27,64,9,25,58,17,20.73,21.2,0.95,93,0.48,19.77,19.65,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,11,4.29,27,0.06,0.06,0.03,-0.02,,0.13
Agustín Rogel,Internacional,"Serie A, Brasil",2025,505,5.61,5,Right Centre Back,,Man,Uruguay,28,16/10/97,191,0,0,0.03,0.08,0.36,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.03,0.36,-0.03,0,0,0,,0.18,0,0.18,0,0.53,0.68,2.14,2.75,9.62,3.92,0.13,3.03,29.32,2.14,8.91,1.43,1.96,73,2.22,2.89,1.25,63,0.53,74,2.5,0,6.95,9.63,1.96,1.25,0.36,32,1.25,18,0.53,43,0,0,0,43.49,89,2.5,5,64,2.67,3.39,11,71,-17,34.62,1.78,0.48,0.5,33.51,99,3.07,1.78,0,0,0,0,1.07,1.07,0.18,,0,,0,20,78,2,20,80,0,22.03,20.29,0.96,91,-1.74,21.26,18.43,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,8,3.74,23,0.02,0.02,-0.02,-0.03,,-0.01
Agustín Rossi,Flamengo,"Serie A, Brasil",2025,1574,17.49,16,Goalkeeper,,Man,Argentina,30,20/08/95,193,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.23,0,0,0,0,0,0.06,0.08,0.23,0.06,0,4.92,3.54,0,1.72,0,0,0,0,0,0,0,0.06,,0,0,0.23,0.34,0.06,0,0,19.33,0,0,0,,0.06,0,0,22.3,83,4.46,6,51,2.23,6.63,18,77,-6,11.28,0.46,0.29,0.29,18.75,100,4.66,0.4,0,0,0,0,0,0,0,,0,,0,29,71,0,100,0,0,31.7,34.98,0.82,86,3.28,25.88,30.22,0.34,0.43,0.08,85,81,4,0.56,2.29,30,7.6,1.7,0.11,0,16.26,7,10,2,1.7,10,0.04,0.04,0,,0.15,0.24
