Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Hugo Souza,Corinthians,"Serie A, Brasil",2026,839,Goalkeeper,Brazil,27,30/01/99,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.11,0,0,0,0,0,0,0,0.32,0,0,4.51,2.45,0,3.54,0,0,,0,0,0.11,,0,,0,0.11,0.21,0.26,0.11,0,0,8.7,0,0,0,,0.11,0,0,17.28,72,5.26,11,45,2.79,9.01,17,51,-21,11.01,0.43,0.1,0.1,16.1,100,5.06,0.43,0,0,0,0,0,0,0,,0,,0,39,61,0,75,25,0,37.98,44.67,0.75,78,6.69,28.4,34.94,0.64,0.58,-0.07,70,73,-3,0.59,2.15,25,8.48,1.93,0.21,0.11,19.9,-2,17,2,1.38,13,0.05,0.07,-0.06,,-0.05,0.01
Gastón Américo Benavídez,Athletico Paranaense,"Serie A, Brasil",2026,837,Right Wing Back,Argentina,31,22/10/95,0,0,0.04,0.11,0.32,0,33,0,,0.01,0.32,0.08,0.97,0.32,0.08,0.97,0,0,0,0.32,0.12,1.29,0.21,0.43,0.22,0.22,50,0.65,0,0.22,0.43,0.86,0.65,1.61,1.43,12.26,7.85,0.03,4.19,36.08,2.69,6.45,0.75,1.61,50,0.44,1.09,1.08,22,0.75,46,0.65,0,10.43,8.06,2.9,1.4,0.54,40.4,3.01,29,0.86,62,0,0,0,31.51,78,2.37,8,56,1.94,3.87,13,87,8,53.06,4.19,0.32,0.42,24.84,99,4.12,8.17,1.08,0.97,0.11,0.11,1.18,2.15,0,30,0.43,29,0.11,25,62,14,32,55,13,20.79,20,0.95,97,-0.8,19.82,19.33,0,0,0,0,0,,0,0,,0,0,0,0,0,0,24,10,6.51,48,0.13,0.04,0.1,-0.02,,0.25
Santos,Athletico Paranaense,"Serie A, Brasil",2026,837,Goalkeeper,Brazil,36,16/03/90,0,0,0,,0,,,0,,0,0,0.01,0.11,0,0.01,0.11,0,0,0,0,0.01,0.11,-0.01,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,5.7,2.64,0,2.37,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0.11,0,0,10,62,4.62,18,41,1.61,9.79,12,45,-17,9.44,1.29,0.08,0.08,8.71,100,5.22,0.43,0,0,0,0,0,0,0,,0,,0,55,45,0,100,0,0,51.02,54.17,0.72,83,3.16,36.61,45.11,0.86,0.8,-0.06,68,70,-2,0.76,2.69,29,9.14,1.81,0,0,16.62,-2,35,6,1.36,10,0.1,0.03,,,0.01,0.14
Wéverton,Grêmio,"Serie A, Brasil",2026,834,Goalkeeper,Brazil,39,12/12/87,0,0,0,,0,,,0,,0,0.11,0.03,0.11,0,0,0,0.11,0.03,0.11,0.11,0.03,0.11,0.08,0,0,0,,0,0,0,0,0,0,0,0,0.22,0.11,0,6.26,2.93,0,2.48,0,0,,0,0,0.11,,0,0,0,0,0.11,0.17,0.11,0,0,10.41,0,0,0,,0.11,0,0,17.38,67,5.83,21,42,2.92,11.01,17,51,-16,13.06,1.08,0.2,0.2,15.55,100,5.75,0.22,0,0,0,0,0,0,0.22,,0,,0,49,50,0,100,0,0,43.41,48.2,0.72,73,4.79,31.15,35.22,1.08,1.04,-0.04,58,60,-1,0.98,2.59,27,9.5,2.09,0.32,0.22,17,1,27,3,1.64,13,0.09,0.07,-0.07,,0.13,0.22
Kevin Stiven Viveros Rodallega,Athletico Paranaense,"Serie A, Brasil",2026,832,Centre Forward,Colombia,26,25/04/00,0.54,0.43,0.5,0.21,2.38,18,50,7,100,0.47,0.11,0.04,0.54,0.11,0.04,0.54,0,0,0,0.54,0.54,2.92,0,1.19,0.43,0.76,36,3.68,0.32,2.06,4.11,0.11,0.02,0.87,0.68,15.04,6.6,0.01,2.81,66.61,1.73,2.71,0.32,0.43,100,0.18,0.2,2.16,,0,17,0.43,0,12.77,11.18,2.38,2.16,0.65,70.49,11.47,90,1.95,90,0.22,0,0,8.33,80,0.43,13,50,0.97,0.76,25,87,7,62.83,1.3,0.34,0.58,14.4,68,6.61,3.9,0.11,0.11,0,0.11,4.65,4.76,0,0,0.11,17,0.11,11,66,24,14,72,14,16.96,11.95,0.97,106,-5.01,16.52,12.62,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,13,1.22,9,-0.04,0.11,0.01,0.18,,0.26
Rafael,São Paulo,"Serie A, Brasil",2026,831,Goalkeeper,Brazil,37,22/06/89,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.11,0.11,0,5.52,1.95,0,1.95,0,0,0,0,0,0,0,0.11,,0,0,0.11,0.17,0,0,0,5.08,0,0,0,,0,0,0,13.75,71,2.71,88,30,1.95,6.93,18,57,-14,10.02,0.11,0.17,0.17,11.91,100,4.88,0.11,0,0,0,0,0,0,0,,0,,0,40,60,0,100,0,0,37.52,40.58,0.72,61,3.06,27.2,24.91,0.54,0.5,-0.05,72,75,-2,0.69,1.95,21,9.31,1.54,0,0,20.45,2,15,2,0.3,2,0.03,0.03,,,-0.08,-0.02
Fabrício Bruno,Cruzeiro,"Serie A, Brasil",2026,830,Right Centre Back,Brazil,30,11/02/96,0,0,0.04,0.05,0.87,0,13,0,,0.01,0,0.01,0.22,0,0.01,0.22,0,0,0,0,0.05,1.08,-0.05,0,0,0,,0.54,0,0,0.11,0.33,0.45,2.93,3.6,6.18,3.03,0.02,2.71,23.55,1.95,9.1,0.98,1.3,75,1.22,1.67,0.43,67,0.33,72,2.28,0,4.77,5.47,1.63,1.19,0.65,28.58,0.76,16,0.33,27,0.22,0,0,59.51,89,6.83,10,77,3.47,8.35,9,67,-21,37.23,4.34,0.34,0.4,49.32,100,4.49,4.88,0.11,0.11,0,0,1.41,1.52,0,0,0,,0,22,77,1,31,64,4,24.23,23.61,0.98,105,-0.63,23.84,24.83,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,6,4.47,30,0.03,0.04,0.03,-0.04,,0.06
Fábio,Fluminense,"Serie A, Brasil",2026,829,Goalkeeper,Brazil,46,29/09/80,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.33,0,0,0.11,0,0,0.11,0.14,0.22,0.11,0,5.32,2.44,0.11,1.52,0,0,,0,0,0.11,,0,,0,0.11,0.11,0.12,0,0,0,5.56,0,0,0,,0.11,0,0,12.05,83,2.71,8,47,2.28,3.58,23,63,-20,8.14,0.11,0.08,0.08,10.64,100,3.56,0.11,0,0,0,0,0,0,0,,0,,0,40,60,1,100,0,0,26.14,37.57,0.78,73,11.43,20.36,27.57,0.87,0.95,0.08,74,72,2,1.01,3.36,34,9.77,1.58,0.11,0.11,19.95,2,14,3,0.92,6,0.03,0.03,-0.1,,0,-0.04
Léo Jardim,Vasco da Gama,"Serie A, Brasil",2026,826,Goalkeeper,Brazil,31,19/03/95,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0.11,0,0.22,0,0,0.11,0,0,0.22,0.11,0,0,0,6.21,2.54,0,3.16,0,0,,0,0,0,,0,100,0.11,0,0,0,0,0,0,,0,,0,,0,0,0,16.56,72,4.68,10,44,3.05,7.84,20,64,-8,11.54,0.54,0.11,0.11,15.14,99,5.4,0.22,0,0,0,0,0,0,0,,0,,0,49,51,0,100,0,0,37.28,39.02,0.76,82,1.74,28.4,32,1.31,0.92,-0.39,52,66,-14,0.62,2.72,30,9.04,1.47,0,0,18.3,-1,22,4,1.26,7,0.06,0.05,0,,-0.35,-0.24
Robert Renan,Vasco da Gama,"Serie A, Brasil",2026,826,Left Centre Back,Brazil,23,10/10/03,0,0,0.03,0.06,0.44,0,0,0,,0,0,0.02,0.54,0,0.01,0.44,0,0.01,0.11,0,0.05,0.98,-0.05,0.33,0.33,0,100,0.33,0,0.33,0.33,1.09,1.04,2.61,2.54,6.65,3.16,0.01,3.59,31.73,2.18,8.61,0.98,2.07,82,1.16,2.2,0.87,33,0.22,60,1.63,0,4.79,5.43,2.07,0.76,0.33,39.25,1.53,32,0.76,100,0,0,0,46.84,86,3.05,82,47,3.38,5.77,9,72,-14,42.51,7.19,0.44,0.46,38.56,100,6.09,9.59,0.33,0.22,0.11,0.22,1.42,1.63,0,0,0.11,33,0.22,31,67,2,43,56,1,21.37,20.6,0.9,90,-0.77,19.19,18.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,9,4.79,27,0.06,0.08,0.06,-0.03,,0.17
