"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Alex Nicolao Telles";"LB";"all";"all";"515";"Alex Telles";"1992-12-15";"83.34";"20.51";"7";"0";"117";"100";"26.5";"73.5";"73.5";"76.04";"82.05";"62.39";"6.84";"4.27";"62.5";"18.8";"9.4";"50"
"Allan Rodrigues de Souza";"LDM";"all";"all";"618";"Allan";"1997-03-03";"84.25";"21.43";"5";"0";"103";"100";"13.59";"86.41";"86.41";"89.66";"84.47";"75.73";"3.88";"2.91";"75";"6.8";"2.91";"42.86"
"André Ramalho Silva";"CB";"all";"all";"745";"André Ramalho";"1992-02-16";"104.57";"23.06";"5";"0";"98";"100";"14.29";"85.71";"85.71";"87.36";"88.78";"77.55";"0";"0";"";"11.22";"4.08";"36.36"
"André Ramalho Silva";"RCB";"all";"all";"745";"André Ramalho";"1992-02-16";"99.72";"23.11";"9";"0";"157";"100";"15.29";"84.71";"84.71";"84.78";"87.9";"74.52";"3.18";"1.91";"60";"11.46";"5.1";"44.44"
"Bruno Henrique Pinto";"CF";"all";"all";"1505";"Bruno Henrique";"1990-12-30";"89.01";"24.73";"7";"0";"121";"100";"23.97";"76.03";"76.03";"81.25";"66.12";"53.72";"19.01";"11.57";"60.87";"19.83";"11.57";"58.33"
"Bruno Henrique Pinto";"LW";"all";"all";"1505";"Bruno Henrique";"1990-12-30";"92.86";"22.12";"12";"0";"191";"100";"23.04";"76.96";"76.96";"84";"52.36";"43.98";"9.95";"6.28";"63.16";"10.99";"6.81";"61.9"
"Damián Nicolás Suárez Suárez";"RB";"all";"all";"2123";"D. Suárez";"1988-04-27";"95.76";"20.51";"12";"0";"221";"100";"29.41";"70.59";"70.59";"71.19";"80.09";"57.01";"4.07";"0.9";"22.22";"23.08";"9.05";"39.22"
"David Luiz Moreira Marinho";"LCB";"all";"all";"2459";"David Luiz";"1987-04-22";"95.57";"26.74";"12";"0";"217";"100";"18.43";"81.57";"81.57";"81.63";"90.32";"73.73";"4.15";"1.84";"44.44";"14.29";"6.45";"45.16"
"David Luiz Moreira Marinho";"RCB";"all";"all";"2459";"David Luiz";"1987-04-22";"90.25";"23.23";"6";"0";"101";"100";"15.84";"84.16";"84.16";"87.8";"81.19";"71.29";"1.98";"1.98";"100";"14.85";"9.9";"66.67"
"Deyverson Brum Silva Acosta";"CF";"all";"all";"2667";"Deyverson";"1991-05-08";"84.59";"21.39";"11";"1";"124";"100";"38.71";"61.29";"61.29";"65.28";"58.06";"37.9";"12.1";"4.03";"33.33";"26.61";"12.9";"48.48"
"Dimitri  Payet";"AM";"all";"all";"2749";"D. Payet";"1987-03-29";"77.7";"17.67";"8";"0";"201";"100";"22.39";"77.61";"77.61";"80.25";"78.11";"62.69";"9.95";"7.46";"75";"15.42";"7.96";"51.61"
"Edenilson Andrade dos Santos";"RW";"all";"all";"2917";"Edenílson";"1989-12-18";"90.04";"17.45";"5";"0";"121";"100";"32.23";"67.77";"67.77";"68.29";"67.77";"46.28";"12.4";"7.44";"60";"22.31";"9.92";"44.44"
