Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
E. Mašović,Bochum,Bochum,"RCB, CB",27,625,0,0.6,0,0.12,Serbia,10.66,6.48,68.89,3.46,41.67,0.86,1.08,0.72,5.33,6.69,0.72,2,0.29,0,0,0,0,0,0,0.09,0,0,1,0.14,0,0,0,0.14,0,0.14,0,1.01,28.57,0.29,0,0,20.02,0,0.14,35.14,83.2,11.52,65,2.59,88.89,18.86,93.13,4.32,36.67,21.56,31.77,0.02,0.14,0,0,0,0,0,3.89,55.56,0.29,50,0.29,0,0.29,0,5.62,48.72,0,,0,,0,0,0,0,,,1.87,,
J. Tolkin,Holstein Kiel,Holstein Kiel,"LWB, LB",23,2217,1,0.96,3,5.57,United States,8.16,5.16,61.42,2.27,58.93,0.12,0.16,0.12,4.87,6.58,0.53,2,0.08,0,0,1.83,0.04,1,0.04,0.04,0,0,9,0.37,33.33,11.111,0.12,2.11,38.46,1.58,53.85,3.57,44.32,0.89,0.89,0.16,26.67,0.93,0.97,37.51,78.68,14.33,66.01,8.32,92.2,8.44,84.62,3.98,46.94,18.91,35.51,0.23,1.83,0.04,0.08,0.04,100,0.28,3.53,58.62,2.07,52.94,0.41,30,0.32,0.85,8.65,59.15,0,,0,,0,0,0,0,,,0.45,,
M. Nawrocki,Hannover 96,Hannover 96,"LCB, CB",25,1142,2,0.86,2,0.15,Germany,9.85,4.81,70.49,6.38,51.85,0.47,0.67,0.95,5.99,8.48,1.02,3,0.24,0,0,0.55,0.16,2,0.16,0.07,2,0.16,6,0.47,33.33,33.333,0.16,0.24,0,0.39,80,1.89,50,0.79,1.42,0.24,38.62,0.47,0.47,54.69,87.75,20.57,80.08,4.57,98.28,23.25,92.88,4.1,46.15,19.51,40.24,0.01,0.24,0,0,0.24,33.33,0.16,7.17,73.63,0.95,50,0.79,60,0.55,0.08,9.06,69.57,0,,0,,0,0,0,0,,,2.68,,
J. Siebert,Lecce,Fortuna Düsseldorf,"RCB, LCB",23,207,0,0.27,0,0.06,Germany,11.74,8.7,70,5.22,75,0,0,0.87,5.65,7.22,1.74,2,0.87,0,0,0.43,0,0,0,0.12,0,0,2,0.87,0,0,0,0.43,100,0,0,2.61,16.67,1.74,1.3,0.43,29.13,0,1.3,37.83,89.66,13.91,87.5,2.61,100,19.13,93.18,3.91,66.67,20.6,41.72,0.03,0.43,0,0,0,0,0,5.22,83.33,1.3,100,0.87,50,0.87,0.43,7.39,76.47,0,,0,,0,0,0,0,,,2.17,,
C. Kleine-Bekel,Bochum,Bochum,LCB,22,20,0,0,0,0,Germany,,,,,,,0,,,20,,0,,0,,,,0,,,0,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,16.51,21.53,,,,,,,,,,,,,,,,,,0,,0,,0,0,0,,,,,,
J. Rasmussen,Kaiserslautern,Kaiserslautern,LCB,28,338,0,0.11,0,0,Denmark,7.99,4.79,72.22,5.86,63.64,0,0,0.53,4.53,6,1.07,0,0,0,0,0,0,0,0,0.03,0,0,1,0.27,0,0,0,0.27,0,0,0,0.8,33.33,0,0.27,0,22.9,0.27,0.53,38.61,84.83,15.71,76.27,2.13,100,15.71,93.22,2.93,45.45,19.06,34.12,0,0,0,0,0,0,0,4.79,72.22,0.8,33.33,0.8,33.33,0.27,0,7.19,55.56,0,,0,,0,0,0,0,,,1.6,,
M. Bauer,Arminia Bielefeld,Arminia Bielefeld,"RCB, CB",26,995,1,1.65,0,0.3,Germany,9.41,6.6,73.97,9.59,51.89,0.54,0.73,0.63,3.98,5.39,0.63,2,0.18,0,0,0.54,0.09,1,0.09,0.15,1,0.09,10,0.9,30,10,0,0.45,40,0.18,50,1.54,58.82,1.45,0.72,0,29.31,0.18,1.09,42.33,86.11,15.65,74.57,3.8,100,18.81,93.27,4.52,58,21.32,35.2,0.03,0.18,0.09,0,0.09,0,0.09,4.16,60.87,1.36,33.33,0.36,50,0.36,0.27,7.6,71.43,0,,0,,0,0,0,0,,,2.71,,
M. Karbownik,Hertha BSC,Hertha BSC,"LB, RB",25,1861,0,0.41,1,1.12,Poland,6.82,5.17,63.55,0.92,21.05,0.15,0.2,0.19,3.39,4.66,0.58,0,0,0,0,1.45,0,0,0,0.02,0,0,10,0.48,10,0,0.05,1.4,24.14,1.69,62.86,4.5,52.69,0.68,2.56,0.73,23.5,1.21,1.06,36.08,78.69,14.22,71.77,7.64,97.47,7.5,80,3.58,50,18.04,28.31,0.05,0.34,0.05,0,0,0,0.19,4.64,62.5,2.03,66.67,0.05,0,0.92,0.29,7.59,58.6,0,,0,,0,0,0,0,,,1.26,,
M. Ivezić,Holstein Kiel,Holstein Kiel,"LCB, RCB",24,1692,0,0.65,1,0.16,Serbia,10.11,7.82,57.82,3.94,40.54,0.59,0.86,0.48,5,7.34,1.65,5,0.27,0,0,0.32,0,0,0,0.03,0,0,3,0.16,33.33,0,0.05,0.27,40,0.27,60,1.81,20.59,0.74,1.12,0.21,36.49,0.21,0.27,54.1,88.69,18.99,76.19,4.68,98.86,24.84,97.22,3.09,51.72,19.46,33.5,0.01,0.11,0.05,0,0.05,0,0.16,4.1,64.94,0.37,28.57,0.16,0,0,0.11,6.54,58.54,0,,0,,0,0,0,0,,,3.24,,
K. Schmidt,Fortuna Düsseldorf,Fortuna Düsseldorf,"LCB, LB",23,1530,1,0.38,0,0.06,Germany,8.65,6.41,68.81,2,61.76,0.29,0.37,0.24,3.94,5.01,0.71,4,0.24,0,0,0.53,0.06,1,0.06,0.02,0,0,4,0.24,25,25,0,0.88,20,0.47,62.5,3.29,44.64,0.65,1.47,0.18,30.59,0.53,1,43.12,87.72,16.88,82.23,6,99.02,14.59,93.55,2.35,47.5,16.55,27.97,0,0.12,0,0,0.06,0,0.06,4.47,84.21,1.12,36.84,0.12,0,0.29,0.24,6,62.75,0,,0,,0,0,0,0,,,2,,
