Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
J. Renson,Patro Eisden,Patro Eisden,RCB,29,2930,1,2.9,0,0.02,Belgium,5.93,2.12,65.22,3.35,55.05,0.12,0.14,0.37,4.42,5.14,0.31,4,0.12,0,0,0.31,0.03,1,0.03,0.09,0,0,18,0.55,38.89,5.556,0,0.03,0,0.12,75,0.52,47.06,1.04,0.15,0.03,15.14,0.18,0.25,27.06,81.5,11.73,67.28,2.37,98.7,11.12,93.09,7.13,56.9,25.75,42.15,0,0.12,0,0,0,0,0.03,5.41,60.8,0.43,14.29,0.34,18.18,0.12,0,6.63,69.44,0,,0,,0,0,0,0,,,1.9,,
J. Devriendt,Patro Eisden,Patro Eisden,GK,27,2930,0,0,0,0,Belgium,2.24,0.15,80,0.65,90.48,0.03,0.04,0,2.09,2.43,0.03,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,8.02,0.18,0.15,14.84,79.92,9.52,70.97,0,0,5.13,97.01,8.14,66.04,37.83,48.19,0,0,0,0,0,0,0,2.49,60.49,0.15,0,0.25,50,0.03,0,6.11,78.89,38,1.17,98,3.01,9,61.22,27.57,0.85,-10.43,-0.32,0,2,0.65
N. Shinton,Beerschot VA,Beerschot VA,GK,24,2923,0,0,0,0.14,Belgium,1.02,0,0,0.46,93.33,0,0,0,1.02,1.38,0,1,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.03,100,0,0,0,17.4,0.34,0.03,27.46,84.53,15.46,73.9,0.03,100,10.72,98.56,10.53,63.16,30.21,48.32,0,0.03,0,0,0,0,0,3.26,46.23,0.25,0,0.15,0,0,0,7.39,77.92,27,0.83,114,3.51,12,76.32,27.51,0.85,0.51,0.016,0.03,1.54,0.46
D. Dessoleil,Francs Borains,Francs Borains,"LCB, CB",33,2813,2,2.4,3,1.12,Belgium,8.09,3.78,68.64,4.19,50.38,0.42,0.48,1.06,5.09,5.93,0.61,3,0.1,0,0,0.29,0.06,2,0.06,0.08,0,0,17,0.54,35.29,11.765,0.1,0.1,66.67,0.06,50,0.74,60.87,0.8,0.51,0,25.98,0.61,0.8,39.35,82.68,18.49,70.59,1.38,90.7,16.73,94.65,6.85,49.07,22.5,39.8,0.04,0.19,0,0.03,0,0,0.16,6.33,52.53,0.7,13.64,0.93,24.14,0.48,0.03,7.71,71.37,0,,0,,0,0,0,0,,,0.99,,
D. Wouters,Lommel SK,Lommel SK,"LCB, RCB",29,2752,3,1.12,0,0.2,Belgium,6.87,3.4,63.46,2.98,52.75,0.1,0.13,1.01,4.61,6.11,0.59,2,0.07,0,0,0.36,0.1,3,0.1,0.04,0,0,8,0.26,37.5,37.5,0,0.16,60,0.2,83.33,1.7,51.92,0.59,0.98,0.03,41.47,0.2,0.88,56.02,90.89,22.89,83.86,2.49,97.37,25.84,96.96,6.61,58.91,20.97,37.35,0.01,0.1,0,0,0,0,0,5.92,77.35,0.33,70,0.33,50,0.26,0.1,9.75,74.5,0,,0,,0,0,0,0,,,1.9,,
L. Rousseau,Patro Eisden,Patro Eisden,CF,22,2738,16,16.25,1,2.82,Belgium,3.71,3.19,53.61,4.73,32.64,0.26,0.31,0.07,1.74,2.03,0.82,3,0.1,0,0,2.83,0.53,13,0.43,0.53,1,0.03,78,2.56,48.72,20.513,0.03,1.05,18.75,2.66,51.85,7.13,36.87,3.52,0.69,0.07,10.22,1.41,0.72,16.3,73.39,4.04,66.67,3.62,85.45,5.19,74.05,1.48,44.44,18.22,32.24,0.09,0.62,0.03,0,0,0,0.26,1.81,70.91,0.79,50,0,0,0.56,0.16,1.74,66.04,0,,0,,0,0,0,0,,,0.07,,
N. Solheid,RFC Seraing,RFC Seraing,"CB, RCB",22,2710,1,1.36,0,0.42,Belgium,11.09,6.84,78.16,5.15,58.06,0.27,0.3,0.5,5.48,6.12,0.63,3,0.1,0,0,0.37,0.03,1,0.03,0.05,1,0.03,10,0.33,50,10,0,0.07,50,0.2,83.33,0.96,44.83,0.63,0.33,0.07,18.3,0.13,0.37,32.61,83.81,12.52,68.44,2.82,100,14.08,93.63,5.55,56.89,21.33,37.64,0.01,0.1,0,0,0,0,0.07,3.52,54.72,0.23,14.29,0.3,22.22,0.13,0.03,5.68,57.31,0,,0,,0,0,0,0,,,2.49,,
S. Gomez van Hoogen,Club Brugge II,Club Brugge II,"LCB, LB",20,2705,0,1.05,0,0.25,Belgium,9.98,6.29,69.31,3.33,46,0.4,0.54,0.96,5.22,7.09,1.16,7,0.23,0,0,0.5,0,0,0,0.03,0,0,8,0.27,37.5,0,0,0.23,42.86,0.4,75,2.53,48.68,0.63,1.63,0,49.81,0.5,0.7,64.31,91.36,24.99,82.96,4.16,97.6,28.08,97.87,4.56,52.55,19.25,37.79,0.01,0.23,0,0,0.07,0,0.1,6.45,75.26,0.7,38.1,0.3,22.22,0.1,0.1,10.18,73.86,0,,0,,0,0,0,0,,,2.06,,
R. Paeshuyse,Eupen,Eupen,"RCB, RB",23,2698,0,0.78,1,0.19,Belgium,9.81,5.87,67.05,2.6,60.26,0.47,0.6,0.67,5.4,6.97,0.67,2,0.07,0,0,0.13,0,0,0,0.03,0,0,6,0.2,0,0,0.03,0.17,20,0.17,60,1.13,47.06,0.57,1.83,0.27,37.93,0.5,0.6,50.94,88.21,19.45,78.22,3.7,95.5,22.25,96.4,5.17,57.42,20.02,40.24,0.01,0.1,0,0.03,0,0,0.03,5.17,76.13,0.37,36.36,0.23,14.29,0.1,0.03,9.24,67.87,0,,0,,0,0,0,0,,,2.03,,
B. Reus,SK Beveren,SK Beveren,GK,24,2685,0,0,0,0,Netherlands,1.41,0.13,50,0.37,81.82,0,0,0,1.34,1.85,0,1,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.17,100,0,0,0.03,15.32,0.57,0.27,22.76,86.45,12.64,78.51,0.03,0,9.15,97.8,8.38,68,31.57,49.27,0,0,0,0,0,0,0,1.68,40,0.13,0,0.1,33.33,0,0,6.34,74.07,22,0.74,80,2.68,11,72.5,23.16,0.78,1.16,0.039,0,1.31,0.37
