Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
J. Hanuš,Jablonec,Jablonec,GK,37,3452,0,0,0,0,Czech Republic,1.33,0.05,50,0.47,94.44,0,0,0,1.3,1.79,0.03,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0,0,0,0,11.5,0.05,0.03,18.33,87.34,9.28,78.37,0.03,0,8.34,97.5,5.58,63.55,28.72,42.28,0,0,0,0,0,0,0,1.23,42.55,0.08,0,0.05,0,0,0,3.99,71.9,33,0.86,128,3.34,16,74.22,36.56,0.95,3.56,0.093,0,1.62,0.47
P. Vindahl,Sparta Praha,Sparta Praha,GK,27,3446,0,0,0,0,Denmark,1.02,0.1,75,0.39,100,0,0,0,0.94,1.62,0,2,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,100,0.18,42.86,0,0.03,0.03,17.42,0.26,0.18,25.36,83.93,13.61,71.02,0,0,11.07,99.29,9.09,58.62,32.95,50.65,0,0,0.03,0,0,0,0,4.57,50.86,0.44,29.41,0.47,38.89,0.16,0,6.14,77.45,44,1.15,126,3.29,8,65.08,35.77,0.93,-8.23,-0.215,0,1.36,0.39
V. Tchanturishvili,Jablonec,Jablonec,"RWB, LWB",31,3370,3,1.37,1,3.33,Georgia,6.78,4.06,59.87,1.52,31.58,0.16,0.22,0.27,4.19,5.78,0.4,4,0.11,0,0,2.78,0.08,3,0.08,0.04,0,0,32,0.85,31.25,9.375,0.03,3.02,46.02,2,56,4.22,41.14,1.18,0.88,0.11,26.25,1.68,0.64,37.01,78.5,13.89,68.85,5.42,95.57,11.38,82.39,5.29,44.95,19.4,36.16,0.09,0.8,0.03,0,0.03,0,0.51,5.69,69.01,3.07,53.91,0.29,18.18,0.77,1.23,9.08,71.76,0,,0,,0,0,0,0,,,0.51,,
M. Beran,Jablonec,Jablonec,"RCMF, LCMF",24,3363,1,0.79,1,1.64,Czech Republic,6.13,4.15,63.23,0.86,12.5,0.11,0.15,0.27,3.4,4.66,0.56,3,0.08,0,0,1.9,0.03,1,0.03,0.02,0,0,31,0.83,16.13,3.226,0.03,1.15,32.56,1.95,68.49,4.52,56.21,0.56,1.71,0.27,31.12,0.16,0.88,46.19,80.53,19.72,67.84,5.83,96.79,15.33,91.45,8.3,51.29,21.04,37.44,0.04,0.59,0.03,0,0.19,28.57,0.16,10.46,67.26,2.92,47.71,0.78,37.93,1.02,0.37,9.71,79.89,0,,0,,0,0,0,0,,,0.96,,
A. Zadražil,Hradec Králové,Hradec Králové,GK,25,3331,0,0,0,0,Czech Republic,2,0.11,75,0.86,96.88,0,0,0,1.92,2.38,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.3,63.64,0,0.03,0,11.13,0.19,0.32,20.24,82.24,13.16,74.95,0,0,6.46,96.65,8.48,61.78,34.46,51.82,0,0,0,0,0,0,0,3.4,54.76,0.22,0,0.22,37.5,0,0,6.27,80.17,32,0.86,148,4,12,78.38,39.46,1.07,7.46,0.202,0,2.7,0.86
S. Dweh,Viktoria Plzeň,Viktoria Plzeň,"RCB, CB",23,3320,5,4.63,0,1.07,Liberia,11.03,7.05,77.69,6.13,65.04,0.3,0.46,0.6,5.26,8.12,1.19,5,0.14,0,0,0.84,0.14,5,0.14,0.13,3,0.08,25,0.68,36,20,0,0.68,44,0.38,71.43,2.11,37.18,1.17,0.35,0,30.5,0.62,0.76,46.22,84.22,19.14,72.38,4.99,96.74,18.03,93.53,6.67,47.56,21.83,38.12,0.03,0.3,0,0,0.03,100,0.11,5.83,66.05,1.14,30.95,0.33,25,0.24,0.3,8.19,68.21,0,,0,,0,0,0,0,,,3.33,,
J. Martinec,Jablonec,Jablonec,RCB,27,3311,4,4.87,2,0.98,Czech Republic,8.29,5.03,66.49,5.25,58.55,0.3,0.41,0.6,4.65,6.42,1.01,6,0.16,0,0,0.98,0.11,4,0.11,0.13,2,0.05,34,0.92,47.06,11.765,0.05,0.52,31.58,0.57,61.9,2.58,60,1.39,1.36,0.22,24.93,0.65,1.52,37.92,83.66,18.43,76.11,2.15,91.14,13.65,93.82,4.51,57.23,19.74,35.12,0.03,0.24,0,0.05,0.05,50,0.05,5.22,69.79,0.76,28.57,0.27,70,0.27,0.16,7.83,67.71,0,,0,,0,0,0,0,,,1.06,,
M. Hruška,Sigma Olomouc,Dukla Praha,GK,30,3290,0,0,0,0,Slovakia,2.05,0.16,83.33,0.82,90,0,0,0,1.91,2.43,0,3,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,100,0,0,0.03,15.65,0.22,0.16,25.06,88.1,15.26,82.97,0.03,100,9.38,97.38,10.26,75.2,31.33,43.73,0,0,0,0,0,0,0,1.81,66.67,0.03,0,0.03,0,0,0,7.88,79.51,54,1.48,152,4.16,10,64.47,48.45,1.33,-5.55,-0.152,0.03,2.05,0.82
N. Tekijaški,Jablonec,Jablonec,CB,28,3264,2,2.43,2,0.7,Serbia,10.23,5.21,74.6,5.4,61.22,0.14,0.19,0.69,6.2,8.5,0.94,8,0.22,0,0,0.61,0.06,2,0.06,0.07,2,0.06,23,0.63,43.48,8.696,0.06,0.22,37.5,0.3,72.73,1.35,57.14,0.85,0.94,0.11,22.44,0.25,0.72,39.9,84.93,15.5,72.95,1.71,95.16,18.56,94.8,5.43,57.87,20.72,36.08,0.02,0.11,0,0,0.06,50,0.08,4.27,63.87,0.66,29.17,0.39,35.71,0.22,0.08,6.51,62.29,0,,0,,0,0,0,0,,,0.99,,
P. Šulc,Olympique Lyonnais,Viktoria Plzeň,"LWF, AMF, RCMF",24,3263,15,13.34,8,6.53,Czech Republic,6.07,4.28,58.71,3.83,43.17,0.22,0.34,0.08,3.34,5.15,0.77,0,0,0,0,3.7,0.41,11,0.3,0.37,2,0.06,77,2.12,46.75,19.481,0.22,2.12,46.75,2.9,53.33,7.92,38.33,4.08,2.54,1.08,22.84,1.65,0.8,33.13,73.77,10.95,61.96,6.95,92.46,8.03,75.26,2.87,44.23,16.71,28.42,0.18,1.3,0.08,0.06,0.36,46.15,0.91,4.16,58.28,3.28,57.98,0.8,37.93,1.85,0.83,4.83,78.29,0,,0,,0,0,0,0,,,0.22,,
