"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Alejandro Esteban Azócar Machuca";"CF";"all";"all";"811936";"A. Azócar";"2000-10-19";"92.16";"16.81";"5";"0";"133";"100";"51.13";"3.2";"0.75";"41.35";"18.8";"2.26";"1.3";"0.37";"20.3";"7.52"
"Alejandro Maximiliano Camargo";"LDM";"all";"all";"28500";"A. Camargo";"1989-06-12";"89.95";"17.21";"5";"0";"69";"100";"4.35";"0.51";"0";"23.19";"20.29";"0";"0.1";"0.1";"0";"0"
"Alejandro Maximiliano Camargo";"LM";"all";"all";"28500";"A. Camargo";"1989-06-12";"90.15";"14.46";"10";"0";"81";"100";"20.99";"1.4";"0";"25.93";"23.46";"4.94";"0.14";"0.13";"2.47";"2.47"
"Antonio Andrés Castillo Navarrete";"LB";"all";"all";"28436";"A. Castillo";"1998-11-15";"94.28";"18.84";"12";"1";"173";"100";"10.4";"0.97";"0";"31.79";"28.32";"2.31";"0.28";"0.26";"3.47";"3.47"
"Arnaldo Castillo Benega";"CF";"all";"all";"531465";"A. Castillo";"1997-05-09";"90.15";"17.88";"15";"0";"378";"100";"63.23";"4.51";"0.79";"33.33";"17.72";"3.97";"1.39";"0.66";"19.05";"8.73"
"Antonio Alejandro Ceza Gavilán";"RCB";"all";"all";"48218";"A. Ceza";"2002-11-23";"101.67";"19.69";"7";"0";"16";"100";"18.75";"1.36";"0";"43.75";"43.75";"0";"0.02";"0.02";"0";"0"
"Andrés Eliseo Chávez";"CF";"all";"all";"28554";"A. Chávez";"1991-03-21";"96.86";"18.4";"13";"0";"336";"100";"63.69";"4.43";"1.19";"37.2";"19.94";"4.76";"1.53";"0.72";"22.32";"11.01"
"Antonio Alejandro Díaz Campos";"LB";"all";"all";"28455";"A. Díaz";"2000-04-26";"97.75";"19.62";"11";"0";"285";"100";"17.54";"1.16";"1.05";"35.09";"29.12";"3.51";"0.37";"0.31";"4.91";"3.86"
"Carlos Agustín Farías";"DM";"all";"all";"28461";"A. Farías";"1987-12-25";"92.68";"17.98";"5";"0";"101";"100";"4.95";"0.33";"0";"29.7";"29.7";"0";"0.06";"0.06";"0.99";"0.99"
"Carlos Agustín Farías";"RM";"all";"all";"28461";"A. Farías";"1987-12-25";"88.27";"14.46";"5";"1";"75";"100";"2.67";"0.36";"0";"30.67";"26.67";"1.33";"0.23";"0.16";"2.67";"1.33"
"Ariel Elías Martínez Arce";"LM";"all";"all";"23599";"A. Martínez";"1994-01-10";"81.98";"15.01";"5";"0";"54";"100";"33.33";"2.31";"0";"29.63";"20.37";"1.85";"0.99";"0.21";"9.26";"3.7"
"Ariel Elías Martínez Arce";"RM";"all";"all";"23599";"A. Martínez";"1994-01-10";"82.16";"16.75";"7";"0";"68";"100";"26.47";"2.41";"1.47";"32.35";"22.06";"1.47";"0.49";"0.11";"4.41";"1.47"
"Agustín Nadruz Blanco";"DM";"all";"all";"71043";"A. Nadruz";"1996-06-29";"101.06";"19.99";"22";"0";"273";"100";"14.29";"1.2";"0";"24.54";"22.71";"1.83";"0.23";"0.23";"1.47";"1.47"
"Alfonso Cristián Parot Rojas";"LCB";"all";"all";"18287";"A. Parot";"1989-10-15";"93.88";"17.72";"5";"0";"37";"100";"2.7";"0.19";"0";"43.24";"43.24";"0";"0.02";"0.02";"0";"0"
"Álvaro Sebastián Ramos Sepúlveda";"CF";"all";"all";"115100";"A. Ramos";"1992-04-14";"99.34";"21.92";"5";"0";"111";"100";"67.57";"4.33";"0.9";"37.84";"17.12";"5.41";"1.84";"0.79";"26.13";"10.81"
