"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Jorge Sebastián Sáez";"CF";"all";"all";"39370";"S. Sáez";"1985-01-24";"75.43";"16.08";"6";"0";"59";"100";"71.19";"2.56";"1.9";"71.43";"166.1";"1.29";"50.85";"10.17";"1.69";"37.29";"28.81";"16.95"
"Edson Raúl Puch Cortés";"LF";"all";"all";"28485";"E. Puch";"1986-04-09";"92.51";"19.37";"15";"0";"273";"100";"62.64";"2.43";"1.59";"81.29";"172.16";"0.97";"50.92";"8.06";"2.2";"35.9";"20.51";"13.55"
"Edson Raúl Puch Cortés";"LW";"all";"all";"28485";"E. Puch";"1986-04-09";"98.8";"21.43";"6";"0";"103";"100";"67.96";"2.22";"1.37";"84.29";"188.35";"1.06";"57.28";"11.65";"0.97";"27.18";"17.48";"12.62"
"Gastón Andrés Lezcano";"CF";"all";"all";"38259";"G. Lezcano";"1986-11-21";"72.32";"14.27";"7";"0";"68";"100";"64.71";"1.62";"1.01";"56.82";"163.24";"0.59";"36.76";"8.82";"0";"25";"17.65";"10.29"
"Gabriel Agustín Hauche";"RW";"all";"all";"23327";"G. Hauche";"1986-11-27";"87.18";"15.75";"6";"0";"77";"100";"66.23";"1.98";"1.59";"70.59";"168.83";"0.51";"46.75";"3.9";"0";"22.08";"18.18";"7.79"
"Jorge Luis Luna";"AM";"all";"all";"532067";"J. Luna";"1986-12-14";"97.44";"17.06";"9";"0";"158";"100";"61.39";"2.02";"1.34";"61.86";"156.96";"0.63";"37.97";"5.06";"0.63";"28.48";"20.25";"10.13"
"Jorge Luis Luna";"CF";"all";"all";"532067";"J. Luna";"1986-12-14";"93.16";"16.58";"8";"0";"145";"100";"63.45";"1.77";"1.22";"68.48";"166.21";"0.84";"43.45";"10.34";"1.38";"32.41";"23.45";"16.55"
"Jorge Luis Luna";"DM";"all";"all";"532067";"J. Luna";"1986-12-14";"88.29";"15.21";"5";"0";"66";"100";"62.12";"1.59";"1.15";"65.85";"169.7";"0.7";"40.91";"7.58";"0";"25.76";"19.7";"10.61"
"Marcelo Alfonso Díaz Rojas";"DM";"all";"all";"26559";"M. Díaz";"1986-12-30";"95.02";"22.47";"13";"0";"202";"100";"49.5";"0.79";"0.32";"85";"124.26";"0.25";"42.08";"3.47";"0.99";"9.41";"3.47";"2.97"
"Marcelo Alfonso Díaz Rojas";"RM";"all";"all";"26559";"M. Díaz";"1986-12-30";"92.65";"21.75";"8";"0";"86";"100";"54.65";"1.07";"0.59";"87.23";"132.56";"0.44";"47.67";"4.65";"1.16";"13.95";"8.14";"5.81"
"Víctor Ismael Sosa";"LW";"all";"all";"23273";"I. Sosa";"1987-01-18";"86.34";"15.81";"12";"0";"165";"100";"67.27";"2.56";"1.88";"71.17";"169.7";"1.19";"47.88";"10.91";"0.61";"40.61";"27.88";"15.15"
"Víctor Ismael Sosa";"RW";"all";"all";"23273";"I. Sosa";"1987-01-18";"89.15";"18.6";"7";"0";"100";"100";"72";"2.77";"2.23";"77.78";"158";"1.61";"56";"10";"2";"36";"31";"21"
"Cristian Fernando Suárez Figueroa";"LCB";"all";"all";"28431";"C. Suárez";"1987-02-06";"101.11";"19.97";"24";"0";"207";"100";"43.96";"0.32";"0.13";"94.51";"118.36";"0.1";"41.55";"0";"0";"3.38";"0.97";"0.97"
"Luciano Román Aued";"LDM";"all";"all";"28492";"L. Aued";"1987-03-01";"91.73";"14.82";"5";"0";"39";"100";"58.97";"1.31";"0.92";"78.26";"135.9";"0.55";"46.15";"2.56";"0";"23.08";"15.38";"7.69"
"Luciano Román Aued";"LM";"all";"all";"28492";"L. Aued";"1987-03-01";"94.73";"18.12";"7";"0";"61";"100";"72.13";"1.07";"0.86";"65.91";"139.34";"0.38";"47.54";"3.28";"0";"14.75";"13.11";"4.92"
"Emmanuel Gigliotti";"CF";"all";"all";"34793";"E. Gigliotti";"1987-05-20";"95.35";"16.92";"6";"0";"46";"100";"82.61";"2.68";"2.16";"52.63";"158.7";"0.94";"43.48";"6.52";"0";"41.3";"32.61";"17.39"
"Arturo Erasmo Vidal Pardo";"RM";"all";"all";"1091";"A. Vidal";"1987-05-22";"94.01";"27.31";"15";"0";"327";"100";"58.41";"1.85";"1.17";"80.63";"143.43";"0.66";"47.09";"8.56";"0.61";"24.16";"14.37";"8.56"
"Gonzalo Pablo Castellani";"DM";"all";"all";"28718";"G. Castellani";"1987-08-10";"74.24";"22.31";"6";"0";"70";"100";"50";"0.99";"0.34";"77.14";"120";"0.22";"38.57";"2.86";"0";"11.43";"2.86";"1.43"
"Carlos Agustín Farías";"DM";"all";"all";"28461";"A. Farías";"1987-12-25";"92.68";"17.98";"5";"0";"30";"100";"43.33";"0.77";"0.35";"76.92";"110";"0.24";"33.33";"0";"0";"6.67";"3.33";"3.33"
"Carlos Agustín Farías";"RM";"all";"all";"28461";"A. Farías";"1987-12-25";"88.27";"14.46";"5";"1";"32";"100";"53.12";"1.07";"0.73";"47.06";"140.62";"0.29";"25";"3.12";"0";"21.88";"15.62";"6.25"
"Diego Hernán González";"DM";"all";"all";"28712";"D. González";"1988-02-09";"101.8";"21.66";"8";"0";"104";"100";"65.38";"1.15";"0.87";"77.94";"139.42";"0.65";"50.96";"1.92";"0";"17.31";"11.54";"8.65"
