"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Arturo Erasmo Vidal Pardo";"A. Vidal";"1091";"1987-05-22";"RM";"Midfield";"94.0";"50.18";"15";"0";"0.77";"null";"25.75";"27.1";"8195.81";"136.6";"1404.72";"490.29";"38.74";"66.16";"1.75";"556.45";"40.49";"88.32";"3.35";"68.55";"7.33";"1.67";"0.08"
"Bryan Martín Rabello Mella";"B. Rabello";"1544";"1994-05-16";"CF";"Center Forward";"96.78";"47.94";"5";"0";"0.75";"null";"28.3";"28.3";"8971.34";"149.52";"1570.57";"698.92";"67.34";"203.02";"12.02";"901.94";"79.35";"95.88";"6.26";"65.84";"14.52";"4.26";"0.75"
"Bryan Martín Rabello Mella";"B. Rabello";"1544";"1994-05-16";"LW";"Wide Attacker";"90.95";"44.59";"10";"0";"0.69";"1.3";"28.21";"29.18";"8800.18";"146.67";"1602.87";"662.7";"61.09";"204.13";"11.71";"866.83";"72.8";"94.46";"5.25";"62.97";"12.11";"3.09";"0.94"
"Charles Mariano Aránguiz Sandoval";"C. Aránguiz";"1736";"1989-04-17";"LM";"Midfield";"96.19";"46.62";"8";"0";"0.99";"null";"26.04";"26.42";"10033.48";"167.22";"2645.43";"908.41";"66.76";"107.14";"5.47";"1015.54";"72.23";"112.77";"3.06";"82.36";"8.53";"1.45";"0.32"
"Gary Christofer Kagelmacher Pérez";"G. Kagelmacher";"3763";"1988-04-21";"LCB";"Central Defender";"99.95";"46.39";"14";"0";"0.75";"1.45";"28.27";"29.46";"7771.01";"129.52";"1034.58";"350.4";"35.38";"112.43";"5.27";"462.83";"40.65";"86.47";"4.43";"63.84";"7.94";"2.12";"0.28"
"Mauricio Aníbal Isla Isla";"M. Isla";"7292";"1988-06-12";"RWB";"Full Back";"90.33";"49.48";"6";"0";"0.78";"1.65";"28.87";"29.12";"8474.92";"141.25";"1589.2";"767.21";"65.48";"235.66";"12.94";"1002.87";"78.42";"100.25";"7.68";"70.33";"14.15";"5.66";"0.61"
"Julio Leonel  Mosevich";"L. Mosevich";"16945";"1997-02-04";"RCB";"Central Defender";"101.77";"50.09";"23";"0";"0.63";"1.44";"27.88";"29.76";"7705.03";"128.42";"1011.31";"347.12";"31.56";"91.3";"3.85";"438.42";"35.42";"83.07";"4.64";"59.95";"8.12";"2.29";"0.57"
"Eugenio Esteban Mena Reveco";"E. Mena";"18282";"1988-07-18";"LB";"Full Back";"94.28";"44.02";"20";"0";"0.6";"1.26";"29.45";"30.94";"8832.3";"147.2";"1641.29";"768.86";"69.57";"297.85";"14.99";"1066.71";"84.57";"103.44";"7.5";"73.25";"12.33";"5.25";"1.84"
"Alfonso Cristián Parot Rojas";"A. Parot";"18287";"1989-10-15";"LCB";"Central Defender";"93.88";"45.97";"5";"0";"0.84";"1.56";"27.66";"27.66";"8021.49";"133.69";"1197.39";"367.54";"37.59";"145.14";"6.79";"512.68";"44.38";"84.84";"4.44";"64.22";"6.79";"2.35";"1.83"
"Alejandro Ignacio Jeraldino Jil";"I. Jeraldino";"18292";"1995-12-06";"CF";"Center Forward";"90.17";"45.1";"23";"0";"0.65";"1.28";"28.14";"29.92";"8141.81";"135.7";"1196.55";"508.62";"50.32";"161.67";"8.1";"670.29";"58.42";"75.02";"4.97";"58.02";"9.66";"2.49";"0.58"
"Víctor Ismael Sosa";"I. Sosa";"23273";"1987-01-18";"LW";"Wide Attacker";"84.32";"42.59";"13";"0";"0.72";"1.51";"29.28";"30.48";"8244.04";"137.4";"1487.55";"667.71";"67.18";"248.36";"12.24";"916.06";"79.43";"98.28";"7.59";"65.34";"17.99";"4.88";"1.3"
"Víctor Ismael Sosa";"I. Sosa";"23273";"1987-01-18";"RW";"Wide Attacker";"89.15";"44.2";"7";"0";"0.68";"1.44";"29.77";"30.1";"8111.1";"135.19";"1376.16";"613.03";"59.93";"251.34";"10.86";"864.36";"70.79";"95.22";"6.79";"64.19";"13.96";"4.27";"1.36"
"Gabriel Agustín Hauche";"G. Hauche";"23327";"1986-11-27";"RW";"Wide Attacker";"87.18";"44.11";"6";"0";"0.8";"null";"26.43";"26.98";"9242.37";"154.04";"2049.63";"641.64";"54.64";"113.36";"5.89";"755.01";"60.54";"99.53";"4.08";"76.41";"9.98";"2.27";"0.0"
"Juan Francisco Cornejo Palma";"J. Cornejo";"23399";"1990-02-27";"LB";"Full Back";"95.97";"46.41";"9";"0";"0.83";"1.72";"27.79";"28.78";"8624.89";"143.75";"1502.02";"694.06";"58.32";"159.44";"8.62";"853.5";"66.94";"96.09";"5.03";"66.94";"12.21";"2.73";"0.72"
"Tomás Pablo Asta-Buruaga Montoya";"T. Asta-Buruaga";"23578";"1996-10-11";"RCB";"Central Defender";"101.43";"48.55";"17";"0";"0.63";"1.39";"27.98";"30.08";"7942.32";"132.37";"1193.43";"432.07";"38.24";"118.19";"5.09";"550.27";"43.32";"92.75";"4.58";"67.17";"8.21";"3.13";"0.73"
"Erwin Branco Ampuero Vera";"B. Ampuero";"23580";"1993-07-19";"RB";"Full Back";"99.3";"47.41";"11";"0";"0.72";"1.36";"28.45";"29.42";"8304.63";"138.41";"1384.64";"622.49";"57.06";"201.09";"10.81";"823.58";"67.87";"94.33";"5.06";"68.22";"10.58";"2.88";"1.27"
"Erwin Branco Ampuero Vera";"B. Ampuero";"23580";"1993-07-19";"RCB";"Central Defender";"99.93";"43.94";"12";"0";"0.7";"1.44";"28.56";"29.66";"8082.82";"134.71";"1185.47";"405.51";"36.98";"118.79";"5.46";"524.3";"42.44";"88.75";"4.78";"60.42";"8.19";"3.3";"1.02"
"Osvaldo Javier Bosso Torres";"O. Bosso";"23593";"1993-10-14";"LCB";"Central Defender";"103.02";"49.2";"6";"0";"0.81";"1.58";"27.37";"27.62";"7513.03";"125.22";"958.39";"369.53";"33.13";"92.69";"3.46";"462.22";"36.59";"81.1";"4.47";"59.15";"6.3";"2.44";"0.81"
"Osvaldo Javier Bosso Torres";"O. Bosso";"23593";"1993-10-14";"RCB";"Central Defender";"101.51";"51.94";"9";"0";"0.76";"1.7";"27.03";"27.94";"7765.79";"129.43";"1077.81";"352.85";"31.19";"67.26";"3.34";"420.11";"34.53";"84.2";"3.34";"62.38";"6.03";"1.93";"0.77"
"Nicolás Agustín Ferreyra";"N. Ferreyra";"23594";"1993-03-30";"LCB";"Central Defender";"90.79";"44.22";"6";"0";"0.84";"null";"29.57";"29.86";"7946.32";"132.44";"1094.16";"474.26";"44.1";"134.34";"6.56";"608.59";"50.66";"85.04";"3.62";"61.52";"7.92";"1.36";"0.45"
"Bryan Paul Carrasco Santos";"B. Carrasco";"23598";"1991-01-31";"RW";"Wide Attacker";"80.41";"40.88";"14";"0";"0.65";"1.38";"27.91";"29.02";"8375.54";"139.59";"1628.05";"774.18";"68.36";"217.77";"11.01";"991.95";"79.37";"97.4";"6.19";"68.25";"13.53";"4.51";"1.78"
