"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Jorge Luis Luna";"AM";"all";"all";"532067";"J. Luna";"1986-12-14";"97.44";"17.06";"9";"0";"253";"100";"28.46";"71.54";"71.54";"70.72";"71.54";"50.59";"11.46";"5.14";"44.83";"20.55";"9.09";"44.23"
"Leonardo Felipe Valencia Rossel";"AM";"all";"all";"25152";"L. Valencia";"1991-04-25";"94.3";"19.82";"7";"0";"231";"100";"21.65";"78.35";"78.35";"80.92";"65.8";"53.25";"12.12";"7.79";"64.29";"16.02";"8.23";"51.35"
"Gabriel Maximiliano Graciani";"AM";"all";"all";"40828";"G. Graciani";"1993-11-28";"84.48";"16.43";"6";"0";"125";"100";"36";"64";"64";"69.57";"55.2";"38.4";"15.2";"8.8";"57.89";"19.2";"8.8";"45.83"
"Ariel Alfonso Uribe Lepe";"AM";"all";"all";"43662";"A. Uribe";"1999-02-14";"103.8";"20.9";"5";"0";"206";"100";"25.24";"74.76";"74.76";"79.84";"62.62";"50";"14.56";"9.22";"63.33";"11.65";"3.88";"33.33"
"Carlos Alonso Enrique Palacios Núñez";"AM";"all";"all";"28473";"C. Palacios";"2000-07-20";"89.66";"27.85";"5";"1";"213";"100";"17.84";"82.16";"82.16";"85";"75.12";"63.85";"17.37";"12.21";"70.27";"13.62";"7.98";"58.62"
"Emiliano Javier Amor";"CB";"all";"all";"35584";"E. Amor";"1995-05-16";"98.56";"28.66";"7";"0";"146";"100";"27.4";"72.6";"72.6";"72.86";"95.89";"69.86";"0.68";"0.68";"100";"15.75";"6.85";"43.48"
"Eduardo Gabriel dos Santos Bauermann";"CB";"all";"all";"53209";"Eduardo Bauermann";"1996-02-13";"103.77";"17.98";"6";"0";"82";"100";"25.61";"74.39";"74.39";"76.06";"86.59";"65.85";"0";"0";"";"24.39";"9.76";"40"
"Benjamín José Gazzolo Freire";"CB";"all";"all";"38990";"B. Gazzolo";"1997-07-14";"100.17";"18.73";"8";"0";"96";"100";"23.96";"76.04";"76.04";"79.27";"85.42";"67.71";"1.04";"1.04";"100";"19.79";"14.58";"73.68"
"Franco Ezequiel Calderón";"CB";"all";"all";"26245";"F. Calderón";"1998-05-13";"102.82";"22.43";"11";"0";"151";"100";"23.18";"76.82";"76.82";"81.89";"84.11";"68.87";"1.99";"0";"0";"18.54";"13.25";"71.43"
"Jorge Sebastián Sáez";"CF";"all";"all";"39370";"S. Sáez";"1985-01-24";"75.43";"16.08";"6";"0";"87";"100";"39.08";"60.92";"60.92";"65.52";"66.67";"43.68";"20.69";"9.2";"44.44";"32.18";"16.09";"50"
"Gastón Andrés Lezcano";"CF";"all";"all";"38259";"G. Lezcano";"1986-11-21";"72.32";"14.27";"7";"0";"124";"100";"29.84";"70.16";"70.16";"73.86";"70.97";"52.42";"10.48";"4.84";"46.15";"18.55";"10.48";"56.52"
"Jorge Luis Luna";"CF";"all";"all";"532067";"J. Luna";"1986-12-14";"93.16";"16.58";"8";"0";"202";"100";"23.27";"76.73";"76.73";"77.16";"80.2";"61.88";"15.84";"11.39";"71.88";"25.74";"15.84";"61.54"
"Emmanuel Gigliotti";"CF";"all";"all";"34793";"E. Gigliotti";"1987-05-20";"95.35";"16.92";"6";"0";"83";"100";"42.17";"57.83";"57.83";"56.14";"68.67";"38.55";"22.89";"7.23";"31.58";"26.51";"7.23";"27.27"
"Fernando Matías Zampedri";"CF";"all";"all";"38258";"F. Zampedri";"1988-02-14";"96.09";"17.93";"24";"2";"285";"100";"36.14";"63.86";"63.86";"65.34";"61.75";"40.35";"10.88";"5.26";"48.39";"19.3";"8.07";"41.82"
"Leandro Iván Benegas";"CF";"all";"all";"23682";"L. Benegas";"1988-11-27";"87.62";"22.83";"8";"0";"118";"100";"32.2";"67.8";"67.8";"65.52";"49.15";"32.2";"17.8";"10.17";"57.14";"17.8";"5.08";"28.57"
"Gonzalo Ariel Sosa";"CF";"all";"all";"54622";"G. Sosa";"1989-01-04";"84.78";"17.56";"14";"1";"178";"100";"38.76";"61.24";"61.24";"60.22";"52.25";"31.46";"20.22";"10.11";"50";"26.4";"11.24";"42.55"
"Patricio Rodolfo Rubio Pulgar";"CF";"all";"all";"38431";"P. Rubio";"1989-04-18";"98.2";"17.9";"13";"0";"283";"100";"30.39";"69.61";"69.61";"72.59";"69.61";"50.53";"20.14";"9.89";"49.12";"22.61";"10.25";"45.31"
"Maximiliano Armando Quinteros";"CF";"all";"all";"54613";"M. Quinteros";"1989-04-28";"87.11";"14.87";"17";"0";"280";"100";"33.57";"66.43";"66.43";"71.43";"60";"42.86";"15";"7.5";"50";"18.21";"7.14";"39.22"
"Javier Andrés Parraguez Herrera";"CF";"all";"all";"23706";"J. Parraguez";"1989-12-31";"93.76";"18.14";"7";"1";"95";"100";"23.16";"76.84";"76.84";"81.82";"57.89";"47.37";"15.79";"7.37";"46.67";"12.63";"6.32";"50"
"Isaac Alejandro Díaz Lobos";"CF";"all";"all";"522459";"I. Díaz";"1990-03-24";"85.58";"15.01";"6";"0";"58";"100";"48.28";"51.72";"51.72";"78.57";"48.28";"37.93";"17.24";"13.79";"80";"17.24";"8.62";"50"
"Luciano Daniel Pons";"CF";"all";"all";"36633";"L. Pons";"1990-04-18";"95.46";"21.99";"5";"0";"60";"100";"28.33";"71.67";"71.67";"80";"66.67";"53.33";"15";"10";"66.67";"21.67";"11.67";"53.85"
"Cristian Martín Palacios Ferreira";"CF";"all";"all";"43918";"C. Palacios";"1990-09-02";"85.3";"20.53";"15";"0";"156";"100";"34.62";"65.38";"65.38";"64.65";"63.46";"41.03";"17.95";"7.69";"42.86";"19.23";"8.97";"46.67"
"Leandro Miguel Fernández";"CF";"all";"all";"25441";"L. Fernández";"1991-03-12";"100.16";"22.86";"8";"0";"212";"100";"38.21";"61.79";"61.79";"59.74";"72.64";"43.4";"21.23";"8.96";"42.22";"27.83";"13.21";"47.46"
"Andrés Eliseo Chávez";"CF";"all";"all";"28554";"A. Chávez";"1991-03-21";"96.86";"18.4";"13";"0";"224";"100";"47.32";"52.68";"52.68";"54.46";"50";"27.23";"19.2";"8.93";"46.51";"26.34";"10.71";"40.68"
"Leonardo Felipe Valencia Rossel";"CF";"all";"all";"25152";"L. Valencia";"1991-04-25";"96.48";"20.65";"9";"0";"292";"100";"21.23";"78.77";"78.77";"82.86";"71.92";"59.59";"8.22";"3.77";"45.83";"12.33";"5.14";"41.67"
"Cristian Manuel Insaurralde";"CF";"all";"all";"23627";"C. Insaurralde";"1991-07-20";"99.93";"20.75";"10";"0";"272";"100";"35.29";"64.71";"64.71";"63.95";"54.04";"34.56";"14.34";"8.09";"56.41";"16.91";"5.88";"34.78"
"Matías Rodrigo Campos López";"CF";"all";"all";"38604";"M. Campos";"1991-08-18";"95.22";"20.62";"7";"0";"124";"100";"40.32";"59.68";"59.68";"77.97";"47.58";"37.1";"11.29";"9.68";"85.71";"10.48";"5.65";"53.85"
"Andrés Alejandro Vilches Araneda";"CF";"all";"all";"38845";"A. Vilches";"1992-01-14";"84.45";"18.35";"6";"0";"83";"100";"24.1";"75.9";"75.9";"77.08";"57.83";"44.58";"14.46";"8.43";"58.33";"8.43";"2.41";"28.57"
"Tobías Nahuel Figueroa";"CF";"all";"all";"43657";"T. Figueroa";"1992-02-04";"83.39";"14.67";"9";"0";"147";"100";"31.97";"68.03";"68.03";"73.08";"53.06";"38.78";"6.8";"4.08";"60";"14.97";"8.84";"59.09"
