"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Adrián José Palacios Hernández";"LCB";"all";"all";"178743";"A. Palacios";"2004-06-07";"99.36";"19.18";"5";"0";"21";"100";"0";"0.03";"0";"47.62";"47.62";"0";"0.01";"0.01";"0";"0"
"Adrián Parra Osorio";"CF";"all";"all";"66440";"A. Parra";"1997-01-16";"97.62";"20.09";"10";"5";"192";"100";"51.56";"4.06";"0";"41.15";"27.08";"2.6";"1.63";"0.69";"17.71";"8.85"
"Adrián Parra Osorio";"LW";"all";"all";"66440";"A. Parra";"1997-01-16";"97.88";"20.89";"7";"4";"129";"100";"44.96";"3.05";"0";"37.98";"26.36";"3.1";"0.78";"0.45";"11.63";"5.43"
"Agustín Vuletich";"CF";"all";"all";"290";"A. Vuletich";"1991-11-03";"89.58";"17.6";"5";"0";"126";"100";"67.46";"4.95";"0.79";"30.16";"13.49";"3.17";"1.27";"0.55";"19.84";"9.52"
"Agustín Álvarez Wallace";"RDM";"all";"all";"34304";"A. Álvarez";"2001-04-20";"76.97";"18.21";"6";"0";"102";"100";"8.82";"0.71";"0";"20.59";"18.63";"0";"0.12";"0.09";"0.98";"0"
"Aldair Enrique Zárate Palma";"RM";"all";"all";"548239";"A. Zárate";"1999-02-22";"85.15";"17.46";"7";"0";"150";"100";"10";"0.83";"0";"27.33";"22";"2";"0.19";"0.15";"1.33";"0.67"
"Aldair Yesid Gutiérrez Toncel";"RB";"all";"all";"66559";"A. Gutiérrez";"1998-06-17";"93.58";"18.15";"6";"0";"111";"100";"11.71";"0.86";"0";"38.74";"33.33";"1.8";"0.27";"0.2";"2.7";"0.9"
"Aldair Yesid Gutiérrez Toncel";"RWB";"all";"all";"66559";"A. Gutiérrez";"1998-06-17";"81.76";"15.21";"26";"1";"486";"100";"11.93";"1.02";"0.21";"34.36";"28.81";"2.06";"0.28";"0.24";"3.29";"2.67"
"Alejandro García Castillo";"CF";"all";"all";"35794";"A. García";"2001-02-28";"78.79";"15.92";"5";"0";"134";"100";"24.63";"1.59";"1.49";"37.31";"31.34";"2.99";"0.52";"0.3";"8.21";"4.48"
"Alejandro García Castillo";"LDM";"all";"all";"35794";"A. García";"2001-02-28";"79.81";"16.36";"5";"1";"120";"100";"20.83";"1.55";"0";"27.5";"25";"2.5";"0.37";"0.29";"5";"3.33"
"Alejandro García Castillo";"LM";"all";"all";"35794";"A. García";"2001-02-28";"75.96";"17.57";"5";"0";"126";"100";"20.63";"1.4";"0";"45.24";"36.51";"5.56";"0.76";"0.56";"8.73";"6.35"
"Alejandro Moralez Rocha";"LCB";"all";"all";"43799";"A. Moralez";"2001-04-19";"92.84";"20.33";"6";"2";"29";"100";"0";"0.17";"0";"24.14";"24.14";"0";"0.06";"0.06";"0";"0"
"Alejandro Moralez Rocha";"RCB";"all";"all";"43799";"A. Moralez";"2001-04-19";"96.36";"19.09";"6";"4";"41";"100";"2.44";"0.25";"0";"31.71";"31.71";"2.44";"0.03";"0.03";"0";"0"
"Alejandro Piedrahita Díaz";"LW";"all";"all";"66525";"A. Piedrahita";"2002-09-03";"91.43";"17.61";"17";"0";"471";"100";"36.52";"3.01";"0.21";"35.24";"26.11";"4.67";"0.84";"0.45";"10.62";"6.79"
"Alexander Mejía Sabalsa";"DM";"all";"all";"38152";"A. Mejía";"1988-07-11";"93.77";"19.14";"14";"0";"120";"100";"2.5";"0.29";"0";"34.17";"33.33";"0";"0.04";"0.03";"0";"0"
"Alexander Mejía Sabalsa";"LDM";"all";"all";"38152";"A. Mejía";"1988-07-11";"95.03";"17.78";"7";"0";"50";"100";"4";"0.45";"0";"28";"28";"0";"0.09";"0.09";"2";"2"
"Alexis Zapata Álvarez";"LM";"all";"all";"39210";"A. Zapata";"1995-05-10";"82.48";"15.79";"6";"0";"131";"100";"38.17";"2.7";"0";"38.17";"26.72";"5.34";"1.11";"0.47";"16.79";"9.16"
"Alfonso Simarra Valdez";"LCB";"all";"all";"66516";"A. Simarra";"2000-07-13";"101.28";"21.62";"9";"0";"43";"100";"4.65";"0.34";"0";"39.53";"37.21";"0";"0.03";"0.03";"0";"0"
"Alfredo José Morelos Aviléz";"CF";"all";"all";"11321";"A. Morelos";"1996-06-21";"88.9";"18.82";"16";"0";"423";"100";"63.83";"4.78";"0.95";"33.1";"18.2";"4.26";"1.58";"0.63";"21.28";"8.51"
"Amaury Torralvo Polo";"LW";"all";"all";"43409";"A. Torralvo";"1994-01-12";"79.5";"13.55";"6";"1";"121";"100";"38.02";"2.47";"0";"27.27";"17.36";"2.48";"0.71";"0.29";"11.57";"5.79"
"Anderson Daniel Plata Guillén";"RW";"all";"all";"35814";"A. Plata";"1990-11-08";"83.87";"17.43";"13";"0";"263";"100";"35.74";"2.32";"0";"43.35";"28.52";"3.8";"0.94";"0.44";"14.45";"6.08"
"Anderson Darley Angulo Tenorio";"LCB";"all";"all";"35817";"A. Angulo";"1996-07-01";"99.53";"23.42";"23";"0";"55";"100";"9.09";"0.81";"0";"27.27";"21.82";"0";"0.15";"0.02";"1.82";"0"
"Anderson Darley Angulo Tenorio";"RCB";"all";"all";"35817";"A. Angulo";"1996-07-01";"96.28";"20.96";"6";"0";"13";"100";"0";"0.18";"0";"23.08";"15.38";"0";"0.03";"0.01";"0";"0"
"Andrés Alarcón Mendoza";"RCB";"all";"all";"809894";"A. Alarcón";"2001-05-19";"100.94";"17.03";"11";"2";"35";"100";"8.57";"0.46";"0";"42.86";"40";"2.86";"0.09";"0.01";"2.86";"0"
"Andrés Alarcón Mendoza";"RM";"all";"all";"809894";"A. Alarcón";"2001-05-19";"86.42";"18.21";"6";"0";"122";"100";"25.41";"1.59";"0.82";"30.33";"23.77";"2.46";"0.47";"0.38";"9.02";"7.38"
"Andrés Correa Valencia";"LB";"all";"all";"43405";"A. Correa";"1994-01-29";"99.22";"16.25";"25";"8";"338";"100";"18.05";"1.33";"0";"36.39";"31.07";"3.85";"0.39";"0.29";"5.62";"3.25"
"Andrés De Jesús Sarmiento Salas";"LW";"all";"all";"14764";"A. Sarmiento";"1998-01-15";"74.23";"15.04";"15";"0";"282";"100";"51.42";"3.38";"0";"39.72";"26.95";"7.45";"1.3";"0.75";"19.5";"10.28"
"Andrés Fabián Ponce Núñez";"CF";"all";"all";"15760";"A. Ponce";"1996-11-11";"87.79";"15.92";"10";"1";"275";"100";"59.27";"3.73";"0.73";"40";"16.36";"4.36";"1.5";"0.46";"22.18";"6.91"
"Andrés Felipe Andrade Torres";"LW";"all";"all";"23397";"A. Andrade";"1989-02-23";"78.43";"14.13";"5";"0";"84";"100";"28.57";"1.56";"0";"36.9";"30.95";"3.57";"0.49";"0.33";"7.14";"3.57"
"Andrés Felipe Cadavid Cardona";"LCB";"all";"all";"38275";"A. Cadavid";"1985-12-28";"99.11";"20.12";"8";"1";"30";"100";"6.67";"0.38";"0";"36.67";"33.33";"0";"0.35";"0.13";"6.67";"3.33"
"Andrés Felipe Ibargüen García";"CF";"all";"all";"34770";"A. Ibargüen";"1992-05-07";"87.6";"19.7";"8";"0";"221";"100";"39.37";"2.81";"0.9";"41.18";"29.41";"3.17";"1.13";"0.58";"13.57";"6.79"
"Andrés Felipe Ibargüen García";"LW";"all";"all";"34770";"A. Ibargüen";"1992-05-07";"95.95";"19.72";"5";"0";"128";"100";"35.94";"2.43";"0";"42.97";"28.91";"0.78";"0.83";"0.49";"11.72";"5.47"
"Andrés Felipe Mosquera Guardia";"CB";"all";"all";"36099";"A. Mosquera";"1990-02-20";"94.73";"16.77";"5";"0";"9";"100";"22.22";"0.98";"11.11";"11.11";"11.11";"11.11";"0.34";"0.34";"11.11";"11.11"
"Andrés Felipe Mosquera Guardia";"RCB";"all";"all";"36099";"A. Mosquera";"1990-02-20";"98.4";"18.59";"18";"1";"52";"100";"9.62";"1.02";"0";"28.85";"26.92";"0";"0.08";"0.06";"0";"0"
"Andrés Felipe Román Mosquera";"RB";"all";"all";"39260";"A. Román";"1995-10-05";"99.73";"18.9";"15";"0";"306";"100";"33.99";"2.03";"3.27";"32.03";"23.86";"6.54";"0.54";"0.36";"8.5";"4.9"
"Andrés Jair Rentería Morelo";"CF";"all";"all";"43850";"A. Rentería";"1993-03-06";"86.15";"16.68";"16";"0";"322";"100";"75.16";"5.22";"1.24";"38.51";"17.39";"5.59";"1.84";"0.76";"27.64";"10.87"
"Andrés Llinás Montejo";"RCB";"all";"all";"38958";"A. Llinás";"1997-07-23";"100.73";"21.03";"29";"0";"87";"100";"6.9";"0.49";"0";"31.03";"29.89";"1.15";"0.11";"0.08";"2.3";"1.15"
"Ayron Del Valle Rodríguez";"CF";"all";"all";"36230";"A. Del Valle";"1989-01-27";"86.47";"12.88";"6";"2";"106";"100";"50.94";"4.59";"0";"33.96";"13.21";"0.94";"1.54";"0.58";"18.87";"5.66"
"Baldomero Perlaza Perlaza";"RM";"all";"all";"35726";"B. Perlaza";"1992-06-02";"84.31";"18.82";"11";"0";"224";"100";"35.27";"2.19";"0";"33.93";"25.89";"0.89";"0.59";"0.3";"9.82";"5.36"
"Beckham David Castro Espinosa";"LW";"all";"all";"632719";"B. Castro";"2003-09-12";"86.58";"17.32";"5";"1";"124";"100";"40.32";"2.65";"0";"41.94";"23.39";"4.03";"0.78";"0.43";"12.1";"6.45"
"Bernardo José Espinosa Zúñiga";"LCB";"all";"all";"11481";"B. Espinosa";"1989-07-11";"100.94";"21.58";"5";"0";"19";"100";"0";"0.16";"0";"42.11";"42.11";"0";"0.08";"0.08";"0";"0"
"Billy Vladimir Arce Mina";"AM";"all";"all";"38236";"B. Arce";"1998-07-12";"86.04";"16.83";"12";"0";"190";"100";"21.58";"1.53";"1.05";"40.53";"34.74";"5.26";"0.56";"0.39";"7.89";"4.21"
"Bleiner David Agrón Mosquera";"LCB";"all";"all";"43693";"B. Agrón";"2001-02-24";"97.13";"17.45";"7";"3";"61";"100";"6.56";"0.46";"0";"19.67";"19.67";"0";"0.03";"0.03";"0";"0"
"Brayan Andrés Rovira Ferreira";"LM";"all";"all";"35738";"B. Rovira";"1996-12-02";"88.12";"21.79";"6";"1";"103";"100";"1.94";"0.24";"0";"33.01";"33.01";"0";"0.06";"0.06";"0";"0"
"Brayan Gil Hurtado";"CF";"all";"all";"37038";"B. Gil";"2001-06-28";"85.15";"20.22";"26";"1";"584";"100";"76.37";"5.37";"0.51";"35.79";"18.15";"5.82";"2.01";"0.81";"26.37";"11.99"
"Brayan Léon Muñiz";"CF";"all";"all";"66449";"B. Léon";"2000-10-19";"87.78";"18.21";"20";"0";"462";"100";"65.8";"4.32";"0.43";"34.63";"20.78";"3.03";"1.47";"0.68";"21.43";"11.04"
"Brayan Murillo Cordoba";"LB";"all";"all";"912496";"B. Murillo";"2004-01-27";"86.83";"15.02";"5";"0";"44";"100";"25";"1.42";"0";"31.82";"29.55";"0";"0.32";"0.31";"6.82";"6.82"
"Brayan Stiven Carabali Bonilla";"RCB";"all";"all";"526730";"B. Carabalí";"1999-02-25";"100.03";"19.08";"33";"2";"130";"100";"1.54";"0.2";"0";"35.38";"33.08";"3.08";"0.04";"0.03";"0";"0"
"Brayan Stiven Medina Hurtado";"LCB";"all";"all";"123995";"B. Medina";"2002-03-04";"99.32";"21.08";"8";"0";"40";"100";"27.5";"1.12";"0";"20";"17.5";"2.5";"0.12";"0.08";"2.5";"2.5"
"Brayan Stiven Montaño Montaño";"LCB";"all";"all";"35852";"B. Montaño";"2002-05-02";"100.7";"19.73";"13";"0";"93";"100";"6.45";"0.63";"0";"26.88";"26.88";"0";"0.05";"0.05";"1.08";"1.08"
"Camilo Andrés Charris Martínez";"LW";"all";"all";"70112";"C. Charris";"2001-07-17";"90.65";"14.65";"6";"0";"134";"100";"37.31";"2.93";"0";"32.84";"21.64";"3.73";"0.98";"0.4";"11.19";"5.22"
"Carlos Alberto Henao Sánchez";"LCB";"all";"all";"43991";"C. Henao";"1988-12-03";"96.67";"17.02";"24";"1";"50";"100";"8";"0.37";"0";"32";"28";"2";"0.08";"0.07";"2";"2"
"Carlos Alberto Romaña Mena";"RCB";"all";"all";"118049";"C. Romaña";"1999-11-10";"94.82";"16.63";"19";"1";"79";"100";"5.06";"0.36";"0";"39.24";"34.18";"0";"0.12";"0.07";"1.27";"0"
"Carlos Andrés Ramírez Aguirre";"LCB";"all";"all";"66446";"C. Ramírez";"1988-05-01";"101.26";"16.14";"6";"0";"37";"100";"2.7";"0.32";"0";"35.14";"29.73";"5.41";"0.14";"0.04";"0";"0"
"Carlos Arturo Bacca Ahumada";"CF";"all";"all";"1616";"C. Bacca";"1986-09-08";"85.61";"20.35";"34";"1";"644";"100";"82.14";"6.28";"0.93";"32.92";"15.22";"5.59";"1.99";"0.72";"26.71";"11.34"
"Carlos Darwin Quintero Villalba";"AM";"all";"all";"23334";"D. Quintero";"1987-09-19";"89.64";"19.2";"8";"0";"207";"100";"46.38";"3.26";"0";"49.28";"34.3";"3.38";"1.02";"0.57";"14.98";"8.21"
"Carlos Darwin Quintero Villalba";"CF";"all";"all";"23334";"D. Quintero";"1987-09-19";"94.72";"19.19";"20";"0";"519";"100";"52.02";"3.91";"0.39";"41.81";"27.36";"6.17";"1.21";"0.58";"17.73";"8.09"
"Carlos Eduardo Sarabia Barrios";"RB";"all";"all";"937869";"C. Sarabia";"2005-06-13";"90.61";"20.4";"6";"0";"121";"100";"5.79";"0.7";"0";"30.58";"23.97";"2.48";"0.22";"0.16";"2.48";"1.65"
"Carlos Emiro Garcés Torres";"RCB";"all";"all";"67284";"C. Garcés";"2001-10-11";"96.17";"20.23";"11";"0";"33";"100";"3.03";"0.33";"0";"39.39";"36.36";"3.03";"0.12";"0.08";"0";"0"
"Carlos Manuel Cortes  Barreiro";"CF";"all";"all";"35716";"C. Cortes";"2001-09-17";"84.55";"17.39";"6";"0";"153";"100";"59.48";"4.12";"0";"39.22";"22.22";"7.19";"1.4";"0.66";"20.26";"9.15"
"Carlos Mario Arboleda Ampudia";"RB";"all";"all";"35686";"C. Arboleda";"1986-06-08";"87.12";"15.45";"9";"0";"101";"100";"4.95";"0.53";"0";"41.58";"29.7";"1.98";"0.25";"0.11";"3.96";"0"
"Carlos Mario Pájaro Castro";"RB";"all";"all";"35795";"C. Pájaro";"1998-03-15";"95.23";"17.7";"11";"0";"211";"100";"4.27";"0.52";"0";"34.12";"30.81";"1.9";"0.18";"0.16";"1.9";"1.42"
"Carlos Paternina Molina";"AM";"all";"all";"66471";"C. Paternina";"2001-04-12";"82.3";"14.51";"6";"0";"115";"100";"32.17";"2.64";"0";"27.83";"16.52";"1.74";"0.73";"0.35";"12.17";"3.48"
"Carlos Yesith De Las Salas Simanca";"LB";"all";"all";"66408";"C. De Las Salas";"1998-04-26";"100.21";"18.39";"27";"1";"500";"100";"21.4";"1.42";"0.4";"28.8";"22";"1.2";"0.33";"0.23";"5.2";"3.6"
"Christian Camilo Mafla Rebellón";"LB";"all";"all";"35853";"C. Mafla";"1993-01-15";"99.93";"20.88";"9";"0";"157";"100";"45.86";"2.11";"0.64";"32.48";"24.2";"3.18";"0.69";"0.37";"13.38";"7.64"
"Christian Camilo Mafla Rebellón";"LWB";"all";"all";"35853";"C. Mafla";"1993-01-15";"98.17";"17.08";"18";"1";"329";"100";"45.29";"2.63";"0.61";"35.26";"22.19";"4.26";"0.97";"0.43";"15.5";"7.6"
"Cristian Blanco Betancur";"LB";"all";"all";"35855";"C. Blanco";"1999-01-29";"96.66";"18.65";"10";"1";"144";"100";"15.28";"1.18";"0";"34.03";"25";"0.69";"0.32";"0.2";"4.17";"2.08"
"Cristian Camilo Arrieta Medina";"DM";"all";"all";"35672";"C. Arrieta";"1996-01-03";"88.32";"15.09";"11";"1";"97";"100";"19.59";"1.25";"0";"31.96";"29.9";"4.12";"0.2";"0.18";"4.12";"3.09"
"Cristian Camilo Arrieta Medina";"LM";"all";"all";"35672";"C. Arrieta";"1996-01-03";"98.8";"19.97";"5";"0";"71";"100";"2.82";"0.45";"0";"26.76";"25.35";"0";"0.14";"0.07";"1.41";"0"
"Cristian Darío Barrios Puerta";"RF";"all";"all";"66407";"C. Barrios";"1998-05-19";"93.31";"19.74";"13";"0";"349";"100";"46.7";"3.18";"0.57";"36.68";"19.2";"4.3";"0.87";"0.44";"12.61";"6.59"
"Cristian Darío Barrios Puerta";"RW";"all";"all";"66407";"C. Barrios";"1998-05-19";"88.2";"18.59";"15";"1";"363";"100";"44.9";"3.13";"0.83";"36.91";"25.62";"3.31";"0.76";"0.47";"12.12";"7.16"
"Cristian Eduardo Zapata Valencia";"CB";"all";"all";"2065";"C. Zapata";"1986-09-30";"94.36";"16.95";"6";"0";"9";"100";"22.22";"2.31";"0";"11.11";"11.11";"0";"0";"0";"0";"0"
"Cristian Esteban Trujillo Riascos";"LDM";"all";"all";"35818";"C. Trujillo";"1998-08-08";"93";"20.65";"13";"0";"251";"100";"19.92";"1.47";"0";"26.69";"22.31";"2.39";"0.39";"0.28";"5.18";"2.79"
"Cristian Esteban Trujillo Riascos";"RDM";"all";"all";"35818";"C. Trujillo";"1998-08-08";"97.22";"22.24";"7";"0";"179";"100";"16.2";"0.98";"1.12";"29.61";"25.7";"4.47";"0.26";"0.16";"4.47";"2.79"
"Cristian Martínez Borja";"CF";"all";"all";"38237";"C. Martínez Borja";"1988-01-01";"86.17";"16.24";"15";"0";"285";"100";"53.68";"3.89";"0.35";"32.98";"18.95";"3.86";"1.04";"0.38";"15.09";"6.67"
"César Augusto Hinestroza Lozano";"LB";"all";"all";"37051";"C. Hinestroza";"1989-11-20";"92.46";"19.13";"10";"4";"176";"100";"16.48";"1.15";"0";"33.52";"27.84";"0";"0.33";"0.24";"4.55";"2.27"
"Dairon Estibens Asprilla Rivas";"RW";"all";"all";"23851";"D. Asprilla";"1992-05-25";"80.52";"17.05";"8";"0";"198";"100";"32.32";"2.29";"0";"38.38";"25.25";"2.02";"0.63";"0.34";"10.1";"6.06"
"Dairon Mosquera Chaverra";"LWB";"all";"all";"43798";"D. Mosquera";"1992-07-23";"95.14";"18.45";"6";"0";"57";"100";"29.82";"1.83";"0";"38.6";"29.82";"1.75";"0.48";"0.39";"7.02";"7.02"
"Daniel Alejandro Rivera Garzón";"LCB";"all";"all";"809296";"D. Rivera";"1999-02-28";"99.71";"20.05";"5";"4";"46";"100";"2.17";"0.23";"0";"23.91";"23.91";"0";"0.03";"0.03";"0";"0"
"Daniel Alejandro Rivera Garzón";"RCB";"all";"all";"809296";"D. Rivera";"1999-02-28";"101.48";"21.78";"12";"4";"106";"100";"1.89";"0.19";"0";"35.85";"33.02";"0.94";"0.09";"0.04";"0.94";"0"
"Daniel Alejandro Torres Rojas";"LM";"all";"all";"13888";"D. Torres";"1989-11-15";"95.39";"18.13";"21";"1";"331";"100";"23.87";"1.53";"0";"38.07";"31.72";"3.32";"0.48";"0.36";"8.16";"6.04"
"Daniel Alejandro Torres Rojas";"RM";"all";"all";"13888";"D. Torres";"1989-11-15";"99.15";"16.92";"18";"0";"260";"100";"23.08";"1.56";"0";"31.15";"24.23";"1.92";"0.41";"0.24";"6.92";"3.46"
"Daniel Andrés Mantilla Ossa";"LW";"all";"all";"43400";"D. Mantilla";"1996-12-25";"82.01";"17.37";"7";"0";"219";"100";"47.03";"3.09";"1.37";"35.62";"23.74";"4.57";"0.95";"0.5";"13.7";"7.76"
"Daniel Eduardo Bocanegra Ortíz";"LCB";"all";"all";"38154";"D. Bocanegra";"1987-04-23";"100.75";"18.53";"14";"1";"53";"100";"5.66";"0.36";"0";"47.17";"45.28";"0";"0.02";"0.02";"0";"0"
"Daniel Eduardo Bocanegra Ortíz";"RCB";"all";"all";"38154";"D. Bocanegra";"1987-04-23";"99.98";"21.89";"16";"0";"79";"100";"1.27";"0.11";"0";"55.7";"54.43";"0";"0.07";"0.07";"1.27";"1.27"
"Daniel Eduardo Giraldo Cárdenas";"LDM";"all";"all";"35687";"D. Giraldo";"1992-07-01";"88.23";"19.26";"6";"0";"116";"100";"16.38";"1.01";"0";"37.07";"34.48";"0.86";"0.27";"0.22";"2.59";"1.72"
