"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Hugo Rodallega Martínez";"CF";"all";"all";"4352";"H. Rodallega";"1985-07-25";"94";"17.96";"43";"1";"387";"100";"73.9";"3.05";"2.24";"68.88";"156.85";"1.27";"50.9";"11.37";"1.29";"50.9";"37.47";"22.22"
"Dayro Mauricio Moreno Galindo";"CF";"all";"all";"26541";"D. Moreno";"1985-09-16";"93.8";"18.25";"43";"2";"332";"100";"72.29";"2.63";"1.91";"71.67";"166.27";"1.02";"51.81";"10.54";"2.11";"39.76";"28.92";"15.96"
"Andrés Felipe Cadavid Cardona";"LCB";"all";"all";"38275";"A. Cadavid";"1985-12-28";"99.11";"20.12";"8";"1";"64";"100";"53.12";"0.19";"0.14";"82.35";"117.19";"0.05";"43.75";"0";"0";"0";"0";"0"
"Gustavo Adrián Ramos Vásquez";"CF";"all";"all";"258";"A. Ramos";"1986-01-22";"77.74";"16.39";"12";"0";"89";"100";"76.4";"3.21";"2.38";"70.59";"160.67";"1.81";"53.93";"17.98";"1.12";"50.56";"40.45";"30.34"
"Radamel Falcao García Zárate";"CF";"all";"all";"8771";"R. Falcao";"1986-02-10";"85.95";"19.39";"5";"0";"44";"100";"68.18";"2.71";"1.84";"76.67";"154.55";"1.01";"52.27";"6.82";"0";"34.09";"27.27";"15.91"
"Carlos Mario Arboleda Ampudia";"RB";"all";"all";"35686";"C. Arboleda";"1986-06-08";"87.12";"15.45";"9";"0";"63";"100";"52.38";"0.66";"0.5";"63.64";"138.1";"0.19";"33.33";"3.17";"0";"9.52";"9.52";"3.17"
"Carlos Arturo Bacca Ahumada";"CF";"all";"all";"1616";"C. Bacca";"1986-09-08";"85.61";"20.35";"34";"1";"184";"100";"76.63";"3.76";"3.11";"63.12";"162.5";"1.64";"48.37";"11.41";"1.63";"57.07";"45.11";"27.17"
"Cristian Eduardo Zapata Valencia";"CB";"all";"all";"2065";"C. Zapata";"1986-09-30";"94.36";"16.95";"6";"0";"25";"100";"44";"0.57";"0.23";"81.82";"116";"0.18";"36";"0";"0";"8";"4";"4"
"David Mackalister Silva Mosquera";"AM";"all";"all";"37074";"D. Silva";"1986-12-13";"86.73";"17.14";"10";"0";"172";"100";"64.53";"2.1";"1.41";"77.48";"143.6";"0.96";"50";"7.56";"0.58";"33.72";"21.51";"13.95"
"David Mackalister Silva Mosquera";"LW";"all";"all";"37074";"D. Silva";"1986-12-13";"89.2";"19.86";"6";"0";"101";"100";"71.29";"1.73";"1.31";"76.39";"138.61";"0.79";"54.46";"7.92";"0";"17.82";"12.87";"6.93"
