"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Gustavo Adrián Ramos Vásquez";"A. Ramos";"258";"1986-01-22";"CF";"Center Forward";"77.74";"38.35";"12";"0";"0.65";"1.32";"28.29";"30.02";"7104.83";"118.41";"950.42";"453.31";"43.81";"143.93";"6.52";"597.24";"50.32";"79.01";"6.52";"58.28";"10.3";"4.56";"1.83"
"Agustín Vuletich";"A. Vuletich";"290";"1991-11-03";"CF";"Center Forward";"89.58";"43.58";"5";"0";"0.71";"null";"27.18";"27.18";"8567.86";"142.8";"1746.17";"589.77";"55.34";"169.88";"8.26";"759.65";"63.6";"99.4";"6.06";"69.66";"19.0";"2.2";"0.28"
"Carlos Arturo Bacca Ahumada";"C. Bacca";"1616";"1986-09-08";"CF";"Center Forward";"85.51";"43.13";"37";"0";"0.58";"1.33";"28.34";"31.04";"7180.3";"119.67";"1004.28";"415.19";"42.34";"131.68";"6.5";"546.86";"48.84";"74.79";"6.2";"55.99";"9.78";"3.53";"1.09"
"Cristian Eduardo Zapata Valencia";"C. Zapata";"2065";"1986-09-30";"CB";"Central Defender";"94.36";"43.67";"6";"0";"0.74";"null";"28.22";"28.4";"6824.25";"113.74";"784.94";"286.22";"30.0";"78.54";"4.58";"364.76";"34.58";"82.89";"3.21";"62.05";"5.04";"1.37";"0.23"
"Darwin Zamir Andrade Marmolejo";"D. Andrade";"2383";"1991-02-11";"LB";"Full Back";"96.3";"47.96";"19";"0";"0.83";"null";"26.57";"27.76";"7841.32";"130.69";"1178.49";"528.41";"43.06";"86.64";"4.28";"615.05";"47.34";"91.71";"4.67";"62.22";"10.2";"1.84";"0.07"
"Dorlan Mauricio Pabón Ríos";"D. Pabón";"2850";"1988-01-24";"CF";"Center Forward";"80.63";"40.88";"10";"0";"0.67";"1.38";"28.55";"29.74";"7794.3";"129.91";"1163.8";"426.68";"41.83";"144.43";"6.75";"571.11";"48.58";"81.75";"4.7";"56.07";"8.22";"2.79";"0.88"
"Freddy Hinestroza Arias";"F. Hinestroza";"3675";"1990-04-05";"LW";"Wide Attacker";"82.54";"43.7";"5";"0";"0.76";"null";"29.48";"29.48";"8390.39";"139.84";"1449.61";"480.0";"51.9";"197.16";"8.79";"677.16";"60.69";"102.7";"6.04";"69.2";"10.43";"3.3";"0.82"
"Freddy Hinestroza Arias";"F. Hinestroza";"3675";"1990-04-05";"LWB";"Full Back";"96.99";"44.83";"23";"0";"0.59";"1.3";"29.16";"31.16";"8043.92";"134.07";"1374.75";"504.01";"51.21";"180.11";"9.02";"684.12";"60.23";"99.57";"6.87";"71.75";"11.17";"4.77";"1.69"
"Fredy Henkyer Montero Muñoz";"F. Montero";"3676";"1987-07-26";"CF";"Center Forward";"92.17";"44.27";"12";"0";"0.65";"1.49";"27.86";"29.22";"7236.93";"120.62";"1127.3";"535.58";"51.05";"167.5";"8.47";"703.08";"59.52";"96.57";"6.21";"68.22";"13.21";"3.16";"0.56"
"Hugo Rodallega Martínez";"H. Rodallega";"4352";"1985-07-25";"CF";"Center Forward";"94.24";"44.02";"41";"0";"0.68";"1.27";"28.38";"31.0";"7165.49";"119.42";"951.35";"399.53";"41.36";"123.44";"5.45";"522.97";"46.81";"81.75";"6.02";"57.94";"11.5";"3.32";"0.66"
"Radamel Falcao García Zárate";"R. Falcao";"8771";"1986-02-10";"CF";"Center Forward";"85.95";"43.35";"5";"0";"0.65";"null";"28.66";"28.66";"7214.12";"120.24";"1043.4";"372.07";"40.14";"116.27";"4.15";"488.34";"44.29";"90.8";"6.37";"64.23";"11.35";"4.98";"0.83"
"Alfredo José Morelos Aviléz";"A. Morelos";"11321";"1996-06-21";"CF";"Center Forward";"89.03";"42.83";"17";"0";"0.58";"1.23";"28.02";"30.24";"8117.43";"135.29";"1364.69";"525.37";"47.79";"148.48";"7.09";"673.86";"54.88";"87.84";"6.51";"65.92";"10.46";"3.87";"1.57"
"Bernardo José Espinosa Zúñiga";"B. Espinosa";"11481";"1989-07-11";"LCB";"Central Defender";"100.94";"47.28";"5";"0";"0.86";"null";"27.3";"27.3";"7660.66";"127.68";"1102.03";"403.05";"31.98";"76.9";"3.81";"479.95";"35.79";"89.34";"5.08";"61.68";"7.11";"1.02";"0.25"
"William José Tesillo Gutiérrez";"W. Tesillo";"12071";"1990-02-02";"LCB";"Central Defender";"100.19";"47.09";"23";"0";"0.58";"1.22";"29.41";"31.28";"7677.26";"127.95";"1015.58";"363.14";"36.01";"151.74";"6.37";"514.88";"42.38";"88.8";"5.43";"60.61";"7.98";"3.21";"0.89"
"Luis Manuel Orejuela García";"L. Orejuela";"12375";"1995-08-20";"RB";"Full Back";"97.29";"44.11";"5";"0";"0.62";"1.32";"29.66";"29.66";"8367.35";"139.46";"1473.14";"729.36";"73.72";"292.18";"16.87";"1021.54";"90.59";"96.85";"6.26";"66.38";"13.6";"5.17";"1.36"
"Daniel Alejandro Torres Rojas";"D. Torres";"13888";"1989-11-15";"LM";"Midfield";"95.23";"44.26";"20";"0";"0.67";"1.52";"27.32";"28.86";"8627.37";"143.79";"1713.34";"620.48";"56.06";"144.78";"6.78";"765.27";"62.83";"105.74";"5.63";"77.0";"13.49";"3.32";"0.75"
"Daniel Alejandro Torres Rojas";"D. Torres";"13888";"1989-11-15";"RM";"Midfield";"98.87";"44.31";"17";"0";"0.8";"1.6";"27.64";"29.32";"8747.68";"145.79";"1781.44";"650.31";"59.1";"151.88";"7.17";"802.19";"66.27";"105.13";"5.42";"75.58";"14.97";"2.63";"0.32"
"Andrés De Jesús Sarmiento Salas";"A. Sarmiento";"14764";"1998-01-15";"LW";"Wide Attacker";"74.23";"35.15";"15";"0";"0.59";"1.22";"29.67";"31.36";"8181.98";"136.37";"1368.18";"624.24";"65.77";"237.59";"11.95";"861.82";"77.72";"105.14";"8.31";"67.02";"16.61";"6.71";"2.39"
"Edwin Fabry Castro Barros";"F. Castro";"15095";"1992-02-21";"DM";"Midfield";"99.08";"47.95";"7";"0";"0.74";"null";"26.91";"27.48";"8262.84";"137.71";"1251.96";"389.85";"37.0";"71.32";"3.22";"461.17";"40.22";"99.21";"3.93";"71.86";"10.72";"1.07";"0.18"
"Edwin Fabry Castro Barros";"F. Castro";"15095";"1992-02-21";"LM";"Midfield";"97.73";"44.7";"10";"0";"0.76";"1.69";"27.17";"28.36";"8213.56";"136.89";"1356.38";"451.41";"41.21";"98.66";"3.89";"550.07";"45.1";"101.88";"4.83";"71.54";"11.41";"2.15";"0.4"
"Edwin Fabry Castro Barros";"F. Castro";"15095";"1992-02-21";"RM";"Midfield";"99.5";"46.47";"15";"0";"0.68";"1.71";"27.14";"28.46";"8201.44";"136.69";"1281.12";"423.94";"40.03";"92.45";"4.05";"516.39";"44.07";"102.69";"3.36";"72.74";"11.1";"2.07";"0.26"
"Andrés Fabián Ponce Núñez";"A. Ponce";"15760";"1996-11-11";"CF";"Center Forward";"87.79";"42.3";"10";"0";"0.65";"1.59";"28.05";"29.52";"8389.93";"139.83";"1519.96";"537.81";"52.76";"138.42";"7.94";"676.23";"60.7";"95.31";"5.67";"73.32";"11.91";"3.4";"1.13"
"Guillermo León Celis Montiel";"G. Celis";"16056";"1993-05-08";"DM";"Midfield";"99.77";"46.04";"18";"0";"0.61";"1.39";"28.27";"29.5";"8384.22";"139.74";"1434.12";"664.29";"61.97";"199.81";"10.5";"864.09";"72.47";"90.71";"5.43";"65.81";"12.23";"2.82";"0.87"
"Guillermo León Celis Montiel";"G. Celis";"16056";"1993-05-08";"LM";"Midfield";"94.0";"45.8";"7";"0";"0.69";"1.54";"28.11";"28.54";"8358.01";"139.3";"1402.64";"639.55";"61.39";"186.23";"8.61";"825.79";"70.0";"93.58";"4.68";"69.25";"12.73";"2.62";"0.19"
"Didier Andrés Moreno Asprilla";"D. Moreno";"18220";"1991-09-15";"LDM";"Midfield";"100.33";"51.37";"6";"0";"0.81";"2.09";"26.77";"26.86";"8020.09";"133.67";"1276.95";"383.87";"36.01";"71.63";"3.5";"455.5";"39.52";"80.39";"2.34";"61.51";"6.23";"1.36";"0.39"
