"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Andrés Alarcón Mendoza";"RCB";"all";"all";"809894";"A. Alarcón";"2001-05-19";"100.94";"17.03";"11";"2";"154";"100";"20.78";"79.22";"79.22";"81.25";"83.12";"67.53";"0";"0";"";"16.88";"8.44";"50"
"Andrés Alarcón Mendoza";"RM";"all";"all";"809894";"A. Alarcón";"2001-05-19";"86.42";"18.21";"6";"0";"157";"100";"15.92";"84.08";"84.08";"88.8";"79.62";"70.7";"7.64";"7.01";"91.67";"7.64";"7.01";"91.67"
"Andrés Felipe Andrade Torres";"LW";"all";"all";"23397";"A. Andrade";"1989-02-23";"78.43";"14.13";"5";"0";"128";"100";"26.56";"73.44";"73.44";"71.43";"71.09";"50.78";"12.5";"6.25";"50";"17.97";"7.81";"43.48"
"Anderson Darley Angulo Tenorio";"LCB";"all";"all";"35817";"A. Angulo";"1996-07-01";"99.53";"23.42";"23";"0";"380";"100";"18.16";"81.84";"81.84";"86.29";"84.47";"72.89";"0.53";"0.53";"100";"11.05";"6.05";"54.76"
"Anderson Darley Angulo Tenorio";"RCB";"all";"all";"35817";"A. Angulo";"1996-07-01";"96.28";"20.96";"6";"0";"109";"100";"16.51";"83.49";"83.49";"85.26";"87.16";"74.31";"0";"0";"";"15.6";"9.17";"58.82"
"Andrés Felipe Cadavid Cardona";"LCB";"all";"all";"38275";"A. Cadavid";"1985-12-28";"99.11";"20.12";"8";"1";"98";"100";"30.61";"69.39";"69.39";"72.09";"87.76";"63.27";"2.04";"1.02";"50";"30.61";"15.31";"50"
"Andrés Correa Valencia";"LB";"all";"all";"43405";"A. Correa";"1994-01-29";"99.22";"16.25";"25";"8";"439";"100";"23.46";"76.54";"76.54";"76.2";"80.41";"61.28";"9.57";"4.56";"47.62";"25.74";"12.07";"46.9"
"Ayron Del Valle Rodríguez";"CF";"all";"all";"36230";"A. Del Valle";"1989-01-27";"86.47";"12.88";"6";"2";"65";"100";"38.46";"61.54";"61.54";"65.71";"53.85";"35.38";"15.38";"7.69";"50";"15.38";"7.69";"50"
"Alejandro García Castillo";"CF";"all";"all";"35794";"A. García";"2001-02-28";"78.79";"15.92";"5";"0";"143";"100";"13.99";"86.01";"86.01";"88.35";"72.03";"63.64";"6.99";"3.5";"50";"9.79";"6.29";"64.29"
"Alejandro García Castillo";"LDM";"all";"all";"35794";"A. García";"2001-02-28";"79.81";"16.36";"5";"1";"111";"100";"15.32";"84.68";"84.68";"88.89";"72.97";"64.86";"10.81";"8.11";"75";"7.21";"4.5";"62.5"
"Alejandro García Castillo";"LM";"all";"all";"35794";"A. García";"2001-02-28";"75.96";"17.57";"5";"0";"169";"100";"19.53";"80.47";"80.47";"82.61";"68.05";"56.21";"7.1";"4.73";"66.67";"9.47";"4.73";"50"
"Aldair Yesid Gutiérrez Toncel";"RB";"all";"all";"66559";"A. Gutiérrez";"1998-06-17";"93.58";"18.15";"6";"0";"118";"100";"26.27";"73.73";"73.73";"76.29";"82.2";"62.71";"4.24";"3.39";"80";"23.73";"10.17";"42.86"
"Aldair Yesid Gutiérrez Toncel";"RWB";"all";"all";"66559";"A. Gutiérrez";"1998-06-17";"81.76";"15.21";"26";"1";"461";"100";"33.62";"66.38";"66.38";"68.36";"80.91";"55.31";"8.68";"5.42";"62.5";"29.5";"13.88";"47.06"
"Andrés Felipe Ibargüen García";"CF";"all";"all";"34770";"A. Ibargüen";"1992-05-07";"87.6";"19.7";"8";"0";"276";"100";"20.65";"79.35";"79.35";"83.51";"68.12";"56.88";"9.06";"5.07";"56";"12.68";"6.16";"48.57"
"Andrés Felipe Ibargüen García";"LW";"all";"all";"34770";"A. Ibargüen";"1992-05-07";"95.95";"19.72";"5";"0";"158";"100";"20.89";"79.11";"79.11";"81.31";"67.72";"55.06";"6.96";"1.27";"18.18";"14.56";"7.59";"52.17"
