Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
L. Moreira,Puntarenas,Puntarenas,GK,35,4900,0,0,0,0,Costa Rica,1.16,0.06,66.67,0.51,85.71,0,0,0,1.12,1.83,0.02,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,100,0,0,0,11.08,0.24,0.17,17.63,79.48,11.79,70.56,0,0,5.62,98.04,7.48,56.76,36.52,53.03,0,0,0.04,0,0,0,0,2.96,50.93,0.18,10,0.2,18.18,0.02,0,5.73,71.79,43,0.79,172,3.16,17,75,46.19,0.85,3.19,0.059,0,1.49,0.51
E. Alvarado,Deportivo Saprissa,Deportivo Saprissa,GK,36,4392,0,0,0,0,Costa Rica,1.09,0.04,100,0.2,100,0,0,0.02,1.05,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,60,0,0,0,6.13,0.18,0.08,11.62,89.07,6.7,82.57,0.02,100,4.41,98.14,3.38,66.67,31.33,49.96,0,0,0,0,0,0,0,1.21,62.71,0.08,0,0.1,40,0,0,2.89,81.56,47,0.96,194,3.98,18,75.77,51.42,1.05,4.42,0.091,0,0.88,0.2
E. Aguilar,Herediano,Herediano,"RCMF, CF, LCMF",33,4346,4,4.17,10,10.74,Costa Rica,4.7,4.33,62.2,1.51,41.1,0.17,0.28,0,1.84,3.12,0.97,9,0.19,0,0,2.82,0.08,2,0.04,0.09,0,0,67,1.39,38.81,5.97,0.21,1.74,38.1,2.32,65.18,11.7,46.9,0.93,1.78,0.14,29.94,0.99,2.36,41.87,82.89,12.92,72.6,6.77,91.74,15.39,87.08,5.57,67.66,19.93,40.36,0.22,2.32,0.08,0.12,0.21,50,0.31,8.3,74.56,3.04,47.62,0.83,37.5,1.22,0.7,7.43,84.96,0,,0,,0,0,0,0,,,0.1,,
C. Borges,Alajuelense,Alajuelense,"RCMF, RDMF",37,4269,5,5.08,9,9.35,Costa Rica,8.14,5.21,66.4,2.97,51.06,0.38,0.65,0.17,4.3,7.4,0.99,5,0.11,1,0.02,2.64,0.11,1,0.02,0.11,0,0,40,0.84,30,12.5,0.19,2.85,50.37,1.5,59.15,4.76,46.46,0.95,1.9,0.04,38.64,0.76,0.97,55.89,87.89,22.16,81.73,6.51,96.44,18.43,91.88,4.41,54.07,18.61,36.9,0.2,1.64,0.08,0.02,0.19,33.33,0.34,12.78,80.2,3.65,53.76,0.86,41.46,0.78,1.43,11.51,88.28,0,,0,,0,0,0,0,,,0.27,,
A. Gamboa,Alajuelense,Alajuelense,LCB,26,4263,0,1.82,1,0.36,Costa Rica,8.78,4.43,78.1,5.53,63.74,0.42,0.71,0.4,4.9,8.26,0.49,6,0.13,1,0.02,0.42,0,0,0,0.04,0,0,25,0.53,32,0,0.02,0.06,33.33,0.25,91.67,1.96,37.63,0.59,0.87,0,29.3,0.32,0.21,44.99,86.77,19.51,78.57,2.89,95.62,18.92,93.64,6.08,49.31,23.35,40.61,0.01,0.27,0,0.02,0.02,0,0,7.94,71.81,0.63,26.67,0.32,20,0.23,0.04,9.99,75.9,0,,0,,0,0,0,0,,,1.82,,
L. Hernández,Pérez Zeledón,Pérez Zeledón,LB,27,4234,0,1.59,0,2.31,Costa Rica,8.69,6.48,64.92,2,43.62,0.53,0.66,0.4,3.95,4.88,1.08,10,0.21,0,0,1.04,0,0,0,0.03,0,0,27,0.57,29.63,0,0,1.42,37.31,0.55,61.54,1.98,49.46,0.77,0.62,0.06,17.05,0.79,0.62,26.25,73.2,14.39,66.17,2.87,94.07,6.27,81.36,5.78,50.74,22,36.24,0.05,0.49,0,0.02,0.02,0,0.09,4.63,66.97,1.85,49.43,0.43,50,0.38,0.53,8.4,70.13,0,,0,,0,0,0,0,,,0.36,,
Manuel Moran,Pérez Zeledón,Pérez Zeledón,"CF, RW",27,4025,5,8.8,8,7.2,Panama,3.85,3.09,58.7,11.56,41.39,0.02,0.03,0.13,2.01,2.55,0.94,8,0.18,1,0.02,3.96,0.11,5,0.11,0.2,1,0.02,75,1.68,41.33,6.667,0.18,2.82,27.78,3.91,60.57,13.71,40.62,2.88,2.3,0.38,14.53,2.59,2.39,22.11,68.86,5.84,61.3,4.61,88.35,6.8,66.12,1.05,42.55,18.58,27.31,0.16,0.96,0.02,0,0.18,62.5,0.49,2.84,63.78,2.33,37.5,0.25,63.64,0.6,0.74,3.18,76.06,0,,0,,0,0,0,0,,,0.02,,
J. Aguirre,Pérez Zeledón,Pérez Zeledón,"RCMF, LCB, LCMF",34,3911,9,7.28,2,1.94,Uruguay,7.71,5.71,64.11,3.7,62.73,0.07,0.09,0.23,3.98,4.92,0.78,4,0.09,1,0.02,1.08,0.21,9,0.21,0.17,2,0.05,62,1.43,43.55,14.516,0.05,0.35,40,0.6,46.15,2.26,30.61,1.52,0.39,0.05,18.32,0.53,0.35,30.49,78.04,14.36,69.39,2.53,92.73,10.17,88.69,5.22,59.03,21.48,36.89,0.04,0.37,0,0,0.09,50,0.18,6.6,69.34,1.29,42.86,0.46,50,0.55,0.18,7.66,75.98,0,,0,,0,0,0,0,,,0.39,,
S. Acuña,Deportivo Saprissa,Deportivo Saprissa,"DMF, LCMF, RCMF",23,3886,1,0.96,2,1.44,Costa Rica,8.31,6.67,60.07,3.22,50.36,0.37,0.59,0.35,3.94,6.28,1.37,7,0.16,0,0,0.74,0.02,1,0.02,0.02,0,0,50,1.16,16,2,0.05,0.37,25,0.69,60,3.08,42.11,0.09,0.63,0.05,21.7,0.21,0.58,36.87,83.35,12.51,69.81,5.05,97.25,14.85,90.17,3.47,50.67,18.69,28.73,0.03,0.51,0.05,0.05,0.09,50,0.09,5.86,74.31,0.65,32.14,0.19,37.5,0.19,0.09,6.32,68.86,0,,0,,0,0,0,0,,,0.67,,
D. Carvajal,Herediano,Herediano,GK,36,3871,0,0,0,0.12,Costa Rica,1.67,0.09,25,0.28,91.67,0.02,0.04,0,1.63,2.66,0.07,2,0.05,1,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,100,0.16,85.71,0,0,0,10.3,0.21,0.23,18.13,81.54,11.46,73.83,0.02,0,6.3,95.57,8.67,64.61,36.94,50.13,0,0.02,0,0.02,0,0,0,2.35,56.44,0.16,0,0.07,0,0,0,6.88,73.99,42,0.98,154,3.58,14,72.73,50.69,1.18,8.69,0.202,0,0.88,0.28
