Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
M. Livaja,Hajduk Split,Hajduk Split,CF,31,3403,19,16.99,9,4.72,Croatia,2.7,1.96,60.81,3.83,37.93,0.16,0.23,0.19,1.35,1.98,0.9,5,0.13,1,0.03,2.96,0.5,13,0.34,0.45,6,0.16,88,2.33,47.73,21.591,0.24,1.61,32.79,2.67,44.55,11.24,29.18,4.34,0.9,0.05,13.44,2.8,1.45,19.57,69.59,4.92,57.53,4.39,89.16,6.14,71.55,1.9,50,18.58,34.78,0.12,0.98,0.05,0.05,0.37,35.71,0.63,2.94,59.46,2.46,46.24,0.87,36.36,1.32,0.5,3.17,79.17,0,,0,,0,0,0,0,,,0.45,,
I. Rakitić,Hajduk Split II,Hajduk Split,"LDMF, LCMF",37,3377,2,1.99,4,6.45,Switzerland,7.78,5.12,63.54,1.76,40.91,0.61,0.89,0.13,3.92,5.7,1.04,4,0.11,0,0,1.36,0.05,2,0.05,0.05,0,0,44,1.17,15.91,4.545,0.11,1.41,39.62,0.96,61.11,4.45,48.5,0.53,1.57,0.11,36.01,0.61,1.28,53.33,81.61,20.68,70.49,7.52,93.97,17.43,88.23,7.09,52.26,19.06,36.26,0.17,1.63,0.03,0.03,0.13,20,0.32,11.11,64.75,3.41,51.56,1.09,36.59,1.41,0.56,10.53,80.51,0,,0,,0,0,0,0,,,1.09,,
M. Zlomislić,Rijeka,Rijeka,GK,27,3306,0,0,0,0,Bosnia and Herzegovina,1.58,0.11,75,0.44,100,0,0,0,1.5,1.98,0,2,0.05,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0.11,100,0,0,0,14.21,0.41,0.08,21.37,85.73,10.4,73.82,0.03,100,10.1,98.11,7.57,62.59,32.63,47.88,0,0,0,0,0,0,0,1.93,47.89,0.08,0,0.14,40,0.03,0,5.28,74.23,21,0.57,71,1.93,19,70.42,20.84,0.57,-0.16,-0.004,0.03,1.77,0.44
F. Karačić,Lokomotiva Zagreb,Lokomotiva Zagreb,"RB, RCB",29,3290,3,3.25,3,1.59,Croatia,7.82,4.51,64.85,4.27,62.82,0.14,0.19,0.36,4.76,6.68,0.6,7,0.19,0,0,2.82,0.08,3,0.08,0.09,2,0.05,50,1.37,26,6,0.08,3.67,34.33,2,60.27,3.99,45.21,1.37,1.7,0.52,23.06,1.67,0.55,34.77,69.94,14.36,62.48,4.05,89.19,13.02,72.06,8.07,43.73,24.7,41.23,0.04,0.63,0.05,0.03,0.03,0,0.33,6.89,49.21,4.16,39.47,0.82,33.33,0.49,1.15,9.27,72.27,0,,0,,0,0,0,0,,,0.88,,
Z. Šubarić,Lokomotiva Zagreb,Lokomotiva Zagreb,GK,28,3234,0,0,0,0,Croatia,1.89,0.03,0,0.14,100,0,0,0,1.89,2.64,0.03,2,0.06,0,0,0,0,0,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0.08,100,0,0,0,10.8,0.22,0.17,18.2,87.46,9.99,78.55,0,0,7.49,98.88,5.87,64.45,30.16,45.38,0,0,0,0,0.03,0,0,1.56,46.43,0.06,0,0.03,0,0,0,4.34,77.56,47,1.31,139,3.87,7,66.19,44.77,1.25,-2.23,-0.062,0,0.86,0.14
N. Janković,Rijeka,Rijeka,"AMF, LAMF, LCMF",24,3205,8,7.55,3,4.08,Croatia,6.49,5.78,58.74,3.29,33.33,0.37,0.48,0.03,2.72,3.57,1.29,6,0.17,0,0,2.86,0.22,7,0.2,0.21,1,0.03,74,2.08,31.08,10.811,0.08,1.6,43.86,2.67,53.68,7.24,46.12,1.85,1.85,0.17,14.21,1.4,1.68,22.27,74.15,7.19,60.55,5.31,91.01,6.23,78.38,1.8,48.44,18.03,32.34,0.11,0.9,0.03,0,0.17,50,0.34,3.2,65.79,1.57,51.79,0.31,36.36,0.37,0.62,3.93,69.29,0,,0,,0,0,0,0,,,0.08,,
M. Malenica,Osijek,Osijek,GK,31,3172,0,0,0,0,Croatia,1.08,0.06,100,0.23,87.5,0,0,0,1.02,1.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,100,0,0,0,11.21,0.17,0.03,17.96,84.52,9.25,71.78,0.03,0,8.23,98.28,6.81,61.67,32.49,48.93,0,0,0,0,0,0,0,1.42,60,0.14,20,0.11,25,0,0,5.02,70.62,44,1.25,158,4.48,8,72.15,43.33,1.23,-0.67,-0.019,0,1.08,0.23
R. Jurišić,Osijek,Osijek,"LB, LCB",23,3154,3,0.77,0,1.11,Croatia,7.88,5.22,62.84,2.23,52.56,0.49,0.63,0.14,4.11,5.35,0.51,5,0.14,0,0,1.85,0.09,3,0.09,0.02,0,0,12,0.34,50,25,0,1.97,33.33,2.05,44.44,4.74,40.36,1.03,2.97,0.8,28.62,1.34,0.6,40.72,81.01,16.78,71.77,6.22,96.33,11.44,88.53,4.19,46.94,19.79,36.91,0.03,0.6,0.06,0.06,0.2,57.14,0.31,6.73,69.07,2.23,51.28,0.66,47.83,0.57,0.66,9.42,74.85,0,,0,,0,0,0,0,,,0.54,,
O. Zelenika,Varaždin,Varaždin,GK,32,3146,0,0,0,0,Croatia,1.34,0.03,0,0.23,100,0,0,0,1.34,1.75,0,2,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51,0.29,0.14,23.97,87.59,11.07,76.49,0,0,12.36,98.15,7.52,66.54,29.14,41.23,0,0,0,0,0,0,0,1.14,45,0.03,0,0.06,0,0,0,5.41,70.9,19,0.54,92,2.63,16,79.35,24.22,0.69,5.22,0.149,0,0.97,0.23
V. Koski,Istra 1961,Istra 1961,RCB,23,3123,0,1.74,1,0.33,Finland,8.47,5.82,72.28,4.21,65.75,0.06,0.08,0.55,4.21,5.62,1.18,5,0.14,0,0,0.2,0,0,0,0.05,0,0,12,0.35,16.67,0,0.03,0.23,12.5,0.26,44.44,1.53,43.4,0.75,0.89,0.14,30.86,0.23,0.55,46.34,85.88,16.8,71.36,3.11,98.15,20.29,94.6,5.04,47.43,20.21,39.45,0.01,0.12,0,0,0.06,0,0.09,4.76,57.58,0.81,7.14,0.23,12.5,0.26,0.06,7.32,62.6,0,,0,,0,0,0,0,,,1.87,,
