Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
D. Høegh,Randers,Randers,RCB,34,3279,1,1.82,0,0,Denmark,9.5,4.36,79.87,5.05,59.78,0.14,0.16,0.77,5.87,6.74,0.36,2,0.05,0,0,0.27,0.03,1,0.03,0.05,0,0,12,0.33,41.67,8.333,0,0.14,20,0.19,57.14,1.02,37.84,0.52,0.63,0.03,39.63,0.16,0.41,53.69,89.37,20.91,80.97,2.31,97.62,25.75,95.84,4.94,49.44,20.01,36.53,0,0,0,0.03,0,0,0,6.2,71.68,0.58,28.57,0.22,0,0.16,0.03,8.76,72.41,0,,0,,0,0,0,0,,,1.65,,
P. Izzo,Randers,Randers,GK,30,3279,0,0,0,0,Australia,1.65,0.11,75,0.8,89.66,0,0,0,1.56,1.79,0,2,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,50,0,0,0,13.15,0.11,0.11,20.56,83.44,10.29,71.2,0,0,8.81,95.33,7.19,55.34,28.8,45.99,0,0,0,0.03,0,0,0,2.11,33.77,0.22,0,0.05,50,0,0,4.39,71.88,53,1.45,158,4.34,6,66.46,49.14,1.35,-3.86,-0.106,0,1.67,0.8
W. Dammers,Randers,Randers,LCB,30,3179,6,3.25,0,0,Netherlands,8.35,3.45,73.77,3.6,70.08,0.06,0.07,0.79,5.75,6.67,0.4,3,0.08,0,0,0.4,0.17,6,0.17,0.09,4,0.11,14,0.4,57.14,42.857,0,0,0,0.17,100,0.99,45.71,0.57,0.85,0.06,41.87,0.23,0.42,57.19,92.08,21.43,84.41,2.46,96.55,27.32,97.31,6.74,67.65,20.94,40.28,0,0,0,0,0,0,0,6.26,81.9,0.31,36.36,0.2,42.86,0.08,0,8.69,73.29,0,,0,,0,0,0,0,,,1.76,,
J. Björkengren,Randers,Randers,"LDMF, LCMF",26,3160,1,1.46,2,0.31,Sweden,10.03,6.47,64.76,2.96,53.85,0.31,0.36,0.54,5.53,6.38,1,7,0.2,0,0,0.46,0.03,1,0.03,0.04,0,0,7,0.2,14.29,14.286,0.06,0.4,35.71,0.37,53.85,3.7,41.54,0.37,0.71,0.17,32.1,0.17,1.14,46.34,84.82,15.44,69,10.79,95.78,13.24,93.12,4.78,51.19,17.74,33.1,0.01,0.14,0.06,0.03,0.14,60,0.09,6.75,67.51,0.85,36.67,0.28,50,0.26,0.2,8.09,66.9,0,,0,,0,0,0,0,,,1.05,,
M. Jørgensen,Bodø / Glimt,AaB,"RWF, CF, LWF",24,3157,10,10.59,5,3.96,Denmark,2.57,2,67.14,1.54,25.93,0,0,0.09,1.23,1.38,0.26,0,0,0,0,2.74,0.29,9,0.26,0.3,0,0,76,2.17,35.53,13.158,0.14,2.45,34.88,2.39,45.24,4.76,30.54,3.73,2.14,0.77,13.06,1.82,0.29,16.51,69.43,2.82,54.55,4.82,88.76,5.25,64.67,0.54,47.37,17.32,19.8,0.11,0.63,0,0.06,0.06,50,0.34,0.54,42.11,2.08,47.95,0.09,33.33,0.77,0.8,1.88,74.24,0,,0,,0,0,0,0,,,0.17,,
O. Olsen,Randers,Randers,"RB, LB",24,3085,1,1.94,1,3.26,Denmark,10.41,8.64,61.15,4.03,53.62,0.18,0.2,0.15,4.96,5.69,1.23,4,0.12,0,0,1.78,0.03,1,0.03,0.06,0,0,22,0.64,22.73,4.545,0.03,1.78,34.43,1.98,50,3.94,45.19,2.13,1.95,0.18,27.22,3.09,0.61,37.11,78.07,14.35,66.06,8.93,96.73,8.23,83.33,2.95,48.51,17.98,31.88,0.1,0.76,0.03,0.03,0.03,100,0.29,4.38,65.33,1.87,56.25,0.12,0,1.02,0.61,7.82,68.28,0,,0,,0,0,0,0,,,0.76,,
N. Larsen,Silkeborg,Silkeborg,GK,34,3058,0,0,0,0,Denmark,1.65,0.06,50,0.59,100,0,0,0,1.62,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,100,0,0,0,13.86,0.09,0.18,21.63,91.29,9.59,84.05,0.06,100,10.74,97.26,2.71,51.09,24.67,36.16,0,0,0,0,0,0,0,0.62,23.81,0.03,0,0.09,33.33,0,0,2.74,56.99,38,1.12,123,3.62,6,69.11,40.42,1.19,2.42,0.071,0.06,1.71,0.59
I. Vekič,Vejle,Vejle,GK,27,3049,0,0,0,0,Slovenia,1.62,0.12,50,0.86,93.1,0,0,0,1.56,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.49,0.18,0.06,21.16,84.52,11.13,73.74,0,0,9.21,96.47,7.53,60.39,30.16,45.34,0,0,0,0,0,0,0,0.8,40.74,0.06,0,0.06,0,0,0,5.43,65.22,61,1.8,183,5.4,5,66.67,60.94,1.8,-0.06,-0.002,0,1.98,0.86
M. Bech,Midtjylland,Midtjylland,LCB,26,3016,1,0.65,2,2.09,Denmark,7.04,4.12,65.94,2.78,60.22,0.15,0.19,0.66,4.18,5.36,0.6,1,0.03,0,0,0.66,0.03,1,0.03,0.02,0,0,4,0.12,25,25,0.06,0.63,85.71,0.12,75,0.84,53.57,0.72,0.63,0.03,32.97,0.36,0.84,47.92,89.85,17.64,79.19,2.92,97.96,24.14,96.29,6.36,60.09,22.56,39.58,0.06,0.75,0.06,0,0,0,0.12,5.01,62.5,1.07,75,0.15,0,0.39,0.54,8.42,78.01,0,,0,,0,0,0,0,,,2.12,,
M. Soulas,Sønderjyske,Sønderjyske,RCB,26,3004,2,1.5,1,0.4,France,9.92,5.21,72.99,5.6,63.1,0.3,0.35,0.66,5.81,6.85,0.72,6,0.18,0,0,0.24,0.06,2,0.06,0.04,1,0.03,16,0.48,18.75,12.5,0.03,0.06,0,0.21,71.43,0.75,52,0.57,0.96,0.03,36.58,0.33,0.3,52.4,88.16,20.79,78.82,3.39,97.35,23.64,94.8,6.47,53.7,21.72,40.94,0.01,0.12,0,0.03,0.06,0,0.03,6.71,66.52,0.6,30,0.48,31.25,0.24,0,8.66,69.9,0,,0,,0,0,0,0,,,2.49,,
