"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
" Edison Alexander  Medina Caicedo";"RB";"all";"all";"813454";"A. Medina";"1999-09-11";"99.91";"19.11";"14";"2";"117";"100";"7.69";"0.65";"0";"47.01";"38.46";"6.84";"0.31";"0.25";"3.42";"3.42"
" Elian Carlos  Carabalí Bernardo";"CF";"all";"all";"580568";"E . Carabalí";"2000-04-11";"81.36";"15.67";"10";"0";"193";"100";"63.73";"4.21";"0";"26.94";"15.03";"2.59";"0.92";"0.3";"13.99";"5.7"
"Adolfo Alejandro Muñoz Cervantes";"RW";"all";"all";"34398";"A. Muñoz";"1997-12-12";"86.33";"14.16";"8";"0";"195";"100";"36.92";"2.77";"1.03";"45.13";"28.21";"5.13";"0.99";"0.56";"11.79";"6.15"
"Alan Ariel García Jama";"LCB";"all";"all";"120910";"A. García";"2000-02-08";"101.92";"16.39";"8";"0";"45";"100";"17.78";"0.98";"0";"24.44";"20";"2.22";"0.33";"0.27";"4.44";"4.44"
"Alan Mariano Miño";"LW";"all";"all";"618987";"M. Miño";"1994-03-28";"83.9";"13.4";"5";"0";"113";"100";"28.32";"1.82";"0";"38.94";"26.55";"2.65";"0.6";"0.29";"8.85";"4.42"
"Alan Mariano Miño";"RW";"all";"all";"618987";"M. Miño";"1994-03-28";"68.1";"12.16";"5";"0";"135";"100";"28.89";"1.78";"0";"30.37";"23.7";"1.48";"0.29";"0.2";"2.96";"2.22"
"Alejandro Jair Cabeza Jiménez";"CF";"all";"all";"38555";"A. Cabeza";"1997-03-11";"74.47";"13.07";"5";"0";"76";"100";"55.26";"4.26";"1.32";"42.11";"26.32";"2.63";"1.72";"0.74";"18.42";"9.21"
"Alex Adrián Arce Barrios";"CF";"all";"all";"122810";"A. Arce";"1995-06-16";"89.84";"18.34";"28";"1";"621";"100";"68.76";"5.56";"1.77";"36.23";"21.9";"6.6";"1.97";"1.11";"22.22";"11.59"
"Alex Daniel Rangel Corozo";"RB";"all";"all";"69578";"A. Rangel";"2002-03-18";"94.23";"19.86";"7";"0";"27";"100";"0";"0.35";"0";"40.74";"37.04";"0";"0.12";"0.07";"0";"0"
"Alex Daniel Rangel Corozo";"RCB";"all";"all";"69578";"A. Rangel";"2002-03-18";"99.73";"20.62";"8";"1";"37";"100";"0";"0.09";"0";"29.73";"27.03";"0";"0.04";"0.02";"0";"0"
"Alex Renato Ibarra Mina";"LW";"all";"all";"8935";"Renato Ibarra";"1991-01-20";"75.09";"17.55";"8";"1";"110";"100";"34.55";"2.51";"0.91";"46.36";"35.45";"6.36";"1";"0.65";"15.45";"9.09"
