"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Gabriel Eduardo Achilier Zurita";"CB";"all";"all";"18275";"G. Achilier";"1985-03-24";"100.24";"16.15";"7";"0";"10";"100";"60";"0.55";"0.35";"66.67";"110";"0.2";"40";"0";"0";"0";"0";"0"
"Gabriel Eduardo Achilier Zurita";"RCB";"all";"all";"18275";"G. Achilier";"1985-03-24";"99.17";"21.49";"17";"1";"97";"100";"38.14";"0.51";"0.25";"86.49";"116.49";"0.11";"32.99";"0";"0";"5.15";"3.09";"1.03"
"Facundo Martín Martínez Montagnoli";"DM";"all";"all";"39066";"F. Martínez";"1985-04-02";"97.03";"24.37";"5";"0";"82";"100";"57.32";"1.02";"0.49";"87.23";"119.51";"0.42";"50";"6.1";"0";"14.63";"7.32";"6.1"
"Facundo Martín Martínez Montagnoli";"LDM";"all";"all";"39066";"F. Martínez";"1985-04-02";"91.32";"22.67";"9";"1";"163";"100";"62.58";"1.31";"0.92";"88.24";"133.74";"0.62";"55.21";"9.82";"0.61";"22.09";"15.34";"9.82"
"Damián Rodrigo Díaz";"AM";"all";"all";"38422";"D. Díaz";"1986-05-01";"80.67";"17.04";"9";"0";"175";"100";"69.14";"2.22";"1.36";"80.17";"150.29";"0.97";"55.43";"9.71";"2.86";"33.14";"20";"13.14"
"Juan Carlos Paredes Reasco";"RDM";"all";"all";"5506";"J. Paredes";"1987-07-08";"92.78";"16.92";"8";"2";"78";"100";"57.69";"1.23";"0.66";"75.56";"138.46";"0.43";"43.59";"2.56";"0";"12.82";"8.97";"5.13"
"Juan Carlos Paredes Reasco";"RM";"all";"all";"5506";"J. Paredes";"1987-07-08";"96.17";"21.23";"9";"0";"119";"100";"57.14";"1.06";"0.61";"79.41";"131.09";"0.38";"45.38";"2.52";"0";"10.92";"5.88";"3.36"
"Raúl Oscar Becerra";"CF";"all";"all";"126673";"R. Becerra";"1987-10-01";"79.18";"14.69";"6";"0";"32";"100";"71.88";"1.51";"1.19";"73.91";"162.5";"0.64";"53.12";"6.25";"0";"28.12";"25";"12.5"
"Jaime Javier Ayoví Corozo";"CF";"all";"all";"61023";"J. Ayoví";"1988-02-21";"83.95";"19.02";"11";"0";"69";"100";"68.12";"3.04";"2.35";"65.96";"160.87";"1.57";"44.93";"10.14";"0";"46.38";"37.68";"23.19"
"Ángel Fernando Gracia Toral";"LB";"all";"all";"43551";"Á. Gracia";"1989-05-30";"87.81";"13.62";"8";"1";"65";"100";"58.46";"1.34";"0.85";"73.68";"121.54";"0.54";"43.08";"1.54";"0";"13.85";"7.69";"4.62"
