"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Juan Carlos Paredes Reasco";"J. Paredes";"5506";"1987-07-08";"RDM";"Midfield";"93.33";"47.2";"9";"0";"0.65";"1.35";"27.38";"28.54";"7763.68";"129.39";"1204.05";"395.04";"38.98";"106.49";"4.94";"501.53";"43.92";"90.96";"5.08";"68.22";"12.57";"2.82";"0.42"
"Juan Carlos Paredes Reasco";"J. Paredes";"5506";"1987-07-08";"RM";"Midfield";"96.17";"50.81";"9";"0";"0.66";"1.62";"28.01";"28.86";"7896.12";"131.6";"1317.99";"454.59";"48.15";"139.46";"6.82";"594.05";"54.97";"97.87";"4.85";"74.26";"14.17";"3.28";"0.66"
"Alex Renato Ibarra Mina";"Renato Ibarra";"8935";"1991-01-20";"LW";"Wide Attacker";"77.23";"34.4";"7";"0";"0.67";"1.35";"28.49";"28.96";"7171.35";"119.52";"1094.85";"485.88";"52.33";"181.64";"9.47";"667.52";"61.79";"88.95";"8.72";"59.55";"12.71";"5.98";"1.74"
"Alex Renato Ibarra Mina";"Renato Ibarra";"8935";"1991-01-20";"RW";"Wide Attacker";"88.34";"45.1";"8";"0";"0.62";"1.28";"29.62";"30.3";"6991.31";"116.52";"963.98";"474.92";"55.87";"221.83";"11.81";"696.75";"67.68";"88.96";"7.82";"57.54";"14.13";"6.32";"1.66"
"Ismael Díaz De León";"I. Díaz";"12030";"1997-05-12";"LW";"Wide Attacker";"86.31";"46.06";"9";"0";"0.72";"1.31";"29.96";"31.08";"7860.74";"131.01";"1433.95";"645.69";"66.73";"283.55";"13.75";"929.24";"80.48";"94.23";"6.66";"67.88";"12.45";"4.63";"1.88"
"Lautaro Fausto Grillo";"F. Grillo";"14930";"1993-02-20";"LCB";"Central Defender";"100.77";"50.12";"20";"0";"0.71";"1.4";"27.45";"29.98";"7847.12";"130.79";"1088.45";"337.0";"29.99";"82.42";"3.83";"419.42";"33.82";"81.11";"4.07";"56.63";"6.29";"2.04";"0.72"
"Cristian Damián Erbes";"C. Erbes";"15476";"1990-01-06";"DM";"Midfield";"98.28";"46.43";"6";"0";"0.75";"null";"25.97";"26.14";"8519.04";"141.98";"1527.1";"502.07";"42.65";"63.11";"3.02";"565.18";"45.66";"82.28";"3.88";"61.82";"7.11";"1.51";"0.0"
"Luis Fernando León Bermeo";"L. León";"18246";"1993-04-11";"RCB";"Central Defender";"100.94";"48.27";"22";"0";"0.7";"1.42";"28.69";"30.72";"7118.98";"118.65";"850.86";"300.02";"29.04";"102.21";"3.96";"402.23";"33.0";"77.75";"4.29";"54.3";"6.38";"0.96";"0.4"
"Pedro Pablo Velasco Arboleda";"P. Velasco";"18248";"1993-06-29";"RB";"Full Back";"98.94";"48.85";"17";"0";"0.71";"1.48";"28.59";"29.84";"7720.33";"128.67";"1113.13";"493.24";"46.02";"173.97";"7.3";"667.22";"53.32";"85.83";"4.7";"61.34";"9.68";"2.53";"0.79"
"Michael Steveen Estrada Martínez";"M. Estrada";"18251";"1996-04-07";"CF";"Center Forward";"88.18";"42.7";"7";"0";"0.68";"1.39";"28.43";"29.12";"7281.29";"121.35";"912.09";"401.05";"41.95";"145.32";"7.43";"546.37";"49.38";"81.09";"6.62";"52.79";"9.43";"3.81";"1.0"
"Marcos Andrés López Cabrera";"A. López";"18267";"1993-02-04";"RB";"Full Back";"95.74";"46.37";"16";"0";"0.6";"1.3";"28.24";"30.18";"8164.66";"136.08";"1345.49";"588.6";"52.81";"173.31";"8.98";"761.91";"61.79";"96.56";"6.31";"67.29";"13.02";"4.45";"0.89"
