Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Adolfo Muñoz,Macará,Liga Pro,2025,1444,16.05,16,Right Wing,Right Midfielder,Man,Ecuador,28,11/12/97,166,0.19,0.19,0.1,0.09,1.18,16,47,2,,0.2,0.31,0.21,2.24,0.25,0.18,1.74,0.06,0.03,0.5,0.5,0.32,3.43,0.18,1.43,0.56,0.87,39,0.81,0,1.5,2.99,0.93,0.72,0.44,0.32,22.12,11.47,0.01,4.49,47.95,5.23,8.48,2.24,3.18,64,1.74,2.46,1.06,34,1.25,42,0.31,0,18.94,14.84,3.37,3.37,0.37,47.93,8.6,45,2.87,85,0.12,0,0,29.35,68,2.06,19,42,1.43,3.86,25,64,-4,62.4,4.74,0.47,0.58,29.6,87,4.87,10.59,2.06,1.5,0.56,0.62,4.11,5.61,0.06,21,0.87,33,0.81,20,72,8,22,73,5,20.82,18.34,0.94,98,-2.48,19.51,17.93,0,0,0,0,0,,0,0,,0,0,0,0,0,0,30,14,6.59,44,0.13,0.09,0.04,0,,0.25
Adrian Angulo,Manta FC,Liga Pro,2025,21,0.23,1,Right Midfielder,,Man,Ecuador,22,06/08/03,,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,4.38,4.38,50,0,0,0,4.38,4.38,3.28,4.38,3.28,30.63,4.38,0,0,48.3,13.13,13.13,0,4.38,,0,3.28,13.13,,0,,0,0,17.5,13.14,0,4.38,0,53.89,8.75,50,4.38,100,4.38,0,0,26.26,33,0,50,,4.38,0,33,50,17,69.68,4.38,0.73,0.73,30.63,86,6.11,4.38,0,0,0,0,0,0,0,,0,,0,0,83,17,0,0,100,9.38,5.56,1.33,160,-3.82,12.45,8.9,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,0,4.38,100,-0.33,0.07,-3.05,,,-3.31
Adrian Cela,El Nacional,Liga Pro,2025,1592,17.69,21,Left Back,Left Defensive Midfielder,Man,Ecuador,28,10/04/97,172,0.17,0.17,0.04,0.08,0.45,38,63,0,,0.08,0.17,0.09,1.07,0.17,0.09,1.02,0,0,0.06,0.34,0.13,1.53,0.21,0.85,0.57,0.28,67,0.62,0,1.07,1.13,1.41,1.1,1.02,0.85,25.09,13.9,0.02,5.2,41.4,3.45,9.83,2.88,4.3,67,2.62,3.72,1.24,53,1.41,52,0.96,0.06,21.03,19.25,3.56,3.62,0.4,42.67,7.4,35,2.71,75,0.17,0,0,34.76,78,2.94,85,52,1.87,4.8,21,73,-5,49.75,4.41,0.39,0.42,29.45,94,4.17,8.59,0.62,0.51,0.11,0.23,1.75,2.26,0.4,18,0.17,18,0.23,29,64,8,30,63,7,19.63,17.28,0.89,95,-2.36,17.55,16.4,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,12,5.27,38,0.07,0.07,-0.02,0.03,,0.15
Agostino Luigi Spina,Aucas,Liga Pro,2025,453,5.03,5,Right Defensive Midfielder,Left Defensive Midfielder,Man,Argentina,24,30/10/01,175,0,0,0.02,0.02,0.99,0,20,1,,0,0,0.01,0.2,0,0.01,0.2,0,0,0,0,0.03,1.19,-0.03,0.2,0.2,0,100,1.39,0,0.79,0.4,1.79,2.13,0.99,1.09,22.05,10.93,0,4.57,43.33,5.17,10.53,1.59,3.38,73,1.75,3.88,3.77,57,0.6,33,0.2,0,16.69,16.95,3.77,3.38,0.6,44.11,6.16,37,2.78,82,0.4,0,0,41.72,86,2.98,3,63,1.59,4.17,13,93,7,45.2,4.97,0.31,0.32,34.57,97,3.49,6.36,0,0,0,0,0,0,0,,0,,0,17,75,8,25,69,6,22.77,19.2,0.94,97,-3.56,21.49,18.67,0,0,0,0,0,,0,0,,0,0,0,0,0,0,15,8,4.37,31,-0.01,0.06,0,-0.03,,0.01
Agustín Gómez,Deportivo Cuenca,Liga Pro,2025,2210,24.56,22,Left Centre Back,Centre Back,Man,Argentina,29,27/08/96,187,0.08,0.08,0.05,0.1,0.49,17,33,0,,0.09,0,0.04,0.29,0,0.04,0.29,0,0,0,0.08,0.09,0.77,0,0.33,0.08,0.24,25,0.73,0,0.08,0.53,1.91,1.62,6.19,4.75,13.07,6.84,0.06,5.54,21.32,0.98,9.04,2.12,4.03,68,1.98,3.61,0.65,54,0.98,70,2.12,0,10.3,8.39,2.69,1.47,0.33,25.5,0.86,8,0.57,39,0.12,0,0,32.37,79,3.54,29,49,7.61,5.74,13,61,-17,29.13,1.47,0.22,0.25,23.94,98,4.27,1.59,0.08,0.08,0,0.12,1.3,1.38,0.12,0,0,0,0.12,36,63,1,49,44,8,25.56,27.78,0.9,88,2.22,23.05,24.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,7,2.31,18,0.1,0.05,0.04,0.02,,0.21
Agustín Venezia,Deportivo Cuenca,Liga Pro,2025,697,7.74,13,Centre Attacking Midfielder,Right Centre Forward,Man,Argentina,22,04/07/03,172,0.26,0.26,0.11,0.04,2.71,10,33,3,,0.18,0.13,0.24,1.94,0.13,0.16,1.42,0,0.07,0.52,0.39,0.34,4.65,0.04,1.16,0.39,0.77,33,1.55,0,1.16,3.23,0.39,0.22,0.52,0.39,21.31,9.81,0.01,3.36,47.97,4.13,8.14,0.9,1.29,64,0.85,1.08,0.65,20,0.52,50,0.52,0,19.76,14.86,3.1,3.36,0.39,48.86,9.43,48,2.45,73,0.13,0,0.13,38.61,73,4.65,16,55,1.42,7.62,22,70,-3,54.98,5.68,0.5,0.64,39.64,91,5.06,11.11,1.94,1.16,0.77,0.26,1.94,3.1,0.65,13,0.52,24,0.26,20,66,14,28,62,10,22.23,18.01,0.92,95,-4.22,20.46,17.16,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,7,6.2,38,0.18,0.06,0.01,0.04,,0.29
Alan Aguirre,Vinotinto de Ecuador,Liga Pro,2025,1547,17.19,18,Centre Back,Right Centre Back,Man,Argentina,32,12/08/93,182,0,0,0.06,0.14,0.41,0,0,0,,0,0,0,0.06,0,0,0.06,0,0,0,0,0.06,0.47,-0.06,0.41,0.23,0.17,57,0.35,0,0.12,0.52,1.4,1.17,4.31,2.95,11.58,6.4,0.08,4.83,26.43,1.34,8.67,1.57,2.97,69,1.07,2.25,0.81,50,0.7,65,2.09,0.06,9.19,7.19,2.44,1.34,0.12,31.47,1.51,16,0.76,57,0.17,0,0.06,30.72,79,4.89,11,60,5.35,7.04,10,47,-32,36.13,2.73,0.29,0.29,22.69,97,4.61,2.56,0.35,0.35,0,0,0.7,1.05,0,17,0.06,33,0,31,65,4,45,52,2,26.52,27.55,0.91,88,1.02,24.25,24.21,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,5,2.5,19,0.06,0.04,0.05,-0.05,,0.1
Alan Ariel García Jama,Delfin,Liga Pro,2025,328,3.64,4,Left Centre Back,,Man,Ecuador,25,07/02/00,187,0,0,0.04,0.05,0.82,0,67,0,,0.01,0,0,0,0,0,0,0,0,0,0,0.04,0.82,-0.04,1.37,1.1,0.27,80,0.27,0,0.55,0.27,2.47,2.68,6.32,5.75,11.26,6.59,0.06,4.94,23.97,1.65,14.28,2.2,4.67,80,2.4,5.08,0.27,50,0.55,67,3.3,0,8.79,8.98,2.75,1.65,0,30.49,1.37,16,0.82,50,0,0,0,37.34,71,5.77,82,49,7.14,10.98,15,74,3,30.94,2.2,0.13,0.13,28.01,97,5.81,1.65,0,0,0,0,0.55,0.55,0,,0,,0,45,53,2,83,17,0,27.99,22.57,0.88,87,-5.42,24.63,19.64,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,7,0.77,6,0.09,0.06,-0.01,0,,0.14
Alan Ariel García Jama,Libertad,Liga Pro,2025,221,2.45,4,Left Centre Back,Centre Back,Man,Ecuador,25,07/02/00,187,0,0,0,,0,,,0,,0,0,0.05,0.82,0,0.05,0.82,0,0,0,0,0.05,0.82,-0.05,0.82,0.82,0,100,0.41,0,0,0,2.45,1.81,4.08,2.43,13.06,3.26,0,4.08,23.79,3.26,8.98,1.22,3.67,100,1.16,2.98,1.22,100,0,60,1.22,0,10.61,7.16,2.86,1.63,0.82,29.59,2.45,23,1.22,75,0,0,0,24.89,70,2.04,87,36,5.71,4.08,28,47,-22,43.5,4.9,0.5,0.52,17.95,98,5.38,5.3,0.82,0.82,0,0,0,0.82,0,0,0,0,0,39,55,6,31,69,0,24.27,22.02,0.86,72,-2.26,20.97,15.89,0,0,0,0,0,,0,0,,0,0,0,0,0,0,38,17,2.41,18,0.06,0.06,0.06,,,0.17
Alan Olinick,Orense,Liga Pro,2025,797,8.85,14,Right Centre Midfielder,Right Defensive Midfielder,Man,Argentina,25,28/07/00,177,0.11,0.11,0.07,0.05,1.36,8,17,2,,0.1,0,0.01,0.45,0,0.01,0.45,0,0,0,0.11,0.08,1.81,0.03,1.36,0.56,0.79,42,1.02,0,1.69,1.69,0.79,0.55,0.9,0.83,21.8,11.18,0.02,3.5,45.15,4.52,9.04,1.47,2.26,59,1.61,2.16,1.36,10,1.02,50,0.79,0,19.09,19.64,3.16,4.52,0.45,46.2,7.91,41,2.94,65,0.11,0,0,26.09,84,1.13,18,63,1.36,1.36,18,71,-14,55.26,2.6,0.22,0.26,26.55,88,4.53,7.23,0.45,0.45,0,0.11,1.58,2.03,0,25,0.11,20,0.23,11,74,15,8,73,19,16.76,16.95,0.96,96,0.2,16.14,16.35,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,10,1.95,17,-0.04,0.05,0.08,0.01,,0.09
