Name,Team,Competition,Season,Minutes,Primary Position,Nationality,Age,Date of Birth,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
 Miguel Ángel  Peralta Quiñónez,Independiente del Valle,Liga Pro,2026,310,Goalkeeper,Ecuador,18,25/04/08,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.29,0,0,0,0,0,0,0,0,0,0,4.06,2.38,2.03,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,10.73,88,1.74,20,55,1.74,1.45,15,50,-38,9.9,0,0.06,0.06,8.41,100,3.52,0,0,0,0,0,0,0,0,,0,,0,35,65,0,,,,24.76,40.84,0.89,69,16.08,21.94,28.04,0.87,0.72,-0.14,73,77,-5,0.63,3.19,48,6.67,1.99,0,0,21.19,-3,10,4,1.59,9,0.03,0.01,,,-0.39,-0.35
Adrian Cela,Técnico Universitario,Liga Pro,2026,315,Left Defensive Midfielder,Ecuador,29,10/04/97,0,0,0.03,0.03,0.86,0,33,1,,0.03,0,0.06,1.43,0,0.06,1.43,0,0,0,0,0.08,2.29,-0.08,0,0,0,,0.86,0,0.86,0.29,0.86,0.65,2.29,1.04,19.45,10.01,0.02,6.01,36.31,10.58,4.29,0.86,1.72,50,0.41,1.06,1.72,50,0.86,17,0.29,0,16.87,8.9,4,3.72,1.14,39.99,5.43,32,2.29,62,0,0,0,34.6,80,2.29,85,40,3.43,4.58,15,84,5,48.51,5.43,0.48,0.52,28.03,96,3.79,8.87,0.86,0.86,0,0,0.86,1.72,0,33,0.29,50,0,28,66,6,35,61,3,21.49,21.79,0.88,98,0.3,18.94,21.28,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,6,6.72,47,0.08,0.05,0.08,-0.02,,0.19
Agostino Luigi Spina,Aucas,Liga Pro,2026,2517,Centre Defensive Midfielder,Argentina,25,30/10/01,0,0,0.01,0.02,0.61,0,18,1,,0.01,0.04,0.06,0.86,0.04,0.05,0.82,0,0.01,0.04,0.04,0.07,1.47,-0.03,0.21,0.14,0.07,67,1.11,0,0.29,0.54,1.47,1.8,1.14,1.35,16.84,8.22,0.02,5.54,39.86,10.15,4.83,2.22,3.68,72,2.92,4.72,1.32,39,0.86,44,0.5,0.04,13.3,16.08,4.5,3.54,1.32,41.05,4.25,32,1.93,55,0.18,0.04,0,42.01,89,2,12,68,1.47,2.61,13,81,-8,50.93,4.54,0.33,0.36,31.68,98,4.32,9.8,0.29,0.25,0.04,0.04,0.36,0.61,0,0,0,0,0.14,18,74,8,25,72,3,18.84,17.65,0.97,96,-1.19,18.31,17.01,0,0,0,0,0,,0,0,,0,0,0,0,0,0,12,6,4.42,31,0.06,0.06,0.02,-0.02,,0.12
Agustín Campana,Macará,Liga Pro,2026,851,Right Midfielder,Argentina,28,01/05/98,0.85,0.85,0.38,0.09,4.02,21,39,5,,0.44,0.11,0.15,1.37,0.11,0.13,1.06,0,0.02,0.32,0.95,0.53,5.39,0.42,1.06,0.63,0.42,60,2.64,0.21,1.9,2.22,1.16,1.02,1.06,1.13,15.97,7.51,0,3.81,47.71,8.46,3.17,1.8,2.96,65,1.37,2.4,2.01,10,0.95,36,0.42,0,12.26,10.14,2.75,2.11,0.53,50.54,6.66,54,2.01,95,0.11,0,0,33.41,65,3.07,80,51,2.11,4.97,22,57,-8,60.1,4.65,0.52,0.81,33.62,91,6.24,11.52,1.59,1.27,0.32,0.11,3.7,4.97,0.21,13,0.32,15,0.42,22,67,10,25,62,13,20.94,18.5,0.93,93,-2.44,19.46,17.23,0,0,0,0,0,,0,0,,0,0,0,0,0,0,34,11,6.05,37,0.06,0.27,0.01,0.1,,0.44
Agustín Herrera,Orense,Liga Pro,2026,2592,Centre Forward,Argentina,28,07/01/98,0.31,0.28,0.32,0.15,2.08,13,28,3,50,0.27,0.07,0.06,0.87,0.07,0.06,0.87,0,0,0,0.35,0.38,2.95,-0.03,1.25,0.76,0.49,61,2.05,0,1.67,2.57,0.28,0.24,0.83,0.9,16.7,7.05,0.01,4.58,58.98,4.13,2.81,1.11,1.39,67,1.36,1.6,1.42,20,0.56,36,1.04,0,14.17,16.35,3.85,3.47,1.28,62.06,10.31,73,2.78,80,0.14,0,0,22.02,80,0.52,22,52,1.08,0.76,21,72,-8,60.94,2.08,0.38,0.49,23.51,85,5.55,7.85,0.45,0.45,0,0.35,5,5.45,0.14,15,0.24,47,0.8,10,67,23,10,68,22,14.75,13.57,1,108,-1.18,14.69,14.7,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,9,3.13,24,-0.07,0.05,0.01,-0.03,,-0.05
Alan Ariel García Jama,Aucas,Liga Pro,2026,547,Left Back,Ecuador,26,07/02/00,0,0,0.01,0.07,0.16,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0.01,0.16,-0.01,0.82,0.33,0.49,40,0.33,0,0.16,1.32,2.3,2.44,2.3,2.16,11.03,6.58,0,3.62,26.77,8.72,1.97,1.97,4.28,86,2.01,4.44,0.99,67,0.33,62,1.32,0,8.06,8.4,2.96,0.99,0.33,32.01,1.48,18,0.49,50,0,0,0,39,78,3.79,85,53,2.96,6.42,11,63,-14,42.23,3.95,0.14,0.15,31.43,96,4.2,4.61,0.16,0,0.16,0,0.99,0.99,0,0,0,0,0.16,31,60,9,29,54,18,22.58,19.64,0.9,93,-2.94,20.43,18.19,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,10,2.45,22,0.03,0.05,0.07,-0.02,,0.13
Alan Ariel García Jama,Libertad,Liga Pro,2026,1246,Left Centre Back,Ecuador,26,07/02/00,0,0,0.01,0.03,0.22,0,0,0,,0,0,0.01,0.22,0,0.01,0.22,0,0,0,0,0.02,0.43,-0.02,0.72,0.43,0.29,60,0.22,0,0.29,0.43,1.16,0.96,4.91,4.81,8.02,3.76,0.04,3.83,24.76,9.82,1.23,1.3,2.46,86,1.11,2.07,0.36,63,0.22,62,1.3,0,6.36,5.49,1.88,0.87,0.22,33.5,1.37,22,0.43,50,0.14,0,0,40.09,76,5.42,84,46,6.72,10.04,10,62,-14,37.98,4.77,0.25,0.25,31.56,98,5.17,4.84,0.29,0.29,0,0,0.14,0.43,0.07,0,0,0,0,36,62,2,37,60,3,29.45,31.22,0.87,86,1.77,25.61,26.78,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,7,3.16,24,0.09,0.05,0.05,-0.01,,0.17
Alan Lorenzo,Orense,Liga Pro,2026,1744,Right Centre Back,Argentina,28,26/07/98,0.05,0.05,0.01,0.05,0.31,17,17,0,,0.03,0,0,0.05,0,0,0.05,0,0,0,0.05,0.02,0.36,0.04,0.21,0.1,0.1,50,0.26,0,0.15,0.36,1.03,1.22,3.41,3.95,11.92,5.94,0.07,6.56,24.31,7.95,1.76,1.86,2.89,78,2.17,3.39,0.77,70,0.52,56,1.39,0.05,9.29,10.22,4.18,1.45,0.67,27.38,1.14,12,0.41,29,0.1,0,0.05,27.87,80,1.91,12,45,4.08,3.56,12,55,-25,36.5,1.96,0.21,0.22,19.93,98,4.6,2.74,0.05,0.05,0,0.05,0.57,0.62,0,0,0,0,0.05,30,64,6,43,49,8,22.48,21.65,0.92,95,-0.83,20.69,20.65,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,12,2.16,16,0.05,0.04,0.06,0.02,,0.16
Aldair Quintana,Independiente del Valle,Liga Pro,2026,2423,Goalkeeper,Colombia,32,10/07/94,0,0,0,,0,,,0,,0,0,0.01,0.11,0,0.01,0.11,0,0,0,0,0.01,0.11,-0.01,0.04,0.04,0,100,0.04,0,0,0,0,0,0,0,0.19,0.07,0,5.65,3.29,3.9,0,0.04,0.04,100,0.02,0.02,0,100,0,,0,0.04,0.15,0.07,0.04,0,0,11.16,0,0,0,,0.04,0,0,17.87,82,4.01,69,48,1.75,6.69,14,73,-9,12.34,0.48,0.23,0.23,16.27,100,4.73,0.33,0,0,0,0,0,0,0,,0,,0,35,65,0,100,0,0,32.11,36.32,0.8,81,4.21,25.53,29.56,0.97,0.85,-0.12,65,69,-4,0.74,2.75,31,8.95,2.16,0.04,0.04,20.69,0,18,4,1.95,10,0.05,0.05,0,,-0.13,-0.03
Alex Andrés Rodríguez Reascos,Universidad Católica,Liga Pro,2026,919,Centre Attacking Midfielder,Ecuador,23,07/11/03,0,0,0.08,0.08,0.98,0,30,1,,0.03,0,0.11,1.57,0,0.1,1.47,0,0,0.1,0,0.19,2.55,-0.19,2.06,0.78,1.27,38,2.35,0.1,2.06,3.33,0.49,0.54,0.1,0.16,18.32,8.91,0,4.41,56.03,5.58,3.23,1.37,1.86,67,1.98,2.51,2.06,30,0.69,50,0.29,0,14.89,20.51,3.53,4.51,1.18,56.68,9.5,64,3.62,80,0.2,0,0,39.08,81,2.94,11,64,0.88,3.82,20,78,-4,62.12,6.17,0.34,0.42,42.12,90,5.17,18.32,1.57,1.47,0.1,0.1,2.64,4.11,0.1,19,0.29,23,0.1,17,70,13,18,67,15,19.77,17.21,0.95,99,-2.57,18.76,17,0,0,0,0,0,,0,0,,0,0,0,0,0,0,12,4,6.67,42,0,0.15,-0.02,-0.05,,0.08
