"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Alexander Antonio Alvarado Carriel";"LW";"all";"all";"36456";"A. Alvarado";"1999-04-21";"78.95";"18.84";"10";"0";"253";"100";"18.58";"81.42";"81.42";"85.47";"70.75";"60.47";"11.46";"6.72";"58.62";"11.07";"4.74";"42.86"
"Alex Adrián Arce Barrios";"CF";"all";"all";"122810";"A. Arce";"1995-06-16";"89.84";"18.34";"28";"1";"374";"100";"31.02";"68.98";"68.98";"74.86";"48.93";"36.63";"15.24";"10.16";"66.67";"11.23";"6.15";"54.76"
"Alejandro Jair Cabeza Jiménez";"CF";"all";"all";"38555";"A. Cabeza";"1997-03-11";"74.47";"13.07";"5";"0";"81";"100";"37.04";"62.96";"62.96";"72.73";"54.32";"39.51";"13.58";"8.64";"63.64";"17.28";"11.11";"64.29"
"Aníbal Hernán Chalá Ayoví";"LB";"all";"all";"30954";"A. Chalá";"1996-05-09";"99.3";"20.52";"18";"1";"324";"100";"40.74";"59.26";"59.26";"64.73";"74.38";"48.15";"13.27";"3.4";"25.58";"26.54";"9.26";"34.88"
"Antony Jóel Chére Ayoví";"CF";"all";"all";"812963";"A. Chére Ayoví";"1996-08-27";"81.43";"13.65";"13";"0";"138";"100";"25.36";"74.64";"74.64";"85.71";"50.72";"43.48";"10.14";"5.07";"50";"10.87";"6.52";"60"
"Alan Ariel García Jama";"LCB";"all";"all";"120910";"A. García";"2000-02-08";"101.92";"16.39";"8";"0";"135";"100";"35.56";"64.44";"64.44";"60.75";"79.26";"48.15";"5.19";"2.22";"42.86";"30.37";"14.81";"48.78"
"Alexander David González Sibulo";"RB";"all";"all";"25767";"A. González";"1992-09-13";"95.69";"19.35";"6";"0";"146";"100";"30.14";"69.86";"69.86";"71.68";"77.4";"55.48";"6.85";"3.42";"50";"22.6";"12.33";"54.55"
"Anthony Rigoberto Landázuri Estacio";"RB";"all";"all";"38203";"A. Landázuri";"1997-04-19";"97.96";"23.9";"12";"0";"272";"100";"19.85";"80.15";"80.15";"83.9";"86.76";"72.79";"9.56";"4.78";"50";"17.65";"9.19";"52.08"
"Aníbal Leguizamón Espínola";"LCB";"all";"all";"39207";"A. Leguizamón";"1992-01-10";"100.25";"21.11";"14";"0";"206";"100";"20.87";"79.13";"79.13";"81.72";"90.29";"73.79";"1.94";"1.46";"75";"19.9";"13.59";"68.29"
"Marcos Andrés López Cabrera";"RB";"all";"all";"18267";"A. López";"1993-02-04";"96.07";"18.82";"17";"5";"274";"100";"21.9";"78.1";"78.1";"80.33";"87.23";"70.07";"2.92";"0.73";"25";"17.52";"8.03";"45.83"
"Augusto Magoia";"CF";"all";"all";"813002";"A. Magoia";"1999-07-08";"71.72";"15.68";"5";"0";"33";"100";"30.3";"69.7";"69.7";"70.59";"51.52";"36.36";"12.12";"6.06";"50";"9.09";"0";"0"
" Edison Alexander  Medina Caicedo";"RB";"all";"all";"813454";"A. Medina";"1999-09-11";"99.91";"19.11";"14";"2";"243";"100";"26.75";"73.25";"73.25";"71.74";"75.72";"54.32";"3.7";"1.65";"44.44";"20.58";"9.88";"48"
"Adolfo Alejandro Muñoz Cervantes";"RW";"all";"all";"34398";"A. Muñoz";"1997-12-12";"86.33";"14.16";"8";"0";"173";"100";"30.64";"69.36";"69.36";"68.8";"72.25";"49.71";"16.18";"7.51";"46.43";"29.48";"15.61";"52.94"
"Alex Daniel Rangel Corozo";"RB";"all";"all";"69578";"A. Rangel";"2002-03-18";"94.23";"19.86";"7";"0";"117";"100";"23.93";"76.07";"76.07";"82.8";"79.49";"65.81";"0";"0";"";"13.68";"7.69";"56.25"
"Alex Daniel Rangel Corozo";"RCB";"all";"all";"69578";"A. Rangel";"2002-03-18";"99.73";"20.62";"8";"1";"126";"100";"20.63";"79.37";"79.37";"83.65";"82.54";"69.05";"1.59";"0.79";"50";"9.52";"5.56";"58.33"
"Arón David Rodríguez Franco";"RW";"all";"all";"43684";"A. Rodríguez";"1999-08-06";"77.82";"18.29";"7";"0";"131";"100";"30.53";"69.47";"69.47";"69.66";"67.94";"47.33";"19.08";"8.4";"44";"25.95";"12.98";"50"
"Arnaldo Andrés Zambrano Parraga";"LM";"all";"all";"71144";"A. Zambrano";"2001-12-22";"85.43";"12.41";"5";"0";"77";"100";"25.97";"74.03";"74.03";"73.33";"77.92";"57.14";"7.79";"3.9";"50";"20.78";"7.79";"37.5"
"Beder Julio Caicedo Lastra";"LB";"all";"all";"34396";"B. Caicedo";"1992-05-13";"95.61";"23.85";"15";"0";"339";"100";"23.01";"76.99";"76.99";"79.41";"80.24";"63.72";"9.14";"5.31";"58.06";"24.48";"13.57";"55.42"
"Bryan Javier Caicedo Jurado";"RCB";"all";"all";"44436";"B. Caicedo";"2000-12-31";"97.08";"16.39";"24";"1";"296";"100";"18.92";"81.08";"81.08";"83.67";"84.8";"70.95";"0.34";"0";"0";"10.14";"7.09";"70"
"Bruno Steven Caicedo Quiñonez";"LW";"all";"all";"817283";"B. Caicedo";"2005-01-15";"83.88";"16.41";"7";"0";"152";"100";"29.61";"70.39";"70.39";"75.38";"42.76";"32.24";"4.61";"1.97";"42.86";"9.87";"4.61";"46.67"
"Byron David Castillo Segura";"RB";"all";"all";"38291";"B. Castillo";"1995-06-25";"91.55";"18.9";"5";"1";"123";"100";"26.83";"73.17";"73.17";"77.01";"70.73";"54.47";"2.44";"0";"0";"14.63";"4.07";"27.78"
"Bryan David Corozo Caicedo";"RDM";"all";"all";"76387";"B. Corozo";"2000-08-19";"95.33";"20.7";"5";"2";"124";"100";"15.32";"84.68";"84.68";"89.8";"79.03";"70.97";"0.81";"0";"0";"8.06";"3.23";"40"
"Bryan David Corozo Caicedo";"RM";"all";"all";"76387";"B. Corozo";"2000-08-19";"94.96";"14.82";"5";"0";"104";"100";"23.08";"76.92";"76.92";"78.57";"67.31";"52.88";"1.92";"0.96";"50";"12.5";"4.81";"38.46"
"Bagner Samuel Delgado Loor";"LW";"all";"all";"38708";"B. Delgado";"1995-11-20";"82.29";"12.81";"5";"0";"92";"100";"33.7";"66.3";"66.3";"65.57";"66.3";"43.48";"21.74";"10.87";"50";"17.39";"4.35";"25"
