"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
" Carlos Henrique José Francisco Venancio Casimiro";"LM";"all";"all";"1674";"Casemiro";"1992-02-23";"79.6";"20";"8";"0";"138";"100";"14.49";"1.02";"0";"28.99";"24.64";"3.62";"0.2";"0.18";"2.9";"2.9"
"Aaron Cresswell";"LCB";"all";"all";"82";"A. Cresswell";"1989-12-15";"89.59";"20.77";"8";"0";"141";"100";"7.09";"0.55";"0.71";"44.68";"40.43";"1.42";"0.17";"0.12";"1.42";"0.71"
"Aaron Wan-Bissaka";"RB";"all";"all";"12307";"A. Wan-Bissaka";"1997-11-26";"98.48";"20.92";"15";"0";"382";"100";"12.04";"0.89";"0.79";"35.34";"29.32";"2.88";"0.32";"0.23";"4.71";"3.14"
"Aaron Wan-Bissaka";"RWB";"all";"all";"12307";"A. Wan-Bissaka";"1997-11-26";"98.85";"23.77";"14";"0";"418";"100";"8.85";"0.88";"0.48";"40.67";"34.21";"3.59";"0.29";"0.19";"2.15";"1.2"
"Abdoulaye Doucouré";"AM";"all";"all";"124";"A. Doucouré";"1993-01-01";"86.95";"17.39";"16";"0";"506";"100";"39.53";"2.69";"0";"31.42";"21.54";"3.36";"0.72";"0.45";"11.86";"7.11"
"Abdoulaye Doucouré";"LM";"all";"all";"124";"A. Doucouré";"1993-01-01";"89.36";"15.89";"5";"0";"140";"100";"37.14";"2.5";"0";"33.57";"19.29";"1.43";"0.49";"0.2";"9.29";"3.57"
"Abdoulaye Doucouré";"RDM";"all";"all";"124";"A. Doucouré";"1993-01-01";"95.26";"19.3";"5";"0";"165";"100";"21.82";"1.59";"0";"24.85";"18.79";"1.21";"0.35";"0.16";"3.64";"1.82"
"Abdukodir Khusanov";"RCB";"all";"all";"698218";"A. Khusanov";"2004-02-29";"97.36";"30.15";"5";"0";"70";"100";"2.86";"0.24";"0";"40";"38.57";"1.43";"0.07";"0.07";"0";"0"
"Adam Armstrong";"CF";"all";"all";"168";"A. Armstrong";"1997-02-10";"79.68";"21.41";"8";"0";"181";"100";"51.38";"3.25";"0";"32.6";"19.89";"2.76";"0.69";"0.25";"10.5";"3.31"
"Adam James Wharton";"RM";"all";"all";"176484";"A. Wharton";"2004-02-06";"82.9";"17.2";"15";"0";"175";"100";"4";"0.49";"0";"30.29";"26.86";"0.57";"0.09";"0.07";"0.57";"0"
"Adam Smith";"RB";"all";"all";"209";"A. Smith";"1991-04-29";"84.46";"17.71";"18";"0";"260";"100";"8.85";"0.72";"0";"28.08";"23.08";"1.54";"0.15";"0.1";"1.15";"0.38"
"Adam Webster";"LCB";"all";"all";"18903";"A. Webster";"1995-01-04";"95.81";"22.4";"9";"0";"72";"100";"0";"0.07";"0";"37.5";"37.5";"0";"0.03";"0.03";"0";"0"
"Adama Traoré Diarra";"RW";"all";"all";"12168";"Adama Traoré";"1996-01-25";"81.02";"21.27";"12";"0";"189";"100";"33.33";"2.57";"1.06";"51.32";"38.62";"7.94";"0.71";"0.52";"9.52";"6.88"
