"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Ashley  Young";"RB";"all";"all";"1102";"A. Young";"1985-07-09";"91.49";"17.58";"18";"0";"242";"100";"60.33";"0.86";"0.48";"67.81";"141.74";"0.23";"40.91";"2.48";"0";"11.57";"4.96";"2.48"
"Jamie Vardy";"CF";"all";"all";"4700";"J. Vardy";"1987-01-11";"89.33";"20.14";"34";"0";"169";"100";"76.33";"2.99";"2.5";"70.54";"163.91";"1.32";"53.85";"7.1";"0.59";"36.69";"28.99";"14.79"
"Idrissa Gana Gueye";"DM";"all";"all";"12073";"I. Gueye";"1989-09-26";"90.56";"15.51";"5";"0";"27";"100";"62.96";"1.16";"0.72";"82.35";"140.74";"0.38";"51.85";"0";"0";"22.22";"11.11";"7.41"
"Idrissa Gana Gueye";"LDM";"all";"all";"12073";"I. Gueye";"1989-09-26";"95.82";"18.68";"12";"0";"123";"100";"55.28";"1.32";"0.64";"88.24";"126.83";"0.49";"48.78";"6.5";"0.81";"18.7";"9.76";"7.32"
"Idrissa Gana Gueye";"LM";"all";"all";"12073";"I. Gueye";"1989-09-26";"92.56";"18.18";"5";"0";"43";"100";"55.81";"1.4";"0.85";"91.67";"141.86";"0.69";"51.16";"11.63";"0";"18.6";"11.63";"6.98"
"Idrissa Gana Gueye";"RDM";"all";"all";"12073";"I. Gueye";"1989-09-26";"94.88";"18.57";"12";"0";"102";"100";"53.92";"1.02";"0.54";"83.64";"140.2";"0.37";"45.1";"2.94";"0";"12.75";"7.84";"2.94"
"Aaron Cresswell";"LCB";"all";"all";"82";"A. Cresswell";"1989-12-15";"89.59";"20.77";"8";"0";"123";"100";"54.47";"0.78";"0.44";"89.55";"130.08";"0.35";"48.78";"0.81";"0";"7.32";"4.88";"3.25"
"Michail Antonio";"CF";"all";"all";"7478";"M. Antonio";"1990-03-28";"71.35";"15.6";"10";"0";"66";"100";"78.79";"2.58";"2.23";"63.46";"163.64";"0.99";"50";"7.58";"1.52";"42.42";"34.85";"15.15"
"Craig Dawson";"LCB";"all";"all";"2012";"C. Dawson";"1990-05-06";"99.1";"21.12";"5";"0";"62";"100";"58.06";"0.28";"0.19";"91.67";"122.58";"0.11";"53.23";"0";"0";"4.84";"3.23";"1.61"
"Kyle Walker";"RB";"all";"all";"6027";"K. Walker";"1990-05-28";"97.92";"31.28";"9";"0";"168";"100";"59.52";"0.75";"0.44";"89";"132.74";"0.24";"52.98";"3.57";"0";"7.74";"4.76";"2.38"
"Kieran Trippier";"RB";"all";"all";"5907";"K. Trippier";"1990-09-19";"84.11";"21.35";"12";"0";"222";"100";"64.41";"1.01";"0.68";"78.32";"146.85";"0.41";"50.45";"2.7";"0";"11.26";"7.21";"4.5"
"İlkay Gündoğan";"LDM";"all";"all";"4450";"İ. Gündoğan";"1990-10-24";"90.72";"30.43";"8";"0";"123";"100";"50.41";"2.29";"0.94";"90.32";"141.46";"0.77";"45.53";"7.32";"1.63";"32.52";"10.57";"8.94"
"İlkay Gündoğan";"LM";"all";"all";"4450";"İ. Gündoğan";"1990-10-24";"88.79";"30.14";"6";"0";"70";"100";"51.43";"1.54";"0.73";"77.78";"134.29";"0.39";"40";"5.71";"1.43";"31.43";"12.86";"5.71"
"Daniel Nii Tackie Mensah Welbeck";"CF";"all";"all";"2325";"D. Welbeck";"1990-11-26";"91.16";"22.65";"23";"0";"183";"100";"56.28";"2.54";"1.43";"84.47";"156.83";"1.02";"47.54";"13.11";"3.28";"37.7";"22.95";"18.03"
"Adam Smith";"RB";"all";"all";"209";"A. Smith";"1991-04-29";"84.46";"17.71";"18";"0";"156";"100";"58.33";"0.71";"0.41";"83.52";"137.18";"0.24";"48.72";"5.13";"0.64";"10.26";"6.41";"3.21"
"Raúl Alonso Jiménez Rodríguez";"CF";"all";"all";"8891";"R. Jiménez";"1991-05-05";"84";"22.49";"30";"0";"256";"100";"67.58";"2.35";"1.54";"75.72";"149.61";"0.81";"51.17";"8.59";"1.56";"28.52";"18.75";"10.16"
"Kevin De Bruyne";"AM";"all";"all";"5811";"K. De Bruyne";"1991-06-28";"87.78";"30.03";"12";"0";"239";"100";"66.11";"3.19";"2.25";"67.09";"153.97";"1.19";"44.35";"11.72";"2.09";"50.63";"34.73";"18.41"
"Virgil van Dijk";"LCB";"all";"all";"10738";"V. van Dijk";"1991-07-08";"100.02";"27.66";"37";"0";"422";"100";"40.76";"0.68";"0.22";"93.6";"120.14";"0.18";"38.15";"2.13";"0";"8.53";"1.9";"1.42"
"Sam Morsy";"RDM";"all";"all";"11994";"Sam Morsy";"1991-09-10";"97.1";"18.7";"23";"0";"209";"100";"55.98";"1";"0.53";"85.47";"140.67";"0.44";"47.85";"5.26";"0.48";"12.92";"6.7";"6.22"
"Sam Morsy";"RM";"all";"all";"11994";"Sam Morsy";"1991-09-10";"91.88";"16.5";"6";"0";"51";"100";"49.02";"0.91";"0.47";"76";"121.57";"0.29";"37.25";"7.84";"0";"11.76";"7.84";"3.92"
"Jordan Ayew";"AM";"all";"all";"5304";"J. Ayew";"1991-09-11";"81.25";"15.52";"6";"0";"48";"100";"64.58";"1.56";"1.19";"80.65";"164.58";"0.95";"52.08";"6.25";"2.08";"20.83";"18.75";"14.58"
"Jordan Ayew";"RW";"all";"all";"5304";"J. Ayew";"1991-09-11";"89.61";"18.89";"8";"0";"65";"100";"60";"1.85";"1.29";"66.67";"161.54";"0.71";"40";"7.69";"1.54";"29.23";"23.08";"12.31"
"Lewis Dunk";"LCB";"all";"all";"11553";"L. Dunk";"1991-11-21";"99.54";"25.07";"18";"0";"293";"100";"45.73";"0.47";"0.2";"82.84";"122.18";"0.11";"37.88";"1.37";"0.34";"6.14";"1.37";"1.02"
"Chris Wood";"CF";"all";"all";"12681";"C. Wood";"1991-12-07";"90.79";"17.08";"34";"0";"203";"100";"71.43";"2.38";"1.69";"66.9";"148.28";"1.01";"47.78";"10.34";"0.49";"31.53";"23.15";"13.79"
"Jorge Luiz Frello Filho";"DM";"all";"all";"5365";"Jorginho";"1991-12-20";"84.47";"21.46";"7";"0";"78";"100";"47.44";"1.05";"0.39";"83.78";"130.77";"0.28";"39.74";"2.56";"0";"14.1";"6.41";"5.13"
"Fabian Schär";"RCB";"all";"all";"12138";"F. Schär";"1991-12-20";"99.03";"23.9";"30";"0";"444";"100";"53.83";"0.62";"0.36";"75.73";"131.31";"0.21";"40.77";"2.03";"0.45";"6.31";"2.7";"1.8"
"Joël Veltman";"RB";"all";"all";"5130";"J. Veltman";"1992-01-15";"95.25";"23.98";"17";"0";"201";"100";"47.26";"0.96";"0.41";"77.89";"140.3";"0.23";"36.82";"1.49";"0";"11.44";"4.48";"1.49"
"Matt Doherty";"RCB";"all";"all";"7213";"M. Doherty";"1992-01-16";"93.21";"22.18";"19";"0";"271";"100";"53.14";"0.5";"0.28";"84.72";"131.37";"0.2";"45.02";"1.48";"0.37";"5.54";"2.95";"2.21"
"Christian  Dannemann Eriksen";"LM";"all";"all";"1827";"C. Eriksen";"1992-02-14";"88.11";"25.2";"5";"0";"60";"100";"55";"1.54";"0.84";"72.73";"146.67";"0.66";"40";"6.67";"0";"28.33";"13.33";"10"
" Carlos Henrique José Francisco Venancio Casimiro";"LM";"all";"all";"1674";"Casemiro";"1992-02-23";"79.6";"20";"8";"0";"85";"100";"64.71";"1.55";"0.9";"69.09";"136.47";"0.55";"44.71";"3.53";"0";"28.24";"15.29";"7.06"
"Dan Burn";"LCB";"all";"all";"2184";"D. Burn";"1992-05-09";"100.47";"23.22";"37";"0";"392";"100";"60.46";"0.38";"0.21";"93.67";"127.3";"0.17";"56.63";"1.53";"0.51";"2.55";"1.79";"1.28"
"Mohamed  Salah Ghaly";"RW";"all";"all";"7735";"Mohamed Salah";"1992-06-15";"97.91";"26.97";"34";"0";"598";"100";"67.89";"3.51";"2.76";"64.29";"169.4";"1.4";"43.65";"12.88";"3.18";"47.83";"36.45";"19.9"
"Heung-Min Son";"LF";"all";"all";"4314";"Son Heung-Min";"1992-07-08";"89.35";"22.21";"13";"0";"225";"100";"63.11";"2.54";"1.71";"82.39";"164";"1.44";"52";"14.67";"3.11";"37.33";"28";"22.22"
"Heung-Min Son";"LW";"all";"all";"4314";"Son Heung-Min";"1992-07-08";"82.88";"22.01";"6";"0";"100";"100";"67";"2.71";"1.76";"77.61";"182";"0.79";"52";"12";"3";"30";"20";"12"
"Jannik Vestergaard";"LCB";"all";"all";"4740";"J. Vestergaard";"1992-08-03";"87.44";"20.46";"14";"0";"132";"100";"54.55";"0.34";"0.19";"95.83";"121.21";"0.15";"52.27";"3.03";"0";"1.52";"0";"0"
"Vladimír Coufal";"RB";"all";"all";"12794";"V. Coufal";"1992-08-22";"85.36";"20.78";"6";"0";"87";"100";"62.07";"0.89";"0.6";"85.19";"147.13";"0.42";"52.87";"8.05";"0";"12.64";"8.05";"5.75"
"James  Tarkowski";"RCB";"all";"all";"12542";"J. Tarkowski";"1992-11-19";"99.3";"18.67";"31";"0";"276";"100";"54.35";"0.39";"0.21";"82.67";"127.54";"0.14";"44.93";"2.9";"0.72";"2.17";"1.09";"0.72"
"Abdoulaye Doucouré";"AM";"all";"all";"124";"A. Doucouré";"1993-01-01";"86.95";"17.39";"16";"0";"163";"100";"66.87";"2.99";"2.08";"67.89";"155.21";"1.15";"45.4";"7.98";"0";"38.65";"26.99";"14.72"
