"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Aaron Cresswell";"A. Cresswell";"82";"1989-12-15";"LCB";"Central Defender";"89.59";"49.35";"8";"0";"0.83";"1.87";"28.38";"29.02";"8063.53";"134.39";"1195.59";"392.25";"34.95";"122.49";"4.71";"514.74";"39.67";"90.58";"4.1";"66.87";"7.75";"2.28";"0.61"
"Abdoulaye Doucouré";"A. Doucouré";"124";"1993-01-01";"AM";"Midfield";"86.95";"46.38";"16";"0";"0.69";"1.48";"28.68";"29.7";"9891.87";"164.86";"2339.09";"1186.52";"96.46";"332.82";"18.76";"1519.34";"115.22";"113.85";"5.58";"85.47";"17.3";"3.64";"1.21"
"Abdoulaye Doucouré";"A. Doucouré";"124";"1993-01-01";"LM";"Midfield";"89.36";"51.69";"5";"0";"0.79";"null";"29.1";"29.1";"9423.1";"157.05";"2027.86";"958.79";"83.81";"305.75";"15.79";"1264.54";"99.59";"118.17";"3.95";"91.93";"15.32";"3.02";"0.93"
"Abdoulaye Doucouré";"A. Doucouré";"124";"1993-01-01";"RDM";"Midfield";"95.26";"56.17";"5";"0";"0.68";"1.68";"28.04";"28.04";"9630.69";"160.51";"2178.8";"922.54";"77.77";"245.06";"13.89";"1167.6";"91.66";"115.58";"3.2";"87.81";"12.61";"2.56";"0.43"
"Adam Armstrong";"A. Armstrong";"168";"1997-02-10";"CF";"Center Forward";"79.68";"44.14";"8";"0";"0.69";"1.29";"30.23";"30.74";"8128.34";"135.47";"1298.62";"573.86";"57.1";"238.07";"12.91";"811.93";"70.01";"88.7";"6.29";"63.21";"13.93";"4.76";"2.04"
"Adam Smith";"A. Smith";"209";"1991-04-29";"RB";"Full Back";"84.45";"44.16";"18";"0";"0.69";"1.44";"29.28";"30.88";"8554.17";"142.57";"1600.07";"697.09";"64.23";"248.61";"11.93";"945.7";"76.15";"96.68";"5.51";"69.74";"12.23";"3.25";"0.83"
"Alex Iwobi";"A. Iwobi";"494";"1996-05-03";"LW";"Wide Attacker";"91.73";"49.87";"20";"0";"0.7";"1.36";"29.39";"31.18";"8817.99";"146.97";"1712.26";"778.22";"74.0";"303.5";"15.16";"1081.73";"89.16";"102.63";"6.32";"75.02";"12.21";"4.57";"1.5"
"Alex Iwobi";"A. Iwobi";"494";"1996-05-03";"RW";"Wide Attacker";"91.12";"51.24";"5";"0";"0.74";"1.87";"28.96";"28.96";"8541.13";"142.35";"1566.88";"727.82";"67.68";"265.56";"13.58";"993.38";"81.26";"104.91";"5.15";"72.59";"12.65";"3.04";"0.47"
"Andrew Robertson";"A. Robertson";"841";"1994-03-11";"LB";"Full Back";"91.51";"50.65";"28";"0";"0.6";"1.27";"30.71";"31.92";"8359.19";"139.32";"1325.27";"712.3";"66.92";"385.13";"16.79";"1097.43";"83.72";"94.25";"7.28";"67.18";"14.85";"5.63";"2.16"
"Ashley  Young";"A. Young";"1102";"1985-07-09";"RB";"Full Back";"91.49";"50.03";"18";"0";"0.64";"1.3";"29.25";"30.6";"7995.76";"133.26";"1217.79";"494.93";"48.91";"161.58";"8.8";"656.5";"57.7";"95.35";"5.6";"69.36";"11.79";"3.6";"1.07"
"Ben Davies";"B. Davies";"1242";"1993-04-24";"LCB";"Central Defender";"96.12";"52.23";"14";"0";"0.69";"1.38";"28.06";"29.8";"7993.07";"133.22";"1286.75";"455.61";"38.89";"103.63";"5.17";"559.24";"44.06";"90.74";"3.86";"67.61";"8.61";"2.13";"0.66"
"Bernardo Mota Veiga de Carvalho e Silva";"Bernardo Silva";"1326";"1994-08-10";"LM";"Midfield";"98.44";"60.49";"6";"0";"0.77";"null";"26.47";"26.58";"9515.24";"158.59";"2038.32";"709.92";"52.08";"108.12";"6.78";"818.04";"58.86";"97.87";"2.65";"72.08";"9.26";"1.49";"0.0"
"Bernardo Mota Veiga de Carvalho e Silva";"Bernardo Silva";"1326";"1994-08-10";"RDM";"Midfield";"97.53";"59.0";"8";"0";"0.81";"1.66";"26.27";"26.86";"9602.71";"160.05";"2146.68";"608.81";"48.82";"97.51";"5.09";"706.32";"53.9";"91.66";"2.67";"68.52";"9.28";"0.89";"0.25"
"Bernardo Mota Veiga de Carvalho e Silva";"Bernardo Silva";"1326";"1994-08-10";"RM";"Midfield";"100.03";"59.67";"6";"0";"0.75";"null";"27.22";"27.64";"9213.41";"153.56";"1869.29";"601.26";"47.93";"129.2";"6.2";"730.46";"54.13";"87.14";"3.35";"66.53";"7.54";"1.84";"0.34"
"Bernardo Mota Veiga de Carvalho e Silva";"Bernardo Silva";"1326";"1994-08-10";"RW";"Wide Attacker";"97.25";"58.21";"7";"0";"0.82";"1.8";"27.71";"28.08";"8753.8";"145.9";"1801.47";"738.91";"62.29";"184.06";"10.45";"922.97";"72.74";"96.16";"3.83";"63.76";"13.4";"2.65";"0.44"
"Bruno Miguel Borges Fernandes";"Bruno Fernandes";"1498";"1994-09-08";"AM";"Midfield";"98.29";"52.02";"14";"0";"0.67";"1.25";"28.86";"30.32";"9232.1";"153.87";"1784.55";"796.02";"65.9";"252.49";"11.2";"1048.51";"77.11";"94.73";"4.45";"67.63";"10.13";"3.21";"0.99"
"Bruno Miguel Borges Fernandes";"Bruno Fernandes";"1498";"1994-09-08";"LM";"Midfield";"101.09";"55.38";"6";"0";"0.8";"1.95";"28.22";"28.48";"9408.9";"156.81";"1950.87";"649.87";"53.99";"176.42";"7.95";"826.28";"61.94";"95.34";"2.53";"71.51";"8.31";"1.63";"0.18"
