Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Diego Gómez,Brighton & Hove Albion,Premier League,2025/2026,1041,11.57,15,Left Defensive Midfielder,Left Wing,Man,Paraguay,23,26/03/03,185,0.17,0.17,0.31,0.16,1.9,9,41,3,,0.28,0,0.1,1.04,0,0.1,1.04,0,0,0,0.17,0.41,2.94,-0.24,1.38,0.6,0.78,44,0.69,0,1.12,2.42,0.86,0.96,1.12,1.28,39.67,24.72,0.01,10.72,54.6,4.84,8.04,3.02,3.89,70,3.27,4.23,1.73,61,1.3,51,1.56,0,35.17,34.86,9.33,7.95,2.42,56.9,21.6,61,6.31,79,0.43,0,0,30.33,79,1.9,6,65,1.99,2.07,31,65,-14,54.08,3.28,0.47,0.65,26.44,89,4.23,8.56,0.78,0.78,0,0.35,3.54,4.32,0.17,33,0.52,75,0.6,12,70,18,13,70,17,18.85,16.25,1,96,-2.61,18.78,15.54,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,6,4.29,29,0.03,0.01,0.05,-0.01,,0.08
Dilane Bakwa,Nottingham Forest,Premier League,2025/2026,188,2.09,4,Right Wing,Right Midfielder,Man,France,23,25/08/02,179,0,0,0.06,0.04,1.43,0,100,2,,0.27,0,0.13,2.39,0,0.07,1.91,0,0.06,0.48,0,0.19,3.82,-0.19,2.87,0.96,1.91,33,1.91,0,2.87,3.82,0,0,0.48,0.78,18.16,10.04,0.05,5.74,50.13,3.35,6.69,0,0,0,0,0,1.43,0,0.96,100,0.48,0,16.73,23.77,4.3,4.3,1.43,52.84,9.56,57,3.82,89,0,0,0,42.54,77,2.39,90,42,0.96,5.26,19,72,-5,60.95,4.78,0.29,0.35,46.84,87,6.03,18.64,1.43,0.96,0.48,0,2.39,3.35,0,33,0.48,10,0.48,17,64,20,23,49,28,18.2,15.6,0.86,104,-2.6,15.7,16.22,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,9,5.64,37,-0.05,0.13,0.02,0.03,,0.13
Diogo Dalot,Manchester United,Premier League,2025/2026,1072,11.91,14,Left Wing Back,Right Wing Back,Man,Portugal,27,17/03/99,183,0.08,0.08,0.08,0.14,0.59,14,29,0,,0.09,0.17,0.17,1.26,0.17,0.16,1.18,0,0,0.08,0.25,0.25,1.85,0,1.01,0.42,0.59,42,0.5,0,0.59,1.76,0.76,0.93,2.52,2.97,11,5.63,0.02,5.21,32.53,3.53,8.06,1.6,2.35,70,1.74,2.66,0.76,53,0.67,64,2.27,0.08,8.65,9.97,3.7,2.1,1.01,38.12,2.6,30,1.51,72,0.08,0,0,33.76,76,2.35,16,68,3.11,2.86,18,73,-2,55.41,3.61,0.46,0.65,29.73,93,4.08,10.33,1.6,1.34,0.25,0.17,1.34,2.69,0.08,37,0.76,24,0.5,23,65,12,20,63,17,19.42,17.69,0.94,103,-1.73,18.28,18.22,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,11,7.58,40,0.28,0.1,0.01,0,,0.39
Djed Spence,Tottenham Hotspur,Premier League,2025/2026,1082,12.02,13,Left Back,Right Back,Man,England,25,08/08/00,184,0,0,0.04,0.13,0.33,0,50,0,,0.03,0,0.04,0.25,0,0.04,0.25,0,0,0,0,0.08,0.58,-0.08,2.16,0.67,1.5,31,0.75,0,1.33,2.5,0.25,0.2,2,2.05,14.14,5.91,0.01,5.91,35.47,3.33,7.57,1.66,1.91,80,1.65,1.85,1.08,69,0.42,52,1.08,0,11.4,12.02,4.33,3.41,1.16,40.85,4.41,39,2.16,63,0.17,0,0,37.19,80,2.5,6,59,2.58,3.66,13,73,-8,51.99,5.49,0.24,0.27,37.11,90,5.99,11.32,0.58,0.5,0.08,0.25,1.25,1.75,0.17,29,0.42,26,0.33,25,60,15,23,59,18,19.59,19.04,0.95,98,-0.55,18.68,18.64,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,10,2.75,26,0.06,0.1,0,0,,0.16
Dominic Calvert-Lewin,Leeds United,Premier League,2025/2026,1046,11.62,14,Centre Forward,Right Centre Forward,Man,England,29,15/03/97,187,0.43,0.34,0.39,0.15,2.58,13,40,7,100,0.41,0,0.05,0.69,0,0.05,0.69,0,0,0,0.34,0.44,3.27,-0.1,1.03,0.43,0.6,42,1.55,0.09,1.38,3.87,0,0,0.6,0.54,28.91,13.68,0,6.2,64.75,1.72,3.01,0.52,0.52,100,0.5,0.5,1.89,100,0,42,4.91,0,26.5,21.81,5.68,3.27,0.95,66.64,20.48,77,3.01,92,0,0,0,13.42,59,0.26,6,50,0.77,0.34,42,40,-19,62.17,0.86,0.51,0.67,12.31,68,5.21,3.87,0.43,0.43,0,0.26,6.02,6.45,0,40,0.17,29,0.6,19,70,11,16,67,18,13.98,13.61,0.89,79,-0.36,12.5,10.76,0,0,0,0,0,,0,0,,0,0,0,0,0,0,37,8,2.94,18,-0.06,0.04,0.01,0.16,,0.16
Dominic Solanke,Tottenham Hotspur,Premier League,2025/2026,40,0.44,2,Centre Forward,,Man,England,28,13/09/97,187,0,0,0.71,0.16,4.55,0,50,14,,0.42,0,0,0,0,0,0,0,0,0,0,0.71,4.55,-0.71,0,0,0,,2.28,0,0,2.28,2.28,1.2,0,0,29.58,15.93,0,0,60.49,2.28,2.28,2.28,4.55,100,3.85,5.05,0,,0,0,0,0,27.31,38.25,0,6.83,0,63.56,18.2,67,2.28,33,0,0,0,6.83,100,0,50,,0,0,33,100,0,51.3,2.28,0.96,0.96,13.65,83,8.04,2.28,0,0,0,0,11.38,11.38,0,,0,,0,0,67,33,0,100,0,11.22,14.01,1,100,2.79,11.22,14.01,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,33,,,0.02,-0.02,0.03,0.05,,0.09
Dominik Szoboszlai,Liverpool,Premier League,2025/2026,1606,17.84,16,Right Back,Centre Attacking Midfielder,Man,Hungary,25,24/10/00,186,0.11,0.11,0.11,0.06,1.74,6,35,1,,0.11,0.11,0.15,1.79,0.11,0.11,1.06,0,0.04,0.73,0.22,0.26,3.53,-0.04,1.18,0.67,0.5,57,0.9,0,0.67,1.51,1.06,1.47,1.12,1.59,22.98,12.95,0.03,7.23,45.76,4.43,9.47,1.68,2.75,61,2.35,3.82,1.12,51,1.06,50,0.56,0.06,20.29,27.38,6,4.6,1.4,49.32,9.98,49,2.35,51,0.22,0,0,54.31,84,5.16,13,67,1.74,7.12,16,84,0,55.16,6.95,0.6,0.72,47.25,96,4.55,18.72,2.41,1.51,0.9,0.34,2.19,3.7,0.06,21,0.67,36,0.45,17,69,14,19,72,9,20.21,16.11,0.95,104,-4.1,19.3,16.7,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,7,8.55,53,0.15,0.09,0.05,-0.01,,0.29
Donyell Malen,Aston Villa,Premier League,2025/2026,604,6.71,16,Centre Forward,Right Wing,Man,Netherlands,27,18/01/99,176,0.6,0.6,0.4,0.11,3.58,17,33,9,,0.46,0.15,0.04,0.75,0.15,0.04,0.75,0,0,0,0.75,0.44,4.32,0.31,1.79,0.75,1.04,42,1.19,0,1.64,2.83,0.15,0.13,0.15,0.13,15.95,8.65,0.01,4.32,62.45,2.53,2.98,0.6,0.75,67,0.74,0.87,0.6,33,0.3,31,0.6,0,14.76,15.86,4.32,3.13,1.49,63.43,10.73,73,2.83,90,0,0,0,12.07,75,0.6,9,80,0.15,0.75,19,53,-22,68.93,1.49,0.41,0.66,18.18,79,6.38,5.96,0.75,0.75,0,0.6,7.01,7.75,0,0,0.45,60,0.6,11,73,16,15,75,10,14.48,12.35,1.06,119,-2.13,15.29,14.71,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,4,2.68,18,-0.03,0.12,0.04,-0.14,,0
Douglas Luiz,Nottingham Forest,Premier League,2025/2026,202,2.25,5,Right Defensive Midfielder,Left Centre Midfielder,Man,Brazil,28,08/05/98,175,0,0,0.01,0.02,0.44,0,0,0,,0,0,0.19,1.33,0,0.19,1.33,0,0,0,0,0.2,1.78,-0.2,1.33,0,1.33,0,2.22,0,1.33,3.11,1.33,1.21,0.44,0.27,17.8,8.9,0.03,6.67,40.6,2.67,7.56,2.22,3.56,83,2.3,3.51,0.44,75,0.44,100,1.33,0,15.13,15.96,4.89,4.45,0.44,43.75,4.89,32,2.67,60,0.44,0,0,49.84,87,1.78,11,33,1.33,4.45,22,79,-8,47.92,3.11,0.45,0.48,43.16,90,4.89,7.12,0.44,0.44,0,0.44,1.33,1.78,0,0,0,0,0.89,9,77,14,0,81,19,18.89,16.66,0.92,87,-2.22,17.37,14.53,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,3,6.85,58,0.18,0.04,0.09,-0.01,,0.29
Dwight McNeil,Everton,Premier League,2025/2026,130,1.44,7,Centre Attacking Midfielder,Right Wing,Man,England,26,21/11/99,183,0,0,0.13,0.09,1.38,0,0,2,,0,0,0.14,1.38,0,0.14,1.38,0,0,0,0,0.27,2.77,-0.27,0.69,0,0.69,0,0,0,2.08,3.46,0,0,0.69,0.19,40.15,27,0.1,9,43.31,4.15,5.54,1.38,1.38,67,0.83,0.83,2.77,50,0.69,100,1.38,0,36,23.21,8.31,4.85,0.69,45.33,15.23,42,3.46,71,0,0,0,30.46,82,1.38,97,67,0.69,2.08,24,73,-9,61.08,5.54,0.31,0.35,32.53,85,4.12,11.77,1.38,1.38,0,0,2.77,4.15,0,100,1.38,67,0,16,62,22,12,82,6,17.16,11.69,1,108,-5.46,17.09,12.64,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,0,3.6,35,0.09,0.01,-0.11,-0.04,,-0.05
