"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Ashley  Young";"RB";"all";"all";"1102";"A. Young";"1985-07-09";"91.49";"17.58";"18";"0";"429";"100";"31.93";"68.07";"68.07";"67.89";"88.58";"60.14";"3.5";"2.1";"60";"32.87";"14.69";"44.68"
"Jamie Vardy";"CF";"all";"all";"4700";"J. Vardy";"1987-01-11";"89.33";"20.14";"34";"0";"272";"100";"29.41";"70.59";"70.59";"70";"66.18";"46.32";"18.75";"10.66";"56.86";"22.79";"9.19";"40.32"
"Idrissa Gana Gueye";"DM";"all";"all";"12073";"I. Gueye";"1989-09-26";"90.56";"15.51";"5";"0";"118";"100";"14.41";"85.59";"85.59";"86.52";"75.42";"65.25";"2.54";"0.85";"33.33";"7.63";"4.24";"55.56"
"Idrissa Gana Gueye";"LDM";"all";"all";"12073";"I. Gueye";"1989-09-26";"95.82";"18.68";"12";"0";"353";"100";"11.33";"88.67";"88.67";"91.84";"79.89";"73.37";"6.23";"5.38";"86.36";"12.18";"8.5";"69.77"
"Idrissa Gana Gueye";"LM";"all";"all";"12073";"I. Gueye";"1989-09-26";"92.56";"18.18";"5";"0";"137";"100";"15.33";"84.67";"84.67";"88.79";"78.1";"69.34";"5.11";"3.65";"71.43";"11.68";"8.76";"75"
"Idrissa Gana Gueye";"RDM";"all";"all";"12073";"I. Gueye";"1989-09-26";"94.88";"18.57";"12";"0";"307";"100";"16.61";"83.39";"83.39";"86.33";"83.39";"71.99";"1.95";"1.63";"83.33";"13.68";"7.17";"52.38"
"Aaron Cresswell";"LCB";"all";"all";"82";"A. Cresswell";"1989-12-15";"89.59";"20.77";"8";"0";"192";"100";"19.79";"80.21";"80.21";"82.42";"94.79";"78.12";"2.6";"1.56";"60";"21.35";"11.46";"53.66"
"Michail Antonio";"CF";"all";"all";"7478";"M. Antonio";"1990-03-28";"71.35";"15.6";"10";"0";"125";"100";"36";"64";"64";"63.46";"41.6";"26.4";"14.4";"8";"55.56";"12.8";"5.6";"43.75"
"Craig Dawson";"LCB";"all";"all";"2012";"C. Dawson";"1990-05-06";"99.1";"21.12";"5";"0";"106";"100";"15.09";"84.91";"84.91";"85.42";"90.57";"77.36";"0";"0";"";"9.43";"3.77";"40"
"Kyle Walker";"RB";"all";"all";"6027";"K. Walker";"1990-05-28";"97.92";"31.28";"9";"0";"309";"100";"14.24";"85.76";"85.76";"87.05";"89.97";"78.32";"2.59";"0.32";"12.5";"11.65";"5.5";"47.22"
"Kieran Trippier";"RB";"all";"all";"5907";"K. Trippier";"1990-09-19";"84.11";"21.35";"12";"0";"321";"100";"16.51";"83.49";"83.49";"85.28";"93.15";"79.44";"3.74";"2.8";"75";"20.56";"13.71";"66.67"
"İlkay Gündoğan";"LDM";"all";"all";"4450";"İ. Gündoğan";"1990-10-24";"90.72";"30.43";"8";"0";"335";"100";"13.43";"86.57";"86.57";"88.67";"89.55";"79.4";"8.36";"5.07";"60.71";"9.25";"4.48";"48.39"
"İlkay Gündoğan";"LM";"all";"all";"4450";"İ. Gündoğan";"1990-10-24";"88.79";"30.14";"6";"0";"202";"100";"10.4";"89.6";"89.6";"91.23";"84.65";"77.23";"4.46";"2.48";"55.56";"6.44";"3.96";"61.54"
"Daniel Nii Tackie Mensah Welbeck";"CF";"all";"all";"2325";"D. Welbeck";"1990-11-26";"91.16";"22.65";"23";"0";"386";"100";"22.02";"77.98";"77.98";"85.33";"67.1";"57.25";"14.51";"11.14";"76.79";"10.36";"6.48";"62.5"
"Adam Smith";"RB";"all";"all";"209";"A. Smith";"1991-04-29";"84.46";"17.71";"18";"0";"264";"100";"25";"75";"75";"79.56";"85.23";"67.8";"2.65";"1.52";"57.14";"21.97";"9.85";"44.83"
