Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
A. Skov Olsen,Rangers,Rangers,"RAMF, RW",26,447,1,0.61,2,1.08,Denmark,2.62,2.21,54.55,2.01,40,0,0,0.2,1.41,2.39,0,1,0.2,0,0,2.01,0.2,1,0.2,0.12,0,0,5,1.01,40,20,0.4,2.82,28.57,1.61,50,7.25,44.44,3.62,1.81,0.2,28.79,1.81,1.81,37.85,84.04,7.45,72.97,11.28,100,10.07,74,1.41,85.71,16.21,13.19,0.22,2.01,0,0,0.2,0,1.01,3.02,80,3.22,56.25,0.2,0,1.61,1.01,4.23,80.95,0,,0,,0,0,0,0,,,0.81,,
M. Aarons,Rangers,Rangers,"RB, LB, RW",26,820,1,0.49,0,0.48,England,5.71,5.05,54.35,1.32,41.67,0,0,0.22,2.96,5.51,0.44,2,0.22,0,0,2.63,0.11,1,0.11,0.05,0,0,4,0.44,50,25,0,3.18,20.69,2.63,66.67,6.37,50,2.2,1.98,0.33,42.91,0.99,2.09,53.56,82.99,15.04,75.18,13.39,92.62,14.49,89.39,3.4,35.48,17.7,28.16,0.05,0.77,0.11,0,0,0,0.11,5.16,68.09,2.96,40.74,0.55,20,0.88,0.77,8.56,66.67,0,,0,,0,0,0,0,,,0.55,,
C. Carter-Vickers,Celtic,Celtic,RCB,28,680,0,0.25,0,0,England,7.54,4.63,77.14,6.62,62,0.26,0.52,0.13,3.71,7.3,1.19,1,0.13,0,0,0.26,0,0,0,0.03,0,0,3,0.4,33.33,0,0,0,0,0.13,100,1.46,54.55,0.66,2.38,0.13,69.35,0.53,0.53,88.15,95.95,32.43,93.06,2.51,94.74,44.34,98.21,2.38,55.56,19.66,31.15,0,0,0,0,0,0,0,11.51,90.8,0.13,0,0.13,100,0,0,12.84,88.66,0,,0,,0,0,0,0,,,1.99,,
K. Iheanacho,Celtic,Celtic,"CF, RWF",29,385,3,3.69,0,0.02,Nigeria,1.4,1.4,0,5.14,27.27,0.23,0.46,0,1.17,2.31,1.87,1,0.23,0,0,3.27,0.7,1,0.23,0.86,0,0,18,4.21,33.33,16.667,0,0.7,33.33,1.87,87.5,5.14,45.45,6.08,0.7,0,12.39,0.7,0,13.09,80.36,1.17,100,3.27,85.71,4.21,83.33,0.47,100,14.69,12.09,0,0.23,0,0,0,0,0.23,0.94,100,0.94,75,0,0,1.17,0.47,1.4,83.33,0,,0,,0,0,0,0,,,0,,
K. Tierney,Celtic,Celtic,"LB, LCB",28,2149,5,3.28,5,5.09,Isle of Man,8.33,5.23,65.6,4.19,45,0.08,0.14,0.29,4.82,8.31,0.59,1,0.04,0,0,3.94,0.21,5,0.21,0.14,2,0.08,25,1.05,32,20,0.21,5.7,41.91,1.63,69.23,3.69,50,2.64,3.06,0.34,51.68,1.97,0.84,65.75,79.94,28.06,73.58,9.76,97,19.64,81.45,7.29,41.38,19.6,35.42,0.21,1.63,0,0,0.13,66.67,1.05,10.3,73.17,6.32,52.32,0.8,47.37,1.42,2.6,14.03,74.93,0,,0,,0,0,0,0,,,0.88,,
R. Hatate,Celtic,Celtic,"LCMF, LDMF, AMF",28,1792,2,4.03,2,2.45,Japan,3.62,3.31,42.42,1.61,34.38,0.4,0.71,0.25,1.81,3.2,1.16,4,0.2,0,0,1.81,0.1,2,0.1,0.2,0,0,29,1.46,41.38,6.897,0.1,2.06,24.39,0.8,68.75,5.07,40.59,3.52,1.16,0.05,47.06,0.8,0.9,56.15,83.81,15.22,73.93,10.85,93.06,20.44,86.73,4.12,58.54,16.93,34.07,0.12,1.26,0,0.15,0.4,37.5,0.75,5.17,67.96,4.27,55.29,1.16,39.13,2.86,0.6,6.63,78.79,0,,0,,0,0,0,0,,,0.7,,
A. Engels,Celtic,Celtic,"RCMF, LCMF",22,1656,4,3.55,2,3.33,Belgium,5.54,4.46,50,3.42,42.86,0.49,0.92,0.16,2.83,5.31,1.85,5,0.27,0,0,2.01,0.22,2,0.11,0.19,1,0.05,23,1.25,26.09,17.391,0.11,2.55,36.17,0.87,75,3.59,45.45,2.83,1.41,0.11,36.68,0.82,0.76,46.41,84.19,11.41,71.9,12.34,96.04,15.16,83.87,2.55,48.94,17.52,31.58,0.18,1.68,0.05,0.05,0.11,100,0.49,4.18,66.23,3.37,45.16,0.65,33.33,1.2,0.82,5.54,70.59,0,,0,,0,0,0,0,,,0.71,,
M. Balikwisha,Celtic,Celtic,"LWF, RWF",24,261,0,0.11,1,0.48,Belgium,4.83,4.83,57.14,1.38,75,0,0,0,2.07,4,2.07,0,0,0,0,2.07,0,0,0,0.04,0,0,1,0.34,100,0,0.34,2.07,33.33,1.38,75,7.93,47.83,3.1,1.03,0,26.9,1.03,1.72,35.52,88.35,8.28,66.67,12.76,100,8.62,84,0.34,100,14.3,5.33,0.16,0.69,0,0,0,0,0.34,2.41,100,3.45,50,0.34,100,1.38,0.69,5.86,76.47,0,,0,,0,0,0,0,,,0.34,,
C. McGregor,Celtic,Celtic,"DMF, LCMF, RDMF",32,2892,2,2.38,2,1.95,Scotland,6.97,4.33,65.47,1,59.38,0.22,0.39,0.37,3.92,7.04,0.84,8,0.25,0,0,0.84,0.06,2,0.06,0.07,0,0,41,1.28,29.27,4.878,0.06,0.34,36.36,0.59,47.37,2.27,32.88,0.65,0.56,0.12,51.1,0.03,0.25,64.51,93.34,14.53,80.73,6.88,99.55,32.74,97.81,2.21,45.07,17.46,29.31,0.06,0.68,0.06,0.09,0.06,100,0.5,9.62,88.35,1.59,52.94,0.65,42.86,0.68,0.12,5.88,80.95,0,,0,,0,0,0,0,,,0.78,,
J. Karlsson,Aberdeen,Aberdeen,"LWF, AMF, LAMF",27,1375,5,5.62,0,2.14,Sweden,3.4,3.8,56.9,0.59,33.33,0,0,0,1.24,1.61,1.24,2,0.13,0,0,3.93,0.33,3,0.2,0.37,0,0,51,3.34,31.37,9.804,0,2.03,32.26,3.93,56.67,9.03,46.38,3.34,2.09,0.26,22.97,1.96,0.98,29.39,78.4,7.53,71.3,7.79,94.12,7.59,75.86,1.64,48,16.14,23.76,0.14,1.51,0,0,0,0,0.46,2.88,61.36,2.88,50,0.2,0,1.57,0.52,4.06,79.03,0,,0,,0,0,0,0,,,0.13,,
