Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.Bassinga,Mirandés,La Liga 2,2024/2025,57,0.63,2,Right Centre Forward,,Man,Côte d'Ivoire,19,12/07/05,,0,0,0.05,0.03,1.58,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0.05,1.58,-0.05,1.58,1.58,0,100,0,0,6.33,1.58,0,0,0,0,33.21,6.33,0,7.91,49.91,1.58,6.33,1.58,1.58,50,1.34,1.34,1.58,0,1.58,25,1.58,0,30.04,25.71,6.33,12.65,4.74,50.84,20.56,68,11.07,88,0,0,0,18.98,58,0,57,0,1.58,0,67,63,4,50.61,1.58,0,0.05,23.72,73,3.74,1.58,0,0,0,0,1.58,1.58,0,,0,,0,8,83,8,0,100,0,12.77,14.6,1.01,91,1.83,12.92,13.28,0,0,0,0,0,,0,0,,0,0,0,0,0,0,33,8,0.63,9,-0.07,0.15,0,-0.03,,0.05
Aarón Escandell,Real Oviedo,La Liga 2,2024/2025,4503,50.03,45,Goalkeeper,,Man,Spain,29,26/09/95,185,0,0,0,,0,,,0,,0,0,0,0.06,0,0,0.06,0,0,0,0,0,0.06,0,0.02,0.02,0,100,0.3,0,0,0,0,0,0.02,0.04,0,0.02,0,5.58,2.34,0,4.54,0,0,0,0,0,0,67,0.02,,0,0.02,0,0,0,0,0,,0,,0,,0.06,0,0,27.3,75,8.04,19,49,3.28,12.99,16,65,-10,12.39,1.16,0.12,0.12,21.65,100,4.52,0.74,0.04,0.02,0.02,0,0,0.02,0.02,0,0,,0,42,58,0,76,24,0,38.24,41.14,0.79,79,2.9,30.25,32.66,0.76,0.75,-0.01,76,76,0,0.72,3.16,34,9.17,1.61,0.16,0.12,22.53,4,15,5,1.31,10,0.1,0.06,0,,-0.05,0.1
Aarón Martin Luis,Tenerife,La Liga 2,2024/2025,1772,19.69,28,Left Defensive Midfielder,Right Defensive Midfielder,Man,Spain,18,23/11/06,175,0.1,0.1,0.06,0.05,1.17,9,26,1,,0.08,0.05,0.04,0.66,0.05,0.02,0.41,0,0.02,0.25,0.15,0.1,1.83,0.05,1.32,0.71,0.61,54,1.47,0,2.03,2.03,0.61,0.52,0.86,0.78,24.12,11.98,0.01,5.03,45.28,5.18,9.39,1.57,2.18,58,1.32,1.83,1.63,34,1.12,35,0.91,0,20.92,17.52,3.96,4.16,0.25,46.23,8.58,41,2.89,70,0.25,0,0,30.11,78,2.23,10,56,1.52,3.35,19,71,-7,51.55,2.49,0.23,0.26,28.39,86,5.09,5.84,0.66,0.41,0.25,0.15,1.63,2.03,0.05,15,0.3,60,0.36,19,72,9,23,66,11,19.52,16.71,0.94,97,-2.81,18.41,16.24,0,0,0,0,0,,0,0,,0,0,0,0,0,0,18,7,3.03,25,0.02,0.07,0.02,-0.03,,0.07
Aarón Ochoa,Málaga,La Liga 2,2024/2025,1154,12.82,26,Centre Attacking Midfielder,Right Midfielder,Man,Republic of Ireland,18,17/04/07,167,0,0,0.05,0.04,1.01,0,38,2,,0.03,0,0.07,1.25,0,0.06,1.17,0,0.01,0.08,0,0.12,2.26,-0.12,2.42,1.25,1.17,52,2.65,0.08,2.03,3.43,0.31,0.34,0.31,0.33,26.05,13.26,0,4.45,51.93,3.74,7.25,1.25,1.56,55,1.49,1.83,1.25,45,1.01,10,0.16,0,23.56,26.12,3.82,5.46,0.7,52.9,13.65,58,4.29,79,0.16,0,0,30.58,76,3.74,11,74,0.86,4.52,19,68,-8,55.86,6.32,0.29,0.33,34.16,85,5.6,10.14,0.78,0.7,0.08,0.08,2.11,2.81,0.08,10,0.08,8,0.39,20,65,15,22,66,12,20.9,17.76,1.02,113,-3.14,21.27,20.07,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,8,4.6,38,0.01,0.09,0.02,-0.04,,0.07
Abdel Rahim Alhassane Bonkano,Real Oviedo,La Liga 2,2024/2025,2501,27.79,29,Left Back,Left Wing Back,Man,Niger,23,31/12/01,184,0,0,0.01,0.04,0.18,0,20,0,,0,0.04,0.04,0.5,0.04,0.04,0.47,0,0,0.04,0.04,0.04,0.68,-0.01,1.08,0.43,0.65,40,0.68,0,0.61,1.58,2.27,2.47,1.98,1.73,13.96,6.37,0.04,4.28,36.15,3.74,9.89,1.8,4.07,76,1.84,4.31,0.86,50,0.58,59,1.15,0.04,11.33,11.81,2.48,2.63,0.43,42.37,4.21,37,1.94,74,0.18,0,0,39.58,76,2.34,84,48,2.73,4.14,14,66,-11,52.16,4.03,0.25,0.26,32.92,93,4.24,10,1.33,1.01,0.32,0.07,0.79,1.8,0,43,0.79,34,0.14,30,54,16,21,54,25,19.21,17.62,0.93,99,-1.59,17.87,17.46,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,11,4.13,35,0.14,0.06,0.02,-0.01,,0.22
Abderrahman Rebbach,Granada,La Liga 2,2024/2025,1342,14.91,19,Left Midfielder,Left Wing,Man,Algeria,26,10/08/98,176,0.2,0.2,0.23,0.12,1.88,11,36,3,,0.26,0.13,0.13,1.48,0.13,0.13,1.41,0,0.01,0.07,0.34,0.36,3.35,-0.03,3.76,1.41,2.35,38,2.35,0.13,2.75,4.96,0.67,0.66,0.67,0.66,22.87,9.25,0,3.82,47.01,4.9,8.65,1.48,2.15,61,1.38,2.04,2.08,42,0.94,48,0.94,0,19.31,18.18,2.75,2.62,0.13,47.92,8.85,46,2.08,79,0.2,0,0,27.36,76,1.61,11,55,1.27,2.35,34,72,-4,60.21,3.82,0.4,0.63,32.86,77,7.2,9.05,1.27,1.21,0.07,0.54,3.49,4.69,0.2,32,0.67,36,0.8,16,66,18,19,65,16,17.98,15.5,0.97,100,-2.48,17.37,15.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,10,4.47,29,0.06,0.21,0.02,0.05,,0.34
Adam Boayar,Elche,La Liga 2,2024/2025,104,1.15,3,Centre Forward,,Man,Morocco,19,12/10/05,180,0.87,0.87,0.27,0.08,3.47,25,75,5,,0.85,0,0.03,0.87,0,0.03,0.87,0,0,0,0.87,0.3,4.34,0.57,4.34,0.87,3.47,20,1.74,0,0.87,4.34,0.87,1.32,0,0,17.37,8.68,0,3.47,61.77,2.6,7.81,1.74,2.6,100,2.87,4.2,1.74,100,0,50,0.87,0,13.89,24.08,3.47,2.6,0,64.37,11.29,81,2.6,100,0.87,0,0,34.73,83,0,9,,0,0,40,71,-13,57.7,0.87,0.43,0.45,37.34,86,3.1,13.02,0,0,0,0,2.6,2.6,0,,0,,0,2,74,24,0,73,27,11.32,11.33,1.03,110,0.01,11.67,12.47,0,0,0,0,0,,0,0,,0,0,0,0,0,0,7,5,3.3,22,-0.1,0.07,0.03,0.36,,0.36
Adilson Mendes Martins,Córdoba CF,La Liga 2,2024/2025,1489,16.54,22,Left Wing,Left Midfielder,Man,Portugal,28,20/03/97,169,0.18,0.18,0.22,0.12,1.75,10,28,4,,0.2,0.06,0.06,1.57,0.06,0.06,1.57,0,0,0,0.24,0.27,3.33,-0.03,2.72,1.45,1.27,53,1.45,0,1.57,3.02,0.42,0.61,0.36,0.34,16.51,6.05,0.01,2.48,56.8,3.27,5.38,0.97,1.39,73,1.12,1.73,1.15,45,0.36,42,1.09,0,14.39,16.89,2.06,3.02,0.06,58.57,9.37,65,2.84,94,0.06,0,0,18.86,74,0.48,16,44,0.73,0.73,31,66,-8,68.06,2,0.36,0.5,22.01,82,8.3,8.83,0.36,0.36,0,0.54,4.78,5.14,0,17,0.3,23,1.09,12,69,19,12,62,27,14.82,14.03,0.98,95,-0.79,14.46,13.36,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,8,4.31,26,-0.05,0.13,0.01,-0.02,,0.06
Adrian Liso,Real Zaragoza,La Liga 2,2024/2025,2739,30.44,40,Left Wing,Left Midfielder,Man,Spain,20,01/04/05,182,0.13,0.13,0.09,0.06,1.48,9,36,3,,0.11,0.07,0.05,0.79,0.07,0.05,0.79,0,0,0,0.2,0.14,2.27,0.06,2.07,0.56,1.51,27,1.35,0,2.5,3.75,0.62,0.64,0.36,0.38,22.08,9.07,0.01,3.68,52.84,3.38,5.72,1.84,2.46,76,2.03,2.67,1.74,58,0.59,41,1.15,0.03,18.5,18.59,2.99,3.25,0.39,54.17,10.28,56,2.99,92,0.07,0,0,19.35,71,0.33,80,25,0.53,1.15,24,63,-8,63.37,2.07,0.34,0.44,22.87,75,6.53,7.43,0.76,0.69,0.07,0.46,3.38,4.07,0.03,57,0.72,33,0.69,16,64,20,14,60,26,16.22,13.94,0.91,95,-2.28,14.77,13.19,0,0,0,0,0,,0,0,,0,0,0,0,0,0,23,10,3.8,25,0.05,0.08,0.02,0,,0.15
Adrian Vazquez Nuñez,Córdoba CF,La Liga 2,2024/2025,103,1.15,2,Right Back,,Man,Spain,21,18/04/04,175,0,0,0,,0,,,0,,0,0.87,0.04,0.87,0.87,0.04,0.87,0,0,0,0.87,0.04,0.87,0.83,0.87,0,0.87,0,0.87,0,0,1.74,2.62,3.2,1.74,2.13,13.09,5.23,0.14,0,50.46,3.49,6.98,1.74,4.36,50,2.13,5.34,1.74,50,1.74,0,0,0,9.6,12.15,0,3.49,0,62.68,8.72,91,3.49,100,0,0,0,25.3,82,0.87,5,50,1.74,1.74,8,75,-7,54.49,6.11,0.39,0.43,19.19,91,4.84,6.11,0,0,0,0.87,0.87,0.87,0,,0,,0,39,55,6,29,71,0,17.04,5.25,0.97,120,-11.79,16.48,6.3,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,14,5.5,26,0.21,0.02,0,,,0.23
