"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Adrián Embarba Blázquez";"LW";"all";"all";"246";"Adri Embarba";"1992-05-07";"74.26";"14.92";"9";"0";"213";"100";"23";"2.02";"0.47";"36.62";"22.54";"1.41";"0.59";"0.33";"5.63";"1.88"
"Allan-Romeo Nyom";"RB";"all";"all";"614";"A. Nyom";"1988-05-10";"99.8";"17.74";"5";"0";"47";"100";"0";"0.36";"0";"34.04";"34.04";"2.13";"0.11";"0.11";"0";"0"
"Álvaro García Rivera";"LW";"all";"all";"640";"Álvaro García";"1992-10-27";"92.1";"21.51";"21";"0";"567";"100";"53.44";"3.81";"0.35";"36.68";"24.51";"6";"1.1";"0.6";"14.46";"8.64"
"Antoine Griezmann";"CF";"all";"all";"946";"A. Griezmann";"1991-03-21";"80.68";"21.46";"24";"0";"751";"100";"35.82";"2.54";"0.53";"35.42";"26.36";"3.6";"0.74";"0.42";"9.72";"5.73"
"Antonio Rüdiger";"LCB";"all";"all";"993";"A. Rüdiger";"1993-03-03";"98.28";"29.55";"22";"0";"166";"100";"6.02";"0.49";"0";"36.75";"36.14";"1.2";"0.11";"0.09";"1.2";"0.6"
"Aritz Elustondo Irribaria";"LCB";"all";"all";"1024";"Aritz Elustondo";"1994-03-28";"98.1";"22.15";"6";"0";"36";"100";"0";"0.04";"0";"36.11";"36.11";"0";"0.03";"0.03";"0";"0"
"Aritz Elustondo Irribaria";"RCB";"all";"all";"1024";"Aritz Elustondo";"1994-03-28";"91.7";"22.58";"8";"0";"53";"100";"7.55";"0.37";"0";"39.62";"39.62";"1.89";"0.07";"0.07";"1.89";"1.89"
"Axel  Witsel";"RCB";"all";"all";"1138";"A. Witsel";"1989-01-12";"98.78";"25.59";"6";"0";"57";"100";"1.75";"0.19";"1.75";"42.11";"40.35";"1.75";"0.14";"0.05";"1.75";"0"
"Ayoze Pérez Gutiérrez";"CF";"all";"all";"1145";"Ayoze Pérez";"1993-07-29";"90.11";"20.16";"20";"0";"550";"100";"58";"4.13";"1.82";"37.45";"23.64";"6.73";"1.36";"0.76";"19.27";"10.73"
"Borja Mayoral Moya";"CF";"all";"all";"1401";"Borja Mayoral";"1997-04-05";"93.56";"14.51";"7";"0";"170";"100";"53.53";"3.49";"0.59";"33.53";"15.88";"2.35";"0.96";"0.32";"13.53";"5.88"
"Cristhian Ricardo Stuani Curbelo";"CF";"all";"all";"2060";"C. Stuani";"1986-10-12";"82.15";"22.64";"5";"0";"103";"100";"69.9";"4.61";"0.97";"28.16";"12.62";"3.88";"1.33";"0.47";"20.39";"5.83"
"Daley Blind";"LB";"all";"all";"2106";"D. Blind";"1990-03-09";"98.19";"28.39";"11";"0";"237";"100";"13.08";"0.86";"0.84";"42.62";"38.82";"3.8";"0.31";"0.26";"3.8";"2.53"
"Daley Blind";"LCB";"all";"all";"2106";"D. Blind";"1990-03-09";"98.95";"29.64";"13";"0";"252";"100";"9.92";"0.73";"0";"48.02";"46.43";"1.59";"0.27";"0.23";"2.78";"1.98"
"Daniel Carvajal Ramos";"RB";"all";"all";"2189";"Dani Carvajal";"1992-01-11";"93.16";"29.09";"7";"0";"115";"100";"16.52";"1.08";"0";"38.26";"36.52";"2.61";"0.32";"0.29";"4.35";"3.48"
"Daniel Parejo Muñoz ";"LM";"all";"all";"2236";"Dani Parejo";"1989-04-16";"86.83";"19.6";"21";"0";"318";"100";"9.43";"0.86";"0.63";"32.39";"29.87";"2.2";"0.31";"0.2";"3.14";"1.89"
"David López Silva";"RCB";"all";"all";"2457";"David López";"1989-10-09";"98.42";"29.43";"19";"0";"211";"100";"0.47";"0.12";"0";"41.71";"41.71";"0";"0.02";"0.02";"0";"0"
"Diego Javier Llorente Ríos";"LCB";"all";"all";"2712";"Diego Llorente";"1993-08-16";"98.99";"22.16";"14";"0";"72";"100";"5.56";"0.3";"0";"29.17";"26.39";"0";"0.05";"0.04";"1.39";"1.39"
"Diego Javier Llorente Ríos";"RCB";"all";"all";"2712";"Diego Llorente";"1993-08-16";"98.24";"24.57";"13";"0";"70";"100";"4.29";"0.31";"0";"50";"48.57";"0";"0.04";"0.01";"0";"0"
"Dimitri Foulquier";"RB";"all";"all";"2747";"D. Foulquier";"1993-03-23";"92.72";"20.17";"17";"0";"224";"100";"6.7";"0.69";"0";"29.46";"26.34";"1.79";"0.14";"0.11";"0.89";"0.45"
"Dimitri Foulquier";"RWB";"all";"all";"2747";"D. Foulquier";"1993-03-23";"100.43";"21.45";"5";"0";"94";"100";"17.02";"1.06";"2.13";"46.81";"37.23";"4.26";"0.42";"0.32";"6.38";"5.32"
"Dodi Lukébakio";"LW";"all";"all";"2803";"D. Lukébakio";"1997-09-24";"96.75";"20.48";"5";"0";"120";"100";"42.5";"2.8";"0";"50.83";"34.17";"6.67";"1.08";"0.54";"16.67";"6.67"
"Dodi Lukébakio";"RF";"all";"all";"2803";"D. Lukébakio";"1997-09-24";"98.08";"26.42";"5";"0";"111";"100";"28.83";"2.07";"2.7";"46.85";"30.63";"7.21";"0.74";"0.44";"9.01";"5.41"
"Dodi Lukébakio";"RW";"all";"all";"2803";"D. Lukébakio";"1997-09-24";"94.45";"21.05";"21";"0";"405";"100";"27.65";"2.15";"1.23";"46.91";"31.36";"4.94";"0.78";"0.45";"8.15";"4.69"
"Donny van de Beek";"AM";"all";"all";"2838";"D. van de Beek";"1997-04-18";"79.8";"23.41";"10";"0";"390";"100";"33.33";"1.95";"0";"27.44";"22.05";"1.79";"0.4";"0.24";"6.15";"3.08"
"Eray Ervin Cömert";"RCB";"all";"all";"3123";"E. Cömert";"1998-02-04";"91.53";"19.22";"9";"0";"73";"100";"4.11";"0.23";"0";"30.14";"27.4";"0";"0.08";"0.03";"1.37";"0"
"Florian Lejeune";"RCB";"all";"all";"3504";"F. Lejeune";"1991-05-20";"99.93";"21.65";"33";"0";"307";"100";"2.28";"0.15";"0.33";"39.09";"38.11";"0.65";"0.04";"0.02";"0.33";"0"
"Gerard Moreno Balaguero ";"CF";"all";"all";"3851";"Gerard Moreno";"1992-04-07";"76.35";"18.1";"5";"0";"122";"100";"47.54";"2.98";"0.82";"34.43";"22.13";"6.56";"0.95";"0.48";"17.21";"9.84"
"Hamari Traoré";"RB";"all";"all";"4184";"H. Traoré";"1992-01-27";"76.43";"18.69";"9";"0";"78";"100";"12.82";"0.89";"0";"38.46";"32.05";"2.56";"0.31";"0.16";"3.85";"1.28"
"Héctor Bellerín Moruno";"RB";"all";"all";"4234";"Héctor Bellerín";"1995-03-19";"102.32";"22.69";"5";"0";"112";"100";"13.39";"1.09";"0";"34.82";"29.46";"1.79";"0.28";"0.21";"3.57";"2.68"
"Iago Aspas Juncal";"RF";"all";"all";"4368";"Iago Aspas";"1987-08-01";"84.32";"24.58";"8";"0";"208";"100";"40.38";"2.39";"0.48";"42.79";"30.77";"5.77";"0.84";"0.47";"15.38";"9.13"
