"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Daniel José Rodríguez Vázquez";"AM";"all";"all";"23740";"Dani Rodríguez";"1988-06-06";"76.47";"18.69";"7";"0";"65";"100";"66.15";"2.63";"1.94";"81.4";"161.54";"1.16";"53.85";"7.69";"3.08";"35.38";"23.08";"13.85"
"Francisco Román Alarcón Suárez";"AM";"all";"all";"4487";"Isco";"1992-04-21";"89.21";"23.02";"16";"0";"339";"100";"63.42";"1.82";"1.15";"74.88";"148.38";"0.72";"47.49";"8.26";"0.88";"27.73";"18.58";"11.21"
"Isaac Palazón Camacho";"AM";"all";"all";"25892";"Isi Palazón";"1994-12-27";"92.26";"21.38";"11";"0";"155";"100";"61.94";"1.67";"1.17";"77.08";"154.19";"0.71";"47.74";"9.68";"1.29";"23.23";"14.84";"9.03"
"Javier Muñoz Jiménez";"AM";"all";"all";"24612";"Javi Muñoz";"1995-02-28";"98.42";"20.56";"9";"0";"114";"100";"65.79";"2.25";"1.67";"74.67";"150";"0.98";"49.12";"9.65";"2.63";"27.19";"20.18";"14.04"
"Jon Guridi Aldalur";"AM";"all";"all";"13913";"Jon Guridi";"1995-02-28";"79.37";"14.61";"17";"0";"150";"100";"66";"1.74";"1.2";"71.72";"158.67";"0.62";"47.33";"6.67";"1.33";"26";"17.33";"10"
"Alejandro Berenguer Remiro";"AM";"all";"all";"14102";"Álex Berenguer";"1995-07-04";"79.28";"20.6";"5";"0";"61";"100";"63.93";"1.96";"1.48";"69.23";"150.82";"0.7";"44.26";"8.2";"1.64";"29.51";"24.59";"13.11"
"Kirian Rodríguez Concepción";"AM";"all";"all";"25745";"Kirian Rodríguez";"1996-03-05";"84.83";"18.53";"5";"0";"53";"100";"56.6";"1.29";"0.63";"86.67";"126.42";"0.49";"49.06";"5.66";"0";"16.98";"7.55";"5.66"
"Giovani Lo Celso";"AM";"all";"all";"11594";"G. Lo Celso";"1996-04-09";"86.45";"20.2";"8";"0";"130";"100";"66.15";"1.97";"1.44";"69.77";"150";"0.77";"46.15";"7.69";"2.31";"32.31";"21.54";"14.62"
"Eduardo Expósito Jaén";"AM";"all";"all";"24078";"Edu Expósito";"1996-08-01";"80.99";"15.91";"8";"0";"113";"100";"80.53";"2.08";"1.8";"64.84";"165.49";"0.81";"52.21";"4.42";"0";"33.63";"29.2";"14.16"
"Raphael Dias Belloli";"AM";"all";"all";"16062";"Raphinha";"1996-12-14";"96.07";"27.57";"5";"0";"66";"100";"78.79";"4.6";"4.22";"69.23";"193.94";"2.84";"54.55";"16.67";"4.55";"54.55";"48.48";"28.79"
"Donny van de Beek";"AM";"all";"all";"2838";"D. van de Beek";"1997-04-18";"79.8";"23.41";"10";"0";"86";"100";"67.44";"2.82";"1.77";"81.03";"165.12";"1.28";"54.65";"10.47";"0";"31.4";"20.93";"15.12"
"Daniel Olmo Carvajal";"AM";"all";"all";"12426";"Dani Olmo";"1998-05-07";"71.24";"23.58";"9";"0";"106";"100";"59.43";"2.62";"1.66";"80.95";"145.28";"0.9";"48.11";"11.32";"0";"44.34";"28.3";"17.92"
