"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Adrián Embarba Blázquez";"Adri Embarba";"246";"1992-05-07";"LW";"Wide Attacker";"74.26";"36.12";"9";"0";"0.7";"1.43";"28.8";"29.32";"9591.69";"159.86";"2037.16";"994.96";"98.92";"344.76";"21.04";"1339.71";"119.96";"108.15";"7.01";"74.38";"12.92";"4.24";"1.11"
"Allan-Romeo Nyom";"A. Nyom";"614";"1988-05-10";"RB";"Full Back";"99.8";"51.44";"5";"0";"0.71";"1.31";"28.76";"28.76";"8283.52";"138.06";"1398.2";"521.82";"52.02";"197.34";"10.03";"719.16";"62.05";"106.6";"5.6";"75.11";"14.7";"3.97";"1.4"
"Álvaro García Rivera";"Álvaro García";"640";"1992-10-27";"LW";"Wide Attacker";"92.1";"47.8";"21";"0";"0.55";"1.02";"31.74";"33.6";"8411.2";"140.19";"1424.81";"780.21";"88.22";"451.79";"23.31";"1232.0";"111.53";"101.31";"10.64";"66.82";"22.89";"8.25";"3.47"
"Antoine Griezmann";"A. Griezmann";"946";"1991-03-21";"CF";"Center Forward";"80.67";"48.09";"24";"0";"0.67";"1.64";"26.71";"27.96";"8450.12";"140.84";"1582.43";"601.82";"49.55";"105.28";"5.35";"707.1";"54.9";"78.71";"2.81";"64.05";"7.23";"1.61";"0.21"
"Antonio Rüdiger";"A. Rüdiger";"993";"1993-03-03";"LCB";"Central Defender";"98.28";"56.79";"22";"0";"0.68";"1.35";"29.03";"31.32";"7202.11";"120.04";"907.8";"302.43";"29.1";"110.27";"4.95";"412.7";"34.05";"75.4";"3.7";"55.86";"5.62";"2.02";"0.58"
"Aritz Elustondo Irribaria";"Aritz Elustondo";"1024";"1994-03-28";"LCB";"Central Defender";"98.1";"53.58";"6";"0";"0.68";"1.4";"29.85";"30.5";"7824.26";"130.4";"1114.34";"471.04";"47.59";"193.16";"10.64";"664.2";"58.23";"91.26";"4.85";"66.63";"9.52";"3.17";"0.93"
"Aritz Elustondo Irribaria";"Aritz Elustondo";"1024";"1994-03-28";"RCB";"Central Defender";"91.7";"46.65";"8";"0";"0.63";"1.25";"29.55";"30.56";"7862.67";"131.04";"1212.49";"445.64";"44.53";"159.32";"7.72";"604.96";"52.25";"88.26";"5.47";"63.34";"10.29";"2.89";"1.45"
"Axel  Witsel";"A. Witsel";"1138";"1989-01-12";"RCB";"Central Defender";"98.78";"55.05";"6";"0";"0.81";"null";"27.4";"27.7";"7937.55";"132.29";"1281.26";"488.67";"43.78";"116.99";"7.27";"605.66";"51.05";"89.92";"4.18";"65.58";"7.81";"2.18";"0.36"
"Ayoze Pérez Gutiérrez";"Ayoze Pérez";"1145";"1993-07-29";"CF";"Center Forward";"90.11";"48.98";"20";"0";"0.61";"1.1";"29.37";"31.66";"8033.45";"133.89";"1312.65";"617.15";"63.71";"222.73";"12.8";"839.88";"76.51";"92.86";"6.68";"66.03";"16.72";"4.96";"1.47"
"Borja Mayoral Moya";"Borja Mayoral";"1401";"1997-04-05";"CF";"Center Forward";"93.56";"44.76";"7";"0";"0.7";"1.38";"27.37";"27.72";"8671.21";"144.52";"1610.62";"703.34";"67.02";"162.19";"10.72";"865.53";"77.74";"95.17";"7.28";"70.85";"13.98";"4.02";"1.72"
"Cristhian Ricardo Stuani Curbelo";"C. Stuani";"2060";"1986-10-12";"CF";"Center Forward";"81.48";"48.63";"5";"0";"null";"null";"27.16";"27.16";"8249.55";"137.49";"1367.89";"450.62";"42.69";"68.11";"3.7";"518.73";"46.39";"84.89";"4.44";"67.12";"7.9";"0.74";"0.0"
"Daley Blind";"D. Blind";"2106";"1990-03-09";"LB";"Full Back";"98.19";"57.13";"11";"0";"0.79";"1.83";"27.75";"28.52";"8273.98";"137.9";"1384.45";"497.32";"43.54";"130.99";"6.21";"628.31";"49.74";"92.99";"3.34";"71.6";"9.83";"1.81";"0.29"
"Daley Blind";"D. Blind";"2106";"1990-03-09";"LCB";"Central Defender";"99.09";"58.04";"13";"0";"0.77";"1.88";"27.48";"28.58";"8027.28";"133.79";"1186.85";"399.25";"33.08";"88.26";"3.98";"487.51";"37.05";"88.58";"2.78";"67.99";"6.68";"1.51";"0.24"
"Daniel Carvajal Ramos";"Dani Carvajal";"2189";"1992-01-11";"RB";"Full Back";"93.16";"56.43";"7";"0";"0.67";"1.35";"29.46";"30.08";"7726.0";"128.77";"1154.69";"457.96";"43.29";"167.23";"6.84";"625.19";"50.12";"81.57";"5.47";"59.54";"9.57";"3.8";"1.52"
"Daniel Parejo Muñoz ";"Dani Parejo";"2236";"1989-04-16";"LM";"Midfield";"86.83";"47.44";"21";"0";"0.78";"null";"25.59";"27.78";"9547.8";"159.13";"1976.42";"414.21";"31.8";"51.44";"1.51";"465.64";"33.31";"94.26";"0.72";"71.37";"6.99";"0.24";"0.0"
"David López Silva";"David López";"2457";"1989-10-09";"RCB";"Central Defender";"96.94";"56.63";"19";"0";"0.65";"1.71";"27.96";"29.74";"7889.5";"131.49";"1132.58";"423.9";"37.58";"127.64";"6.13";"551.54";"43.72";"86.26";"3.4";"65.07";"6.36";"1.73";"0.39"
"Diego Javier Llorente Ríos";"Diego Llorente";"2712";"1993-08-16";"LCB";"Central Defender";"98.99";"52.62";"14";"0";"0.74";"1.37";"28.37";"29.76";"7789.89";"129.83";"1118.53";"399.15";"38.12";"99.93";"5.7";"499.08";"43.82";"88.69";"4.89";"62.14";"7.98";"3.18";"0.73"
"Diego Javier Llorente Ríos";"Diego Llorente";"2712";"1993-08-16";"RCB";"Central Defender";"98.24";"53.02";"13";"0";"0.7";"1.4";"29.32";"30.76";"7655.45";"127.59";"1053.84";"370.92";"36.65";"126.83";"6.35";"497.76";"43.0";"84.61";"4.18";"60.94";"7.66";"2.52";"1.04"
"Dimitri Foulquier";"D. Foulquier";"2747";"1993-03-23";"RB";"Full Back";"92.72";"48.3";"17";"0";"0.6";"1.24";"29.44";"30.7";"7902.3";"131.7";"1203.12";"564.11";"58.03";"217.34";"12.35";"781.45";"70.38";"95.66";"6.14";"67.75";"12.72";"4.53";"1.9"
"Dimitri Foulquier";"D. Foulquier";"2747";"1993-03-23";"RWB";"Full Back";"100.43";"54.98";"5";"0";"0.64";"1.26";"29.94";"29.94";"8120.79";"135.35";"1392.2";"650.38";"65.69";"251.64";"12.88";"902.02";"78.57";"102.79";"7.64";"73.11";"15.5";"5.67";"1.53"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"LW";"Wide Attacker";"96.75";"47.43";"5";"0";"0.63";"1.13";"31.14";"31.14";"7837.07";"130.62";"1264.26";"674.26";"68.31";"323.85";"15.69";"998.1";"84.0";"102.47";"9.36";"65.78";"19.23";"7.59";"3.54"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"RF";"Wide Attacker";"98.08";"53.37";"5";"0";"0.61";"1.25";"30.34";"30.34";"7479.24";"124.65";"1160.13";"541.17";"58.01";"252.94";"12.14";"794.1";"70.15";"95.33";"7.87";"62.95";"15.06";"6.3";"2.02"
"Dodi Lukébakio";"D. Lukébakio";"2803";"1997-09-24";"RW";"Wide Attacker";"93.35";"50.33";"22";"0";"0.54";"1.02";"30.63";"32.06";"7599.71";"126.66";"1172.91";"533.65";"57.92";"251.25";"11.27";"784.9";"69.19";"91.9";"7.8";"60.36";"15.66";"6.01";"2.28"
