Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
A.Bassinga,Las Palmas,La Liga,2024/2025,10,0.12,1,,,Man,Côte d'Ivoire,19,12/07/05,,0,0,0,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8.63,0,0,0,0,0,60.38,25.88,0,8.63,43.31,8.63,8.63,0,0,,0,0,17.25,,0,,0,0,43.13,41.55,8.63,8.63,0,44.51,17.25,40,8.63,100,0,0,0,34.5,75,8.63,67,100,8.63,0,25,100,25,55.41,8.63,0,0,43.13,80,5.56,8.63,0,0,0,0,0,0,0,,0,,0,25,75,0,0,100,0,32.23,53.88,1.01,100,21.65,32.46,53.88,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,-0.32,-0.03,-0.31,,,-0.66
Abde Ezzalzouli,Real Betis,La Liga,2024/2025,2143,23.81,32,Left Wing,Left Midfielder,Man,Morocco,23,16/12/01,177,0.08,0.08,0.29,0.11,2.56,3,39,3,0,0.24,0.08,0.07,0.97,0.08,0.07,0.92,0,0,0.04,0.17,0.36,3.53,-0.19,3.4,1.72,1.68,51,2.14,0.08,2.69,4.2,0.42,0.35,0.5,0.43,19.49,9.32,0.03,3.78,49.5,3.74,6.13,1.43,1.85,74,1.24,1.59,1.05,54,0.5,42,1.39,0,17.01,17.01,2.98,2.14,0.25,51.46,9.03,53,1.6,75,0.08,0,0,30.54,73,0.59,9,42,0.88,1.01,25,68,-5,63.89,4.16,0.5,0.69,37.05,82,6.98,11.76,0.88,0.84,0.04,0.63,6.09,6.93,0.04,10,0.38,15,0.8,12,71,17,11,71,18,15.05,14.78,0.95,97,-0.27,14.31,14.28,0,0,0,0,0,,0,0,,0,0,0,0,0,0,26,13,5.25,31,-0.04,0.22,0.02,0,,0.2
Abdelkabir Abqar,Deportivo Alavés,La Liga,2024/2025,2740,30.45,29,Right Centre Back,Centre Back,Man,Morocco,26,09/03/99,188,0,0,0.03,0.08,0.39,0,8,0,,0.02,0.03,0.01,0.2,0.03,0.01,0.2,0,0,0,0.03,0.04,0.59,0,0.26,0.13,0.13,50,1.15,0.03,0.1,0.43,1.54,1.31,4.53,3.5,10.41,5.85,0.09,3.78,26.87,1.87,9.1,1.22,2.76,80,0.93,2.23,1.84,79,0.3,58,1.68,0,7.36,6.06,1.94,1.51,0.3,32.29,1.41,19,0.72,48,0.43,0,0,29.63,78,4.04,8,50,5.68,7,13,66,-13,36.93,2.56,0.3,0.31,22.14,98,5.88,2.69,0.26,0.26,0,0.03,1.15,1.41,0.07,13,0.03,33,0.03,29,67,4,54,45,1,28.19,28.36,0.86,86,0.17,24.28,24.31,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,9,2.44,19,0.05,0.03,0.06,-0.02,,0.11
Abderrahman Rebbach,Deportivo Alavés,La Liga,2024/2025,442,4.91,8,Left Wing,Left Midfielder,Man,Algeria,26,10/08/98,176,0,0,0.03,0.02,1.22,0,17,2,,0,0,0.05,1.02,0,0.05,1.02,0,0,0,0,0.08,2.24,-0.08,2.44,0.61,1.83,25,1.22,0,1.22,4.68,0.2,0.11,1.02,0.76,21.38,10.18,0,3.26,51.66,3.87,6.72,1.02,1.22,50,0.51,0.63,1.43,29,1.02,19,0.61,0,18.94,11.34,2.65,2.85,0,53.27,10.38,55,2.65,93,0.2,0,0,22.4,63,1.83,15,50,1.43,3.26,21,42,-21,60.12,2.44,0.37,0.41,24.43,78,6.26,5.9,1.43,1.02,0.41,0.2,3.05,4.07,0,43,0.81,36,0.61,13,70,17,10,69,21,19.98,14.01,0.96,108,-5.98,19.24,15.18,0,0,0,0,0,,0,0,,0,0,0,0,0,0,29,10,6.76,50,0.08,0.02,0.02,-0.05,,0.07
Abdoulaye Keita Keita,Getafe,La Liga,2024/2025,110,1.22,3,Left Midfielder,Right Midfielder,Man,Spain,22,31/08/02,186,0,0,0.04,0.02,1.64,0,0,4,,0,0,0,0,0,0,0,0,0,0,0,0.04,1.64,-0.04,3.29,0,3.29,0,0,0,1.64,4.93,0.82,0.54,1.64,0.85,33.69,18.08,0,1.64,45.62,2.47,5.75,1.64,2.47,50,1.08,1.61,4.93,50,1.64,33,1.64,0,27.12,12.37,1.64,3.29,0,49.27,12.33,45,0.82,25,0,0,0,22.19,61,0.82,13,25,3.29,1.64,29,63,2,60.89,2.47,0.13,0.15,20.54,68,3.4,8.22,0.82,0.82,0,0,0.82,1.64,0,100,0.82,100,0,25,61,14,10,70,20,19.97,20.94,0.9,113,0.96,18.01,23.63,0,0,0,0,0,,0,0,,0,0,0,0,0,0,43,14,2.47,37,-0.07,0.06,-0.04,-0.04,,-0.1
Abdul Mumin,Rayo Vallecano,La Liga,2024/2025,2227,24.74,24,Left Centre Back,Centre Attacking Midfielder,Man,Ghana,26,05/06/98,188,0.08,0.08,0.02,0.05,0.4,20,30,0,,0.03,0.04,0,0.04,0.04,0,0.04,0,0,0,0.12,0.03,0.44,0.09,0.16,0.12,0.04,75,0.53,0,0.36,0.32,1.37,1.04,5.01,4.79,9.58,5.01,0.11,4.04,24.26,1.58,8.89,1.46,2.83,73,1.33,2.36,1.13,52,0.53,60,1.62,0,6.99,6.81,1.82,0.65,0.04,30.91,1.25,18,0.24,38,0.24,0,0.04,41.11,84,3.48,16,48,6.1,6.22,8,59,-25,31.61,1.37,0.33,0.33,33.47,98,4.72,1.54,0.08,0.04,0.04,0,0.73,0.77,0,0,0,0,0,28,69,3,45,50,5,24.3,28.35,0.87,78,4.04,21.2,22.23,0,0,0,0,0,,0,0,,0,0,0,0,0,0,14,7,2.36,18,0.02,0.03,0.1,-0.01,,0.14
Abdulay Juma Bah,Real Valladolid,La Liga,2024/2025,957,10.63,12,Right Centre Back,,Man,Sierra Leone,19,10/04/06,195,0,0,0.02,0.06,0.28,0,33,0,,0,0,0,0.09,0,0,0.09,0,0,0,0,0.02,0.38,-0.02,0.47,0.38,0.09,80,0.56,0,0.47,0.19,0.94,0.59,5.46,3.46,8.84,4.42,0.07,4.42,21.65,1.69,8.56,1.13,2.07,100,0.7,1.29,0.56,100,0,80,3.01,0,7.15,4.69,2.35,0.85,0,28.89,0.66,9,0.28,33,0.09,0,0,37.54,83,3.29,11,50,7.15,4.89,20,63,-20,34.01,1.32,0.21,0.21,31.14,98,4.03,1.32,0,0,0,0,0.75,0.75,0,,0,,0,27,71,3,43,57,0,24.35,22.93,0.91,88,-1.42,22.17,20.14,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,9,1.44,15,0.02,0.03,0.12,-0.03,,0.14
Abdón Prats,Mallorca,La Liga,2024/2025,585,6.5,24,Right Centre Forward,Centre Forward,Man,Spain,32,06/12/92,181,0.31,0.15,0.2,0.1,2,8,31,6,100,0.16,0,0.02,0.46,0,0.02,0.46,0,0,0,0.15,0.22,2.46,-0.07,0.62,0.46,0.15,75,2.92,0.15,1.85,2.31,0.46,0.21,0.77,0.68,13.23,5.69,0,2,59.8,2.61,4.92,0.31,0.77,50,0.15,0.36,1.08,0,0.31,30,2.77,0,12,10.9,1.54,2.61,0.46,63.05,8.77,73,2,76,0.62,0,0,12.61,67,0.62,61,67,0.92,0.77,44,61,-7,55.38,0.62,0.2,0.35,12.92,74,2.75,2.77,0.31,0.31,0,0,5.38,5.69,0.15,0,0,,0.62,10,73,16,6,67,28,14.88,13.61,0.98,95,-1.27,14.6,12.95,0,0,0,0,0,,0,0,,0,0,0,0,0,0,27,12,2.69,20,-0.04,-0.04,0,-0.03,,-0.11
Abel Bretones Cruz,Osasuna,La Liga,2024/2025,2320,25.77,35,Left Back,Left Wing Back,Man,Spain,24,20/08/00,188,0.08,0.08,0.02,0.04,0.47,17,33,1,,0.03,0,0.04,0.7,0,0.04,0.7,0,0,0,0.08,0.06,1.16,0.02,1.13,0.66,0.47,59,1.36,0,1.2,1.01,1.44,1.23,1.75,1.54,17.3,7.92,0.03,4.73,34.58,3.03,9.04,2.21,3.65,74,2.05,3.29,1.05,61,0.78,56,0.85,0.04,14.05,12.6,3.3,2.21,0.39,38.08,4.42,31,1.71,77,0.12,0,0,33.48,73,2.37,97,44,2.52,4.66,14,63,-10,51.8,3.65,0.24,0.29,28.83,92,4.6,6.98,1.09,0.85,0.23,0.16,0.81,1.67,0,46,0.7,24,0.23,28,61,12,19,66,14,20.3,18.6,0.9,89,-1.7,18.19,16.58,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,9,3.8,29,0.12,0.07,0.01,0,,0.19
Abel Ruiz,Girona,La Liga,2024/2025,1456,16.17,23,Centre Forward,Left Centre Forward,Man,Spain,25,27/01/00,180,0.25,0.19,0.18,0.14,1.3,14,33,3,50,0.12,0,0.04,0.49,0,0.04,0.49,0,0,0,0.19,0.23,1.79,-0.04,0.8,0.37,0.43,46,1.05,0,1.61,2.16,0.37,0.48,0.43,0.57,21.21,11.62,0.02,3.22,63.1,1.3,2.23,0.43,0.8,64,0.58,1.06,0.56,20,0.25,21,0.43,0,20.22,26.18,2.66,3.09,0.43,64.75,14.96,74,2.23,72,0.19,0,0,15.15,87,0.56,11,56,0.74,0.68,31,84,-3,60.56,1.48,0.21,0.35,16.7,79,5.75,6.12,0.37,0.37,0,0.43,5.44,5.81,0.12,0,0.19,50,0.74,8,68,25,13,65,22,15.72,14.88,0.97,99,-0.84,15.31,14.67,0,0,0,0,0,,0,0,,0,0,0,0,0,0,11,7,2.86,23,-0.01,-0.05,0.01,0,,-0.06
