"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Adrián Embarba Blázquez";"LW";"all";"all";"246";"Adri Embarba";"1992-05-07";"74.26";"14.92";"9";"0";"164";"100";"34.15";"65.85";"65.85";"71.17";"67.68";"48.17";"10.37";"4.27";"41.18";"18.29";"5.49";"30"
"Allan-Romeo Nyom";"RB";"all";"all";"614";"A. Nyom";"1988-05-10";"99.8";"17.74";"5";"0";"119";"100";"22.69";"77.31";"77.31";"80.43";"77.31";"62.18";"5.88";"3.36";"57.14";"19.33";"8.4";"43.48"
"Álvaro García Rivera";"LW";"all";"all";"640";"Álvaro García";"1992-10-27";"92.1";"21.51";"21";"0";"402";"100";"32.84";"67.16";"67.16";"66.67";"77.61";"51.74";"17.16";"8.96";"52.17";"29.85";"13.93";"46.67"
"Antoine Griezmann";"CF";"all";"all";"946";"A. Griezmann";"1991-03-21";"80.68";"21.46";"24";"0";"636";"100";"25";"75";"75";"77.27";"83.02";"64.15";"16.51";"8.96";"54.29";"19.5";"9.91";"50.81"
"Antonio Rüdiger";"LCB";"all";"all";"993";"A. Rüdiger";"1993-03-03";"98.28";"29.55";"22";"0";"483";"100";"13.66";"86.34";"86.34";"88.18";"91.1";"80.33";"2.28";"0.83";"36.36";"12.42";"7.25";"58.33"
"Aritz Elustondo Irribaria";"LCB";"all";"all";"1024";"Aritz Elustondo";"1994-03-28";"98.1";"22.15";"6";"0";"122";"100";"27.87";"72.13";"72.13";"72.57";"92.62";"67.21";"2.46";"0.82";"33.33";"20.49";"8.2";"40"
"Aritz Elustondo Irribaria";"RCB";"all";"all";"1024";"Aritz Elustondo";"1994-03-28";"91.7";"22.58";"8";"0";"174";"100";"22.41";"77.59";"77.59";"78.34";"90.23";"70.69";"3.45";"1.15";"33.33";"17.24";"7.47";"43.33"
"Axel  Witsel";"RCB";"all";"all";"1138";"A. Witsel";"1989-01-12";"98.78";"25.59";"6";"0";"117";"100";"17.95";"82.05";"82.05";"85.58";"88.89";"76.07";"1.71";"0.85";"50";"10.26";"5.13";"50"
"Ayoze Pérez Gutiérrez";"CF";"all";"all";"1145";"Ayoze Pérez";"1993-07-29";"90.11";"20.16";"20";"0";"413";"100";"27.36";"72.64";"72.64";"77.18";"49.88";"38.5";"16.22";"9.69";"59.7";"13.56";"5.81";"42.86"
"Borja Mayoral Moya";"CF";"all";"all";"1401";"Borja Mayoral";"1997-04-05";"93.56";"14.51";"7";"0";"114";"100";"23.68";"76.32";"76.32";"84.06";"60.53";"50.88";"10.53";"7.02";"66.67";"14.91";"9.65";"64.71"
"Cristhian Ricardo Stuani Curbelo";"CF";"all";"all";"2060";"C. Stuani";"1986-10-12";"82.15";"22.64";"5";"0";"31";"100";"25.81";"74.19";"74.19";"80.95";"67.74";"54.84";"3.23";"3.23";"100";"16.13";"6.45";"40"
"Daley Blind";"LB";"all";"all";"2106";"D. Blind";"1990-03-09";"98.19";"28.39";"11";"0";"421";"100";"16.15";"83.85";"83.85";"85.56";"90.5";"77.43";"3.33";"1.9";"57.14";"16.63";"8.08";"48.57"
"Daley Blind";"LCB";"all";"all";"2106";"D. Blind";"1990-03-09";"98.95";"29.64";"13";"0";"494";"100";"13.16";"86.84";"86.84";"88.59";"90.49";"80.16";"2.63";"1.42";"53.85";"11.34";"5.87";"51.79"
"Daniel Carvajal Ramos";"RB";"all";"all";"2189";"Dani Carvajal";"1992-01-11";"93.16";"29.09";"7";"0";"213";"100";"16.9";"83.1";"83.1";"85.87";"86.38";"74.18";"5.16";"2.35";"45.45";"12.68";"6.57";"51.85"
"Daniel Parejo Muñoz ";"LM";"all";"all";"2236";"Dani Parejo";"1989-04-16";"86.83";"19.6";"21";"0";"519";"100";"10.79";"89.21";"89.21";"89.93";"88.05";"79.19";"4.05";"2.7";"66.67";"8.67";"5.39";"62.22"
"David López Silva";"RCB";"all";"all";"2457";"David López";"1989-10-09";"98.42";"29.43";"19";"0";"593";"100";"10.96";"89.04";"89.04";"91.18";"89.88";"81.96";"0.17";"0";"0";"8.26";"4.22";"51.02"
"Diego Javier Llorente Ríos";"LCB";"all";"all";"2712";"Diego Llorente";"1993-08-16";"98.99";"22.16";"14";"0";"287";"100";"13.24";"86.76";"86.76";"88.12";"90.94";"80.14";"0.7";"0.7";"100";"16.38";"9.41";"57.45"
"Diego Javier Llorente Ríos";"RCB";"all";"all";"2712";"Diego Llorente";"1993-08-16";"98.24";"24.57";"13";"0";"345";"100";"19.13";"80.87";"80.87";"81.97";"88.41";"72.46";"0.58";"0.29";"50";"15.94";"8.7";"54.55"
"Dimitri Foulquier";"RB";"all";"all";"2747";"D. Foulquier";"1993-03-23";"92.72";"20.17";"17";"0";"442";"100";"26.7";"73.3";"73.3";"74.93";"81.22";"60.86";"3.62";"1.36";"37.5";"18.1";"7.47";"41.25"
"Dimitri Foulquier";"RWB";"all";"all";"2747";"D. Foulquier";"1993-03-23";"100.43";"21.45";"5";"0";"114";"100";"28.95";"71.05";"71.05";"72.73";"67.54";"49.12";"6.14";"1.75";"28.57";"14.04";"3.51";"25"
"Dodi Lukébakio";"LW";"all";"all";"2803";"D. Lukébakio";"1997-09-24";"96.75";"20.48";"5";"0";"144";"100";"22.22";"77.78";"77.78";"85.54";"57.64";"49.31";"8.33";"6.25";"75";"9.03";"6.25";"69.23"
"Dodi Lukébakio";"RF";"all";"all";"2803";"D. Lukébakio";"1997-09-24";"98.08";"26.42";"5";"0";"189";"100";"23.81";"76.19";"76.19";"80";"58.2";"46.56";"12.17";"6.35";"52.17";"16.93";"7.94";"46.88"
"Dodi Lukébakio";"RW";"all";"all";"2803";"D. Lukébakio";"1997-09-24";"94.45";"21.05";"21";"0";"664";"100";"25.15";"74.85";"74.85";"80.53";"56.48";"45.48";"8.28";"4.52";"54.55";"10.24";"4.67";"45.59"
"Donny van de Beek";"AM";"all";"all";"2838";"D. van de Beek";"1997-04-18";"79.8";"23.41";"10";"0";"173";"100";"16.18";"83.82";"83.82";"86.86";"79.19";"68.79";"5.78";"3.47";"60";"12.72";"6.94";"54.55"
"Eray Ervin Cömert";"RCB";"all";"all";"3123";"E. Cömert";"1998-02-04";"91.53";"19.22";"9";"0";"156";"100";"19.87";"80.13";"80.13";"84.06";"88.46";"74.36";"0";"0";"";"13.46";"8.33";"61.9"
"Florian Lejeune";"RCB";"all";"all";"3504";"F. Lejeune";"1991-05-20";"99.93";"21.65";"33";"0";"776";"100";"18.43";"81.57";"81.57";"83.68";"91.62";"76.68";"1.55";"1.03";"66.67";"21.01";"11.34";"53.99"
"Gerard Moreno Balaguero ";"CF";"all";"all";"3851";"Gerard Moreno";"1992-04-07";"76.35";"18.1";"5";"0";"108";"100";"25";"75";"75";"74.65";"65.74";"49.07";"13.89";"6.48";"46.67";"15.74";"6.48";"41.18"
"Hamari Traoré";"RB";"all";"all";"4184";"H. Traoré";"1992-01-27";"76.43";"18.69";"9";"0";"195";"100";"15.38";"84.62";"84.62";"86.13";"88.72";"76.41";"4.1";"3.08";"75";"12.31";"5.13";"41.67"
"Héctor Bellerín Moruno";"RB";"all";"all";"4234";"Héctor Bellerín";"1995-03-19";"102.32";"22.69";"5";"0";"129";"100";"20.16";"79.84";"79.84";"82.76";"89.92";"74.42";"4.65";"2.33";"50";"19.38";"10.85";"56"
"Iago Aspas Juncal";"RF";"all";"all";"4368";"Iago Aspas";"1987-08-01";"84.32";"24.58";"8";"0";"247";"100";"24.29";"75.71";"75.71";"76.29";"78.54";"59.92";"17.41";"8.5";"48.84";"17.81";"10.53";"59.09"
"Iñaki Williams Arthuer";"RW";"all";"all";"4461";"Iñaki Williams";"1994-06-15";"91.49";"21.22";"25";"0";"622";"100";"35.05";"64.95";"64.95";"64.75";"67.04";"43.41";"17.85";"6.43";"36.04";"23.31";"8.84";"37.93"
"Íñigo Martínez Berridi";"LCB";"all";"all";"4465";"Íñigo Martínez";"1991-05-17";"98.98";"30.27";"27";"0";"886";"100";"13.09";"86.91";"86.91";"88.49";"94.13";"83.3";"2.37";"1.69";"71.43";"13.54";"8.92";"65.83"
"Francisco Román Alarcón Suárez";"AM";"all";"all";"4487";"Isco";"1992-04-21";"89.21";"23.02";"16";"0";"693";"100";"18.9";"81.1";"81.1";"85.83";"71.28";"61.18";"9.81";"5.92";"60.29";"11.11";"6.2";"55.84"
"Iván Balliu Campeny";"RB";"all";"all";"4518";"I. Balliu";"1992-01-01";"88.12";"16.43";"8";"0";"137";"100";"32.12";"67.88";"67.88";"69.75";"86.86";"60.58";"5.11";"2.19";"42.86";"28.47";"10.22";"35.9"
"Joan Jordán Moreno";"RDM";"all";"all";"5044";"Joan Jordán";"1994-07-06";"81.58";"17.57";"8";"0";"189";"100";"19.05";"80.95";"80.95";"82.18";"92.06";"75.66";"3.17";"2.12";"66.67";"16.93";"10.05";"59.38"
"Johan Andrés Mojica Palacio";"LB";"all";"all";"5158";"J. Mojica";"1992-08-21";"97.85";"20.9";"22";"0";"731";"100";"26.68";"73.32";"73.32";"76";"78.66";"59.78";"6.57";"3.15";"47.92";"24.62";"11.49";"46.67"
"Johan Andrés Mojica Palacio";"LWB";"all";"all";"5158";"J. Mojica";"1992-08-21";"91.76";"18.94";"7";"0";"216";"100";"29.63";"70.37";"70.37";"70.69";"80.56";"56.94";"7.41";"2.31";"31.25";"30.09";"13.89";"46.15"
"José Ángel Gómez Campaña";"LDM";"all";"all";"5387";"José Campaña";"1993-05-31";"72.87";"14.92";"7";"0";"147";"100";"19.73";"80.27";"80.27";"82.54";"85.71";"70.75";"3.4";"0.68";"20";"8.16";"4.08";"50"
"José Luis Gayá Peña";"LB";"all";"all";"5398";"José Gayá";"1995-05-25";"89.1";"20.41";"14";"0";"311";"100";"25.72";"74.28";"74.28";"79.63";"86.82";"69.13";"7.4";"2.57";"34.78";"21.54";"9";"41.79"
"José Luis Gayá Peña";"LWB";"all";"all";"5398";"José Gayá";"1995-05-25";"92.37";"21.8";"7";"0";"175";"100";"24.57";"75.43";"75.43";"80.52";"88";"70.86";"9.14";"4";"43.75";"21.71";"8.57";"39.47"
"José María Giménez de Vargas";"RCB";"all";"all";"5399";"J. Giménez";"1995-01-20";"97.18";"25.95";"13";"0";"159";"100";"11.95";"88.05";"88.05";"87.86";"88.05";"77.36";"0";"0";"";"12.58";"7.55";"60"
"Juan Bernat Velasco";"LW";"all";"all";"5502";"Juan Bernat";"1993-03-01";"73.03";"11.36";"8";"0";"110";"100";"35.45";"64.55";"64.55";"75.38";"59.09";"44.55";"5.45";"2.73";"50";"16.36";"8.18";"50"
"Juan Miguel Jiménez López";"CF";"all";"all";"5551";"Juanmi";"1993-05-20";"79.93";"14.24";"7";"0";"102";"100";"35.29";"64.71";"64.71";"72.31";"63.73";"46.08";"14.71";"9.8";"66.67";"15.69";"7.84";"50"
"Jorge Resurrección Merodio";"LM";"all";"all";"5942";"Koke";"1992-01-08";"83.33";"22.06";"14";"0";"404";"100";"13.37";"86.63";"86.63";"88.86";"91.09";"80.94";"3.71";"2.48";"66.67";"9.9";"4.95";"50"
"Kylian Mbappé Lottin";"CF";"all";"all";"6028";"K. Mbappé";"1998-12-20";"93.5";"29.04";"32";"0";"990";"100";"23.64";"76.36";"76.36";"82.03";"60.71";"49.8";"16.16";"10.4";"64.38";"10.91";"5.05";"46.3"
"Lucas Vázquez Iglesias";"RB";"all";"all";"6373";"Lucas Vázquez";"1991-07-01";"92.3";"27.5";"23";"0";"687";"100";"17.03";"82.97";"82.97";"85.27";"85.01";"72.49";"6.4";"3.2";"50";"12.95";"5.82";"44.94"
"Luka Modrić";"RM";"all";"all";"6462";"L. Modrić";"1985-09-09";"90.26";"29.24";"6";"0";"268";"100";"10.07";"89.93";"89.93";"94.67";"83.96";"79.48";"4.85";"2.99";"61.54";"6.72";"4.48";"66.67"
"Mamadou Sylla Diallo";"CF";"all";"all";"6582";"M. Sylla";"1994-03-20";"83.56";"16.84";"12";"0";"119";"100";"37.82";"62.18";"62.18";"66.13";"52.1";"34.45";"9.24";"5.04";"54.55";"15.13";"5.88";"38.89"
"Marc Bartra Aregall";"RCB";"all";"all";"6650";"Marc Bartra";"1991-01-15";"97.21";"22.72";"23";"0";"505";"100";"26.73";"73.27";"73.27";"74.14";"86.53";"64.16";"1.39";"0.59";"42.86";"23.56";"13.66";"57.98"
"Marcos  Alonso Mendoza";"LCB";"all";"all";"6823";"Marcos Alonso";"1990-12-28";"98.04";"26.37";"26";"0";"1004";"100";"13.15";"86.85";"86.85";"88.7";"89.04";"78.98";"2.29";"1.39";"60.87";"10.76";"5.18";"48.15"
"Matija Nastasić";"LCB";"all";"all";"7201";"M. Nastasić";"1993-03-28";"98.9";"18.49";"18";"0";"248";"100";"27.82";"72.18";"72.18";"78.04";"86.29";"67.34";"0.4";"0.4";"100";"21.77";"9.68";"44.44"
"Mauro Wilney Arambarri Rosa";"LM";"all";"all";"7302";"M. Arambarri";"1995-09-30";"99.98";"15.47";"12";"0";"251";"100";"21.91";"78.09";"78.09";"78.24";"67.73";"52.99";"8.76";"5.98";"68.18";"14.34";"5.98";"41.67"
"Mauro Wilney Arambarri Rosa";"RM";"all";"all";"7302";"M. Arambarri";"1995-09-30";"92.77";"14.75";"10";"0";"184";"100";"30.43";"69.57";"69.57";"69.7";"71.74";"50";"7.07";"2.17";"30.77";"19.02";"6.52";"34.29"
"Mikel Oyarzabal Ugarte";"CF";"all";"all";"7619";"Mikel Oyarzabal";"1997-04-21";"81.77";"20.43";"24";"0";"325";"100";"34.15";"65.85";"65.85";"73.17";"63.08";"46.15";"12.31";"7.08";"57.5";"18.46";"8.62";"46.67"
"Nemanja Gudelj";"LCB";"all";"all";"7909";"N. Gudelj";"1991-11-16";"98.51";"23.56";"10";"0";"228";"100";"15.79";"84.21";"84.21";"87.08";"91.67";"79.82";"1.32";"0.44";"33.33";"14.47";"7.89";"54.55"
"Nemanja Gudelj";"RDM";"all";"all";"7909";"N. Gudelj";"1991-11-16";"96.2";"20.15";"6";"0";"106";"100";"8.49";"91.51";"91.51";"94.38";"83.96";"79.25";"1.89";"0.94";"50";"9.43";"5.66";"60"
