Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
S. Flores,Tampico Madero,Tampico Madero,"LCMF, RCMF",30,1708,0,0.27,0,0.03,Mexico,11.7,8.75,62.65,2.53,62.5,0.37,0.4,0.37,5.85,6.42,1.63,4,0.21,1,0.05,0.42,0,0,0,0.01,0,0,8,0.42,25,0,0,0.16,66.67,0.26,60,1.58,43.33,0.11,0.11,0,18.28,0.11,0.53,35.2,81.29,14.54,71.38,2.85,94.44,13.17,88,5.22,54.55,20.35,36.12,0,0.16,0,0,0.05,100,0,8.06,71.24,0.63,25,0.32,33.33,0.21,0.11,7.96,78.15,0,,0,,0,0,0,0,,,0.58,,
R. López,Tampico Madero,Tampico Madero,"RB, RW",32,794,0,0.33,1,0.64,Mexico,6.91,5.78,76.47,0.79,14.29,0.34,0.37,0.23,2.15,2.32,0.11,1,0.11,0,0,3.06,0,0,0,0.04,0,0,4,0.45,25,0,0.11,4.19,35.14,2.04,72.22,4.76,42.86,0.79,1.93,0.34,21.76,1.47,0.34,29.7,70.61,10.31,63.74,4.19,89.19,10.31,74.73,3.17,53.57,20.61,28.96,0.07,0.79,0,0,0.11,0,0,3.51,64.52,3.29,34.48,0.11,0,0.11,1.36,6.35,71.43,0,,0,,0,0,0,0,,,0.57,,
E. García,Guadalajara,Tapatío,GK,22,2009,0,0,0,0,Mexico,1.97,0,0,0.4,88.89,0,0,0,1.97,2.45,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0,0,0,12.14,0.31,0.18,21.77,84.98,12.36,76.09,0.04,0,8.6,96.88,7.88,61.36,31.15,48.14,0,0,0.04,0,0,0,0.04,1.84,41.46,0.31,0,0.09,0,0,0,5.91,75.76,25,1.12,90,4.03,6,72.22,23.4,1.05,-1.6,-0.072,0,1.66,0.4
J. Rodríguez,Cancún,Cancún,"CF, LW, LAMF",29,2463,10,9.32,3,1.81,Colombia,3.18,3.33,60.44,1.75,16.67,0,0,0.07,1.17,1.62,0.84,2,0.07,0,0,3.36,0.37,7,0.26,0.34,1,0.04,44,1.61,40.91,22.727,0.11,2.08,17.54,3.76,62.14,11.22,39.09,2.59,1.5,0.11,13.3,1.53,1.83,19.81,74.72,3.62,65.66,5.85,94.38,5.81,69.81,1.1,53.33,17.49,22.5,0.07,0.69,0.04,0,0.07,0,0.37,1.5,63.41,1.35,40.54,0.11,0,0.51,0.37,1.9,73.08,0,,0,,0,0,0,0,,,0.04,,
G. Alcalá,CA La Paz,CA La Paz,GK,32,1006,0,0,0,0,Mexico,1.52,0.45,20,0.09,100,0,0,0,1.43,1.93,0.09,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,100,0,0,0,14.31,0.18,0.09,20.84,86.7,11.45,75.78,0,0,9.13,100,7.69,67.44,32.44,46.29,0,0,0,0,0,0,0,1.07,33.33,0,0,0,0,0,0,5.82,72.31,21,1.88,79,7.07,1,73.42,27.04,2.42,6.04,0.54,0,1.07,0.09
B. Galindo,Cancún,Cancún,RCB,26,2329,1,1.14,1,0.07,Mexico,9.04,4.71,72.13,3.59,61.29,0.35,0.49,0.62,5.29,7.39,0.89,4,0.15,0,0,0.27,0.04,1,0.04,0.04,1,0.04,15,0.58,26.67,6.667,0.04,0.04,0,0.15,75,0.7,33.33,0.66,0.58,0.04,30.33,1.16,0.23,42.89,88.56,21.29,81.49,2.51,95.38,16,96.38,5.87,56.58,21.34,37.91,0,0.12,0,0,0,0,0.04,6.3,66.26,0.7,27.78,0.62,37.5,0.19,0,9.04,79.91,0,,0,,0,0,0,0,,,2.01,,
D. López,Querétaro,Dorados,CF,25,1252,6,4.7,2,1.42,Mexico,2.66,2.08,62.07,4.82,38.81,0,0,0.07,1.37,1.65,0.5,1,0.07,0,0,2.16,0.43,4,0.29,0.34,0,0,33,2.37,33.33,18.182,0.14,0.43,33.33,1.87,61.54,7.84,33.03,2.3,0.65,0.29,8.41,2.16,1.37,12.58,74.86,2.23,67.74,3.23,84.44,3.81,71.7,0.36,80,16.56,13.01,0.1,0.79,0.07,0.07,0.07,100,0.29,1.44,75,0.5,71.43,0.22,66.67,0.43,0.14,0.93,61.54,0,,0,,0,0,0,0,,,0,,
D. Álvarez,Tepatitlán de Morelos,Tepatitlán de Morelos,"RW, CF, LW",30,578,1,1.31,1,1.17,Mexico,2.34,3.11,45,2.49,75,0,0,0,0.93,1.41,0.93,1,0.16,0,0,6.23,0.16,0,0,0.2,0,0,9,1.4,33.33,11.111,0.16,3.43,50,6.38,63.41,12.3,53.16,2.49,3.11,0,17.13,2.34,1.56,22.73,66.44,6.23,60,4.67,80,7.79,64,1.25,37.5,16.53,24.09,0.18,1.4,0,0,0,0,0.62,1.87,50,2.65,52.94,0,0,0.62,1.71,4.52,79.31,0,,0,,0,0,0,0,,,0.31,,
S. Ramírez,Atlético Morelia,Atlético Morelia,GK,28,3200,0,0,0,0,Mexico,2.14,0.31,63.64,0.56,85,0.03,0.04,0,1.91,2.59,0,1,0.03,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,66.67,0.17,83.33,0,0,0,16.17,0.37,0.14,28.41,85.25,17.55,78.53,0,0,9.98,96.06,8.8,58.15,30.77,50.5,0,0.03,0,0.03,0,0,0,2.84,44.55,0.42,20,0.28,40,0.08,0,6.33,69.33,44,1.24,160,4.5,7,72.5,36.79,1.03,-7.21,-0.203,0,1.63,0.56
J. Gómez,Tepatitlán de Morelos,Tepatitlán de Morelos,"RW, RB",25,1542,0,0.28,3,1.52,Mexico,7.59,6.13,64.76,3.62,64.52,0.23,0.34,0.23,3.39,4.9,0.99,0,0,0,0,2.68,0,0,0,0.02,0,0,15,0.88,13.33,0,0.18,4.84,25.3,3.39,39.66,8.17,35,0.7,0.99,0.18,18.33,1.81,1.17,30.35,65.19,9.98,59.65,5.19,88.76,9.92,60,4.14,43.66,21.19,28.99,0.09,0.82,0,0.06,0,0,0.29,5.49,54.26,3.91,32.84,0.18,0,0.23,1.23,6.01,75.73,0,,0,,0,0,0,0,,,0.7,,
