"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Angelo Fulgini";"AM";"all";"all";"11356";"A. Fulgini";"1996-08-20";"75.59";"22.44";"6";"0";"309";"100";"31.72";"2.35";"0";"32.69";"28.8";"3.56";"0.53";"0.4";"7.44";"6.15"
"Adilson Angel Abreu de Almeida Gomes";"AM";"all";"all";"13523";"A. Gomes";"2000-08-31";"85.55";"22.87";"5";"0";"165";"100";"38.18";"2.5";"1.21";"30.3";"23.64";"4.24";"0.6";"0.45";"11.52";"8.48"
"Amine Harit";"AM";"all";"all";"11155";"A. Harit";"1997-06-18";"76.72";"24.89";"5";"0";"153";"100";"23.53";"1.7";"0.65";"36.6";"28.76";"3.27";"0.62";"0.53";"7.84";"6.54"
"Adrien Rabiot";"AM";"all";"all";"277";"A. Rabiot";"1995-04-03";"98.51";"34.01";"11";"0";"573";"100";"33.33";"2.37";"1.22";"31.41";"22.34";"3.66";"0.7";"0.4";"10.3";"5.58"
"Corentin Tolisso";"AM";"all";"all";"1999";"C. Tolisso";"1994-08-03";"93.92";"26.44";"7";"0";"266";"100";"25.56";"1.63";"0.75";"34.96";"25.94";"3.01";"0.58";"0.31";"8.65";"5.26"
"Eliesse Ben Seghir";"AM";"all";"all";"179506";"E. Ben Seghir";"2005-02-16";"83.44";"22.73";"6";"0";"227";"100";"35.68";"2.2";"1.32";"38.33";"28.19";"5.73";"0.85";"0.52";"14.54";"9.25"
"Evann Guessand";"AM";"all";"all";"23201";"E. Guessand";"2001-07-01";"88.39";"23.8";"5";"0";"180";"100";"51.11";"3.58";"1.67";"36.67";"20.56";"6.67";"1.37";"0.55";"17.22";"7.22"
"Félix  Lemaréchal";"AM";"all";"all";"61056";"F. Lemaréchal";"2003-08-07";"96.97";"24.82";"6";"0";"233";"100";"24.89";"1.96";"0.43";"25.32";"18.88";"2.58";"0.39";"0.23";"3.43";"1.29"
"Himad Abdelli";"AM";"all";"all";"18375";"H. Abdelli";"1999-11-17";"96.85";"20.92";"18";"0";"394";"100";"16.75";"1.31";"0.25";"41.37";"32.74";"2.28";"0.46";"0.26";"4.82";"2.54"
"Hákon Arnar Haraldsson";"AM";"all";"all";"43319";"H. Haraldsson";"2003-04-10";"87.63";"28.66";"7";"0";"291";"100";"35.4";"2.49";"0.69";"36.08";"27.15";"2.41";"0.76";"0.36";"9.97";"3.78"
"Johann Lepenant";"AM";"all";"all";"30957";"J. Lepenant";"2002-10-22";"90.64";"22.43";"7";"0";"202";"100";"31.19";"2.03";"0.5";"28.71";"19.31";"2.48";"0.54";"0.25";"8.42";"3.47"
"Kamory Doumbia";"AM";"all";"all";"81372";"K. Doumbia";"2003-02-18";"78.38";"19.91";"7";"0";"207";"100";"38.16";"2.25";"0";"37.68";"29.47";"2.9";"0.58";"0.36";"12.08";"6.28"
"Ludovic Blas";"AM";"all";"all";"6392";"L. Blas";"1997-12-31";"96.54";"24.57";"9";"0";"417";"100";"27.58";"2";"0.48";"30.22";"22.06";"2.64";"0.39";"0.27";"5.04";"3.12"
"Mason Greenwood";"AM";"all";"all";"20238";"M. Greenwood";"2001-10-01";"95.18";"34.33";"5";"0";"159";"100";"35.22";"2.44";"1.89";"45.28";"34.59";"5.66";"1.33";"0.83";"16.98";"8.81"
"Marshall Nyasha Munetsi";"AM";"all";"all";"23173";"M. Munetsi";"1996-06-22";"95.98";"21.66";"5";"0";"255";"100";"47.84";"3.26";"0";"18.82";"8.63";"1.96";"0.58";"0.16";"9.02";"2.75"
"Thiago Ezequiel Almada";"AM";"all";"all";"26300";"T. Almada";"2001-04-26";"94.69";"29.1";"7";"0";"341";"100";"29.03";"2.02";"0.29";"31.96";"27.86";"2.35";"0.5";"0.36";"6.45";"4.4"
"Takumi Minamino";"AM";"all";"all";"11773";"T. Minamino";"1995-01-16";"88.52";"24.98";"11";"0";"583";"100";"47.51";"3.15";"0.51";"29.5";"15.78";"3.43";"0.89";"0.38";"13.38";"6.17"
"Téji Savanier";"AM";"all";"all";"12293";"T. Savanier";"1991-12-22";"97.94";"21.88";"13";"1";"282";"100";"20.92";"1.3";"0.35";"46.1";"36.52";"4.26";"0.49";"0.35";"7.45";"4.96"
"Yann-Alexandre Gboho Gnantin";"AM";"all";"all";"12482";"Y. Gboho";"2001-01-14";"93.39";"23.02";"8";"0";"300";"100";"37";"2.6";"0.67";"36.33";"23.67";"4.67";"0.72";"0.41";"9.33";"5"
"Yassine Kechta";"AM";"all";"all";"47339";"Y. Kechta";"2002-02-25";"81.24";"17.85";"7";"0";"202";"100";"19.8";"1.65";"0";"28.71";"22.77";"0.99";"0.31";"0.2";"3.96";"2.97"
"Zakaria Aboukhlal";"AM";"all";"all";"24102";"Z. Aboukhlal";"2000-02-18";"88.1";"21.42";"6";"0";"196";"100";"49.49";"3.93";"1.02";"33.67";"19.9";"6.12";"0.84";"0.54";"11.22";"7.14"
"Abdukodir Khusanov";"CB";"all";"all";"698218";"A. Khusanov";"2004-02-29";"100.65";"23.21";"5";"0";"16";"100";"6.25";"0.28";"0";"50";"50";"0";"0.05";"0.05";"0";"0"
"Andrew Omobamidele";"CB";"all";"all";"34858";"A. Omobamidele";"2002-06-23";"96.79";"27.05";"5";"0";"60";"100";"0";"0.02";"0";"50";"50";"1.67";"0.01";"0.01";"0";"0"
"Anthony Rouault";"CB";"all";"all";"32045";"A. Rouault";"2001-05-29";"96.56";"26.04";"9";"0";"60";"100";"8.33";"0.85";"0";"30";"26.67";"0";"0.61";"0.01";"3.33";"0"
"Bećir Omeragić";"CB";"all";"all";"16269";"B. Omeragić";"2002-01-20";"92.6";"20.92";"8";"0";"29";"100";"6.9";"0.73";"0";"34.48";"34.48";"3.45";"0.12";"0.12";"0";"0"
"Charlie Cresswell";"CB";"all";"all";"35475";"C. Cresswell";"2002-08-17";"98.96";"21.93";"24";"0";"142";"100";"9.86";"0.96";"0.7";"32.39";"30.28";"0.7";"0.15";"0.04";"2.82";"0.7"
"Christopher Wooh";"CB";"all";"all";"35632";"C. Wooh";"2001-09-18";"94.48";"22.14";"6";"0";"31";"100";"0";"0.01";"0";"32.26";"32.26";"0";"0.01";"0.01";"0";"0"
"Jubal Rocha Mendes Júnior";"CB";"all";"all";"30256";"Jubal";"1993-08-29";"99.13";"20.91";"25";"0";"76";"100";"3.95";"0.27";"0";"31.58";"30.26";"0";"0.05";"0.01";"1.32";"0"
"Abdulai Juma Bah";"CB";"all";"all";"829605";"Juma Bah";"2006-04-11";"98.21";"24.84";"6";"0";"30";"100";"0";"0.03";"0";"46.67";"46.67";"0";"0.01";"0.01";"0";"0"
"Kevin Danso";"CB";"all";"all";"12052";"K. Danso";"1998-09-19";"98.98";"24.57";"8";"0";"44";"100";"4.55";"0.22";"0";"43.18";"40.91";"2.27";"0.06";"0.02";"0";"0"
"Leonardo Balerdi Rosa";"CB";"all";"all";"22128";"L. Balerdi";"1999-01-26";"98.98";"33.98";"14";"0";"149";"100";"0.67";"0.13";"0";"48.99";"46.31";"0.67";"0.03";"0.02";"0";"0"
"Leo Skiri Østigård";"CB";"all";"all";"25512";"L. Østigård";"1999-11-28";"98.85";"25.37";"9";"0";"43";"100";"2.33";"0.26";"0";"25.58";"25.58";"0";"0.03";"0.03";"0";"0"
