"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Dante Bonfim da Costa Santos";"LCB";"all";"all";"2330";"Dante";"1983-10-18";"96.13";"23.22";"18";"0";"309";"100";"51.13";"0.67";"0.35";"77.85";"133.01";"0.21";"39.81";"1.62";"0";"7.44";"3.24";"1.62"
"Nicolas Pallois";"LCB";"all";"all";"8030";"N. Pallois";"1987-09-19";"93.78";"19.19";"16";"0";"165";"100";"54.55";"0.53";"0.3";"85.56";"140";"0.23";"46.67";"2.42";"0";"4.85";"3.03";"2.42"
"Yunis Abdelhamid";"LCB";"all";"all";"11324";"Y. Abdelhamid";"1987-09-28";"100.01";"19.87";"7";"0";"82";"100";"48.78";"0.46";"0.21";"85";"132.93";"0.15";"41.46";"0";"0";"3.66";"1.22";"1.22"
"Nemanja Matić";"DM";"all";"all";"7910";"N. Matić";"1988-08-01";"91.22";"24.12";"13";"0";"133";"100";"50.38";"1.71";"0.64";"79.1";"129.32";"0.44";"39.85";"4.51";"0";"24.81";"7.52";"4.51"
"Nemanja Matić";"RDM";"all";"all";"7910";"N. Matić";"1988-08-01";"79.38";"23.71";"9";"0";"102";"100";"50.98";"1.37";"0.63";"82.69";"120.59";"0.45";"42.16";"4.9";"1.96";"23.53";"11.76";"8.82"
"André Ayew";"CF";"all";"all";"715";"A. Ayew";"1989-12-17";"82.52";"18.01";"15";"0";"68";"100";"69.12";"2.04";"1.39";"72.34";"169.12";"0.74";"50";"13.24";"1.47";"29.41";"20.59";"13.24"
"Ismaily Gonçalves dos Santos";"LB";"all";"all";"4500";"Ismaily";"1990-01-11";"85.74";"26.46";"10";"0";"199";"100";"50.25";"1.24";"0.67";"80";"150.25";"0.41";"40.2";"1.51";"0";"16.58";"9.05";"4.02"
"Florent  Hanin";"LB";"all";"all";"3481";"F. Hanin";"1990-02-04";"93.36";"20.02";"27";"0";"457";"100";"66.52";"1.49";"1.09";"68.09";"162.14";"0.52";"45.3";"5.69";"1.09";"22.54";"16.19";"6.13"
"Abdoulaye Bamba";"RCB";"all";"all";"120";"A. Bamba";"1990-04-25";"96.02";"21.48";"16";"0";"141";"100";"61.7";"0.38";"0.18";"80.46";"139.01";"0.08";"49.65";"0";"0";"2.84";"1.42";"0.71"
"Benjamin André";"LDM";"all";"all";"1267";"B. André";"1990-08-03";"100.32";"30.24";"5";"0";"80";"100";"50";"1.27";"0.44";"72.5";"127.5";"0.33";"36.25";"1.25";"0";"13.75";"5";"3.75"
"Benjamin André";"LM";"all";"all";"1267";"B. André";"1990-08-03";"98.3";"26.96";"5";"0";"84";"100";"58.33";"1.15";"0.61";"77.55";"140.48";"0.4";"45.24";"3.57";"1.19";"17.86";"8.33";"4.76"
"Benjamin André";"RDM";"all";"all";"1267";"B. André";"1990-08-03";"99.97";"29.09";"13";"0";"203";"100";"59.11";"1.3";"0.72";"80";"126.6";"0.49";"47.29";"2.96";"0.49";"17.24";"9.36";"5.42"
"Benjamin André";"RM";"all";"all";"1267";"B. André";"1990-08-03";"100.32";"29.52";"5";"0";"69";"100";"63.77";"1.5";"0.67";"77.27";"127.54";"0.44";"49.28";"4.35";"1.45";"23.19";"8.7";"5.8"
"Florian Sotoca";"CF";"all";"all";"13108";"F. Sotoca";"1990-10-25";"89.59";"21.71";"7";"0";"143";"100";"64.34";"2.07";"1.42";"72.83";"158.74";"0.8";"46.85";"7.69";"0.7";"31.47";"23.08";"13.29"
"Florian Sotoca";"RW";"all";"all";"13108";"F. Sotoca";"1990-10-25";"89.55";"22.6";"6";"0";"142";"100";"63.38";"1.87";"1.42";"65.56";"171.13";"0.74";"41.55";"6.34";"0.7";"23.94";"16.9";"8.45"
"Loïc Nego";"RB";"all";"all";"12932";"L. Nego";"1991-01-15";"99.35";"20.52";"16";"0";"288";"100";"65.62";"0.88";"0.65";"68.78";"151.04";"0.29";"45.14";"2.78";"0";"8.33";"6.25";"2.43"
"Loïc Nego";"RWB";"all";"all";"12932";"L. Nego";"1991-01-15";"92.44";"20.12";"10";"0";"179";"100";"64.25";"1.57";"1.21";"63.48";"169.83";"0.41";"40.78";"2.79";"0.56";"17.88";"14.53";"5.03"
"Wahbi Khazri";"CF";"all";"all";"10786";"W. Khazri";"1991-02-08";"69.15";"13.44";"6";"0";"40";"100";"72.5";"1.63";"1.32";"51.72";"157.5";"0.4";"37.5";"5";"0";"30";"25";"5"
"Alexandre Lacazette";"CF";"all";"all";"560";"A. Lacazette";"1991-05-28";"86.6";"24.67";"24";"0";"258";"100";"73.64";"3.49";"2.41";"71.58";"150";"1.23";"52.71";"9.69";"1.55";"42.25";"29.84";"16.67"
"Thomas Meunier";"RB";"all";"all";"10307";"T. Meunier";"1991-09-12";"95.18";"26.67";"17";"0";"400";"100";"59.5";"1.14";"0.79";"75.63";"141";"0.36";"45";"3.5";"0.25";"13.5";"10.25";"4.5"
"Kenny Lala";"RB";"all";"all";"5789";"K. Lala";"1991-10-03";"99.6";"23.42";"30";"0";"651";"100";"60.06";"0.86";"0.57";"73.66";"161.29";"0.31";"44.24";"4.45";"0";"10.6";"7.68";"3.38"
"Andy Delort";"CF";"all";"all";"860";"A. Delort";"1991-10-09";"75.51";"15.22";"7";"0";"50";"100";"76";"1.77";"1.33";"55.26";"134";"0.9";"42";"14";"0";"24";"20";"14"
"Aïssa Mandi";"RB";"all";"all";"314";"A. Mandi";"1991-10-22";"91.16";"28.66";"10";"0";"181";"100";"50.28";"0.67";"0.29";"75.82";"135.91";"0.12";"38.12";"2.76";"0.55";"6.08";"2.21";"0"
"Nikola Maksimović";"RCB";"all";"all";"8076";"N. Maksimović";"1991-11-25";"90.78";"19.64";"5";"0";"62";"100";"50";"0.2";"0.08";"90.32";"124.19";"0.04";"45.16";"1.61";"0";"0";"0";"0"
"Téji Savanier";"AM";"all";"all";"12293";"T. Savanier";"1991-12-22";"97.94";"21.88";"13";"1";"248";"100";"70.16";"1.31";"0.9";"67.24";"150.81";"0.47";"47.18";"10.08";"0.81";"20.97";"14.11";"8.47"
"Joshua Christian Kojo King";"CF";"all";"all";"5473";"J. King";"1992-01-15";"81.86";"19.04";"14";"0";"120";"100";"76.67";"2.68";"1.83";"76.09";"167.5";"1.39";"58.33";"10.83";"3.33";"30";"22.5";"15.83"
"Jordan Ferri";"RM";"all";"all";"5306";"J. Ferri";"1992-03-12";"83.52";"19.42";"9";"0";"139";"100";"64.03";"0.84";"0.59";"89.89";"134.53";"0.52";"57.55";"3.6";"0.72";"10.79";"7.91";"6.47"
"Florian Tardieu";"LM";"all";"all";"14676";"F. Tardieu";"1992-04-22";"87.7";"20.88";"8";"0";"120";"100";"65.83";"1.26";"0.82";"83.54";"135";"0.61";"55";"7.5";"1.67";"21.67";"15";"9.17"
"Dennis Appiah";"RB";"all";"all";"2636";"D. Appiah";"1992-06-09";"98.48";"24.28";"17";"0";"303";"100";"70.3";"1.14";"0.84";"70.89";"144.55";"0.46";"49.83";"3.96";"0";"11.55";"8.25";"4.62"
"Dennis Appiah";"RWB";"all";"all";"2636";"D. Appiah";"1992-06-09";"101";"21.59";"5";"0";"73";"100";"69.86";"1.23";"0.89";"72.55";"157.53";"0.33";"50.68";"2.74";"1.37";"12.33";"9.59";"2.74"
"Nampalys Mendy";"RM";"all";"all";"7854";"N. Mendy";"1992-06-23";"83.75";"19.25";"6";"0";"43";"100";"65.12";"1.03";"0.8";"71.43";"141.86";"0.66";"46.51";"4.65";"2.33";"16.28";"13.95";"11.63"
"Djibril Sidibé";"RCB";"all";"all";"2795";"D. Sidibé";"1992-07-29";"93.17";"20.52";"21";"0";"292";"100";"59.93";"0.7";"0.47";"79.43";"139.04";"0.25";"47.6";"4.11";"0.34";"8.56";"5.48";"2.74"
"Nicolás Tagliafico";"LB";"all";"all";"11828";"N. Tagliafico";"1992-08-31";"96.9";"27.88";"19";"0";"331";"100";"60.42";"1.2";"0.72";"81.5";"141.09";"0.43";"49.24";"2.72";"0.6";"16.92";"10.27";"6.04"
"Jonathan Clauss";"RWB";"all";"all";"19202";"J. Clauss";"1992-09-25";"93.56";"23.08";"24";"0";"452";"100";"62.83";"1.97";"1.36";"65.14";"160.62";"0.56";"40.93";"8.19";"2.43";"25";"18.58";"8.63"
"Clinton Mukoni Mata Pedro Lourenço";"RCB";"all";"all";"1967";"Clinton Mata";"1992-11-07";"99.28";"28.33";"21";"0";"394";"100";"53.05";"0.49";"0.22";"88.52";"123.6";"0.14";"46.95";"1.27";"0.25";"4.31";"1.52";"0.51"
"Jonathan Gradit";"RCB";"all";"all";"12235";"J. Gradit";"1992-11-24";"96.61";"23.56";"24";"0";"375";"100";"48.27";"0.61";"0.23";"82.32";"134.93";"0.17";"39.73";"2.93";"0.27";"7.2";"2.4";"1.6"
"Massadio Haïdara";"LB";"all";"all";"7093";"M. Haïdara";"1992-12-02";"96.61";"22.08";"18";"0";"320";"100";"75";"1.41";"1.07";"77.92";"167.19";"0.56";"58.44";"4.69";"0";"20.31";"15.62";"7.5"
"Geoffrey Kondogbia";"LCB";"all";"all";"3816";"G. Kondogbia";"1993-02-15";"98.29";"31";"13";"0";"293";"100";"47.1";"0.64";"0.27";"90.58";"133.11";"0.21";"42.66";"1.37";"0";"7.51";"2.05";"1.02"
"Geoffrey Kondogbia";"RDM";"all";"all";"3816";"G. Kondogbia";"1993-02-15";"98.07";"33.83";"5";"0";"54";"100";"50";"1.16";"0.57";"66.67";"124.07";"0.39";"33.33";"0";"0";"14.81";"9.26";"7.41"
"Jordan Veretout";"RM";"all";"all";"5324";"J. Veretout";"1993-03-01";"89.34";"25.34";"8";"0";"110";"100";"62.73";"1.48";"0.92";"76.81";"132.73";"0.52";"48.18";"5.45";"0";"25.45";"13.64";"8.18"
"Zinedine Ferhat";"RW";"all";"all";"12034";"Z. Ferhat";"1993-03-01";"84.92";"19.04";"6";"0";"89";"100";"68.54";"2.21";"1.54";"65.57";"146.07";"0.83";"44.94";"7.87";"1.12";"28.09";"17.98";"10.11"
"Ahmed Hassan Mahgoub";"CF";"all";"all";"296";"Ahmed Hassan";"1993-03-05";"77.11";"16.49";"9";"0";"45";"100";"80";"1.23";"1.08";"69.44";"144.44";"0.74";"55.56";"0";"0";"20";"17.78";"13.33"
"Junya Ito";"RF";"all";"all";"23834";"J. Ito";"1993-03-09";"94.86";"22.08";"8";"0";"158";"100";"70.25";"2.44";"1.57";"65.77";"179.11";"0.79";"46.2";"8.86";"1.9";"37.97";"26.58";"12.66"
"Junya Ito";"RW";"all";"all";"23834";"J. Ito";"1993-03-09";"93.36";"21.55";"20";"0";"383";"100";"67.36";"2.41";"1.84";"68.6";"185.12";"1.06";"46.21";"6.53";"0.78";"33.16";"23.5";"13.32"
"Ruben Aguilar";"RWB";"all";"all";"11433";"R. Aguilar";"1993-04-26";"90.43";"23.34";"10";"0";"307";"100";"66.12";"1.61";"1.16";"72.91";"175.24";"0.5";"48.21";"4.23";"0.98";"20.85";"14.33";"5.21"
"Pierre Lees-Melou";"DM";"all";"all";"11163";"P. Lees-Melou";"1993-05-25";"95.39";"24.69";"12";"0";"198";"100";"57.07";"1.37";"0.69";"77.88";"130.81";"0.36";"44.44";"4.55";"0.51";"18.18";"10.1";"4.04"
"André Filipe Tavares Gomes";"LDM";"all";"all";"729";"André Gomes";"1993-07-30";"86.88";"26.06";"9";"0";"139";"100";"48.2";"1.33";"0.6";"83.58";"135.97";"0.49";"40.29";"4.32";"1.44";"19.42";"7.19";"5.76"
"Jordan Lefort";"LCB";"all";"all";"12205";"J. Lefort";"1993-08-09";"99.42";"21.52";"31";"0";"424";"100";"58.96";"0.54";"0.3";"74";"136.56";"0.19";"43.63";"2.59";"0.24";"4.72";"1.65";"0.94"
"Jubal Rocha Mendes Júnior";"CB";"all";"all";"30256";"Jubal";"1993-08-29";"99.13";"20.91";"25";"0";"168";"100";"43.45";"0.27";"0.11";"84.93";"120.83";"0.08";"36.9";"1.19";"0";"1.19";"0.6";"0.6"
"Deiver Andrés Machado Mena";"LWB";"all";"all";"18227";"D. Machado";"1993-09-02";"96.79";"24.15";"15";"0";"278";"100";"58.63";"1.19";"0.73";"79.75";"165.11";"0.46";"46.76";"5.04";"1.08";"15.11";"10.07";"5.4"
"Adrien Thomasson";"RM";"all";"all";"281";"A. Thomasson";"1993-12-10";"93.96";"24.19";"16";"0";"257";"100";"57.98";"1.99";"1.28";"74.5";"142.41";"0.78";"43.19";"5.45";"0.78";"24.9";"14.79";"9.34"
"Ali Abdi";"LWB";"all";"all";"23166";"A. Abdi";"1993-12-20";"85.74";"19.94";"15";"0";"205";"100";"63.9";"1.78";"1.18";"69.47";"163.9";"0.51";"44.39";"4.88";"0";"23.9";"15.12";"7.32"
"Issiaga Sylla";"LB";"all";"all";"4509";"I. Sylla";"1994-01-01";"93.81";"22.13";"9";"0";"123";"100";"74.8";"1.39";"1.08";"77.17";"150.41";"0.55";"57.72";"2.44";"0";"20.33";"16.26";"5.69"
"Hans Hateboer";"RCB";"all";"all";"4197";"H. Hateboer";"1994-01-09";"99.51";"26.55";"14";"0";"206";"100";"54.85";"0.68";"0.28";"85.84";"129.13";"0.24";"47.09";"1.94";"0.49";"6.31";"1.46";"1.46"
"Haris Belkebla";"LDM";"all";"all";"13162";"H. Belkebla";"1994-01-28";"98.8";"22.06";"12";"0";"117";"100";"55.56";"0.82";"0.54";"84.62";"123.08";"0.37";"47.01";"0.85";"0.85";"7.69";"4.27";"2.56"
"Haris Belkebla";"LM";"all";"all";"13162";"H. Belkebla";"1994-01-28";"98.71";"21.44";"5";"0";"36";"100";"50";"0.84";"0.37";"83.33";"116.67";"0.22";"41.67";"5.56";"0";"8.33";"2.78";"0"
"Ludovic Ajorque";"CF";"all";"all";"12230";"L. Ajorque";"1994-02-25";"91.58";"22.05";"28";"0";"242";"100";"61.57";"2.59";"1.74";"70.47";"159.92";"1.22";"43.39";"7.02";"0.41";"33.88";"20.25";"14.05"
"Abdoulaye Touré";"DM";"all";"all";"128";"A. Touré";"1994-03-03";"94.23";"18.76";"7";"0";"69";"100";"60.87";"0.87";"0.53";"80.95";"140.58";"0.38";"49.28";"2.9";"1.45";"13.04";"7.25";"4.35"
"Abdoulaye Touré";"LM";"all";"all";"128";"A. Touré";"1994-03-03";"95.93";"23.43";"8";"0";"92";"100";"46.74";"0.72";"0.31";"79.07";"125";"0.21";"36.96";"6.52";"2.17";"9.78";"3.26";"1.09"
"Abdoulaye Touré";"RDM";"all";"all";"128";"A. Touré";"1994-03-03";"96.66";"20.08";"5";"0";"59";"100";"57.63";"1.06";"0.56";"79.41";"137.29";"0.39";"45.76";"3.39";"1.69";"13.56";"8.47";"5.08"
"Abdoulaye Touré";"RM";"all";"all";"128";"A. Touré";"1994-03-03";"93.32";"17.47";"5";"0";"33";"100";"66.67";"0.75";"0.51";"81.82";"136.36";"0.38";"54.55";"9.09";"0";"6.06";"0";"0"
"Jordan Amavi";"LB";"all";"all";"5303";"J. Amavi";"1994-03-09";"93.1";"24.04";"8";"0";"181";"100";"66.3";"1";"0.62";"63.33";"151.93";"0.36";"41.99";"2.21";"0";"11.05";"6.63";"3.87"
"Jean Eudès Aholou";"RDM";"all";"all";"11246";"J. Aholou";"1994-03-20";"87.98";"19.3";"14";"0";"114";"100";"57.02";"1.24";"0.67";"76.92";"131.58";"0.44";"43.86";"2.63";"0";"21.05";"11.4";"7.89"
"Jean Eudès Aholou";"RM";"all";"all";"11246";"J. Aholou";"1994-03-20";"76.75";"16.83";"5";"0";"31";"100";"41.94";"0.79";"0.26";"92.31";"138.71";"0.26";"38.71";"3.23";"3.23";"9.68";"3.23";"3.23"
"Gaëtan  Laborde";"CF";"all";"all";"11631";"G. Laborde";"1994-05-03";"85.67";"21.4";"18";"0";"185";"100";"71.35";"3.7";"2.8";"65.15";"162.16";"1.25";"46.49";"11.35";"1.62";"50.81";"37.3";"17.84"
"Marcos Aoás Corrêa";"RCB";"all";"all";"7013";"Marquinhos";"1994-05-14";"95.77";"37.28";"17";"0";"393";"100";"50.38";"0.52";"0.19";"91.92";"127.99";"0.14";"46.31";"1.78";"0";"6.36";"1.53";"1.02"
"Corentin Tolisso";"AM";"all";"all";"1999";"C. Tolisso";"1994-08-03";"93.92";"26.44";"7";"0";"114";"100";"51.75";"1.9";"1.15";"74.58";"128.07";"0.71";"38.6";"7.02";"2.63";"28.07";"15.79";"7.02"
"Corentin Tolisso";"LDM";"all";"all";"1999";"C. Tolisso";"1994-08-03";"92.06";"29.08";"7";"0";"148";"100";"56.08";"1.52";"0.88";"75.9";"144.59";"0.57";"42.57";"4.73";"1.35";"25";"14.19";"7.43"
"Corentin Tolisso";"LM";"all";"all";"1999";"C. Tolisso";"1994-08-03";"93.95";"25.38";"10";"0";"157";"100";"58.6";"2.14";"1.41";"79.35";"142.68";"0.95";"46.5";"10.83";"1.91";"34.39";"22.93";"15.92"
"Valentin Rongier";"LM";"all";"all";"10619";"V. Rongier";"1994-12-07";"84.75";"29.21";"6";"0";"79";"100";"60.76";"1.66";"0.7";"81.25";"132.91";"0.51";"49.37";"3.8";"0";"22.78";"7.59";"5.06"
"Valentin Rongier";"RM";"all";"all";"10619";"V. Rongier";"1994-12-07";"74.7";"23.03";"5";"0";"67";"100";"38.81";"1.43";"0.36";"69.23";"125.37";"0.18";"26.87";"4.48";"4.48";"16.42";"4.48";"2.99"
"Brendan Chardonnet";"RCB";"all";"all";"13164";"B. Chardonnet";"1994-12-22";"99.55";"22.12";"27";"0";"368";"100";"59.78";"0.33";"0.23";"80";"133.97";"0.13";"47.83";"2.72";"0.27";"1.9";"1.09";"0.27"
"Takumi Minamino";"AM";"all";"all";"11773";"T. Minamino";"1995-01-16";"88.52";"24.98";"11";"0";"135";"100";"77.78";"3.52";"2.84";"75.24";"165.93";"1.9";"58.52";"14.81";"1.48";"49.63";"40";"26.67"
"Takumi Minamino";"LW";"all";"all";"11773";"T. Minamino";"1995-01-16";"84.06";"21.72";"11";"0";"138";"100";"72.46";"3.42";"2.71";"68";"155.07";"1.3";"49.28";"11.59";"0.72";"47.83";"38.41";"20.29"
"Jean-Charles Castelletto";"RCB";"all";"all";"4846";"J. Castelletto";"1995-01-26";"98.5";"21.9";"19";"0";"275";"100";"51.27";"0.35";"0.17";"87.94";"133.09";"0.11";"45.09";"1.82";"0";"2.18";"0.73";"0"
"Jim Allevinah";"LW";"all";"all";"23049";"J. Allevinah";"1995-02-27";"73.55";"17.24";"6";"0";"70";"100";"65.71";"1.81";"1.35";"73.91";"151.43";"0.73";"48.57";"4.29";"0";"22.86";"18.57";"10"
"Jim Allevinah";"RW";"all";"all";"23049";"J. Allevinah";"1995-02-27";"77.28";"16.42";"14";"0";"134";"100";"68.66";"2.73";"2.36";"70.65";"163.43";"0.92";"48.51";"5.97";"2.24";"28.36";"24.63";"10.45"
"Baptiste Santamaria";"LM";"all";"all";"11149";"B. Santamaria";"1995-03-09";"86.43";"20.94";"11";"0";"109";"100";"68.81";"1.21";"0.91";"69.33";"155.05";"0.5";"47.71";"8.26";"0.92";"21.1";"16.51";"7.34"
"Adrien Rabiot";"AM";"all";"all";"277";"A. Rabiot";"1995-04-03";"98.51";"34.01";"11";"0";"181";"100";"70.17";"1.98";"1.49";"81.1";"145.3";"1.11";"56.91";"6.63";"1.66";"27.07";"19.89";"13.81"
"Adrien Rabiot";"LF";"all";"all";"277";"A. Rabiot";"1995-04-03";"98.42";"34.88";"6";"0";"133";"100";"63.16";"2.95";"2.3";"72.62";"154.14";"1.04";"45.86";"6.02";"0.75";"33.83";"23.31";"10.53"
"Przemysław Frankowski";"RWB";"all";"all";"8744";"P. Frankowski";"1995-04-12";"94.22";"24.11";"10";"0";"306";"100";"62.42";"1.19";"0.75";"79.06";"168.63";"0.56";"49.35";"4.58";"0.65";"14.71";"8.82";"6.21"
"Wesley Saïd";"CF";"all";"all";"10832";"W. Saïd";"1995-04-19";"74.57";"19.72";"9";"0";"74";"100";"78.38";"3.38";"2.89";"68.97";"179.73";"1.46";"54.05";"9.46";"0";"44.59";"36.49";"25.68"
"Falaye Sacko";"RB";"all";"all";"16049";"F. Sacko";"1995-05-01";"93.11";"23.53";"7";"0";"94";"100";"59.57";"0.82";"0.45";"82.14";"132.98";"0.17";"48.94";"4.26";"1.06";"7.45";"3.19";"1.06"
"Seko Mohamed Fofana";"LM";"all";"all";"9703";"S. Fofana";"1995-05-07";"77.09";"21.82";"6";"0";"101";"100";"50.5";"1.71";"0.88";"82.35";"156.44";"0.54";"41.58";"4.95";"0";"23.76";"10.89";"6.93"
"Moses Daddy Simon";"CF";"all";"all";"7778";"M. Simon";"1995-07-12";"88.92";"18.87";"8";"0";"90";"100";"70";"2.81";"2.11";"61.9";"163.33";"1.18";"43.33";"10";"2.22";"42.22";"30";"15.56"
"Moses Daddy Simon";"LF";"all";"all";"7778";"M. Simon";"1995-07-12";"95.44";"19.11";"8";"0";"87";"100";"64.37";"3.06";"1.88";"60.71";"175.86";"0.94";"39.08";"8.05";"3.45";"47.13";"32.18";"14.94"
"Moses Daddy Simon";"LW";"all";"all";"7778";"M. Simon";"1995-07-12";"87.91";"19.07";"15";"0";"196";"100";"66.84";"2.66";"1.97";"63.36";"167.35";"0.94";"42.35";"7.65";"0.51";"41.84";"28.57";"11.73"
"Gautier Lloris";"LCB";"all";"all";"3786";"G. Lloris";"1995-07-18";"98.76";"21.04";"31";"0";"405";"100";"57.78";"0.41";"0.23";"86.75";"136.54";"0.15";"50.12";"0.49";"0";"1.23";"0.49";"0"
"Pierre-Emile Højbjerg";"LDM";"all";"all";"8693";"P. Højbjerg";"1995-08-05";"98.86";"33.52";"9";"0";"171";"100";"47.37";"1.12";"0.45";"85.19";"129.82";"0.32";"40.35";"3.51";"0.58";"16.96";"5.85";"4.68"
"Pierre-Emile Højbjerg";"LM";"all";"all";"8693";"P. Højbjerg";"1995-08-05";"97.91";"34.18";"10";"0";"230";"100";"50.87";"1.29";"0.62";"80.34";"134.78";"0.4";"40.87";"6.09";"1.3";"23.48";"11.74";"6.52"
"Pierre-Emile Højbjerg";"RM";"all";"all";"8693";"P. Højbjerg";"1995-08-05";"93.51";"30.76";"5";"0";"100";"100";"60";"1.07";"0.66";"80";"140";"0.48";"48";"3";"1";"15";"9";"6"
