"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Abdoulaye Bamba";"A. Bamba";"120";"1990-04-25";"RCB";"Central Defender";"96.02";"56.97";"16";"0";"0.66";"1.29";"27.96";"30.08";"7424.26";"123.74";"899.28";"271.59";"26.4";"62.66";"3.36";"334.25";"29.75";"84.98";"2.9";"63.91";"6.91";"1.12";"0.33"
"Abdoulaye Touré";"A. Touré";"128";"1994-03-03";"DM";"Midfield";"94.23";"54.51";"7";"0";"0.71";"1.62";"27.86";"28.78";"9197.59";"153.29";"2040.2";"564.38";"50.95";"128.48";"5.5";"692.86";"56.45";"117.31";"2.67";"82.72";"11.32";"0.94";"0.16"
"Abdoulaye Touré";"A. Touré";"128";"1994-03-03";"LM";"Midfield";"95.93";"52.03";"8";"0";"0.75";"1.57";"27.71";"28.4";"9349.25";"155.82";"2068.24";"647.04";"57.8";"179.74";"8.22";"826.78";"66.02";"111.85";"3.6";"78.84";"13.4";"1.3";"0.43"
"Abdoulaye Touré";"A. Touré";"128";"1994-03-03";"RDM";"Midfield";"96.66";"51.39";"5";"0";"0.83";"1.62";"28.78";"28.78";"9452.74";"157.55";"2071.09";"714.02";"63.51";"260.35";"12.38";"974.37";"75.89";"104.84";"2.1";"74.48";"12.38";"1.17";"0.23"
"Abdoulaye Touré";"A. Touré";"128";"1994-03-03";"RM";"Midfield";"93.32";"51.48";"5";"0";"0.76";"1.64";"28.04";"28.04";"9310.86";"155.18";"2022.74";"595.14";"53.85";"144.76";"6.76";"739.91";"60.61";"114.46";"3.73";"82.06";"13.05";"2.8";"0.47"
"Adrien Rabiot";"A. Rabiot";"277";"1995-04-03";"AM";"Midfield";"98.15";"58.03";"10";"0";"0.71";"1.35";"29.53";"30.42";"9193.75";"153.23";"1831.74";"782.24";"68.55";"239.14";"12.2";"1021.38";"80.75";"97.91";"3.52";"71.23";"10.96";"2.27";"0.52"
"Adrien Rabiot";"A. Rabiot";"277";"1995-04-03";"LF";"Wide Attacker";"99.05";"60.19";"7";"0";"0.71";"1.34";"29.44";"29.92";"9071.13";"151.19";"1764.61";"697.76";"69.49";"284.23";"14.81";"981.99";"84.3";"99.39";"3.84";"70.2";"13.24";"2.85";"1.28"
"Adrien Thomasson";"A. Thomasson";"281";"1993-12-10";"RM";"Midfield";"93.96";"50.83";"16";"0";"0.73";"1.39";"27.26";"28.26";"10641.83";"177.36";"2902.84";"1123.42";"89.49";"214.61";"11.43";"1338.03";"100.92";"121.36";"4.21";"84.03";"16.53";"2.73";"0.3"
"Ahmed Hassan Mahgoub";"Ahmed Hassan";"296";"1993-03-05";"CF";"Center Forward";"77.11";"43.23";"9";"0";"0.76";"1.7";"26.79";"27.56";"9392.23";"156.54";"1858.06";"699.18";"61.22";"134.93";"8.02";"834.11";"69.24";"89.6";"4.78";"65.38";"12.8";"2.78";"0.0"
"Aïssa Mandi";"A. Mandi";"314";"1991-10-22";"RB";"Full Back";"90.24";"51.75";"9";"0";"0.83";"1.58";"28.16";"28.96";"7995.78";"133.26";"1284.3";"500.89";"43.93";"163.23";"8.25";"664.11";"52.18";"86.44";"2.96";"60.29";"9.53";"1.55";"0.39"
