"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Dante Bonfim da Costa Santos";"LCB";"all";"all";"2330";"Dante";"1983-10-18";"96.13";"23.22";"18";"0";"548";"100";"13.32";"86.68";"86.68";"87.96";"89.42";"78.65";"1.28";"1.28";"100";"16.06";"8.94";"55.68"
"Nicolas Pallois";"LCB";"all";"all";"8030";"N. Pallois";"1987-09-19";"93.78";"19.19";"16";"0";"273";"100";"29.67";"70.33";"70.33";"76.52";"84.25";"64.47";"1.83";"1.47";"80";"23.08";"12.82";"55.56"
"Yunis Abdelhamid";"LCB";"all";"all";"11324";"Y. Abdelhamid";"1987-09-28";"100.01";"19.87";"7";"0";"136";"100";"26.47";"73.53";"73.53";"75.68";"81.62";"61.76";"2.21";"0.74";"33.33";"22.06";"11.76";"53.33"
"Nemanja Matić";"DM";"all";"all";"7910";"N. Matić";"1988-08-01";"91.22";"24.12";"13";"0";"429";"100";"18.18";"81.82";"81.82";"82.43";"86.25";"71.1";"5.13";"3.26";"63.64";"14.69";"8.16";"55.56"
"Nemanja Matić";"RDM";"all";"all";"7910";"N. Matić";"1988-08-01";"79.38";"23.71";"9";"0";"280";"100";"12.14";"87.86";"87.86";"89.11";"88.57";"78.93";"3.93";"2.5";"63.64";"10.36";"6.43";"62.07"
"André Ayew";"CF";"all";"all";"715";"A. Ayew";"1989-12-17";"82.52";"18.01";"15";"0";"171";"100";"28.07";"71.93";"71.93";"78.31";"48.54";"38.01";"8.77";"4.68";"53.33";"11.11";"5.26";"47.37"
"Ismaily Gonçalves dos Santos";"LB";"all";"all";"4500";"Ismaily";"1990-01-11";"85.74";"26.46";"10";"0";"284";"100";"20.07";"79.93";"79.93";"82.28";"83.45";"68.66";"6.34";"2.82";"44.44";"12.32";"5.63";"45.71"
"Florent  Hanin";"LB";"all";"all";"3481";"F. Hanin";"1990-02-04";"93.36";"20.02";"27";"0";"674";"100";"26.71";"73.29";"73.29";"75.3";"85.91";"64.69";"7.12";"3.12";"43.75";"24.93";"11.28";"45.24"
"Abdoulaye Bamba";"RCB";"all";"all";"120";"A. Bamba";"1990-04-25";"96.02";"21.48";"16";"0";"238";"100";"19.75";"80.25";"80.25";"82.33";"90.34";"74.37";"1.26";"0.84";"66.67";"15.55";"9.24";"59.46"
"Benjamin André";"LDM";"all";"all";"1267";"B. André";"1990-08-03";"100.32";"30.24";"5";"0";"168";"100";"16.67";"83.33";"83.33";"84.03";"85.71";"72.02";"1.79";"1.19";"66.67";"14.29";"8.33";"58.33"
