"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Adam Hložek";"CF";"all";"all";"31031";"A. Hložek";"2002-07-25";"84.85";"19.78";"11";"0";"295";"100";"49.83";"3.44";"0.34";"36.27";"23.39";"4.75";"1.2";"0.54";"16.27";"8.14"
"Adrian Beck";"AM";"all";"all";"30496";"A. Beck";"1997-06-09";"85.77";"16.68";"5";"0";"126";"100";"24.6";"1.91";"0";"34.13";"23.02";"3.97";"0.66";"0.34";"6.35";"3.97"
"Alassane Pléa";"AM";"all";"all";"348";"A. Pléa";"1993-03-10";"77.76";"18.28";"15";"0";"371";"100";"31";"2.16";"1.08";"42.32";"30.19";"5.12";"0.84";"0.46";"11.32";"6.47"
"Alassane Pléa";"LW";"all";"all";"348";"A. Pléa";"1993-03-10";"89.77";"23.15";"5";"0";"155";"100";"32.26";"2.26";"0";"32.26";"20";"0.65";"0.67";"0.2";"7.1";"1.29"
"Aleix García Serrano";"LM";"all";"all";"13983";"Aleix García";"1997-06-28";"93.14";"27.18";"9";"0";"246";"100";"7.72";"0.83";"0.41";"37.4";"33.74";"3.66";"0.36";"0.19";"4.47";"2.44"
"Alejandro Grimaldo García";"LWB";"all";"all";"413";"Álex Grimaldo";"1995-09-20";"94.91";"28.14";"25";"0";"938";"100";"29.96";"1.95";"0.21";"38.17";"30.81";"3.09";"0.5";"0.34";"7.46";"4.26"
"Aleksandar Pavlović";"LDM";"all";"all";"105610";"A. Pavlović";"2004-05-03";"83.87";"29.37";"12";"0";"429";"100";"9.32";"0.74";"0";"34.27";"32.17";"1.4";"0.15";"0.13";"0.93";"0.7"
"Alexander Bernhardsson";"RF";"all";"all";"61171";"A. Bernhardsson";"1998-09-08";"86.77";"14.87";"6";"0";"146";"100";"36.99";"2.66";"0";"36.99";"19.18";"4.11";"0.62";"0.35";"9.59";"4.79"
"Alexander Prass";"LB";"all";"all";"25327";"A. Prass";"2001-05-26";"93.03";"21.1";"8";"0";"228";"100";"16.23";"1.23";"1.32";"42.11";"37.72";"2.19";"0.4";"0.33";"7.46";"5.7"
"Alexander Prass";"LWB";"all";"all";"25327";"A. Prass";"2001-05-26";"83.3";"19.8";"8";"0";"226";"100";"26.11";"1.77";"0";"35.4";"31.86";"1.77";"0.36";"0.29";"4.87";"3.98"
"Alexis Claude-Maurice";"AM";"all";"all";"13170";"A. Claude-Maurice";"1998-06-06";"85.76";"16.48";"7";"0";"157";"100";"33.12";"2.44";"0.64";"43.95";"31.85";"8.28";"1.34";"0.65";"13.38";"7.01"
"Alexis Claude-Maurice";"CF";"all";"all";"13170";"A. Claude-Maurice";"1998-06-06";"82.5";"16.02";"5";"0";"112";"100";"24.11";"1.72";"0";"32.14";"24.11";"1.79";"0.48";"0.27";"7.14";"4.46"
"Alexis Claude-Maurice";"LF";"all";"all";"13170";"A. Claude-Maurice";"1998-06-06";"82.97";"19.95";"9";"0";"242";"100";"31.4";"2.13";"0.83";"34.3";"23.55";"2.89";"0.65";"0.3";"9.09";"3.72"
"Aljoscha Kemlein";"RM";"all";"all";"233306";"A. Kemlein";"2004-08-02";"83.09";"15.83";"7";"0";"149";"100";"17.45";"1.18";"0";"20.81";"18.79";"1.34";"0.32";"0.27";"4.03";"3.36"
"Alphonso Davies";"LB";"all";"all";"17902";"A. Davies";"2000-11-02";"94.87";"34.2";"16";"0";"571";"100";"18.39";"1.37";"0.88";"36.95";"33.1";"3.85";"0.42";"0.34";"5.95";"4.38"
"Amadou Haidara";"LM";"all";"all";"11301";"A. Haidara";"1998-01-31";"76.42";"19.34";"8";"0";"120";"100";"6.67";"0.55";"0.83";"26.67";"24.17";"1.67";"0.18";"0.17";"1.67";"1.67"
"Amos Pieper";"LCB";"all";"all";"25507";"A. Pieper";"1998-01-17";"89.66";"19.86";"10";"0";"110";"100";"3.64";"0.28";"0";"45.45";"43.64";"0";"0.1";"0.03";"0.91";"0"
"Amos Pieper";"RCB";"all";"all";"25507";"A. Pieper";"1998-01-17";"93.18";"20.98";"5";"0";"63";"100";"0";"0.23";"0";"25.4";"25.4";"0";"0.02";"0.02";"0";"0"
"Andreas  Hanche-Olsen";"LCB";"all";"all";"31103";"A. Hanche-Olsen";"1997-01-17";"99.86";"19.47";"9";"0";"92";"100";"8.7";"0.66";"2.17";"43.48";"41.3";"2.17";"0.15";"0.11";"2.17";"1.09"
"Andrej Ilić";"CF";"all";"all";"170510";"A. Ilić";"2000-04-03";"80.15";"12.89";"9";"0";"173";"100";"51.45";"4.43";"0.58";"34.68";"18.5";"4.62";"1.2";"0.41";"15.61";"6.36"
"Andrej Kramarić";"AM";"all";"all";"816";"A. Kramarić";"1991-06-19";"91.15";"20.46";"17";"0";"593";"100";"36.76";"2.59";"0.67";"35.41";"24.45";"4.72";"0.9";"0.59";"12.65";"7.76"
"Andrej Kramarić";"LW";"all";"all";"816";"A. Kramarić";"1991-06-19";"91.5";"21.82";"6";"0";"237";"100";"37.13";"3.3";"0.42";"37.55";"28.27";"4.22";"1.18";"0.55";"13.92";"7.59"
