"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count opportunities to pass to Runs in sample";"Count opportunities to pass to Runs per 100 Pass Opportunities";"Count pass attempts for Runs per 100 Pass Opportunities";"Threat of all opportunities to pass to Runs per 100 Pass Opportunities";"Threat of Runs to which a pass was attempted per 100 Pass Opportunities";"Pass completion ratio to Runs";"Count Runs made by teammate per 100 Pass Opportunities";"Threat of Runs to which a pass was completed per 100 Pass Opportunities";"Count completed passes for Runs per 100 Pass Opportunities";"Count completed passes leading to shot for Runs per 100 Pass Opportunities";"Count completed passes leading to goal for Runs per 100 Pass Opportunities";"Count opportunities to pass to dangerous Runs per 100 Pass Opportunities";"Count pass attempts for dangerous Runs per 100 Pass Opportunities";"Count completed passes for dangerous Runs per 100 Pass Opportunities"
"Adrian Beck";"AM";"all";"all";"30496";"A. Beck";"1997-06-09";"85.77";"16.68";"5";"0";"69";"100";"59.42";"1.66";"0.81";"73.17";"157.97";"0.54";"43.48";"8.7";"0";"26.09";"14.49";"10.14"
"Alexander Bernhardsson";"RF";"all";"all";"61171";"A. Bernhardsson";"1998-09-08";"86.77";"14.87";"6";"0";"36";"100";"88.89";"3.91";"3.73";"81.25";"172.22";"2.87";"72.22";"16.67";"0";"52.78";"47.22";"36.11"
"Anthony Caci";"RWB";"all";"all";"11239";"A. Caci";"1997-07-01";"89.53";"19.6";"31";"0";"549";"100";"66.3";"1.47";"1.07";"71.7";"152.82";"0.53";"47.54";"5.1";"0.91";"19.85";"14.21";"6.01"
"Anrie Chase";"RCB";"all";"all";"180390";"A. Chase";"2004-03-24";"99.22";"26.03";"6";"0";"67";"100";"50.75";"0.25";"0.08";"85.29";"128.36";"0.06";"43.28";"0";"0";"1.49";"0";"0"
"Alexis Claude-Maurice";"AM";"all";"all";"13170";"A. Claude-Maurice";"1998-06-06";"85.76";"16.48";"7";"0";"64";"100";"68.75";"2.31";"1.42";"86.36";"190.62";"0.88";"59.38";"12.5";"0";"28.12";"17.19";"12.5"
"Alexis Claude-Maurice";"CF";"all";"all";"13170";"A. Claude-Maurice";"1998-06-06";"82.5";"16.02";"5";"0";"37";"100";"59.46";"1.89";"1.48";"81.82";"175.68";"0.72";"48.65";"5.41";"0";"27.03";"18.92";"8.11"
"Alexis Claude-Maurice";"LF";"all";"all";"13170";"A. Claude-Maurice";"1998-06-06";"82.97";"19.95";"9";"0";"102";"100";"56.86";"2.5";"1.55";"72.41";"158.82";"0.84";"41.18";"14.71";"0";"45.1";"26.47";"13.73"
"Alphonso Davies";"LB";"all";"all";"17902";"A. Davies";"2000-11-02";"94.87";"34.2";"16";"0";"313";"100";"57.19";"1.29";"0.77";"86.03";"144.09";"0.54";"49.2";"6.39";"0.96";"19.17";"12.46";"7.03"
"Armin Gigović";"LM";"all";"all";"28128";"A. Gigović";"2002-04-06";"76.52";"14.64";"9";"0";"65";"100";"56.92";"2.2";"1.41";"72.97";"186.15";"0.74";"41.54";"4.62";"0";"32.31";"18.46";"10.77"
"Armin Gigović";"RM";"all";"all";"28128";"A. Gigović";"2002-04-06";"87.13";"16.72";"8";"0";"64";"100";"59.38";"1.34";"0.61";"65.79";"164.06";"0.25";"39.06";"3.12";"0";"17.19";"7.81";"0"
"Amadou Haidara";"LM";"all";"all";"11301";"A. Haidara";"1998-01-31";"76.42";"19.34";"8";"0";"74";"100";"45.95";"1.22";"0.5";"73.53";"116.22";"0.34";"33.78";"4.05";"1.35";"21.62";"8.11";"5.41"
"Andreas  Hanche-Olsen";"LCB";"all";"all";"31103";"A. Hanche-Olsen";"1997-01-17";"99.86";"19.47";"9";"0";"67";"100";"56.72";"0.42";"0.16";"86.84";"134.33";"0.09";"49.25";"2.99";"0";"2.99";"1.49";"0"
"Adam Hložek";"CF";"all";"all";"31031";"A. Hložek";"2002-07-25";"84.85";"19.78";"11";"0";"111";"100";"75.68";"3.53";"3.02";"69.05";"163.96";"1.36";"52.25";"8.11";"0.9";"41.44";"35.14";"20.72"
"Andrej Ilić";"CF";"all";"all";"170510";"A. Ilić";"2000-04-03";"80.15";"12.89";"9";"0";"28";"100";"75";"1.74";"1.33";"52.38";"164.29";"0.53";"39.29";"10.71";"3.57";"32.14";"21.43";"7.14"
"Anthony Jung";"LCB";"all";"all";"16437";"A. Jung";"1991-11-03";"97.13";"22.74";"18";"0";"317";"100";"57.41";"0.44";"0.22";"86.81";"132.18";"0.17";"49.84";"1.58";"0";"4.42";"1.26";"0.95"
"Atakan Karazor";"RDM";"all";"all";"19484";"A. Karazor";"1996-10-13";"87.7";"26.74";"9";"0";"97";"100";"46.39";"1.21";"0.51";"82.22";"122.68";"0.33";"38.14";"5.15";"0";"18.56";"9.28";"5.15"
"Atakan Karazor";"RM";"all";"all";"19484";"A. Karazor";"1996-10-13";"94.11";"24.8";"17";"0";"174";"100";"59.77";"1.4";"0.88";"77.88";"123.56";"0.61";"46.55";"5.17";"1.15";"19.54";"10.92";"6.32"
"Aljoscha Kemlein";"RM";"all";"all";"233306";"A. Kemlein";"2004-08-02";"83.09";"15.83";"7";"0";"58";"100";"70.69";"1.52";"1.11";"70.73";"146.55";"0.61";"50";"5.17";"0";"18.97";"12.07";"6.9"
"Ansgar Knauff";"RW";"all";"all";"31250";"A. Knauff";"2002-01-10";"82.67";"19";"6";"0";"75";"100";"76";"2.3";"1.98";"70.18";"156";"0.76";"53.33";"5.33";"2.67";"30.67";"24";"6.67"
"Andrej Kramarić";"AM";"all";"all";"816";"A. Kramarić";"1991-06-19";"91.15";"20.46";"17";"0";"274";"100";"68.61";"2.33";"1.71";"73.94";"159.85";"1.06";"50.73";"9.85";"1.82";"33.94";"24.82";"16.06"
"Andrej Kramarić";"LW";"all";"all";"816";"A. Kramarić";"1991-06-19";"91.5";"21.82";"6";"0";"98";"100";"64.29";"1.97";"1.17";"73.02";"178.57";"0.58";"46.94";"2.04";"0";"30.61";"18.37";"9.18"
"Anthony Losilla";"DM";"all";"all";"19270";"A. Losilla";"1986-03-10";"79.04";"13.56";"9";"0";"42";"100";"59.52";"0.9";"0.51";"80";"128.57";"0.41";"47.62";"4.76";"0";"9.52";"4.76";"4.76"
"Antonio Eromonsele Nordby Nusa";"LWB";"all";"all";"70853";"A. Nusa";"2005-04-17";"91.58";"19.79";"5";"0";"57";"100";"61.4";"2.07";"1.07";"60";"145.61";"0.46";"36.84";"3.51";"1.75";"29.82";"14.04";"3.51"
"Aleksandar Pavlović";"LDM";"all";"all";"105610";"A. Pavlović";"2004-05-03";"83.87";"29.37";"12";"0";"164";"100";"45.73";"1.5";"0.6";"89.33";"117.68";"0.5";"40.85";"3.66";"0.61";"20.73";"4.88";"3.05"
"Amos Pieper";"LCB";"all";"all";"25507";"A. Pieper";"1998-01-17";"89.66";"19.86";"10";"0";"111";"100";"64.86";"0.68";"0.46";"79.17";"134.23";"0.25";"51.35";"1.8";"0";"9.01";"5.41";"3.6"
"Amos Pieper";"RCB";"all";"all";"25507";"A. Pieper";"1998-01-17";"93.18";"20.98";"5";"0";"73";"100";"54.79";"0.54";"0.43";"75";"139.73";"0.18";"41.1";"0";"0";"8.22";"6.85";"1.37"
"Alassane Pléa";"AM";"all";"all";"348";"A. Pléa";"1993-03-10";"77.76";"18.28";"15";"0";"217";"100";"70.51";"2.53";"2.01";"66.67";"160.83";"1.07";"47";"9.68";"1.38";"36.87";"27.65";"16.59"
"Alassane Pléa";"LW";"all";"all";"348";"A. Pléa";"1993-03-10";"89.77";"23.15";"5";"0";"75";"100";"73.33";"2.37";"1.69";"69.09";"168";"0.58";"50.67";"4";"1.33";"33.33";"24";"8"
"Alexander Prass";"LB";"all";"all";"25327";"A. Prass";"2001-05-26";"93.03";"21.1";"8";"0";"142";"100";"61.27";"1.23";"0.84";"64.37";"152.82";"0.39";"39.44";"6.34";"0.7";"17.61";"12.68";"4.93"
"Alexander Prass";"LWB";"all";"all";"25327";"A. Prass";"2001-05-26";"83.3";"19.8";"8";"0";"139";"100";"58.27";"1.76";"1.02";"64.2";"153.96";"0.38";"37.41";"2.88";"0.72";"25.9";"15.11";"4.32"
"Anthony Rouault";"RCB";"all";"all";"32045";"A. Rouault";"2001-05-29";"93.04";"24.9";"11";"0";"162";"100";"51.23";"0.29";"0.17";"84.34";"124.69";"0.11";"43.21";"1.23";"0";"2.47";"1.85";"0.62"
