"Player";"Short Name";"Player ID";"Birthdate";"Position";"Position Group";"Minutes";"Minutes BIP";"Count Performances (Physical Check passed)";"Count Performances (Physical Check failed)";"TOP 3 Time to HSR";"TOP 3 Time to Sprint";"PSV-99";"TOP 5 PSV-99";"Distance P60BIP";"M/min BIP P60BIP";"Running Distance P60BIP";"HSR Distance P60BIP";"HSR Count P60BIP";"Sprint Distance P60BIP";"Sprint Count P60BIP";"HI Distance BIP P60BIP";"HI Count BIP P60BIP";"Medium Acceleration Count P60BIP";"High Acceleration Count P60BIP";"Medium Deceleration Count P60BIP";"High Deceleration Count P60BIP";"Explosive Acceleration to HSR Count P60BIP";"Explosive Acceleration to Sprint Count P60BIP"
"Alassane Pléa";"A. Pléa";"348";"1993-03-10";"AM";"Midfield";"77.76";"45.28";"15";"0";"0.84";"2.07";"28.07";"29.32";"8440.08";"140.67";"1469.51";"549.67";"43.82";"128.63";"5.48";"678.3";"49.3";"81.81";"2.12";"64.67";"7.16";"1.24";"0.09"
"Alassane Pléa";"A. Pléa";"348";"1993-03-10";"LW";"Wide Attacker";"89.77";"51.1";"5";"0";"0.78";"null";"27.96";"27.96";"8617.22";"143.62";"1525.95";"687.12";"57.3";"152.88";"7.28";"840.0";"64.58";"93.93";"3.52";"69.51";"9.86";"2.11";"0.47"
"Alejandro Grimaldo García";"Álex Grimaldo";"413";"1995-09-20";"LWB";"Full Back";"94.91";"54.76";"25";"0";"0.7";"1.31";"28.61";"30.02";"9105.95";"151.77";"1683.22";"714.66";"60.92";"214.28";"11.4";"928.94";"72.32";"90.86";"4.86";"65.65";"11.44";"3.16";"1.1"
"Andrej Kramarić";"A. Kramarić";"816";"1991-06-19";"AM";"Midfield";"91.15";"48.76";"17";"0";"0.68";"1.39";"28.04";"29.46";"9746.95";"162.45";"2034.44";"729.08";"62.03";"178.41";"9.77";"907.49";"71.8";"95.83";"3.47";"74.12";"10.57";"2.39";"0.43"
"Andrej Kramarić";"A. Kramarić";"816";"1991-06-19";"LW";"Wide Attacker";"91.5";"51.47";"6";"0";"0.79";"1.49";"27.58";"27.98";"9472.8";"157.88";"1816.22";"721.2";"65.09";"157.96";"10.1";"879.16";"75.19";"96.76";"4.66";"73.25";"11.46";"3.3";"0.97"
"Benjamin Paa Kwesi Henrichs";"B. Henrichs";"1279";"1997-02-23";"RWB";"Full Back";"88.53";"49.49";"6";"0";"0.69";"1.65";"29.13";"29.7";"8362.35";"139.37";"1480.97";"679.67";"57.18";"197.19";"9.9";"876.87";"67.08";"98.6";"5.86";"71.12";"13.13";"3.64";"0.2"
"Danny  Vieira da Costa";"D. da Costa";"2303";"1993-07-13";"RCB";"Central Defender";"93.91";"50.03";"23";"0";"0.61";"1.37";"29.8";"31.58";"8269.44";"137.82";"1289.09";"458.48";"42.08";"161.87";"7.46";"620.35";"49.54";"84.79";"3.39";"66.02";"7.82";"1.56";"0.63"
"Dominik Kohr";"D. Kohr";"2820";"1994-01-31";"LCB";"Central Defender";"91.95";"49.91";"16";"0";"0.68";"1.38";"29.89";"31.44";"8104.02";"135.07";"1218.66";"418.31";"37.79";"156.19";"7.59";"574.51";"45.38";"83.99";"3.16";"61.38";"8.41";"2.33";"0.6"
"Dominik Kohr";"D. Kohr";"2820";"1994-01-31";"RCB";"Central Defender";"99.15";"50.42";"7";"0";"0.75";"1.43";"29.67";"30.16";"8215.17";"136.92";"1238.02";"449.45";"38.25";"146.02";"7.14";"595.47";"45.39";"82.1";"3.4";"59.84";"6.63";"2.04";"0.34"
"Ellyes Skhiri";"E. Skhiri";"3015";"1995-05-10";"DM";"Midfield";"96.92";"55.37";"5";"0";"0.79";"1.66";"28.0";"28.0";"10361.11";"172.69";"2321.9";"730.62";"63.29";"176.86";"9.54";"907.48";"72.82";"107.72";"3.25";"78.24";"12.57";"2.17";"0.0"
"Ellyes Skhiri";"E. Skhiri";"3015";"1995-05-10";"RM";"Midfield";"93.44";"52.25";"13";"0";"0.77";"1.69";"27.68";"28.88";"10142.76";"169.05";"2172.7";"654.15";"55.3";"152.12";"6.71";"806.27";"62.01";"102.47";"3.53";"77.21";"12.54";"2.21";"0.35"
"Emre Can";"E. Can";"3094";"1994-01-12";"RCB";"Central Defender";"98.72";"53.66";"12";"0";"0.76";"1.65";"29.66";"31.34";"8046.02";"134.1";"1158.28";"397.43";"38.21";"136.98";"6.71";"534.41";"44.91";"85.17";"3.54";"60.1";"7.55";"1.68";"0.93"
"Eric  Dier";"E. Dier";"3132";"1994-01-15";"RCB";"Central Defender";"94.29";"56.97";"12";"0";"0.75";"1.95";"28.86";"30.42";"8208.55";"136.81";"1272.82";"407.95";"34.76";"106.29";"4.83";"514.24";"39.58";"82.77";"2.81";"61.7";"6.58";"1.05";"0.18"
"Felix Passlack";"F. Passlack";"3375";"1998-05-29";"RB";"Full Back";"90.74";"46.59";"8";"0";"0.72";"1.24";"29.09";"29.72";"9106.89";"151.78";"1834.61";"898.71";"76.14";"302.15";"16.42";"1200.86";"92.56";"103.51";"6.6";"71.95";"14.33";"4.19";"1.77"
