"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Pressures received in sample";"Count Pressures received per 100 Pressures";"Count forced losses under Pressure per 100 Pressures";"Count ball retentions under Pressure per 100 Pressures";"Ball retention ratio under Pressure";"Pass completion ratio under Pressure";"Count pass attempts under Pressure per 100 Pressures";"Count completed passes under Pressure per 100 Pressures";"Count dangerous pass attempts under Pressure per 100 Pressures";"Count dangerous passes completed under Pressure per 100 Pressures";"Dangerous pass completion ratio under Pressure";"Count difficult pass attempts under Pressure per 100 Pressures";"Count difficult passes completed under Pressure per 100 Pressures";"Difficult pass completion ratio under Pressure"
"Thomas Müller";"AM";"all";"all";"10308";"T. Müller";"1989-09-13";"89.08";"31.99";"5";"0";"149";"100";"28.19";"71.81";"71.81";"75.44";"76.51";"57.72";"22.82";"11.41";"50";"20.81";"8.05";"38.71"
"Andrej Kramarić";"AM";"all";"all";"816";"A. Kramarić";"1991-06-19";"91.15";"20.46";"17";"0";"500";"100";"25.8";"74.2";"74.2";"76.94";"79.8";"61.4";"14.4";"8.4";"58.33";"20.8";"10.6";"50.96"
"Jae-Sung Lee";"AM";"all";"all";"11951";"Lee Jae-Sung";"1992-08-10";"86.06";"20.32";"11";"0";"260";"100";"26.54";"73.46";"73.46";"76.81";"79.62";"61.15";"11.92";"6.92";"58.06";"18.46";"10";"54.17"
"Alassane Pléa";"AM";"all";"all";"348";"A. Pléa";"1993-03-10";"77.76";"18.28";"15";"0";"368";"100";"32.07";"67.93";"67.93";"68.59";"75.27";"51.63";"16.85";"9.78";"58.06";"22.83";"10.6";"46.43"
"Kevin Stöger";"AM";"all";"all";"19112";"K. Stöger";"1993-08-27";"90.38";"23.01";"11";"0";"389";"100";"21.59";"78.41";"78.41";"80.73";"77.38";"62.47";"9";"5.91";"65.71";"20.05";"10.8";"53.85"
"Lucas Höler";"AM";"all";"all";"19049";"L. Höler";"1994-07-10";"86.99";"20.58";"10";"0";"205";"100";"32.2";"67.8";"67.8";"74.17";"73.66";"54.63";"14.15";"6.83";"48.28";"18.54";"9.76";"52.63"
"Julian Brandt";"AM";"all";"all";"5568";"J. Brandt";"1996-05-02";"93.29";"27.96";"13";"0";"408";"100";"24.02";"75.98";"75.98";"81.25";"78.43";"63.73";"13.73";"7.6";"55.36";"17.16";"9.8";"57.14"
"Deniz Undav";"AM";"all";"all";"60012";"D. Undav";"1996-07-19";"87.7";"27.72";"5";"0";"117";"100";"23.08";"76.92";"76.92";"77.27";"75.21";"58.12";"18.8";"9.4";"50";"14.53";"7.69";"52.94"
"Adrian Beck";"AM";"all";"all";"30496";"A. Beck";"1997-06-09";"85.77";"16.68";"5";"0";"123";"100";"26.02";"73.98";"73.98";"77.42";"75.61";"58.54";"11.38";"6.5";"57.14";"15.45";"6.5";"42.11"
"Alexis Claude-Maurice";"AM";"all";"all";"13170";"A. Claude-Maurice";"1998-06-06";"85.76";"16.48";"7";"0";"195";"100";"18.97";"81.03";"81.03";"88.24";"52.31";"46.15";"8.21";"5.13";"62.5";"8.21";"4.62";"56.25"
"Woo-Yeong Jeong";"AM";"all";"all";"22192";"Jeong Woo-Yeong";"1999-09-20";"77.17";"15.5";"7";"0";"165";"100";"21.21";"78.79";"78.79";"80.99";"73.33";"59.39";"8.48";"4.85";"57.14";"16.36";"9.09";"55.56"
"Benedict Hollerbach";"AM";"all";"all";"40327";"B. Hollerbach";"2001-05-17";"80.6";"14.54";"6";"0";"141";"100";"30.5";"69.5";"69.5";"73.68";"53.9";"39.72";"15.6";"7.8";"50";"19.86";"8.51";"42.86"
"Eren Sami Dinkçi";"AM";"all";"all";"35295";"E. Dinkçi";"2001-12-13";"72.68";"18.41";"8";"0";"160";"100";"27.5";"72.5";"72.5";"79.17";"75";"59.38";"14.38";"9.38";"65.22";"17.5";"8.75";"50"
"Merlin Röhl";"AM";"all";"all";"60000";"M. Röhl";"2002-07-05";"77.51";"15.74";"7";"0";"136";"100";"35.29";"64.71";"64.71";"73.53";"50";"36.76";"8.82";"5.15";"58.33";"13.97";"5.88";"42.11"
"Paul Nebel";"AM";"all";"all";"32103";"P. Nebel";"2002-10-10";"98.25";"23.79";"10";"0";"380";"100";"25.26";"74.74";"74.74";"77.13";"77.11";"59.47";"11.58";"6.58";"56.82";"20.53";"10";"48.72"
"Jamal Musiala";"AM";"all";"all";"25734";"J. Musiala";"2003-02-26";"89.78";"31.47";"15";"0";"595";"100";"23.36";"76.64";"76.64";"80.88";"65.04";"52.61";"16.81";"9.75";"58";"9.92";"4.03";"40.68"
"Xavi Quentin Shay Simons";"AM";"all";"all";"31930";"X. Simons";"2003-04-21";"93.26";"22.91";"8";"0";"288";"100";"23.96";"76.04";"76.04";"78.77";"62.15";"48.96";"10.42";"6.25";"60";"10.07";"4.86";"48.28"
"Florian Wirtz";"AM";"all";"all";"25456";"F. Wirtz";"2003-05-03";"95.38";"28.37";"12";"0";"661";"100";"23.6";"76.4";"76.4";"78.83";"77.91";"61.42";"14.98";"6.81";"45.45";"17.85";"8.32";"46.61"
"Paul Wanner";"AM";"all";"all";"99675";"P. Wanner";"2005-12-23";"81.27";"15.03";"6";"0";"146";"100";"32.88";"67.12";"67.12";"64.37";"59.59";"38.36";"6.85";"2.74";"40";"14.38";"4.11";"28.57"
"Jeffrey Gouweleeuw";"CB";"all";"all";"4888";"J. Gouweleeuw";"1991-07-10";"97.35";"19.99";"30";"0";"559";"100";"22.9";"77.1";"77.1";"78.66";"88.01";"69.23";"3.04";"1.79";"58.82";"20.04";"8.94";"44.64"
"Stefan Bell";"CB";"all";"all";"9969";"S. Bell";"1991-08-24";"89.88";"19.45";"17";"0";"311";"100";"25.08";"74.92";"74.92";"76.68";"91";"69.77";"1.93";"0.96";"50";"27.33";"15.43";"56.47"
"Kevin Vogt";"CB";"all";"all";"5880";"K. Vogt";"1991-09-23";"93.53";"18.09";"13";"0";"267";"100";"16.48";"83.52";"83.52";"85.48";"90.26";"77.15";"0.37";"0.37";"100";"18.73";"11.61";"62"
"Ivan Ordets";"CB";"all";"all";"12736";"I. Ordets";"1992-07-08";"96.95";"18.63";"15";"0";"224";"100";"25";"75";"75";"77.32";"86.61";"66.96";"0.45";"0.45";"100";"17.86";"7.59";"42.5"
"Willi Orbán";"CB";"all";"all";"10853";"W. Orbán";"1992-11-03";"95.1";"21.79";"12";"0";"262";"100";"17.94";"82.06";"82.06";"84.84";"93.13";"79.01";"0";"0";"";"15.27";"8.02";"52.5"
"Hauke Wahl";"CB";"all";"all";"19486";"H. Wahl";"1994-04-15";"97.3";"19.51";"13";"0";"273";"100";"14.65";"85.35";"85.35";"89.08";"87.18";"77.66";"1.47";"1.1";"75";"15.75";"10.26";"65.12"
"Patrick Mainka";"CB";"all";"all";"19496";"P. Mainka";"1994-11-06";"96.41";"18.86";"6";"0";"106";"100";"28.3";"71.7";"71.7";"76.25";"75.47";"57.55";"2.83";"1.89";"66.67";"18.87";"12.26";"65"
"Patrick Erras";"CB";"all";"all";"19146";"P. Erras";"1995-01-21";"95.57";"17.86";"8";"0";"135";"100";"13.33";"86.67";"86.67";"90.32";"91.85";"82.96";"0.74";"0";"0";"10.37";"4.44";"42.86"
"Jonathan Tah";"CB";"all";"all";"12484";"J. Tah";"1996-02-11";"99.32";"28.62";"25";"0";"613";"100";"12.72";"87.28";"87.28";"89.16";"93.31";"83.2";"1.63";"0.65";"40";"10.77";"5.22";"48.48"
"Denis Vavro";"CB";"all";"all";"12880";"D. Vavro";"1996-04-10";"90.93";"18.45";"6";"0";"78";"100";"15.38";"84.62";"84.62";"86.96";"88.46";"76.92";"1.28";"0";"0";"16.67";"10.26";"61.54"
