Jugador,Equipo,Equipo durante el período seleccionado,Posición específica,Edad,Minutos jugados,Goles,xG,Asistencias,xA,País de nacimiento,Acciones defensivas realizadas/90,Duelos defensivos/90,"Duelos defensivos ganados, %",Duelos aéreos en los 90,"Duelos aéreos ganados, %",Entradas/90,Posesión conquistada después de una entrada,Tiros interceptados/90,Interceptaciones/90,Posesión conquistada después de una interceptación,Faltas/90,Tarjetas amarillas,Tarjetas amarillas/90,Tarjetas rojas,Tarjetas rojas/90,Acciones de ataque exitosas/90,Goles/90,Goles (excepto los penaltis),"Goles, excepto los penaltis/90",xG/90,Goles de cabeza,Goles de cabeza/90,Remates,Remates/90,"Tiros a la portería, %","Goles hechos, %",Asistencias/90,Centros/90,"Precisión centros, %",Regates/90,"Regates realizados, %",Duelos atacantes/90,"Duelos atacantes ganados, %",Toques en el área de penalti/90,Carreras en progresión/90,Aceleraciones/90,Pases recibidos /90,Pases largos recibidos/90,Faltas recibidas/90,Pases/90,"Precisión pases, %",Pases hacia adelante/90,"Precisión pases hacia adelante, %",Pases hacia atrás/90,"Precision pases hacia atrás, %",Pases laterales/90,"Precisión pases laterales, %",Pases largos/90,"Precisión pases largos, %","Longitud media pases, m","Longitud media pases largos, m",xA/90,Asistencias/90,Second assists/90,Third assists/90,Desmarques/90,"Precisión desmarques, %",Jugadas claves/90,Pases en el último tercio/90,"Precisión pases en el último tercio, %",Pases al área de penalti/90,"Pases hacía el área pequeña, %",Pases en profundidad/90,"Precisión pases en profundidad, %",Ataque en profundidad/90,Centros desde el último tercio/90,Pases progresivos/90,"Precisión pases progresivos, %",Goles recibidos,Goles recibidos/90,Remates en contra,Remates en contra/90,Porterías imbatidas en los 90,"Paradas, %",xG en contra,xG en contra/90,Goles evitados,Goles evitados/90,Pases hacía atrás recibidos del arquero/90,Salidas/90,Duelos aéreos en los 90
T. Strakosha,AEK Athens,AEK Athens,GK,31,2570,0,0,0,0,Greece,1.16,0.07,0,0.21,83.33,0,0,0,1.16,1.95,0.04,2,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.66,0.14,0.07,15.79,83.37,9.21,75.29,0,0,5.67,94.44,6.72,66.15,31.34,46.26,0,0,0,0,0,0,0,1.19,44.12,0.07,0,0.18,40,0,0,5.18,73.65,17,0.6,76,2.66,15,77.63,23.85,0.84,6.85,0.24,0,1.02,0.21
K. Tzolakis,Olympiacos Piraeus,Olympiacos Piraeus,GK,23,2568,0,0,0,0.04,Greece,1.4,0.07,50,0.28,100,0,0,0,1.37,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,90,0,0,0,11.74,0.18,0.35,17.77,82.84,11.39,74.77,0,0,5.96,98.24,7.01,61.5,34.63,49.57,0,0.04,0,0,0,0,0.04,3.15,56.67,0.28,25,0.42,8.33,0.07,0,5.15,80.27,11,0.39,54,1.89,17,79.63,13.3,0.47,2.3,0.081,0,0.98,0.28
T. Tsapras,Levadiakos,Levadiakos,RB,24,2543,1,1.58,9,4.86,Greece,8.03,5.06,57.34,1.31,43.24,0.32,0.51,0.5,4.81,7.64,0.74,1,0.04,0,0,1.77,0.04,1,0.04,0.06,0,0,21,0.74,28.57,4.762,0.32,3.82,25.93,1.06,53.33,2.9,39.02,1.84,1.03,0.14,34.51,3.68,0.64,44.06,76.63,14.72,69.71,6.48,93.99,15.11,79.86,3.65,48.54,19.16,37.59,0.17,0.92,0.04,0.11,0,0,0.67,5.56,68.79,3.29,48.39,0.21,50,0.85,1.17,9.73,69.82,0,,0,,0,0,0,0,,,0.39,,
M. Vichos,Levadiakos,Levadiakos,LB,26,2541,0,0.64,2,1.26,Greece,8.11,4.99,67.38,3.68,51.92,0.21,0.34,0.25,4.53,7.2,0.6,0,0,0,0,1.88,0,0,0,0.02,0,0,19,0.67,31.58,0,0.07,3.15,21.35,1.7,56.25,3.54,55,0.92,0.74,0.04,27.45,2.41,1.2,34.89,75.53,12.22,64.64,6.8,96.88,11.55,79.45,3.29,39.78,19.61,33.99,0.04,0.46,0,0.04,0.07,50,0.14,3.47,61.22,2.59,32.88,0.18,20,0.25,0.71,6.66,65.96,0,,0,,0,0,0,0,,,0.32,,
M. Siampanis,Volos NFC,Volos NFC,GK,26,2454,0,0,0,0,Greece,1.65,0.07,0,0.29,87.5,0,0,0,1.65,2.28,0,4,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,100,0,0,0,15.62,0.11,0.29,21.6,84.55,10.01,70.33,0,0,10.89,97.64,7.52,60,31.67,46.68,0,0,0,0,0,0,0.04,1.25,38.24,0.18,20,0.11,0,0.04,0,5.1,63.31,37,1.36,105,3.85,4,64.76,33.09,1.21,-3.91,-0.143,0,1.5,0.29
D. Stavropoulos,Atromitos,Atromitos,"RCB, LCB, CB",28,2447,1,1.25,0,0.1,Greece,7.5,4.41,60,3.42,58.06,0.15,0.2,1.14,4.71,6.34,0.99,6,0.22,0,0,0.15,0.04,1,0.04,0.05,1,0.04,9,0.33,33.33,11.111,0,0,0,0.07,50,0.74,40,0.55,0.4,0,33.47,0.33,0.48,47.3,88.88,19.38,80.46,1.84,96,22.1,95.67,5.33,45.52,20.58,38.29,0,0.07,0,0,0,0,0.04,3.57,63.92,0.18,40,0.29,37.5,0.07,0,6.95,59.79,0,,0,,0,0,0,0,,,1.54,,
Y. Lodygin,Levadiakos,Levadiakos,GK,35,2364,0,0,0,0,Russia,0.84,0,0,0.3,100,0,0,0,0.84,1.33,0,2,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,100,0,0,0,14.62,0.42,0.23,19.87,89.85,8.83,79.74,0,0,10.66,98.57,4.72,62.9,28.74,46.95,0,0,0,0,0,0,0,1.52,47.5,0.3,0,0.08,0,0,0,3.01,70.89,34,1.29,98,3.73,6,65.31,30.33,1.15,-3.67,-0.14,0,1.26,0.3
E. Çokaj,Levadiakos,Levadiakos,"RDMF, RCMF, LDMF",27,2356,0,0.16,1,0.55,Albania,9.02,4.51,63.56,3.02,58.23,0.34,0.54,0.46,5.81,9.05,0.84,5,0.19,0,0,0.5,0,0,0,0.01,0,0,10,0.38,30,0,0.04,0.31,75,0.19,80,1.6,59.52,0.11,0.34,0,36.83,0,1.38,53.29,89.89,13.14,76.74,9.24,98.35,24.49,94.23,6.53,68.42,20.57,41.59,0.02,0.23,0.04,0,0,0,0.15,6.53,76.61,0.42,63.64,0.08,0,0.19,0.19,7.41,72.16,0,,0,,0,0,0,0,,,2.29,,
K. Krizmanić,OFI,OFI,LCB,25,2339,0,0,0,0.19,Croatia,8,5,60,2.62,54.41,0.15,0.2,0.65,4.85,6.28,0.96,3,0.12,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.04,100,0.08,50,0.85,50,0.12,0.54,0.04,27.4,0.42,0.62,39.56,87.74,17.12,79.78,2.96,93.51,15.62,95.07,4,46.15,19.88,37.1,0.01,0.12,0,0,0,0,0.04,3,64.1,0.35,0,0.12,0,0.04,0.04,5.81,59.6,0,,0,,0,0,0,0,,,2.19,,
H. Hermannsson,Volos NFC,Volos NFC,"RCB, CB",31,2306,0,0.28,0,0.4,Iceland,6.56,4.45,57.02,2.58,48.48,0.12,0.16,0.39,3.9,5.42,1.05,7,0.27,0,0,0.12,0,0,0,0.01,0,0,5,0.2,20,0,0,0.16,25,0,0,0.43,54.55,0.35,0.51,0,27.59,0.43,0.66,41.02,88.58,16.24,78.61,2.61,95.52,18.73,96.67,4.29,44.55,21.35,42.07,0.02,0.16,0,0,0.04,100,0.08,4.37,68.75,0.51,46.15,0.23,33.33,0.27,0.04,6.4,62.8,0,,0,,0,0,0,0,,,2.03,,
