Name,Team,Competition,Season,Minutes,90s,Appearances,Primary Position,Secondary Position,Gender,Nationality,Age,Date of Birth,Height,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV
Aaron Ciammaglichella,Torino,"Serie A, Italia",2024/2025,1,0.01,1,,,Man,Italy,20,25/01/05,180,0,0,0,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,,0,,0,0,0,0,0,0,0,,0,,0,,0,0,0,0,,0,,,0,0,,,,,0,,,0,,,0,0,0,0,0,0,0,0,,0,,0,,,,,,,,,,,,,,0,0,0,0,0,,0,0,,0,0,0,0,0,0,,,,,,,,,,
Aarón Martín,Genoa,"Serie A, Italia",2024/2025,3338,37.08,36,Left Back,Left Wing Back,Man,Spain,28,21/04/97,180,0,0,0.02,0.04,0.43,0,19,0,,0,0.22,0.15,1.83,0.08,0.05,0.65,0.13,0.1,1.19,0.22,0.17,2.27,0.04,0.67,0.38,0.3,56,0.78,0,0.49,0.62,0.73,0.68,1.83,1.54,15.61,9.03,0.03,3.51,38.16,2.43,5.88,2.18,2.91,79,1.73,2.41,1.11,67,0.57,33,0.49,0.03,12.32,9.63,2.4,1.62,0.11,43.16,4.93,40,1.16,72,0.13,0,0,33.25,74,4.56,94,48,2.53,8.76,11,72,-3,51.93,3.53,0.24,0.28,29.99,97,4.57,6.66,2.62,0.81,1.81,0.13,0.65,1.46,0,31,1,36,0.13,24,62,14,21,63,16,23.19,18.74,0.9,93,-4.45,20.83,17.49,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,11,5.29,46,0.22,0.05,0.01,-0.02,,0.26
Abdoulrahmane Harroui,Hellas Verona,"Serie A, Italia",2024/2025,499,5.54,10,Left Wing,Left Midfielder,Man,Morocco,27,12/01/98,182,0.18,0.18,0.34,0.13,2.71,7,27,3,,0.28,0.36,0.13,1.08,0.36,0.13,1.08,0,0,0,0.54,0.47,3.79,0.08,2.71,1.08,1.62,40,0.54,0,1.98,4.87,0.9,0.39,0.54,0.3,20.57,10.82,0.01,3.79,45.1,4.33,8.3,1.98,2.89,92,1.28,1.67,1.62,75,0.18,35,1.08,0,16.96,10.19,2.71,3.43,0.36,47.75,7.22,43,2.71,79,0.18,0,0,35.54,80,0.72,18,29,0.72,2.35,17,71,-9,56.57,5.95,0.68,0.8,38.97,82,7.17,11.37,0.54,0.54,0,0.36,4.51,5.05,0,100,0.72,31,0.18,22,65,12,22,67,11,16.81,12.71,0.92,102,-4.1,15.44,12.99,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,10,4.96,41,0.04,0.06,0.08,-0.15,,0.02
Adam Marušić,Lazio,"Serie A, Italia",2024/2025,2553,28.36,35,Right Back,Left Back,Man,Montenegro,32,16/10/92,185,0.14,0.14,0.08,0.09,0.81,17,43,1,,0.13,0,0.01,0.35,0,0.01,0.32,0,0,0.04,0.14,0.09,1.16,0.05,0.53,0.21,0.32,40,0.56,0,0.46,0.74,0.95,1.11,1.52,1.55,11.39,5.78,0.03,2.75,35,2.12,5.85,1.41,2.36,77,1.52,2.63,0.78,54,0.42,59,1.27,0.04,9.24,10.29,1.8,1.34,0.21,39.78,2.96,32,0.81,61,0.04,0,0,37.51,85,1.45,16,47,1.87,2.71,11,76,-9,50.12,3.1,0.43,0.49,32.44,97,3.05,8.64,0.53,0.46,0.07,0.04,1.48,1.94,0.04,47,0.35,23,0.11,24,63,13,25,58,16,18,16.27,0.94,100,-1.73,16.97,16.2,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,13,4.17,28,0.07,0.03,-0.01,0,,0.09
Adam Masina,Torino,"Serie A, Italia",2024/2025,2093,23.25,28,Left Centre Back,,Man,Morocco,31,01/01/94,191,0.04,0.04,0.03,0.1,0.3,14,29,0,,0.04,0.09,0.01,0.17,0.09,0.01,0.17,0,0,0,0.13,0.04,0.47,0.09,0.56,0.3,0.26,54,0.86,0.04,0.34,0.43,1.12,0.97,4.43,3.75,12.38,7.18,0.06,4.56,27.9,2.88,10.06,1.68,2.8,64,1.46,2.43,1.16,55,0.95,66,2.8,0.09,9.59,8.34,2.49,1.33,0,34.14,2.37,25,0.77,58,0.22,0,0,51.17,85,4.39,86,58,5.03,6.97,10,66,-19,38.57,3.66,0.31,0.33,40.29,98,4.69,4.77,0.26,0.26,0,0.09,0.77,1.03,0.09,17,0.17,36,0.09,25,70,5,43,51,5,22.58,20.26,0.93,92,-2.32,21.07,18.59,0,0,0,0,0,,0,0,,0,0,0,0,0,0,13,7,2.75,23,0.03,0.08,0.04,-0.02,,0.14
Adam Obert,Cagliari,"Serie A, Italia",2024/2025,1176,13.07,21,Left Back,Left Centre Back,Man,Slovakia,22,22/08/02,186,0.08,0.08,0.07,0.1,0.69,11,22,1,,0.03,0.08,0.05,0.77,0.08,0.05,0.77,0,0,0,0.15,0.11,1.45,0.04,0.54,0.31,0.23,57,0.61,0,1.07,1.07,2.3,1.39,3.9,2.47,22.8,10.48,0.04,5.59,33.82,2.91,10.64,2.45,4.74,76,1.63,3.03,1.76,60,0.77,50,1.91,0.08,18.6,11.67,4.13,3.21,0.38,38.11,4.74,26,1.68,52,0.31,0,0,33.67,77,2.37,88,46,4.36,4.67,14,68,-9,44.02,2.91,0.3,0.33,28.16,92,4.41,5.36,0.46,0.31,0.15,0,1.45,1.76,0.15,17,0.08,11,0.08,35,53,12,41,50,9,20.23,17.13,0.92,94,-3.1,18.63,16.13,0,0,0,0,0,,0,0,,0,0,0,0,0,0,19,11,3.58,30,0.09,0.06,0.07,-0.05,,0.17
Ademola Lookman,Atalanta,"Serie A, Italia",2024/2025,2372,26.36,31,Left Attacking Midfielder,Left Centre Forward,Man,Nigeria,27,19/10/97,174,0.57,0.53,0.37,0.12,3.11,17,39,4,100,0.44,0.19,0.28,2.43,0.19,0.23,1.75,0,0.05,0.68,0.72,0.66,5.54,0.07,3.34,1.37,1.97,41,0.95,0,2.66,4.36,0.19,0.21,0.04,0.04,19.27,8.39,0,3.6,62.31,3.23,4.86,1.06,1.25,74,1.27,1.48,1.4,38,0.38,41,0.57,0.04,16.81,20.15,3.34,3.83,0.42,63.19,12.33,73,3.19,83,0.15,0,0,32.33,74,1.29,24,43,0.27,2.81,21,76,2,68.94,3.95,0.7,1.03,38.93,83,6.12,15.14,2.58,1.67,0.91,1.25,8.65,10.32,0.04,21,0.91,35,1.75,9,72,19,11,68,21,16.46,13.44,0.92,98,-3.03,15.21,13.11,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,10,7.55,45,0.12,0.2,0,0,,0.32
Adrian Benedyczak,Parma Calcio 1913,"Serie A, Italia",2024/2025,250,2.78,9,Centre Attacking Midfielder,Left Wing,Man,Poland,24,23/11/00,191,0,0,0.06,0.06,1.08,0,0,3,,0,0,0.02,0.72,0,0.02,0.72,0,0,0,0,0.09,1.8,-0.09,1.44,0.36,1.08,25,2.16,0,1.44,3.24,0.36,0.08,2.16,1.1,14.75,9.36,0.03,2.88,53.55,1.44,3.6,0.36,0.72,33,0.46,0.54,1.44,0,0.72,39,2.52,0,12.95,9.38,2.16,1.44,0,64.15,10.08,78,1.44,100,0,0,0,18.71,67,1.08,9,60,2.52,1.44,20,36,-30,57.22,1.44,0.16,0.48,17.63,78,4.21,4.68,0.36,0.36,0,0,1.8,2.16,0,0,0,0,0,20,69,11,23,69,8,18.05,18.87,0.93,78,0.82,16.77,14.81,0,0,0,0,0,,0,0,,0,0,0,0,0,0,22,7,2.7,18,-0.11,0.01,0,-0.05,,-0.14
Adrian Bernabe,Parma Calcio 1913,"Serie A, Italia",2024/2025,1562,17.35,21,Right Defensive Midfielder,Right Centre Midfielder,Man,Spain,24,25/05/01,170,0.06,0.06,0.07,0.04,1.61,4,18,1,,0.11,0.06,0.07,1.27,0.06,0.06,0.98,0,0.01,0.29,0.12,0.14,2.88,-0.02,1.27,0.63,0.63,50,2.31,0,1.15,1.1,0.69,0.56,0.86,0.8,17.87,9.22,0.04,4.03,40.56,3.98,8.07,2.02,2.71,66,1.76,2.33,0.52,49,1.04,54,0.4,0.06,15.33,11.81,2.71,3.17,0.4,43.95,6.17,40,1.96,62,0.06,0,0,51.47,83,6.11,91,62,1.73,8.93,12,77,-6,50.24,7.43,0.48,0.52,47.2,95,4.64,12.45,1.33,0.92,0.4,0.12,0.75,1.67,0.17,9,0.17,30,0.06,24,68,7,28,66,6,22.61,18.48,0.96,107,-4.13,21.6,19.72,0,0,0,0,0,,0,0,,0,0,0,0,0,0,17,9,7.56,52,0.09,0.09,0.06,-0.02,,0.22
Adrien Tamèze,Torino,"Serie A, Italia",2024/2025,728,8.09,20,Left Defensive Midfielder,Right Centre Midfielder,Man,France,31,03/02/94,182,0,0,0.06,0.07,0.87,0,43,1,,0.02,0,0.05,0.49,0,0.05,0.49,0,0,0,0,0.11,1.36,-0.11,1.11,0.49,0.62,44,0.49,0,0.87,1.61,1.11,1.1,0.74,0.77,15.82,7.79,0.05,3.95,43.79,3.21,6.55,0.62,1.73,63,0.72,1.82,1.11,0,0.37,50,1.48,0.12,14.09,14.23,2.6,3.71,0.37,47.35,6.67,47,2.97,80,0.37,0,0,35.72,87,2.22,13,82,0.99,2.47,19,82,-4,50.6,3.21,0.29,0.3,31.14,94,5.48,8.53,0.62,0.62,0,0.25,2.84,3.46,0,40,0.37,50,0.49,14,71,16,19,62,19,17.96,14.23,1.02,106,-3.73,18.29,15.1,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,11,2.47,20,0,0.03,-0.09,-0.02,,-0.08
Alan Matturro Romero,Genoa,"Serie A, Italia",2024/2025,980,10.89,13,Left Centre Back,Left Back,Man,Uruguay,20,10/10/04,189,0,0,0.02,0.05,0.37,0,75,0,,0.04,0,0.01,0.28,0,0.01,0.28,0,0,0,0,0.03,0.64,-0.03,0.37,0.18,0.18,50,0.46,0,0.09,0.55,1.1,0.87,3.4,2.76,9.65,5.6,0.04,3.67,29.08,1.84,7.53,0.92,2.02,45,0.71,1.57,1.01,25,1.1,59,2.02,0,7.72,6.01,2.48,1.29,0.09,34.61,1.93,25,0.46,36,0.18,0,0,30.5,79,3.22,84,64,4.32,4.13,16,68,-11,36.79,1.65,0.13,0.13,24.34,97,4.31,2.57,0.55,0.37,0.18,0.09,1.1,1.47,0,33,0.18,50,0.09,26,69,5,36,54,11,23.63,22.72,0.96,92,-0.92,22.72,20.87,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,9,2,18,0.03,0.03,0,-0.02,,0.04
Albert Gudmundsson,Fiorentina,"Serie A, Italia",2024/2025,1362,15.13,24,Centre Attacking Midfielder,Left Centre Forward,Man,Iceland,27,14/06/97,177,0.4,0.26,0.2,0.12,1.65,16,48,2,100,0.3,0.07,0.1,0.93,0.07,0.08,0.79,0,0.02,0.13,0.33,0.29,2.58,0.04,1.39,1.06,0.33,76,1.59,0.07,1.19,2.11,0.53,0.55,0.33,0.3,17.25,6.94,0,2.44,51.24,2.25,4.69,0.59,1.12,45,0.56,1.11,1.12,27,0.73,20,0.26,0,15.53,14.24,1.98,4.3,0.46,52.85,8.52,55,3.04,71,0.13,0,0,30.79,83,1.32,13,54,0.86,1.92,28,82,-1,56.24,4.1,0.34,0.48,32.58,90,6.39,8.85,0.26,0.13,0.13,0.26,3.04,3.17,0.07,0,0.13,15,0.59,12,66,22,17,66,16,17.07,14.45,0.95,99,-2.63,16.27,14.37,0,0,0,0,0,,0,0,,0,0,0,0,0,0,16,9,4.55,35,-0.04,0.17,0,0.07,,0.19
Alberto Baio,Juventus,"Serie A, Italia",2024/2025,389,4.32,9,Right Centre Back,Right Wing Back,Man,Portugal,21,28/09/03,186,0,0,0.11,0.07,1.62,0,0,1,,0,0,0.02,0.46,0,0.02,0.46,0,0,0,0,0.13,2.08,-0.13,2.08,0.93,1.16,44,0.69,0,1.39,2.78,0.93,1.17,3.01,3.19,26.4,12.27,0.03,5.79,40.6,4.63,9.96,3.01,3.94,93,3.8,4.97,2.08,89,0.23,63,1.16,0,21.3,24.87,3.94,4.4,0.46,44.6,7.18,34,3.24,74,0.69,0,0,44.92,86,1.16,5,45,3.24,2.32,10,77,-8,51.13,3.47,0.52,0.58,46.08,91,4.81,12.27,0.69,0.69,0,0.23,3.01,3.7,0,33,0.23,100,0.46,21,66,13,19,55,26,16.02,15.58,0.95,83,-0.43,15.23,13.01,0,0,0,0,0,,0,0,,0,0,0,0,0,0,21,11,5.7,35,0.06,0.16,0.08,-0.09,,0.21
Alberto Cerri,Como,"Serie A, Italia",2024/2025,112,1.25,5,Left Centre Forward,Centre Forward,Man,Italy,29,15/04/96,194,0,0,0.87,0.27,3.21,0,25,8,,0.64,0,0,0,0,0,0,0,0,0,0,0.87,3.21,-0.87,0,0,0,,1.6,0,3.21,4.01,0,0,0.8,0.54,15.25,7.22,0,4.01,66.47,2.41,4.01,0,0,,0,0,2.41,,0,50,4.01,0,13.64,10.89,3.21,3.21,0,71.62,12.04,88,2.41,75,0,0,0,15.25,70,0.8,18,100,1.6,0,30,50,-20,60.25,0,0.09,0.96,15.25,63,2.24,4.81,0,0,0,0,11.23,11.23,0,,0,,1.6,15,60,25,0,67,33,14.5,20.21,0.91,108,5.7,13.25,21.77,0,0,0,0,0,,0,0,,0,0,0,0,0,0,25,10,2.81,18,-0.17,-0.16,0.02,-0.53,,-0.84
Alberto Dossena,Como,"Serie A, Italia",2024/2025,1956,21.73,23,Right Centre Back,Centre Back,Man,Italy,26,12/10/98,188,0,0,0.04,0.07,0.55,0,25,0,,0.02,0.05,0.01,0.14,0.05,0.01,0.14,0,0,0,0.05,0.05,0.69,0,0.18,0.14,0.05,75,0.74,0,0.14,0.28,1.29,1.43,3.73,4.41,11,5.52,0.07,5.98,25.57,2.03,9.3,1.75,3.04,79,2.06,3.49,1.15,57,0.46,67,3.18,0.05,8.19,9.42,3.36,0.97,0.28,30.14,1.38,17,0.32,33,0.05,0,0.05,44.55,87,3.5,16,64,4.33,4.83,13,77,-10,34.16,1.29,0.35,0.37,34.56,99,3.88,1.52,0.05,0.05,0,0.09,1.38,1.43,0,0,0,0,0.14,23,75,3,45,48,6,21.93,21.02,0.96,103,-0.91,21.03,21.58,0,0,0,0,0,,0,0,,0,0,0,0,0,0,11,6,2.35,16,0.01,0.05,0.01,-0.05,,0.02
Alberto Grassi,Empoli,"Serie A, Italia",2024/2025,2333,25.92,28,Right Defensive Midfielder,Centre Defensive Midfielder,Man,Italy,30,06/03/95,183,0.04,0.04,0.04,0.1,0.42,9,36,1,,0.05,0,0.02,0.31,0,0.02,0.31,0,0,0,0.04,0.06,0.73,-0.02,0.39,0.15,0.23,40,1.5,0.04,0.62,0.93,1.81,1.4,1.5,0.84,13.39,6.67,0.05,3.78,39.45,5.75,12.04,1.58,3.4,77,1.08,2.48,1.12,68,0.46,53,1.27,0,10.73,7.53,2.51,2.55,0.54,43.48,4.09,38,1.5,59,0.31,0,0,31.64,76,1.66,18,47,2.2,2.86,17,60,-16,46.85,2.82,0.28,0.32,22.57,94,5.03,5.13,0.31,0.31,0,0.15,1.62,1.93,0.08,0,0,0,0.27,30,63,8,36,59,5,19.74,18.29,0.94,93,-1.45,18.52,16.93,0,0,0,0,0,,0,0,,0,0,0,0,0,0,20,8,2.91,25,0.02,0.07,0.04,-0.01,,0.12
