"Player";"Position";"third";"channel";"Player ID";"Short name";"Birthdate";"Minutes played per match";"Adjusted min TIP per match";"Count performances that pass the quality check";"Count performances that fail the quality check";"Count Runs in sample";"Count Runs per 100 Runs";"Count Dangerous Runs per 100 Runs";"Threat of Runs per 100 Runs";"Count Runs leading to goal per 100 Runs";"Count Runs targeted per 100 Runs";"Count Runs received per 100 Runs";"Count Runs leading to shot per 100 Runs";"Threat of Runs targeted per 100 Runs";"Threat of Runs received per 100 Runs";"Count dangerous Runs targeted per 100 Runs";"Count dangerous Runs received per 100 Runs"
"Aarón Martín Caricol";"LB";"all";"all";"19163";"Aarón Martín";"1997-04-22";"95.64";"21.29";"20";"0";"499";"100";"12.02";"0.92";"0.6";"39.08";"34.47";"2.2";"0.31";"0.24";"3.61";"2.61"
"Aarón Martín Caricol";"LWB";"all";"all";"19163";"Aarón Martín";"1997-04-22";"96.51";"19.48";"12";"0";"315";"100";"13.02";"0.92";"0";"37.46";"33.97";"2.54";"0.31";"0.23";"4.13";"2.86"
"Adam Marušić";"LB";"all";"all";"196";"A. Marušić";"1992-10-17";"95.13";"26.7";"6";"0";"119";"100";"26.05";"1.65";"0.84";"31.93";"27.73";"1.68";"0.35";"0.26";"5.88";"4.2"
"Adam Marušić";"RB";"all";"all";"196";"A. Marušić";"1992-10-17";"91.85";"23.68";"17";"0";"362";"100";"14.64";"0.97";"0";"27.35";"24.31";"0.83";"0.15";"0.11";"2.21";"1.38"
"Adam Masina";"LCB";"all";"all";"197";"A. Masina";"1994-01-02";"92.62";"22.05";"21";"0";"255";"100";"8.24";"0.64";"0";"29.8";"27.06";"0.39";"0.08";"0.05";"0.78";"0"
"Adam Obert";"LB";"all";"all";"70483";"A. Obert";"2002-08-23";"86.73";"15.74";"7";"0";"116";"100";"13.79";"1.11";"0.86";"31.9";"26.72";"2.59";"0.24";"0.18";"0.86";"0.86"
"Ademola Lookman";"AM";"all";"all";"11457";"A. Lookman";"1997-10-20";"80.14";"19.8";"5";"0";"129";"100";"47.29";"3.27";"1.55";"48.06";"33.33";"4.65";"1.43";"0.65";"19.38";"11.63"
"Ademola Lookman";"CF";"all";"all";"11457";"A. Lookman";"1997-10-20";"85.29";"24.56";"10";"0";"262";"100";"46.95";"3.01";"1.15";"52.29";"32.44";"5.34";"1.34";"0.72";"21.76";"10.31"
"Ademola Lookman";"LF";"all";"all";"11457";"A. Lookman";"1997-10-20";"84.31";"21.66";"6";"0";"164";"100";"46.95";"3.22";"1.83";"46.95";"36.59";"10.98";"1.18";"0.77";"18.29";"13.41"
"Adrián Bernabé García";"RDM";"all";"all";"68901";"Adrián Bernabé";"2001-05-26";"98.18";"22.63";"5";"0";"69";"100";"5.8";"0.44";"0";"49.28";"44.93";"2.9";"0.27";"0.22";"2.9";"1.45"
